date,hold,hour,gex_neg,cr_minus_hvl,cr_minus_open,gap,q_option,q_momentum
2026-05-11,1,09,0,100.0,28.75,-10.5,5.0,5.0
2026-05-11,1,14,0,100.0,28.75,-10.5,5.0,5.0
2026-05-11,1,14,0,100.0,28.75,-10.5,5.0,5.0
2026-05-13,1,10,0,135.0,9.5,9.25,5.0,5.0
2026-05-14,1,11,0,235.0,57.75,8.5,5.0,5.0
2026-05-15,1,08,0,80.0,-20.75,-67.5,5.0,5.0
2026-05-18,0,08,0,75.0,0.25,18.75,5.0,4.0
2026-05-20,0,10,1,95.0,43.75,20.25,5.0,4.0
2026-05-20,1,11,1,95.0,43.75,20.25,5.0,4.0
2026-05-20,0,12,1,95.0,43.75,20.25,5.0,4.0
2026-05-21,1,08,0,85.0,15.0,-24.25,5.0,4.0
2026-05-21,0,12,0,85.0,15.0,-24.25,5.0,4.0
2026-05-28,1,09,0,105.0,3.5,-7.75,5.0,4.0
2026-06-01,0,08,0,55.0,5.75,-13.25,5.0,4.0
2026-06-01,1,09,0,55.0,5.75,-13.25,5.0,4.0
2026-06-04,0,11,1,65.0,40.5,-19.0,5.0,4.0
2026-06-09,1,08,1,140.0,30.25,45.25,1.0,2.0
