date,source,pw,cw,settle_pnl,stopped_pnl,delta,bps_pnl,bcs_pnl,bps_exit,bps_reason,bcs_exit,bcs_reason
2026-06-26,gx,7325.0,7400.0,1306.9599999999996,76.96,-1230.0,-76.52,153.48,09:41,acceptance,15:45,time_stop
2026-06-26,td,7325.0,7400.0,1306.9599999999996,76.96,-1230.0,-76.52,153.48,09:41,acceptance,15:45,time_stop
2026-06-26,mq,7325.0,7425.0,1209.4599999999996,-20.54,-1230.0,-76.52,55.98,09:41,acceptance,15:45,time_stop
2026-06-26,fx,7320.0,7390.0,1271.9600000000003,126.96,-1145.0,-76.52,203.48,09:42,acceptance,15:45,time_stop
2026-06-29,gx,7325.0,7400.0,-1393.04,-233.04,1160.0,193.48,-426.52,15:45,time_stop,09:42,acceptance
2026-06-29,td,7325.0,7400.0,-1393.04,-233.04,1160.0,193.48,-426.52,15:45,time_stop,09:42,acceptance
2026-06-29,mq,7300.0,7450.0,239.46000000000004,216.96,-22.5,103.48,113.48,15:45,time_stop,15:45,time_stop
2026-06-29,fx,7320.0,7390.0,-1193.0399999999997,-293.04,900.0,173.48,-466.52,15:45,time_stop,09:41,acceptance
2026-06-30,gx,7400.0,7450.0,-1233.04,-53.04,1180.0,343.48,-396.52,15:45,time_stop,10:01,acceptance
2026-06-30,td,7400.0,7450.0,-1233.04,-53.04,1180.0,343.48,-396.52,15:45,time_stop,10:01,acceptance
2026-06-30,fx,7405.0,7475.0,-1594.0399999999668,-290.54,1303.5,388.48,-679.02,15:45,time_stop,11:30,acceptance
2026-07-01,gx,7450.0,7540.0,536.96,536.96,0.0,473.48,63.48,15:45,time_stop,15:45,time_stop
2026-07-01,td,7450.0,7500.0,941.96,-148.04,-1090.0,473.48,-621.52,15:45,time_stop,11:11,acceptance
2026-07-01,mq,7400.0,7500.0,599.46,-490.54,-1090.0,130.98,-621.52,15:45,time_stop,11:11,acceptance
2026-07-01,fx,7465.0,7535.0,764.4599999999998,-130.54,-895.0,-216.52,85.98,09:43,acceptance,15:45,time_stop
2026-07-02,gx,7450.0,7500.0,1396.9599999999996,-1278.04,-2675.0,-991.52,-286.52,13:06,acceptance,09:41,acceptance
2026-07-02,td,7450.0,7500.0,1396.9599999999996,-1278.04,-2675.0,-991.52,-286.52,13:06,acceptance,09:41,acceptance
2026-07-02,mq,7425.0,7520.0,794.46,-660.54,-1455.0,75.98,-736.52,15:45,time_stop,09:51,acceptance
2026-07-02,fx,7450.0,7520.0,891.96,-1728.04,-2620.0,-991.52,-736.52,13:06,acceptance,09:51,acceptance
2026-07-06,gx,7450.0,7500.0,-890.5399999999998,269.46,1160.0,80.98,188.48,15:45,time_stop,09:41,acceptance
2026-07-06,mq,7425.0,7550.0,289.46,111.96,-177.5,38.48,73.48,15:45,time_stop,15:45,time_stop
2026-07-06,fx,7450.0,7520.0,-723.5400000000292,-105.54,618.0,80.98,-186.52,15:45,time_stop,10:32,acceptance
2026-07-07,gx,7500.0,7550.0,764.4599999999999,-145.54,-910.0,-646.52,500.98,10:31,acceptance,15:45,time_stop
2026-07-07,td,7500.0,7550.0,764.4599999999999,-145.54,-910.0,-646.52,500.98,10:31,acceptance,15:45,time_stop
2026-07-07,fx,7500.0,7570.0,424.4599999999999,-485.54,-910.0,-646.52,160.98,10:31,acceptance,15:45,time_stop
2026-07-08,gx,7475.0,7525.0,1334.4599999999998,389.46,-945.0,283.48,105.98,09:41,acceptance,15:45,time_stop
2026-07-08,td,7475.0,7525.0,1334.4599999999998,389.46,-945.0,283.48,105.98,09:41,acceptance,15:45,time_stop
2026-07-08,mq,7475.0,7550.0,1251.9599999999998,306.96,-945.0,283.48,23.48,09:41,acceptance,15:45,time_stop
2026-07-08,fx,7470.0,7540.0,1171.96,26.96,-1145.0,-21.52,48.48,10:19,acceptance,15:45,time_stop
2026-07-09,gx,7475.0,7500.0,-1013.0399999999997,146.96,1160.0,608.48,-461.52,15:45,time_stop,09:44,acceptance
