ts_et,strike,side,bid,ask
16:02:13,7435.0,buy,32.0,32.3
16:02:13,7385.0,sell,23.8,24.1
16:02:18,7435.0,buy,32.0,32.4
16:02:18,7385.0,sell,23.8,24.1
16:02:23,7435.0,buy,32.1,32.5
16:02:23,7385.0,sell,23.9,24.2
16:02:28,7435.0,buy,32.2,32.5
16:02:28,7385.0,sell,23.9,24.3
16:02:33,7435.0,buy,32.2,32.6
16:02:33,7385.0,sell,24.0,24.3
16:02:38,7435.0,buy,32.1,32.5
16:02:38,7385.0,sell,23.9,24.2
16:02:43,7435.0,buy,32.0,32.4
16:02:43,7385.0,sell,23.8,24.2
16:02:48,7435.0,buy,32.0,32.4
16:02:48,7385.0,sell,23.8,24.1
16:02:53,7435.0,buy,32.1,32.4
16:02:53,7385.0,sell,23.9,24.2
16:02:58,7435.0,buy,32.1,32.4
16:02:58,7385.0,sell,23.9,24.2
16:03:03,7435.0,buy,32.0,32.4
16:03:03,7385.0,sell,23.8,24.1
16:03:08,7435.0,buy,32.1,32.4
16:03:08,7385.0,sell,23.8,24.2
16:03:13,7435.0,buy,32.0,32.4
16:03:13,7385.0,sell,23.8,24.1
16:03:18,7435.0,buy,31.8,32.2
16:03:18,7385.0,sell,23.7,24.0
16:03:23,7435.0,buy,31.9,32.3
16:03:23,7385.0,sell,23.7,24.1
16:03:28,7435.0,buy,31.9,32.2
16:03:28,7385.0,sell,23.7,24.0
16:03:33,7435.0,buy,31.9,32.2
16:03:33,7385.0,sell,23.7,24.0
16:03:38,7435.0,buy,31.9,32.2
16:03:38,7385.0,sell,23.7,24.0
16:03:43,7435.0,buy,32.0,32.3
16:03:43,7385.0,sell,23.8,24.1
16:03:48,7435.0,buy,31.9,32.2
16:03:48,7385.0,sell,23.7,24.0
16:03:53,7435.0,buy,32.0,32.4
16:03:53,7385.0,sell,23.8,24.1
16:03:58,7435.0,buy,32.0,32.4
16:03:58,7385.0,sell,23.8,24.2
16:04:03,7435.0,buy,32.0,32.3
16:04:03,7385.0,sell,23.8,24.1
16:04:08,7435.0,buy,31.8,32.2
16:04:08,7385.0,sell,23.7,24.0
16:04:13,7435.0,buy,31.9,32.3
16:04:13,7385.0,sell,23.7,24.1
16:04:18,7435.0,buy,31.9,32.3
16:04:18,7385.0,sell,23.7,24.1
