entry,exp,adte,vix,bucket,spot,credit,pnl,coll,breach,yr
2010-10-22,2010-10-28,6.0,18.78,2 15-20,1182.56,184.75,176.75,4815.25,0,2010
2010-10-29,2010-11-04,6.0,21.2,3 20-30,1183.67,437.5,429.5,4562.5,0,2010
2010-11-05,2010-11-11,6.04,18.26,2 15-20,1225.43,209.75,201.75,4790.25,0,2010
2010-11-12,2010-11-18,6.0,20.61,3 20-30,1199.18,172.125,164.125,4827.875,0,2010
2010-12-07,2010-12-16,9.0,17.99,2 15-20,1223.62,286.25,278.25,4713.75,0,2010
2010-12-21,2010-12-31,10.0,16.49,2 15-20,1254.64,147.875,139.875,5352.125,0,2010
2011-01-27,2011-02-04,8.0,16.15,2 15-20,1299.37,146.625,138.625,5853.375,0,2011
2011-02-03,2011-02-11,8.0,16.69,2 15-20,1307.13,187.87499999999997,179.87499999999997,4312.125,0,2011
2011-02-10,2011-02-17,7.0,16.09,2 15-20,1321.42,137.37499999999997,129.37499999999997,4862.625,0,2011
2011-02-17,2011-02-25,8.0,16.59,2 15-20,1340.35,151.00000000000003,143.00000000000003,4849.0,0,2011
2011-02-25,2011-03-04,7.0,19.22,2 15-20,1319.87,168.74999999999994,160.74999999999994,4831.25,0,2011
2011-03-04,2011-03-11,7.0,19.06,2 15-20,1320.93,155.87500000000003,147.87500000000003,4844.125,0,2011
2011-03-11,2011-03-17,5.96,20.08,3 20-30,1304.23,222.25000000000006,214.25000000000006,4777.75,0,2011
2011-03-25,2011-04-01,7.0,17.91,2 15-20,1313.92,229.37500000000003,221.37500000000003,4770.625,0,2011
2011-04-01,2011-04-08,7.0,17.4,2 15-20,1331.94,134.875,126.875,4865.125,0,2011
2011-04-08,2011-04-14,6.0,17.87,2 15-20,1328.01,180.0,172.0,4820.0,0,2011
2011-04-15,2011-04-21,6.0,15.32,2 15-20,1319.65,130.87500000000003,122.87500000000003,4869.125,0,2011
2011-04-25,2011-04-29,4.0,15.77,2 15-20,1335.11,148.0,-196.9999999999891,4852.0,1,2011
2011-05-02,2011-05-06,4.0,15.99,2 15-20,1361.07,141.0,133.0,4859.0,0,2011
2011-05-09,2011-05-13,4.0,17.16,2 15-20,1346.22,160.37499999999997,152.37499999999997,4839.625,0,2011
2011-05-23,2011-05-27,4.0,18.27,2 15-20,1317.47,214.12499999999994,206.12499999999994,4285.875,0,2011
2011-06-07,2011-06-16,9.0,18.07,2 15-20,1284.74,300.25,292.25,4699.75,0,2011
2011-06-21,2011-06-30,9.0,18.86,2 15-20,1295.3,356.62499999999994,348.62499999999994,4643.375,0,2011
2011-07-06,2011-07-14,8.0,16.34,2 15-20,1339.15,236.75000000000003,228.75000000000003,4763.25,0,2011
2011-08-10,2011-08-18,8.0,42.99,4 >30,1118.01,469.12500000000017,461.12500000000017,4530.875,0,2011
2011-08-25,2011-09-02,8.0,39.76,4 >30,1159.79,314.62499999999994,306.62499999999994,4685.375,0,2011
2011-09-01,2011-09-09,8.0,31.82,4 >30,1203.96,208.5,200.5,5791.5,0,2011
2011-09-09,2011-09-15,6.0,38.52,4 >30,1154.4,324.625,316.625,4675.375,0,2011
2011-09-16,2011-09-23,7.0,30.98,4 >30,1215.76,212.50000000000006,204.50000000000006,4787.5,0,2011
2011-09-23,2011-09-30,7.0,41.25,4 >30,1136.63,261.99999999999994,253.99999999999994,4738.0,0,2011
2011-09-30,2011-10-07,7.0,42.96,4 >30,1131.81,232.375,224.375,4767.625,0,2011
2011-10-07,2011-10-14,7.0,36.2,4 >30,1155.44,131.75,123.75,4868.25,0,2011
2011-10-14,2011-10-20,6.0,28.24,3 20-30,1223.92,199.74999999999997,191.74999999999997,4800.25,0,2011
2011-10-21,2011-10-28,7.0,31.32,4 >30,1238.19,235.62500000000003,227.62500000000003,4764.375,0,2011
2011-10-28,2011-11-04,7.0,24.53,3 20-30,1284.89,219.375,211.375,5280.625,0,2011
2011-11-04,2011-11-11,7.04,30.16,4 >30,1253.01,143.125,135.125,4856.875,0,2011
2011-11-11,2011-11-17,6.0,30.04,4 >30,1264.09,140.25,132.25,4859.75,0,2011
2011-11-18,2011-11-25,7.0,32.0,4 >30,1215.82,178.12499999999994,170.12499999999994,5321.875,0,2011
2011-11-28,2011-12-02,4.0,32.13,4 >30,1192.86,154.37499999999997,146.37499999999997,4845.625,0,2011
2011-12-05,2011-12-09,4.0,27.84,3 20-30,1257.11,248.25,240.25,4751.75,0,2011
2011-12-20,2011-12-30,10.0,23.22,3 20-30,1240.76,205.375,197.375,4794.625,0,2011
2012-01-05,2012-01-13,8.0,21.48,3 20-30,1281.01,130.00000000000003,122.00000000000003,4870.0,0,2012
2012-01-12,2012-01-19,7.0,20.47,3 20-30,1295.43,82.375,74.375,4917.625,0,2012
2012-01-20,2012-01-27,7.0,18.28,2 15-20,1315.16,145.00000000000003,137.00000000000003,4855.0,0,2012
2012-01-27,2012-02-03,7.0,18.53,2 15-20,1316.63,170.25,162.25,4829.75,0,2012
2012-02-03,2012-02-10,7.0,17.1,2 15-20,1344.59,154.75,146.75,4845.25,0,2012
2012-02-10,2012-02-16,6.0,20.79,3 20-30,1342.59,160.24999999999997,152.24999999999997,4839.75,0,2012
2012-02-17,2012-02-24,7.0,17.78,2 15-20,1361.33,168.75000000000003,160.75000000000003,4831.25,0,2012
2012-02-27,2012-03-02,4.0,18.19,2 15-20,1367.91,159.12499999999997,151.12499999999997,4840.875,0,2012
2012-03-06,2012-03-15,8.96,20.87,3 20-30,1343.51,189.62499999999997,181.62499999999997,4810.375,0,2012
2012-03-20,2012-03-30,10.0,15.58,2 15-20,1405.64,182.00000000000003,174.00000000000003,4818.0,0,2012
2012-04-11,2012-04-19,8.0,20.02,3 20-30,1369.01,213.125,205.125,4786.875,0,2012
2012-05-09,2012-05-17,8.0,20.08,3 20-30,1354.32,306.87500000000006,298.87500000000006,4693.125,0,2012
2012-05-31,2012-06-08,8.0,24.06,3 20-30,1310.41,200.62499999999997,192.62499999999997,4799.375,0,2012
2012-06-07,2012-06-14,7.0,21.72,3 20-30,1314.99,159.62500000000003,151.62500000000003,4840.375,0,2012
2012-06-14,2012-06-22,8.0,21.68,3 20-30,1329.12,498.49999999999994,490.49999999999994,4501.5,0,2012
2012-06-21,2012-06-29,8.0,20.08,3 20-30,1325.51,264.375,256.375,4735.625,0,2012
2012-06-28,2012-07-06,8.0,19.71,2 15-20,1329.14,219.25000000000003,211.25000000000003,4780.75,0,2012
2012-07-06,2012-07-13,7.0,17.1,2 15-20,1354.61,158.62500000000003,150.62500000000003,4841.375,0,2012
2012-07-13,2012-07-19,6.0,16.74,2 15-20,1356.66,153.625,145.625,4846.375,0,2012
2012-07-20,2012-07-27,7.0,16.27,2 15-20,1362.97,195.25,187.25,4804.75,0,2012
2012-07-27,2012-08-03,7.0,16.7,2 15-20,1386.03,250.0,242.0,4750.0,0,2012
2012-08-03,2012-08-10,7.0,15.64,2 15-20,1391.03,168.5,160.5,4831.5,0,2012
2012-08-10,2012-08-16,6.0,14.74,1 <15,1405.56,126.87500000000003,118.87500000000003,4873.125,0,2012
2012-08-17,2012-08-24,7.0,13.45,1 <15,1418.04,111.25,103.25,4888.75,0,2012
2012-08-24,2012-08-31,7.0,15.18,2 15-20,1411.09,135.0,127.0,4865.0,0,2012
2012-08-31,2012-09-07,7.0,17.47,2 15-20,1407.3,135.125,127.125,4864.875,0,2012
2012-09-10,2012-09-14,4.0,16.28,2 15-20,1429.18,285.375,-280.6249999999927,4714.625,1,2012
2012-09-24,2012-09-28,4.0,14.15,1 <15,1457.09,94.74999999999999,86.74999999999999,4905.25,0,2012
2012-10-01,2012-10-05,4.0,16.32,2 15-20,1444.29,196.25,188.25,4803.75,0,2012
2012-10-08,2012-10-12,4.0,15.11,2 15-20,1455.93,144.125,-3.8750000000090807,4855.875,1,2012
2012-10-22,2012-10-26,4.0,16.62,2 15-20,1433.58,218.5,210.5,4781.5,0,2012
2012-11-06,2012-11-15,9.0,17.58,2 15-20,1428.17,455.87500000000006,-2239.124999999989,4544.125,1,2012
2012-11-13,2012-11-23,10.0,16.65,2 15-20,1374.72,298.5,290.5,4701.5,0,2012
2012-11-20,2012-11-30,10.0,15.08,2 15-20,1387.75,308.75000000000006,300.75000000000006,4691.25,0,2012
2012-11-28,2012-12-07,9.0,15.51,2 15-20,1409.7,315.00000000000006,307.00000000000006,4685.0,0,2012
2012-12-05,2012-12-14,9.0,16.46,2 15-20,1409.27,281.625,273.625,5218.375,0,2012
2012-12-12,2012-12-20,8.0,15.95,2 15-20,1428.65,260.0,252.0,4740.0,0,2012
2012-12-19,2012-12-28,9.0,17.36,2 15-20,1435.85,321.0,313.0,4679.0,0,2012
2012-12-27,2013-01-04,8.0,19.47,2 15-20,1417.93,464.5000000000001,346.5000000000092,5035.5,1,2012
2013-01-04,2013-01-11,7.0,13.83,1 <15,1466.1,120.87500000000003,112.87500000000003,4879.125,0,2013
2013-01-11,2013-01-17,6.0,13.36,1 <15,1471.71,125.875,117.875,4874.125,0,2013
2013-01-18,2013-01-25,7.0,12.46,1 <15,1485.81,130.375,122.375,4869.625,0,2013
2013-01-28,2013-02-01,4.0,13.57,1 <15,1500.12,208.75,200.75,4791.25,0,2013
2013-02-04,2013-02-08,4.0,14.67,1 <15,1495.66,224.37500000000003,216.37500000000003,4775.625,0,2013
2013-02-19,2013-03-01,10.0,12.31,1 <15,1530.64,178.125,170.125,4821.875,0,2013
2013-02-26,2013-03-08,10.0,16.87,2 15-20,1497.12,301.99999999999994,-282.99999999999824,4698.0,1,2013
2013-03-05,2013-03-14,8.96,13.48,1 <15,1539.91,187.49999999999997,179.49999999999997,4812.5,0,2013
2013-03-12,2013-03-22,10.0,12.27,1 <15,1552.67,230.625,222.625,4769.375,0,2013
2013-03-19,2013-03-28,9.0,14.39,1 <15,1548.55,258.0,250.0,4742.0,0,2013
2013-03-26,2013-04-05,10.0,12.77,1 <15,1563.84,194.99999999999997,186.99999999999997,4805.0,0,2013
2013-04-03,2013-04-12,9.0,14.21,1 <15,1553.71,265.0,257.0,4735.0,0,2013
2013-04-10,2013-04-18,8.0,12.36,1 <15,1587.6,219.00000000000003,-1107.0000000000061,4781.0,1,2013
2013-04-17,2013-04-26,9.0,16.51,2 15-20,1551.72,386.00000000000006,378.00000000000006,4614.0,0,2013
2013-04-24,2013-05-03,9.0,13.61,1 <15,1578.27,266.375,258.375,4733.625,0,2013
2013-05-01,2013-05-10,9.0,14.49,1 <15,1582.67,349.75,-487.2499999999963,4650.25,1,2013
2013-05-08,2013-05-16,8.0,12.66,1 <15,1632.58,197.00000000000003,189.00000000000003,4803.0,0,2013
2013-05-15,2013-05-24,9.0,12.81,1 <15,1658.55,300.5,292.5,4699.5,0,2013
2013-05-22,2013-05-31,9.0,13.82,1 <15,1655.43,323.00000000000006,315.00000000000006,4677.0,0,2013
2013-05-30,2013-06-07,8.0,14.53,1 <15,1654.71,279.75,271.75,4720.25,0,2013
2013-06-06,2013-06-14,8.0,16.63,2 15-20,1622.24,380.875,372.875,4619.125,0,2013
2013-06-13,2013-06-20,7.0,16.41,2 15-20,1636.46,269.24999999999994,101.25000000000904,4730.75,1,2013
2013-06-20,2013-06-28,8.0,20.49,3 20-30,1588.4,417.62500000000006,409.62500000000006,4582.375,0,2013
2013-06-27,2013-07-05,8.0,16.86,2 15-20,1613.08,301.0,293.0,4699.0,0,2013
2013-07-05,2013-07-12,7.0,14.89,1 <15,1632.07,179.5,-297.50000000000546,4820.5,1,2013
2013-07-12,2013-07-18,6.0,13.84,1 <15,1679.69,185.37499999999997,177.37499999999997,4814.625,0,2013
2013-07-19,2013-07-26,7.0,12.54,1 <15,1691.85,155.0,147.0,4845.0,0,2013
2013-07-26,2013-08-02,7.0,12.72,1 <15,1691.62,213.75000000000003,205.75000000000003,4786.25,0,2013
2013-08-02,2013-08-09,7.0,11.98,1 <15,1709.13,127.25,119.25,4872.75,0,2013
2013-08-09,2013-08-15,6.0,13.41,1 <15,1691.32,168.875,160.875,4831.125,0,2013
2013-08-16,2013-08-23,7.0,14.37,1 <15,1655.93,302.875,294.875,4697.125,0,2013
2013-08-23,2013-08-30,7.0,13.98,1 <15,1663.29,147.75,139.75,4852.25,0,2013
2013-08-30,2013-09-06,7.0,17.01,2 15-20,1632.68,250.87500000000006,242.87500000000006,4749.125,0,2013
2013-09-09,2013-09-13,4.0,15.63,2 15-20,1671.59,219.37499999999997,211.37499999999997,4780.625,0,2013
2013-09-23,2013-09-30,7.0,14.31,1 <15,1701.65,156.625,148.625,4843.375,0,2013
2013-09-30,2013-10-04,4.0,16.6,2 15-20,1681.96,365.25,357.25,4634.75,0,2013
2013-10-07,2013-10-11,4.0,19.41,2 15-20,1676.01,277.5,269.5,4722.5,0,2013
2013-10-21,2013-10-25,4.0,13.16,1 <15,1744.52,137.75,129.75,4862.25,0,2013
2013-10-28,2013-11-01,4.0,13.31,1 <15,1762.2,166.25,158.25,4833.75,0,2013
2013-11-04,2013-11-08,4.0,12.93,1 <15,1768.05,184.625,176.625,4815.375,0,2013
2013-11-18,2013-11-22,4.0,13.1,1 <15,1791.35,130.375,122.375,4869.625,0,2013
2013-11-25,2013-11-29,4.0,12.79,1 <15,1802.73,66.62499999999999,58.624999999999986,4933.375,0,2013
2013-12-03,2013-12-13,10.0,14.55,1 <15,1795.16,237.25,229.25,4762.75,0,2013
2013-12-10,2013-12-19,9.0,13.91,1 <15,1802.71,262.87499999999994,254.87499999999994,4737.125,0,2013
2013-12-17,2013-12-27,10.0,16.21,2 15-20,1781.02,338.74999999999983,204.75000000000074,4661.25,1,2013
2013-12-24,2013-12-31,7.0,12.48,1 <15,1833.32,83.5,75.5,4916.5,0,2013
2014-01-03,2014-01-10,7.0,13.76,1 <15,1831.47,136.37499999999997,128.37499999999997,4863.625,0,2014
2014-01-10,2014-01-16,6.0,12.14,1 <15,1842.37,144.0,136.0,4856.0,0,2014
2014-01-17,2014-01-24,7.0,12.44,1 <15,1838.46,102.25000000000001,-830.7499999999999,4897.75,1,2014
2014-01-27,2014-01-31,4.0,17.42,2 15-20,1781.66,369.125,361.125,4630.875,0,2014
2014-02-03,2014-02-07,4.0,21.44,3 20-30,1741.95,374.0,201.99999999999002,4626.0,1,2014
2014-02-10,2014-02-14,4.0,15.26,2 15-20,1799.66,217.0,-141.9999999999991,4783.0,1,2014
2014-02-18,2014-02-28,10.0,13.87,1 <15,1841.06,208.75,200.75,4791.25,0,2014
2014-02-25,2014-03-07,10.0,13.67,1 <15,1845.31,251.87499999999997,243.87499999999997,4748.125,0,2014
2014-03-04,2014-03-14,9.96,14.1,1 <15,1873.55,245.62499999999997,237.62499999999997,4754.375,0,2014
2014-03-11,2014-03-20,9.0,14.8,1 <15,1867.8,233.12499999999997,225.12499999999997,4766.875,0,2014
2014-03-18,2014-03-28,10.0,14.52,1 <15,1871.95,305.62499999999994,297.62499999999994,4694.375,0,2014
2014-03-25,2014-03-31,6.0,14.02,1 <15,1865.74,164.62499999999997,156.62499999999997,4835.375,0,2014
2014-04-01,2014-04-11,10.0,13.1,1 <15,1885.57,250.24999999999994,-1667.7499999999911,4749.75,1,2014
2014-04-08,2014-04-16,8.0,14.89,1 <15,1852.14,326.49999999999994,318.49999999999994,4673.5,0,2014
2014-04-15,2014-04-25,10.0,15.61,2 15-20,1842.94,273.75,265.75,4726.25,0,2014
2014-04-23,2014-05-02,9.0,13.27,1 <15,1875.45,314.49999999999994,306.49999999999994,4685.5,0,2014
2014-04-30,2014-05-09,9.0,13.41,1 <15,1883.33,253.37500000000003,245.37500000000003,4746.625,0,2014
2014-05-07,2014-05-15,8.0,13.4,1 <15,1878.26,274.625,266.625,4725.375,0,2014
2014-05-14,2014-05-23,9.0,12.17,1 <15,1888.64,211.625,203.625,4788.375,0,2014
2014-05-21,2014-05-30,9.0,11.91,1 <15,1887.86,152.75,144.75,4847.25,0,2014
2014-05-29,2014-06-06,8.0,11.57,1 <15,1919.63,165.0,157.0,4835.0,0,2014
2014-06-05,2014-06-13,8.0,11.68,1 <15,1940.12,187.74999999999997,179.74999999999997,4812.25,0,2014
2014-06-12,2014-06-19,7.0,12.56,1 <15,1930.16,214.75,206.75,4785.25,0,2014
2014-06-19,2014-06-27,8.0,10.62,1 <15,1959.1,109.74999999999999,101.74999999999999,5390.25,0,2014
2014-06-26,2014-07-03,7.0,11.63,1 <15,1957.26,161.24999999999997,153.24999999999997,4838.75,0,2014
2014-07-03,2014-07-11,8.0,10.32,1 <15,1985.44,78.375,70.375,4921.625,0,2014
2014-07-11,2014-07-17,6.0,12.08,1 <15,1967.36,169.74999999999997,161.74999999999997,4830.25,0,2014
2014-07-18,2014-07-25,7.0,12.06,1 <15,1977.84,166.25,158.25,4833.75,0,2014
2014-07-25,2014-08-01,7.0,12.69,1 <15,1978.19,181.50000000000003,-853.4999999999982,4818.5,1,2014
2014-08-01,2014-08-08,7.0,17.03,2 15-20,1924.73,334.5,326.5,4665.5,0,2014
2014-08-18,2014-08-22,4.0,12.32,1 <15,1971.48,160.0,152.0,4840.0,0,2014
2014-08-25,2014-08-29,4.0,11.7,1 <15,1998.19,108.50000000000001,100.50000000000001,4891.5,0,2014
2014-09-02,2014-09-12,10.0,12.25,1 <15,2002.03,171.875,163.875,4828.125,0,2014
2014-09-09,2014-09-18,9.0,13.5,1 <15,1988.5,257.12499999999994,249.12499999999994,4742.875,0,2014
2014-09-16,2014-09-26,10.0,12.73,1 <15,1999.04,286.25,278.25,4713.75,0,2014
2014-09-23,2014-09-30,7.0,14.93,1 <15,1983.16,206.87499999999997,198.87499999999997,4793.125,0,2014
2014-09-30,2014-10-10,10.0,16.31,2 15-20,1972.94,352.375,-0.6250000000045759,4647.625,1,2014
2014-10-07,2014-10-16,9.0,17.2,2 15-20,1935.08,340.25000000000006,-492.74999999999994,4659.75,1,2014
2014-10-14,2014-10-24,10.0,22.79,3 20-30,1877.88,336.0,328.0,4664.0,0,2014
2014-10-21,2014-10-31,10.0,16.08,2 15-20,1940.9,373.4999999999999,-903.5000000000055,4626.5,1,2014
2014-11-04,2014-11-14,10.0,14.89,1 <15,2012.25,366.625,358.625,4633.375,0,2014
2014-11-11,2014-11-20,9.0,12.92,1 <15,2039.57,215.625,207.625,4784.375,0,2014
2014-11-18,2014-11-28,10.0,13.86,1 <15,2051.97,151.625,143.625,4848.375,0,2014
2014-12-03,2014-12-12,9.0,12.47,1 <15,2074.07,248.12500000000003,-1901.8750000000073,4751.875,1,2014
2014-12-11,2014-12-18,7.0,20.08,3 20-30,2035.14,311.24999999999994,303.24999999999994,4688.75,0,2014
2014-12-18,2014-12-26,8.0,16.81,2 15-20,2060.3,195.5,187.5,4804.5,0,2014
2014-12-26,2015-01-02,7.0,14.5,1 <15,2089.22,174.75,166.75,5825.25,0,2014
2015-01-05,2015-01-09,4.0,19.92,2 15-20,2021.05,385.37500000000006,377.37500000000006,4614.625,0,2015
2015-01-20,2015-01-30,10.0,19.89,2 15-20,2022.68,543.0000000000001,535.0000000000001,4457.0,0,2015
2015-01-27,2015-02-06,10.0,17.22,2 15-20,2029.64,443.37500000000006,435.37500000000006,4556.625,0,2015
2015-02-03,2015-02-13,10.0,17.33,2 15-20,2049.89,339.75000000000006,331.75000000000006,4660.25,0,2015
2015-02-10,2015-02-19,9.0,17.23,2 15-20,2068.51,275.37499999999994,267.37499999999994,4724.625,0,2015
2015-02-18,2015-02-27,9.0,15.45,2 15-20,2099.58,186.24999999999997,178.24999999999997,4813.75,0,2015
2015-02-25,2015-03-06,9.0,13.84,1 <15,2113.75,178.75,170.75,4821.25,0,2015
2015-03-04,2015-03-13,8.96,14.23,1 <15,2098.59,204.62499999999997,196.62499999999997,4795.375,0,2015
2015-03-11,2015-03-19,8.0,16.87,2 15-20,2040.62,438.25,430.25,4561.75,0,2015
2015-03-18,2015-03-27,9.0,13.97,1 <15,2099.39,333.125,325.125,4666.875,0,2015
2015-03-25,2015-03-31,6.0,15.44,2 15-20,2061.34,284.74999999999994,276.74999999999994,4715.25,0,2015
2015-04-01,2015-04-10,9.0,15.11,2 15-20,2059.51,305.25,297.25,4694.75,0,2015
2015-04-09,2015-04-16,7.0,13.09,1 <15,2090.78,243.75,235.75,4756.25,0,2015
2015-04-16,2015-04-24,8.0,12.6,1 <15,2105.23,214.62500000000003,206.62500000000003,4785.375,0,2015
2015-04-23,2015-04-30,7.0,12.48,1 <15,2113.2,238.24999999999994,230.24999999999994,4761.75,0,2015
2015-04-30,2015-05-08,8.0,14.55,1 <15,2085.45,353.74999999999994,345.74999999999994,4646.25,0,2015
2015-05-07,2015-05-14,7.0,15.13,2 15-20,2087.88,396.3750000000001,388.3750000000001,4603.625,0,2015
2015-05-14,2015-05-22,8.0,12.74,1 <15,2120.73,238.49999999999997,230.49999999999997,4761.5,0,2015
2015-05-21,2015-05-29,8.0,12.11,1 <15,2131.14,157.25,149.25,4842.75,0,2015
2015-05-29,2015-06-05,7.0,13.84,1 <15,2107.77,344.87500000000006,336.87500000000006,4655.125,0,2015
2015-06-05,2015-06-12,7.0,14.21,1 <15,2092.79,288.75,280.75,4711.25,0,2015
2015-06-12,2015-06-18,6.0,13.78,1 <15,2094.19,348.75,340.75,4651.25,0,2015
2015-06-19,2015-06-26,7.0,13.96,1 <15,2109.96,269.375,261.375,4730.625,0,2015
2015-06-26,2015-07-02,6.0,14.02,1 <15,2101.96,450.4999999999999,442.4999999999999,4549.5,0,2015
2015-07-06,2015-07-10,4.0,17.01,2 15-20,2068.81,334.74999999999994,326.74999999999994,4665.25,0,2015
2015-07-20,2015-07-24,4.0,12.25,1 <15,2128.04,135.24999999999997,-1379.7500000000164,4864.75,1,2015
2015-07-27,2015-07-31,4.0,15.6,2 15-20,2068.06,318.12500000000006,310.12500000000006,4681.875,0,2015
2015-08-03,2015-08-07,4.0,12.56,1 <15,2098.03,256.25000000000006,248.25000000000006,4743.75,0,2015
2015-08-10,2015-08-14,4.0,12.23,1 <15,2104.06,186.875,178.875,4813.125,0,2015
2015-08-24,2015-08-31,7.0,40.74,4 >30,1893.63,212.2499999999999,204.2499999999999,4787.75,0,2015
2015-08-31,2015-09-04,4.0,28.43,3 20-30,1972.05,283.74999999999994,275.74999999999994,4716.25,0,2015
2015-09-08,2015-09-17,9.0,24.9,3 20-30,1969.13,319.62499999999994,311.62499999999994,4680.375,0,2015
2015-09-15,2015-09-25,10.0,22.54,3 20-30,1978.18,363.12500000000006,355.12500000000006,4636.875,0,2015
2015-09-22,2015-09-30,8.0,22.44,3 20-30,1942.54,298.37500000000006,290.37500000000006,4701.625,0,2015
2015-09-29,2015-10-09,10.0,26.83,3 20-30,1883.84,377.87499999999994,-1122.1250000000075,4622.125,1,2015
2015-10-06,2015-10-15,9.0,19.4,2 15-20,1979.97,290.99999999999994,282.99999999999994,4709.0,0,2015
2015-10-13,2015-10-23,10.0,17.67,2 15-20,2003.76,311.6250000000001,274.62500000000375,4688.375,1,2015
2015-10-20,2015-10-30,10.0,15.75,2 15-20,2031.23,307.37500000000006,299.37500000000006,4692.625,0,2015
2015-11-03,2015-11-13,10.0,14.54,1 <15,2109.87,328.62500000000006,-2364.374999999991,4671.375,1,2015
2015-11-10,2015-11-19,9.0,15.29,2 15-20,2082.07,319.6249999999999,311.6249999999999,4680.375,0,2015
2015-11-17,2015-11-27,10.0,18.84,2 15-20,2050.42,281.875,273.875,4718.125,0,2015
2015-11-24,2015-11-30,6.0,15.93,2 15-20,2089.36,86.62499999999999,78.62499999999999,4913.375,0,2015
2015-12-02,2015-12-11,9.0,15.91,2 15-20,2079.78,370.625,94.62499999999362,4629.375,1,2015
2015-12-09,2015-12-18,9.0,19.61,2 15-20,2047.81,480.875,472.875,4519.125,0,2015
2015-12-16,2015-12-24,8.0,17.86,2 15-20,2072.85,410.87499999999994,402.87499999999994,4589.125,0,2015
2015-12-23,2015-12-31,8.0,15.57,2 15-20,2064.28,204.0,196.0,4796.0,0,2015
2015-12-31,2016-01-08,8.0,18.21,2 15-20,2043.65,301.25,-4706.75,4698.75,1,2015
2016-01-08,2016-01-14,6.0,27.01,3 20-30,1921.74,385.75,377.75,4614.25,0,2016
2016-01-15,2016-01-22,7.0,27.02,3 20-30,1880.14,359.00000000000006,351.00000000000006,4641.0,0,2016
2016-01-25,2016-01-29,4.0,24.15,3 20-30,1877.38,413.875,405.875,4586.125,0,2016
2016-02-01,2016-02-05,4.0,19.98,2 15-20,1938.85,397.125,-619.8749999999918,4602.875,1,2016
2016-02-08,2016-02-12,4.0,26.0,3 20-30,1853.62,497.7500000000001,489.7500000000001,4502.25,0,2016
2016-02-16,2016-02-26,10.0,24.11,3 20-30,1895.08,245.62499999999997,237.62499999999997,4754.375,0,2016
2016-02-23,2016-02-29,6.0,20.98,3 20-30,1921.29,168.37500000000003,160.37500000000003,4831.625,0,2016
2016-03-01,2016-03-09,8.0,17.7,2 15-20,1977.9,286.62500000000006,278.62500000000006,4713.375,0,2016
2016-03-08,2016-03-16,7.96,18.67,2 15-20,1979.44,457.125,449.125,5042.875,0,2016
2016-03-15,2016-03-23,8.0,16.84,2 15-20,2015.78,311.875,303.875,4688.125,0,2016
2016-03-22,2016-03-30,8.0,14.17,1 <15,2050.09,196.75000000000003,188.75000000000003,4803.25,0,2016
2016-03-30,2016-04-06,7.0,13.56,1 <15,2064.03,129.75,121.75,4870.25,0,2016
2016-04-06,2016-04-13,7.0,14.09,1 <15,2066.79,155.625,147.625,4844.375,0,2016
