strategy,open,pnl,roi,date
eodic_c,False,52.400000000000006,2.143149284253579,2026-08-28
openfly_p,False,218.69999999999993,15.187499999999995,2026-08-28
openfly_c,False,-551.2999999999997,-33.61585365853657,2026-08-28
gx_bps,False,387.4,18.360189573459714,2026-08-28
gx_bcs,False,-946.2999999999998,-46.730864197530856,2026-08-28
eodic_p,False,97.39999999999999,4.058333333333334,2026-08-31
openfly_p,False,-81.29999999999988,-5.568493150684923,2026-08-31
openfly_c,False,567.4,29.39896373056995,2026-08-31
gx_bps,False,-111.29999999999997,-10.599999999999996,2026-08-31
gx_bcs,False,12.4,0.49899396378269617,2026-08-31
eodic_p,False,417.4,20.06730769230769,2026-09-01
openfly_p,False,-36.300000000000054,-2.0279329608938577,2026-09-01
openfly_c,False,-306.30000000000007,-18.849230769230772,2026-09-01
gx_bps,False,238.70000000000022,40.45762711864411,2026-09-01
gx_bcs,False,7.4,0.2971887550200803,2026-09-01
eodic_p,False,17.4,0.7016129032258064,2026-09-02
eodic_c,False,12.4,0.49899396378269617,2026-09-02
openfly_p,False,717.4,40.30337078651685,2026-09-02
openfly_c,False,-601.3,-35.57988165680474,2026-09-02
gx_bcs,False,32.4,1.3144016227180528,2026-09-02
eodic_c,False,-801.3,-33.18012422360248,2026-09-03
openfly_p,False,-191.29999999999995,-10.015706806282719,2026-09-03
openfly_c,False,-291.30000000000007,-21.577777777777783,2026-09-03
gx_bps,False,77.4,3.1983471074380168,2026-09-03
gx_bcs,False,-271.3000000000003,-41.106060606060645,2026-09-03
eodic_p,False,92.4,3.8419958419958418,2026-09-04
eodic_c,False,12.399999999999997,0.498993963782696,2026-09-04
openfly_p,False,-281.3,-15.456043956043958,2026-09-04
openfly_c,False,827.4000000000001,49.54491017964072,2026-09-04
gx_bps,False,32.4,1.3144016227180528,2026-09-04
gx_bcs,False,322.4,14.822988505747126,2026-09-04
