book,trade_id,strategy,source,structure,occ_root,leg_idx,side,right,strike,expiry,qty,entry_dt_ct,exit_dt_ct,fill_model,close_reason,credit,exit_cost
SPX,auto_20260806_084404,eodfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7750.0,20260806,1,2026-08-06 08:44,2026-08-06 08:54,paper_fill,level ACCEPTED: spot 7736 held above the 7725 short strike for 10min (>10) — the wall we sold did not hold,11.5,12.8
SPX,auto_20260806_084404,eodfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7725.0,20260806,1,2026-08-06 08:44,2026-08-06 08:54,paper_fill,level ACCEPTED: spot 7736 held above the 7725 short strike for 10min (>10) — the wall we sold did not hold,11.5,12.8
SPX,auto_20260806_090522,openic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7635.0,20260806,1,2026-08-06 09:05,2026-08-06 16:00,cash_settle,expired,0.55,0.0
SPX,auto_20260806_090522,openic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7660.0,20260806,1,2026-08-06 09:05,2026-08-06 16:00,cash_settle,expired,0.55,0.0
SPX,auto_20260806_090543,openic_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7840.0,20260806,1,2026-08-06 09:05,2026-08-06 16:00,cash_settle,expired,0.15,0.0
SPX,auto_20260806_090543,openic_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7815.0,20260806,1,2026-08-06 09:05,2026-08-06 16:00,cash_settle,expired,0.15,0.0
SPX,auto_20260806_090604,openfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7710.0,20260806,1,2026-08-06 09:06,2026-08-06 09:35,paper_fill,level ACCEPTED: spot 7732 held below the 7735 short strike for 10min (>10) — the wall we sold did not hold,8.4,8.8
SPX,auto_20260806_090604,openfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7735.0,20260806,1,2026-08-06 09:06,2026-08-06 09:35,paper_fill,level ACCEPTED: spot 7732 held below the 7735 short strike for 10min (>10) — the wall we sold did not hold,8.4,8.8
SPX,auto_20260806_090641,openfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7760.0,20260806,1,2026-08-06 09:06,2026-08-06 09:17,paper_fill,level ACCEPTED: spot 7740 held above the 7735 short strike for 10min (>10) — the wall we sold did not hold,9.2,11.0
SPX,auto_20260806_090641,openfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7735.0,20260806,1,2026-08-06 09:06,2026-08-06 09:17,paper_fill,level ACCEPTED: spot 7740 held above the 7735 short strike for 10min (>10) — the wall we sold did not hold,9.2,11.0
SPX,auto_20260806_090701,gx_bps,auto_trigger,vertical 25pt,SPXW,0,buy,P,7675.0,20260806,1,2026-08-06 09:07,2026-08-06 16:00,cash_settle,expired,2.35,0.0
SPX,auto_20260806_090701,gx_bps,auto_trigger,vertical 25pt,SPXW,1,sell,P,7700.0,20260806,1,2026-08-06 09:07,2026-08-06 16:00,cash_settle,expired,2.35,0.0
