ts_et,trade_id,spot,net_mid,net_spread,unreal_pnl,pop,ev,p_maxloss,sigma,max_gain,max_loss
2026-07-24 13:12:39,auto_20260724_090200,7433.35,32.88,0.25,157.5,0.5765,1234,0.0106,46.3,18219,-3109
2026-07-24 13:14:53,auto_20260724_085540,7433.25,-1.17,0.15,762.5,0.8212,473,0.1045,46.0,880,-1620
2026-07-24 13:14:53,auto_20260724_090200,7433.25,32.73,0.25,142.5,0.5701,1209,0.0106,46.0,18085,-3100
2026-07-24 13:17:06,auto_20260724_085540,7431.55,-1.15,0.1,765.0,0.8128,454,0.1104,45.7,880,-1620
2026-07-24 13:17:06,auto_20260724_090200,7431.55,32.17,0.25,87.5,0.5602,1112,0.0108,45.7,17791,-3105
2026-07-24 13:19:19,auto_20260724_085540,7437.0,-0.82,0.15,797.5,0.8452,529,0.0882,45.4,880,-1620
2026-07-24 13:19:19,auto_20260724_090200,7437.0,35.28,0.15,397.5,0.5839,1353,0.0099,45.4,18212,-3123
2026-07-24 13:21:32,auto_20260724_085540,7438.25,-0.75,0.1,805.0,0.8527,548,0.0807,45.0,880,-1620
2026-07-24 13:21:32,auto_20260724_090200,7438.25,35.88,0.25,457.5,0.592,1400,0.0097,45.0,18211,-3120
2026-07-24 13:23:45,auto_20260724_085540,7435.5,-0.82,0.15,797.5,0.8375,518,0.0882,44.7,880,-1620
2026-07-24 13:23:45,auto_20260724_090200,7435.5,33.42,0.25,212.5,0.5736,1237,0.0101,44.7,17809,-3103
2026-07-24 13:25:58,auto_20260724_085540,7436.95,-0.7,0.1,810.0,0.849,540,0.0832,44.4,880,-1620
2026-07-24 13:25:58,auto_20260724_090200,7436.95,35.0,0.3,370.0,0.5792,1292,0.0049,44.4,17827,-3128
2026-07-24 13:28:11,auto_20260724_085540,7441.45,-0.45,0.1,835.0,0.8737,596,0.0673,44.1,880,-1620
2026-07-24 13:28:11,auto_20260724_090200,7441.45,39.12,0.25,782.5,0.609,1525,0.0091,44.1,18149,-3107
2026-07-24 13:30:24,auto_20260724_085540,7441.75,-0.4,0.1,840.0,0.877,603,0.0652,43.8,880,-1620
2026-07-24 13:30:24,auto_20260724_090200,7441.75,38.9,0.2,760.0,0.6071,1524,0.009,43.8,18049,-3096
2026-07-24 13:32:38,auto_20260724_085540,7441.9,-0.4,0.1,840.0,0.877,609,0.0632,43.4,880,-1620
2026-07-24 13:32:38,auto_20260724_090200,7441.9,38.25,0.3,695.0,0.6116,1515,0.0089,43.4,17934,-3123
2026-07-24 13:34:51,auto_20260724_085540,7444.9,-0.25,0.1,855.0,0.8925,644,0.0539,43.1,880,-1620
2026-07-24 13:34:51,auto_20260724_090200,7444.9,41.23,0.25,992.5,0.6281,1685,0.0084,43.1,18102,-3120
2026-07-24 13:37:04,auto_20260724_085540,7442.8,-0.3,0.1,850.0,0.8865,627,0.0575,42.8,880,-1620
2026-07-24 13:37:04,auto_20260724_090200,7442.8,39.27,0.35,797.5,0.6143,1534,0.0086,42.8,17760,-3114
2026-07-24 13:39:17,auto_20260724_085540,7440.75,-0.35,0.1,845.0,0.877,610,0.0613,42.4,880,-1620
2026-07-24 13:39:17,auto_20260724_090200,7440.75,37.42,0.35,612.5,0.5989,1391,0.009,42.4,17422,-3106
2026-07-24 13:41:30,auto_20260724_085540,7435.8,-0.5,0.1,830.0,0.8564,557,0.076,42.1,880,-1620
