ts_et,strike,side,bid,ask
16:02:06,7225.0,buy,28.0,28.3
16:02:11,7325.0,sell,44.5,45.0
16:02:11,7225.0,buy,27.9,28.2
16:02:16,7325.0,sell,44.7,45.1
16:02:16,7225.0,buy,28.0,28.3
16:02:21,7325.0,sell,44.6,45.0
16:02:21,7225.0,buy,27.9,28.3
16:02:26,7325.0,sell,45.0,45.5
16:02:26,7225.0,buy,28.2,28.6
16:02:31,7325.0,sell,45.2,45.6
16:02:31,7225.0,buy,28.3,28.6
16:02:36,7325.0,sell,45.0,45.5
16:02:36,7225.0,buy,28.2,28.6
16:02:41,7325.0,sell,45.1,45.5
16:02:41,7225.0,buy,28.2,28.6
16:02:46,7325.0,sell,45.0,45.4
16:02:46,7225.0,buy,28.2,28.5
16:02:51,7325.0,sell,45.0,45.4
16:02:51,7225.0,buy,28.1,28.5
16:02:56,7325.0,sell,45.1,45.5
16:02:56,7225.0,buy,28.2,28.6
16:03:01,7325.0,sell,45.1,45.6
16:03:01,7225.0,buy,28.2,28.6
16:03:06,7325.0,sell,45.4,45.8
16:03:06,7225.0,buy,28.4,28.8
16:03:11,7325.0,sell,45.4,45.8
16:03:11,7225.0,buy,28.4,28.8
16:03:16,7325.0,sell,45.3,45.7
16:03:16,7225.0,buy,28.4,28.7
16:03:21,7325.0,sell,45.4,45.8
16:03:21,7225.0,buy,28.4,28.8
16:03:26,7325.0,sell,45.4,45.8
16:03:26,7225.0,buy,28.4,28.8
16:03:31,7325.0,sell,45.4,45.8
16:03:31,7225.0,buy,28.4,28.8
16:03:36,7325.0,sell,45.4,45.8
16:03:36,7225.0,buy,28.4,28.8
16:03:41,7325.0,sell,45.5,46.0
16:03:41,7225.0,buy,28.5,28.9
16:03:46,7325.0,sell,45.4,45.8
16:03:46,7225.0,buy,28.4,28.8
16:03:51,7325.0,sell,45.4,45.9
16:03:51,7225.0,buy,28.5,28.8
16:03:56,7325.0,sell,45.4,45.9
16:03:56,7225.0,buy,28.5,28.8
16:04:01,7325.0,sell,45.5,45.9
16:04:01,7225.0,buy,28.5,28.9
16:04:06,7325.0,sell,45.2,45.7
16:04:06,7225.0,buy,28.4,28.7
16:04:11,7325.0,sell,45.2,45.6
16:04:11,7225.0,buy,28.3,28.6
16:04:16,7325.0,sell,45.2,45.6
16:04:16,7225.0,buy,28.2,28.6
16:04:21,7325.0,sell,45.1,45.5
16:04:21,7225.0,buy,28.2,28.5
16:04:26,7325.0,sell,45.1,45.5
16:04:26,7225.0,buy,28.2,28.5
16:04:31,7325.0,sell,45.1,45.5
16:04:31,7225.0,buy,28.2,28.5
16:04:36,7325.0,sell,45.1,45.6
16:04:36,7225.0,buy,28.2,28.6
16:04:41,7325.0,sell,45.4,45.8
16:04:41,7225.0,buy,28.4,28.8
16:04:46,7325.0,sell,45.5,45.9
16:04:46,7225.0,buy,28.5,28.8
16:04:51,7325.0,sell,45.3,45.8
16:04:51,7225.0,buy,28.4,28.7
16:04:56,7325.0,sell,45.3,45.8
16:04:56,7225.0,buy,28.4,28.7
16:05:01,7325.0,sell,45.1,45.6
16:05:01,7225.0,buy,28.2,28.6
16:05:06,7325.0,sell,45.4,45.8
16:05:06,7225.0,buy,28.4,28.8
16:05:11,7325.0,sell,45.4,45.8
16:05:11,7225.0,buy,28.4,28.8
16:05:16,7325.0,sell,45.2,45.7
16:05:16,7225.0,buy,28.3,28.7
16:05:21,7325.0,sell,45.2,45.6
16:05:21,7225.0,buy,28.3,28.6
16:05:26,7325.0,sell,45.1,45.6
16:05:26,7225.0,buy,28.2,28.6
16:05:31,7325.0,sell,45.1,45.6
16:05:31,7225.0,buy,28.2,28.6
16:05:36,7325.0,sell,45.1,45.6
16:05:36,7225.0,buy,28.3,28.6
16:05:41,7325.0,sell,45.2,45.7
16:05:41,7225.0,buy,28.3,28.7
16:05:46,7325.0,sell,45.3,45.7
16:05:46,7225.0,buy,28.3,28.7
16:05:51,7325.0,sell,45.2,45.7
16:05:51,7225.0,buy,28.3,28.7
16:05:56,7325.0,sell,45.3,45.7
16:05:56,7225.0,buy,28.4,28.7
16:06:01,7325.0,sell,45.5,46.0
16:06:01,7225.0,buy,28.5,28.9
16:06:06,7325.0,sell,45.4,45.9
16:06:06,7225.0,buy,28.5,28.8
