ts_et,msg,detail
2026-07-21 15:55:01,EXIT,"{""rule"": ""lvlfade_cr0_ES"", ""reason"": ""closeout"", ""pts"": 1.25, ""es_est"": 7548.75}"
2026-07-21 16:00:01,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""done"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-22 09:32:15,levels loaded,"{""cr"": 7550.0, ""cr0"": 7580.0, ""ps0"": 7500.0, ""ps"": 7500.0, ""hvl"": 7520.0}"
2026-07-22 09:32:15,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7550.0], [""lvlfade_cr0_ES"", 7580.0], [""lvlfade_ps0_ES"", 7500.0]]}"
2026-07-22 10:14:51,ENTRY,"{""rule"": ""lvlfade_cr_ES"", ""level"": 7550.0, ""es_est"": 7549.1}"
2026-07-22 10:21:16,EXIT,"{""rule"": ""lvlfade_cr_ES"", ""reason"": ""stop"", ""pts"": -8.0, ""es_est"": 7558.38}"
2026-07-22 16:00:01,engine done,"{""states"": {""lvlfade_cr_ES"": ""done"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-23 09:32:44,levels loaded,"{""cr"": 7550.0, ""cr0"": 7550.0, ""ps0"": 7500.0, ""ps"": 7500.0, ""hvl"": 7530.0}"
2026-07-23 09:32:44,dedup: CR and CR0 within 5pts — CR(major) only,"{""cr"": 7550.0, ""cr0"": 7550.0}"
2026-07-23 09:32:44,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7550.0], [""lvlfade_ps0_ES"", 7500.0]]}"
2026-07-23 16:00:03,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-24 09:32:18,levels loaded,"{""cr"": 7800.0, ""cr0"": 7550.0, ""ps0"": 7475.0, ""ps"": 7400.0, ""hvl"": 7500.0}"
2026-07-24 09:32:18,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7550.0], [""lvlfade_ps0_ES"", 7475.0]]}"
2026-07-24 11:34:05,ENTRY,"{""rule"": ""lvlfade_ps0_ES"", ""level"": 7475.0, ""es_est"": 7472.5}"
2026-07-24 11:36:45,EXIT,"{""rule"": ""lvlfade_ps0_ES"", ""reason"": ""target"", ""pts"": 10.0, ""es_est"": 7485.86}"
2026-07-24 16:00:01,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""done""}}"
2026-07-27 09:32:17,levels loaded,"{""cr"": 7800.0, ""cr0"": 7550.0, ""ps0"": 7330.0, ""ps"": 7200.0, ""hvl"": 7500.0}"
2026-07-27 09:32:17,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7550.0], [""lvlfade_ps0_ES"", 7330.0]]}"
2026-07-27 16:00:03,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-28 09:32:18,levels loaded,"{""cr"": 7800.0, ""cr0"": 7455.0, ""ps0"": 7400.0, ""ps"": 7400.0, ""hvl"": 7450.0}"
2026-07-28 09:32:18,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7455.0], [""lvlfade_ps0_ES"", 7400.0]]}"
2026-07-28 09:50:09,ENTRY,"{""rule"": ""lvlfade_cr0_ES"", ""level"": 7455.0, ""es_est"": 7455.88}"
2026-07-28 09:51:24,EXIT,"{""rule"": ""lvlfade_cr0_ES"", ""reason"": ""target"", ""pts"": 10.0, ""es_est"": 7444.29}"
2026-07-28 16:00:04,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""done"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-29 09:32:24,levels loaded,"{""cr"": 7800.0, ""cr0"": 7500.0, ""ps0"": 7400.0, ""ps"": 7350.0, ""hvl"": 7470.0}"
2026-07-29 09:32:24,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7500.0], [""lvlfade_ps0_ES"", 7400.0]]}"
2026-07-29 10:43:01,ENTRY,"{""rule"": ""lvlfade_ps0_ES"", ""level"": 7400.0, ""es_est"": 7400.77}"
2026-07-29 10:47:26,EXIT,"{""rule"": ""lvlfade_ps0_ES"", ""reason"": ""target"", ""pts"": 10.0, ""es_est"": 7410.0}"
2026-07-29 16:00:02,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""done""}}"
2026-07-30 09:32:19,levels loaded,"{""cr"": 7800.0, ""cr0"": 7500.0, ""ps0"": 7300.0, ""ps"": 7200.0, ""hvl"": 7450.0}"
2026-07-30 09:32:19,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7800.0], [""lvlfade_cr0_ES"", 7500.0], [""lvlfade_ps0_ES"", 7300.0]]}"
2026-07-30 16:00:04,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-07-31 09:32:16,levels loaded,"{""cr"": 7550.0, ""cr0"": 7550.0, ""ps0"": 7400.0, ""ps"": 7350.0, ""hvl"": 7450.0}"
2026-07-31 09:32:16,dedup: CR and CR0 within 5pts — CR(major) only,"{""cr"": 7550.0, ""cr0"": 7550.0}"
2026-07-31 09:32:16,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7550.0], [""lvlfade_ps0_ES"", 7400.0]]}"
2026-07-31 16:00:01,engine done,"{""states"": {""lvlfade_cr_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
2026-08-03 09:32:24,levels loaded,"{""cr"": 7600.0, ""cr0"": 7475.0, ""ps0"": 7450.0, ""ps"": 7200.0, ""hvl"": 7450.0}"
2026-08-03 09:32:24,engine armed,"{""rules"": [[""lvlfade_cr_ES"", 7600.0], [""lvlfade_cr0_ES"", 7475.0], [""lvlfade_ps0_ES"", 7450.0]]}"
2026-08-03 10:40:20,ENTRY,"{""rule"": ""lvlfade_cr_ES"", ""level"": 7600.0, ""es_est"": 7599.24}"
2026-08-03 11:40:56,EXIT,"{""rule"": ""lvlfade_cr_ES"", ""reason"": ""stop"", ""pts"": -8.0, ""es_est"": 7608.64}"
2026-08-03 16:00:04,engine done,"{""states"": {""lvlfade_cr_ES"": ""done"", ""lvlfade_cr0_ES"": ""armed"", ""lvlfade_ps0_ES"": ""armed""}}"
