time,year,rev,side,R,tick_fav,confirm_bar,breadth_agree,breadth_slope,trin_exhaust,vix_gate,score
2021-07-30 13:30:00,2021,OB,-1,-1.0,False,False,True,True,False,True,1
2021-07-30 14:45:00,2021,BO,-1,-1.0,False,False,True,True,False,True,1
2021-07-30 15:05:00,2021,OB,1,1.5238095238095237,False,False,False,False,False,False,0
2021-08-02 08:35:00,2021,IB,1,-0.273972602739726,False,True,True,False,False,False,2
2021-08-02 11:50:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-08-02 12:30:00,2021,IB,-1,2.0,False,False,False,True,False,True,0
2021-08-02 13:15:00,2021,BO,1,-1.0,False,False,True,True,False,False,1
2021-08-02 13:35:00,2021,Trap,1,-1.0,False,False,True,True,False,False,1
2021-08-02 14:15:00,2021,BO,-1,2.0,False,False,False,True,False,True,0
2021-08-02 14:45:00,2021,OB,-1,-0.8333333333333334,False,False,True,True,False,True,1
2021-08-03 08:40:00,2021,Trap,-1,2.0,False,False,True,False,False,True,1
2021-08-03 09:20:00,2021,Trap,1,2.0,False,False,False,True,False,False,0
2021-08-03 09:35:00,2021,IB,-1,-1.0,False,False,True,False,False,True,1
2021-08-03 11:35:00,2021,Trap,1,2.0,False,False,True,False,False,False,1
2021-08-03 12:00:00,2021,Trap,1,2.0,False,False,True,True,False,False,1
2021-08-03 12:25:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-08-03 14:00:00,2021,IB,1,2.0,False,False,True,True,False,False,1
2021-08-03 14:45:00,2021,BO,-1,-1.0,False,False,False,True,False,True,0
2021-08-04 08:50:00,2021,Trap,1,-1.0,False,False,False,False,False,False,0
2021-08-04 09:05:00,2021,IB,1,-1.0,False,False,False,True,False,False,0
2021-08-04 09:55:00,2021,IB,-1,-0.045454545454545456,False,False,True,True,False,True,1
2021-08-04 10:10:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-08-04 11:30:00,2021,BO,-1,-1.0,False,False,True,True,False,True,1
2021-08-04 12:55:00,2021,OB,1,-1.0,False,False,False,True,False,False,0
2021-08-04 13:40:00,2021,OB,1,-1.0,False,False,False,False,False,False,0
2021-08-04 14:15:00,2021,OB,-1,-1.9333333333333333,False,False,True,True,False,True,1
2021-08-05 09:00:00,2021,IB,1,0.15789473684210525,False,False,True,False,False,False,1
2021-08-05 12:20:00,2021,BO,1,2.0,False,False,True,False,False,False,1
2021-08-05 13:10:00,2021,Trap,-1,-1.0,False,False,False,False,False,True,0
2021-08-05 13:50:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-08-05 14:15:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-08-06 08:55:00,2021,BO,-1,-0.17857142857142858,False,False,False,False,False,True,0
2021-08-06 10:25:00,2021,Trap,1,0.45,False,False,True,True,False,False,1
2021-08-06 11:55:00,2021,BO,1,-1.0,False,False,True,True,False,False,1
2021-08-06 12:45:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-08-06 13:15:00,2021,OB,-1,2.0,False,False,False,True,False,True,0
2021-08-06 13:50:00,2021,BO,-1,-1.0,False,False,False,True,False,True,0
2021-08-06 14:15:00,2021,OB,1,-0.8571428571428571,False,False,True,False,False,False,1
2021-08-06 14:35:00,2021,OB,1,-1.0,False,False,True,True,False,False,1
2021-08-06 14:45:00,2021,Trap,-1,0.47368421052631576,False,False,False,True,False,True,0
2021-08-09 08:40:00,2021,OB,-1,-0.39622641509433965,False,False,True,False,False,True,1
2021-08-09 08:50:00,2021,IB,1,0.16666666666666666,False,False,False,False,False,False,0
2021-08-09 13:45:00,2021,Trap,-1,0.6363636363636364,False,False,False,True,False,True,0
2021-08-09 14:25:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-08-09 14:35:00,2021,Trap,1,-1.0,False,False,False,False,False,False,0
2021-08-09 14:50:00,2021,BO,-1,-0.38095238095238093,False,False,True,True,False,True,1
2021-08-09 15:05:00,2021,BO,1,-0.125,False,False,False,False,False,False,0
2021-08-10 08:45:00,2021,IB,1,-1.0,False,False,True,False,False,False,1
2021-08-10 09:00:00,2021,IB,1,-1.0,False,False,True,False,False,False,1
2021-08-10 09:15:00,2021,OB,1,-1.0,False,False,True,True,False,False,1
2021-08-10 09:35:00,2021,OB,-1,-0.40625,False,False,False,False,False,True,0
2021-08-10 10:25:00,2021,Trap,1,0.46153846153846156,False,False,True,True,False,False,1
2021-08-10 11:20:00,2021,Trap,1,-1.0,False,False,True,True,False,False,1
2021-08-10 11:35:00,2021,OB,-1,0.1875,False,False,False,True,False,True,0
2021-08-10 12:35:00,2021,Trap,1,-1.0,False,False,True,False,False,False,1
2021-08-11 09:00:00,2021,IB,-1,2.0,False,False,False,False,False,True,0
2021-08-11 09:35:00,2021,IB,-1,-1.0,False,False,False,True,False,True,0
2021-08-11 09:45:00,2021,Trap,1,-1.0,False,False,True,False,False,False,1
2021-08-11 12:05:00,2021,BO,1,-1.0,False,False,True,True,False,False,1
2021-08-11 12:40:00,2021,OB,-1,-1.0,False,False,False,False,False,True,0
2021-08-11 13:10:00,2021,Trap,1,-1.0,False,False,True,True,False,False,1
2021-08-11 13:20:00,2021,IB,-1,-1.0,False,False,False,False,False,True,0
2021-08-11 14:45:00,2021,BO,-1,-1.0,False,False,False,True,False,True,0
2021-08-12 09:20:00,2021,BO,1,2.0,False,False,False,False,False,False,0
2021-08-12 11:15:00,2021,BO,1,0.4117647058823529,False,False,False,True,False,False,0
2021-08-12 13:35:00,2021,Trap,1,2.0,False,False,False,True,False,False,0
2021-08-12 13:55:00,2021,IB,1,2.2,False,False,False,True,False,False,0
2021-08-12 14:35:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-08-13 09:20:00,2021,OB,1,-0.3684210526315789,False,False,False,False,False,False,0
2021-08-13 09:30:00,2021,Trap,-1,-0.1875,False,False,True,False,False,True,1
2021-08-13 12:45:00,2021,OB,1,-1.0,False,False,False,False,False,False,0
2021-08-13 13:25:00,2021,OB,-1,2.0,False,False,True,True,False,True,1
2021-08-13 13:40:00,2021,BO,-1,-1.0,False,False,True,True,False,True,1
2021-08-13 14:30:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-08-16 08:50:00,2021,OB,-1,-1.0,False,False,True,False,False,True,1
2021-08-16 09:05:00,2021,Trap,1,-1.0,False,False,False,True,True,False,1
2021-08-16 09:20:00,2021,Trap,-1,-1.0,False,False,True,False,False,True,1
2021-08-16 10:35:00,2021,IB,1,2.0,False,False,False,True,True,False,1
2021-08-16 11:35:00,2021,IB,-1,-1.0,False,False,True,True,False,True,1
2021-08-16 13:50:00,2021,OB,1,2.0,False,False,False,False,False,False,0
2021-08-16 14:00:00,2021,Trap,-1,-1.0,False,False,True,False,False,True,1
2021-08-16 15:00:00,2021,BO,1,-4.115384615384615,False,False,False,False,False,False,0
2021-08-17 08:40:00,2021,Trap,1,-1.0,False,False,False,False,False,False,0
2021-08-17 08:55:00,2021,IB,-1,-1.0,False,False,True,False,False,True,1
2021-08-17 09:30:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-08-17 10:30:00,2021,Trap,-1,2.0,False,False,True,True,False,True,1
2021-08-17 11:40:00,2021,BO,-1,0.1956521739130435,False,False,True,True,False,True,1
2021-08-17 12:10:00,2021,OB,1,2.0,False,False,False,False,False,False,0
2021-08-17 13:35:00,2021,BO,-1,-1.0,False,False,True,True,False,True,1
2021-08-17 13:50:00,2021,OB,1,0.17647058823529413,False,False,False,False,False,False,0
2021-08-18 09:45:00,2021,BO,-1,0.9285714285714286,False,False,False,False,False,True,0
2021-08-18 10:00:00,2021,Trap,-1,0.6956521739130435,False,False,False,False,False,True,0
2021-08-18 11:30:00,2021,BO,-1,-1.0,False,False,False,True,False,True,0
2021-08-18 13:15:00,2021,Trap,-1,2.0,False,False,False,True,False,True,0
2021-08-18 13:25:00,2021,Trap,1,-1.0,False,False,True,False,False,False,1
2021-08-18 14:30:00,2021,BO,-1,2.0,False,False,True,True,False,True,1
2021-08-18 14:45:00,2021,Trap,1,-1.0,False,False,False,False,False,False,0
2021-08-19 09:20:00,2021,OB,1,-1.0,False,False,False,True,False,False,0
2021-08-19 09:40:00,2021,BO,-1,-1.0,False,False,True,True,False,True,1
2021-08-19 10:00:00,2021,OB,1,0.7,False,False,False,False,False,False,0
2021-08-19 11:55:00,2021,Trap,1,-1.0,False,False,False,True,False,False,0
2021-08-19 12:10:00,2021,OB,-1,2.0,False,False,True,True,False,True,1
2021-08-19 13:00:00,2021,Trap,-1,-1.0,False,False,True,True,False,True,1
2021-08-20 08:40:00,2021,OB,1,1.3478260869565217,False,False,True,False,False,False,1
2021-08-20 11:05:00,2021,Trap,1,0.16216216216216217,False,False,True,True,False,False,1
2021-08-20 13:50:00,2021,Trap,-1,-1.0,False,False,False,True,False,True,0
2021-08-20 14:15:00,2021,Trap,1,5.444444444444445,False,False,True,True,False,False,1
