Error 322, reqId 4: Error processing request.-'bM' : cause - Index 0 out of bounds for length 0, contract: Index(conId=416904, symbol='SPX', exchange='CBOE', currency='USD', localSymbol='SPX')
Error 10090, reqId 89: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=873619119, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7490.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07490000', tradingClass='SPXW')
Error 10090, reqId 90: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896864, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7495.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07495000', tradingClass='SPXW')
Error 10090, reqId 91: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896999, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7495.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07495000', tradingClass='SPXW')
Error 10090, reqId 92: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896860, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7485.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07485000', tradingClass='SPXW')
Error 10090, reqId 93: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896990, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7485.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07485000', tradingClass='SPXW')
Error 10090, reqId 100: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=873618499, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7470.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07470000', tradingClass='SPXW')
Error 10090, reqId 101: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=873619085, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7470.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07470000', tradingClass='SPXW')
Error 10090, reqId 102: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896857, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7465.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07465000', tradingClass='SPXW')
Error 10090, reqId 103: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896987, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7465.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07465000', tradingClass='SPXW')
Error 10090, reqId 104: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=873618505, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7475.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07475000', tradingClass='SPXW')
Error 10090, reqId 105: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=873619097, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7475.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07475000', tradingClass='SPXW')
Error 10090, reqId 112: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=873618514, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7490.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07490000', tradingClass='SPXW')
Error 10090, reqId 113: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=873619119, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7490.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07490000', tradingClass='SPXW')
Error 10090, reqId 114: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896864, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7495.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07495000', tradingClass='SPXW')
Error 10090, reqId 115: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896999, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7495.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07495000', tradingClass='SPXW')
Error 10090, reqId 116: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896860, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7485.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717C07485000', tradingClass='SPXW')
Error 10090, reqId 117: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=880896990, symbol='SPX', lastTradeDateOrContractMonth='20260717', strike=7485.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260717P07485000', tradingClass='SPXW')
