group,dir,stop_abr,tgt,n,pf,net,per_yr
2E_BULL,L,1.0,2A,469,0.93,-6574.910714285688,-1195.438311688307
2E_BULL,L,1.0,3A,469,1.02,1846.0714285714675,335.64935064935776
2E_BULL,L,1.0,4A,469,1.12,11908.125,2165.1136363636365
2E_BULL,L,1.0,6A,469,1.2,19484.6875,3542.6704545454545
2E_BULL,L,1.0,TRAIL,469,0.56,-30782.5,-5596.818181818182
2E_BULL,L,1.5,EOD,469,1.24,29822.96875,5422.357954545455
2E_BULL,L,1.5,1A,469,1.0,-140.42410714284415,-25.53165584415348
2E_BULL,L,1.5,2A,469,0.97,-2999.9107142856883,-545.438311688307
2E_BULL,L,1.5,3A,469,1.08,9496.852678571468,1726.700487012994
2E_BULL,L,1.5,4A,469,1.17,21311.25,3874.7727272727275
2E_BULL,L,1.5,6A,469,1.27,32924.53125,5986.278409090909
2E_BULL,L,1.5,TRAIL,469,0.75,-22932.5,-4169.545454545455
2E_BULL,L,2.0,EOD,469,1.26,36648.75,6663.409090909091
2E_BULL,L,2.0,1A,469,1.1,7925.982142857156,1441.0876623376646
2E_BULL,L,2.0,2A,469,1.0,-453.0357142856883,-82.37012987012514
2E_BULL,L,2.0,3A,469,1.08,10699.196428571468,1945.3084415584487
2E_BULL,L,2.0,4A,469,1.17,23736.25,4315.681818181818
2E_BULL,L,2.0,6A,469,1.28,39908.125,7256.022727272727
2E_BULL,L,2.0,TRAIL,469,0.96,-3995.0,-726.3636363636364
2E_BULL,L,3.0,EOD,469,1.27,44223.75,8040.681818181818
2E_BULL,L,3.0,1A,469,1.12,10175.982142857156,1850.1785714285738
2E_BULL,L,3.0,2A,469,1.02,2300.0892857143117,418.1980519480567
2E_BULL,L,3.0,3A,469,1.1,16192.946428571468,2944.172077922085
2E_BULL,L,3.0,4A,469,1.17,28067.5,5103.181818181818
2E_BULL,L,3.0,6A,469,1.29,47837.8125,8697.78409090909
2E_BULL,L,3.0,TRAIL,469,1.04,5767.5,1048.6363636363637
2E_BULL,S,0.5,EOD,390,0.56,-28248.102678571424,-5136.018668831168
2E_BULL,S,0.5,1A,390,0.8,-9539.508928571422,-1734.4561688311676
2E_BULL,S,0.5,2A,390,0.76,-14102.008928571422,-2564.0016233766223
2E_BULL,S,0.5,3A,390,0.84,-9782.477678571422,-1778.632305194804
2E_BULL,S,0.5,4A,390,0.79,-13491.071428571422,-2452.922077922077
2E_BULL,S,0.5,6A,390,0.67,-20833.25892857142,-3787.8652597402584
2E_BULL,S,0.5,TRAIL,390,0.39,-30400.0,-5527.272727272727
2E_BULL,S,1.0,EOD,390,0.9,-10232.14285714289,-1860.3896103896163
2E_BULL,S,1.0,1A,390,0.89,-7090.6250000000455,-1289.2045454545537
2E_BULL,S,1.0,2A,390,0.94,-5325.89285714289,-968.3441558441617
2E_BULL,S,1.0,3A,390,1.0,-399.3303571428896,-72.60551948052539
2E_BULL,S,1.0,4A,390,0.92,-7708.70535714289,-1401.582792207798
2E_BULL,S,1.0,6A,390,0.9,-10446.20535714289,-1899.3100649350708
2E_BULL,S,1.0,TRAIL,390,0.55,-30787.5,-5597.727272727273
2E_BULL,S,1.5,EOD,390,0.86,-19879.46428571431,-3614.4480519480567
2E_BULL,S,1.5,1A,390,0.91,-6858.035714285734,-1246.915584415588
2E_BULL,S,1.5,2A,390,0.93,-7852.120535714312,-1427.658279220784
2E_BULL,S,1.5,3A,390,0.9,-13102.901785714312,-2382.345779220784
2E_BULL,S,1.5,4A,390,0.86,-19129.46428571431,-3478.08441558442
2E_BULL,S,1.5,6A,390,0.85,-21113.05803571431,-3838.737824675329
2E_BULL,S,1.5,TRAIL,390,0.76,-21637.5,-3934.090909090909
2E_BULL,S,2.0,EOD,390,0.81,-31226.78571428569,-5677.597402597398
2E_BULL,S,2.0,1A,390,0.84,-14402.008928571422,-2618.547077922077
2E_BULL,S,2.0,2A,390,0.83,-23614.28571428569,-4293.506493506488
2E_BULL,S,2.0,3A,390,0.82,-27976.78571428569,-5086.688311688307
2E_BULL,S,2.0,4A,390,0.8,-32161.16071428569,-5847.483766233761
2E_BULL,S,2.0,6A,390,0.8,-32973.66071428569,-5995.211038961034
2E_BULL,S,2.0,TRAIL,390,0.85,-16137.5,-2934.090909090909
2E_BULL,S,3.0,EOD,390,0.77,-45384.15178571432,-8251.663961038967
2E_BULL,S,3.0,1A,390,0.76,-25829.24107142858,-4696.225649350651
2E_BULL,S,3.0,2A,390,0.75,-42013.83928571431,-7638.879870129875
2E_BULL,S,3.0,3A,390,0.76,-43045.08928571431,-7826.379870129875
2E_BULL,S,3.0,4A,390,0.76,-45173.21428571432,-8213.311688311695
2E_BULL,S,3.0,6A,390,0.75,-47977.90178571431,-8723.254870129875
2E_BULL,S,3.0,TRAIL,390,0.76,-38862.5,-7065.909090909091
2E_BEAR,L,0.5,EOD,349,0.61,-25141.31696428569,-4571.148538961034
2E_BEAR,L,0.5,1A,349,0.6,-20975.69196428569,-3813.762175324671
2E_BEAR,L,0.5,2A,349,0.68,-18877.25446428569,-3432.22808441558
2E_BEAR,L,0.5,3A,349,0.68,-20247.56696428569,-3681.375811688307
2E_BEAR,L,0.5,4A,349,0.65,-22570.22321428569,-4103.676948051943
2E_BEAR,L,0.5,6A,349,0.6,-25728.81696428569,-4677.966720779216
2E_BEAR,L,0.5,TRAIL,349,0.33,-30795.0,-5599.090909090909
2E_BEAR,L,1.0,EOD,349,0.92,-7934.955357142844,-1442.7191558441534
2E_BEAR,L,1.0,1A,349,0.85,-10207.276785714266,-1855.868506493503
2E_BEAR,L,1.0,2A,349,0.9,-9153.035714285688,-1664.188311688307
2E_BEAR,L,1.0,3A,349,0.86,-13330.04464285711,-2423.6444805194747
2E_BEAR,L,1.0,4A,349,0.89,-11228.928571428578,-2041.623376623378
2E_BEAR,L,1.0,6A,349,0.89,-11022.455357142844,-2004.08279220779
2E_BEAR,L,1.0,TRAIL,349,0.47,-37257.5,-6774.090909090909
2E_BEAR,L,1.5,EOD,349,1.0,-486.1830357142662,-88.39691558441204
2E_BEAR,L,1.5,1A,349,0.89,-8675.691964285688,-1577.3985389610343
2E_BEAR,L,1.5,2A,349,0.95,-5086.29464285711,-924.7808441558383
2E_BEAR,L,1.5,3A,349,0.9,-13115.647321428532,-2384.6631493506425
2E_BEAR,L,1.5,4A,349,0.92,-10866.875,-1975.7954545454545
2E_BEAR,L,1.5,6A,349,0.92,-10089.308035714266,-1834.4196428571393
2E_BEAR,L,1.5,TRAIL,349,0.71,-26945.0,-4899.090909090909
2E_BEAR,L,2.0,EOD,349,0.97,-4296.785714285734,-781.2337662337698
2E_BEAR,L,2.0,1A,349,0.91,-8161.964285714312,-1483.9935064935112
2E_BEAR,L,2.0,2A,349,0.89,-13675.80357142858,-2486.5097402597416
2E_BEAR,L,2.0,3A,349,0.83,-25048.125,-4554.204545454545
2E_BEAR,L,2.0,4A,349,0.85,-22179.821428571468,-4032.6948051948125
2E_BEAR,L,2.0,6A,349,0.88,-18712.410714285732,-3402.2564935064966
2E_BEAR,L,2.0,TRAIL,349,0.77,-26620.0,-4840.0
2E_BEAR,L,3.0,EOD,349,0.86,-27141.42857142858,-4934.805194805196
2E_BEAR,L,3.0,1A,349,0.79,-23217.76785714289,-4221.412337662344
2E_BEAR,L,3.0,2A,349,0.78,-36461.07142857142,-6629.285714285713
2E_BEAR,L,3.0,3A,349,0.78,-40595.89285714284,-7381.071428571426
2E_BEAR,L,3.0,4A,349,0.78,-41002.58928571431,-7455.016233766239
2E_BEAR,L,3.0,6A,349,0.8,-39228.92857142858,-7132.532467532469
2E_BEAR,L,3.0,TRAIL,349,0.75,-40420.0,-7349.090909090909
2E_BEAR,S,0.5,EOD,489,0.8,-16925.46875,-3077.3579545454545
2E_BEAR,S,0.5,1A,489,0.84,-9975.803571428532,-1813.7824675324605
2E_BEAR,S,0.5,2A,489,1.03,2111.361607142844,383.8839285714262
2E_BEAR,S,0.5,3A,489,0.98,-1895.0,-344.54545454545456
2E_BEAR,S,0.5,4A,489,0.93,-5785.625,-1051.9318181818182
2E_BEAR,S,0.5,6A,489,0.84,-13237.96875,-2406.903409090909
2E_BEAR,S,0.5,TRAIL,489,0.45,-34432.5,-6260.454545454545
2E_BEAR,S,1.0,EOD,489,0.86,-19466.65178571431,-3539.3912337662387
2E_BEAR,S,1.0,1A,489,0.82,-16324.687499999955,-2968.124999999992
2E_BEAR,S,1.0,2A,489,0.93,-8031.383928571468,-1460.2516233766305
2E_BEAR,S,1.0,3A,489,0.88,-15266.42857142858,-2775.714285714287
2E_BEAR,S,1.0,4A,489,0.93,-9442.321428571468,-1716.7857142857213
2E_BEAR,S,1.0,6A,489,0.86,-19902.58928571431,-3618.652597402602
2E_BEAR,S,1.0,TRAIL,489,0.63,-32770.0,-5958.181818181818
2E_BEAR,S,1.5,EOD,489,1.0,130.0,23.636363636363637
2E_BEAR,S,1.5,1A,489,0.91,-9739.531249999955,-1770.8238636363553
2E_BEAR,S,1.5,2A,489,0.98,-2605.7142857143117,-473.7662337662385
2E_BEAR,S,1.5,3A,489,0.96,-7061.07142857142,-1283.8311688311674
2E_BEAR,S,1.5,4A,489,1.01,2488.258928571422,452.4107142857131
2E_BEAR,S,1.5,6A,489,1.0,11.25,2.0454545454545454
2E_BEAR,S,1.5,TRAIL,489,0.72,-33170.0,-6030.909090909091
2E_BEAR,S,2.0,EOD,489,0.94,-11529.375,-2096.25
2E_BEAR,S,2.0,1A,489,0.86,-16246.562499999956,-2953.920454545447
2E_BEAR,S,2.0,2A,489,0.96,-7086.964285714312,-1288.5389610389657
2E_BEAR,S,2.0,3A,489,0.91,-16909.50892857142,-3074.4561688311674
2E_BEAR,S,2.0,4A,489,0.95,-10107.05357142858,-1837.6461038961054
