side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,null_N,null_mean_bp,edge_vs_null_bp
short,20,36,4135,-140.6,-122.2,25.0,-2.3,-63.6,real2010,daily,kelt_pull,1100.0,-21.2,-119.4
long,1,244,4154,1.3,4.3,55.7,0.42,-2.6,real2010,daily,donch100,4899.0,1.7,-0.4
long,3,244,4152,1.8,11.2,58.2,0.36,-9.8,real2010,daily,donch100,4896.0,7.6,-5.8
long,5,244,4150,6.9,13.9,57.4,1.07,-12.4,real2010,daily,donch100,4895.0,10.6,-3.7
long,10,244,4145,23.9,43.4,66.4,2.6,-14.5,real2010,daily,donch100,4887.0,26.7,-2.8
long,20,244,4135,38.8,91.5,66.4,2.21,-38.2,real2010,daily,donch100,4877.0,56.4,-17.6
short,1,30,4154,-51.2,-18.3,36.7,-1.28,-47.3,real2010,daily,donch100,3045.0,-0.9,-50.3
short,3,30,4152,-42.9,-33.5,50.0,-0.6,-31.2,real2010,daily,donch100,3044.0,-5.0,-37.9
short,5,30,4150,-67.8,-93.8,36.7,-0.92,-48.5,real2010,daily,donch100,3044.0,-8.1,-59.7
short,10,30,4145,-160.0,-266.3,33.3,-1.65,-121.7,real2010,daily,donch100,3041.0,-15.6,-144.4
short,20,30,4135,-290.9,-297.0,33.3,-2.58,-214.0,real2010,daily,donch100,3035.0,-19.8,-271.1
long,1,209,4154,1.6,3.7,56.0,0.49,-2.3,real2010,daily,donch260,3420.0,4.1,-2.5
long,3,209,4152,-3.3,9.5,56.9,-0.59,-15.0,real2010,daily,donch260,3418.0,8.9,-12.2
long,5,209,4150,-0.5,4.8,54.5,-0.06,-19.8,real2010,daily,donch260,3417.0,11.4,-11.9
long,10,209,4145,12.8,33.4,62.7,1.24,-25.5,real2010,daily,donch260,3410.0,26.5,-13.7
long,20,209,4135,20.8,78.2,64.6,1.06,-56.2,real2010,daily,donch260,3402.0,56.8,-36.0
short,1,14,4154,-147.8,-37.7,28.6,-2.41,-143.9,real2010,daily,donch260,1558.0,1.0,-148.8
short,3,14,4152,-126.6,-27.8,50.0,-0.93,-114.9,real2010,daily,donch260,1557.0,-4.3,-122.3
short,5,14,4150,-112.8,-113.8,28.6,-0.74,-93.5,real2010,daily,donch260,1557.0,-8.3,-104.5
short,10,14,4145,-273.9,-318.0,28.6,-1.59,-235.5,real2010,daily,donch260,1555.0,-13.1,-260.8
short,20,14,4135,-529.8,-338.5,14.3,-3.32,-452.8,real2010,daily,donch260,1549.0,-15.6,-514.2
long,1,2778,96099,-0.1,0.0,46.7,-0.28,-0.2,real2010,60m,compress_bo,22279.0,0.1,-0.2
long,3,2778,96097,0.3,0.8,50.9,0.74,-0.2,real2010,60m,compress_bo,22279.0,0.2,0.1
long,5,2778,96095,0.8,1.4,52.8,1.52,-0.0,real2010,60m,compress_bo,22279.0,0.4,0.4
long,10,2778,96090,2.9,4.1,54.3,2.87,1.2,real2010,60m,compress_bo,22278.0,1.1,1.8
long,20,2778,96080,3.8,6.8,54.7,2.8,0.4,real2010,60m,compress_bo,22274.0,2.3,1.5
short,1,2650,96099,-0.0,0.0,45.5,-0.21,0.1,real2010,60m,compress_bo,19982.0,-0.1,0.1
short,3,2650,96097,-0.5,-1.1,43.9,-1.22,0.0,real2010,60m,compress_bo,19982.0,-0.3,-0.2
short,5,2650,96095,-0.6,-2.0,43.8,-0.98,0.3,real2010,60m,compress_bo,19982.0,-0.5,-0.1
short,10,2650,96090,-0.2,-4.1,45.1,-0.19,1.5,real2010,60m,compress_bo,19982.0,-1.2,1.0
short,20,2650,96080,0.0,-4.9,45.5,0.02,3.4,real2010,60m,compress_bo,19981.0,-2.4,2.4
long,1,1178,96099,1.0,1.0,52.8,1.73,0.8,real2010,60m,kelt_pull,36910.0,0.2,0.8
long,3,1178,96097,1.1,2.8,54.7,1.16,0.6,real2010,60m,kelt_pull,36910.0,0.3,0.8
long,5,1178,96095,0.4,2.3,53.7,0.38,-0.4,real2010,60m,kelt_pull,36910.0,0.5,-0.1
long,10,1178,96090,1.3,2.8,54.2,0.88,-0.4,real2010,60m,kelt_pull,36909.0,1.3,0.0
long,20,1178,96080,1.8,4.6,54.2,1.02,-1.5,real2010,60m,kelt_pull,36904.0,1.9,-0.1
short,1,1131,96099,-0.1,-0.8,45.6,-0.2,0.0,real2010,60m,kelt_pull,35042.0,0.0,-0.1
short,3,1131,96097,0.5,-1.0,47.3,0.41,1.0,real2010,60m,kelt_pull,35042.0,-0.0,0.5
short,5,1131,96095,-0.6,-1.3,47.1,-0.39,0.3,real2010,60m,kelt_pull,35042.0,-0.3,-0.3
short,10,1131,96090,-1.8,-2.8,46.6,-0.93,-0.1,real2010,60m,kelt_pull,35042.0,-0.6,-1.2
short,20,1131,96080,-4.6,-6.0,46.2,-1.91,-1.3,real2010,60m,kelt_pull,35038.0,-1.5,-3.1
