Date,book,dir,fill_bar,net
2022-12-05,WT-S,S,34,1032.5
2022-12-05,WT-S,S,51,357.5
2022-12-06,WT-S,S,22,707.5
2022-12-06,WT-S,S,29,807.5
2022-12-06,WT-S,S,38,270.0
2022-12-07,FADE-L,L,11,-867.5
2022-12-08,FADE-S,S,34,-867.5
2022-12-09,WT-S,S,10,-917.5
2022-12-09,WT-L,L,30,-917.5
2022-12-09,WT-L,L,38,-917.5
2022-12-09,FADE-S,S,54,1132.5
2022-12-12,FADE-S,S,42,-967.5
2022-12-12,WT-S,S,55,-967.5
2022-12-14,FADE-L,L,14,-1080.0
2022-12-19,WT-S,S,23,945.0
2022-12-19,WT-S,S,34,970.0
2022-12-23,FADE-L,L,65,145.0
2022-12-27,FADE-L,L,14,-1042.5
2022-12-28,WT-S,S,15,1795.0
2022-12-28,FADE-S,S,55,757.5
2023-01-03,FADE-S,S,45,-842.5
2023-01-05,FADE-S,S,16,-892.5
2023-01-11,WT-L,L,41,1132.5
2023-01-11,FADE-S,S,52,-905.0
2023-01-12,WT-S,S,28,-917.5
2023-01-17,WT-L,L,11,-855.0
2023-01-18,WT-S,S,58,982.5
2023-01-19,WT-L,L,54,-480.0
2023-01-20,WT-L,L,17,2482.5
2023-01-20,WT-L,L,32,1895.0
2023-01-24,FADE-S,S,13,-817.5
2023-01-24,FADE-S,S,26,-817.5
2023-01-31,WT-L,L,29,1295.0
2023-01-31,WT-L,L,46,1057.5
2023-02-07,WT-L,L,31,-892.5
2023-02-07,FADE-L,L,58,932.5
2023-02-08,FADE-S,S,26,-980.0
2023-02-08,FADE-S,S,54,182.5
2023-02-15,FADE-L,L,9,1545.0
2023-02-15,FADE-L,L,26,932.5
2023-02-15,WT-L,L,63,445.0
2023-02-17,FADE-L,L,13,-867.5
2023-02-17,WT-S,S,52,-867.5
2023-02-22,FADE-S,S,54,745.0
2023-02-28,FADE-S,S,15,-692.5
2023-02-28,FADE-L,L,51,-692.5
2023-03-01,WT-S,S,56,-105.0
2023-03-02,WT-L,L,26,2032.5
2023-03-02,FADE-S,S,45,-617.5
2023-03-03,WT-L,L,15,1632.5
2023-03-03,WT-L,L,54,745.0
2023-03-06,WT-L,L,17,-680.0
2023-03-06,WT-L,L,21,-680.0
2023-03-06,FADE-S,S,43,507.5
2023-03-07,WT-S,S,21,-717.5
2023-03-07,FADE-S,S,41,1120.0
2023-03-08,FADE-S,S,42,-742.5
2023-03-10,FADE-S,S,58,-805.0
2023-03-16,FADE-L,L,11,4357.5
2023-03-20,FADE-L,L,15,595.0
2023-03-20,WT-S,S,50,-192.5
2023-03-23,FADE-L,L,11,-1192.5
2023-03-24,FADE-L,L,11,-1155.0
2023-03-27,FADE-S,S,15,-242.5
2023-03-28,FADE-L,L,21,207.5
2023-03-28,WT-S,S,59,-1030.0
2023-03-31,FADE-L,L,11,1895.0
2023-03-31,FADE-S,S,65,-805.0
2023-04-04,FADE-S,S,14,695.0
