Date,book,cnt,adr_eod,swing
2021-09-17,2EL,3,-542.5,-55.0
2021-09-17,2EL,3,-542.5,-542.5
2021-09-17,2ES,1,370.0,-117.5
2021-09-17,2ES,2,332.5,-155.0
2021-09-17,2ES,3,270.0,-242.5
2021-09-17,2ES,3,382.5,-105.0
2021-09-27,2EL,1,-380.0,-130.0
2021-09-27,2EL,1,-792.5,-380.0
2021-09-27,2EL,2,-367.5,-130.0
2021-09-27,2EL,3,-417.5,-305.0
2021-09-27,2EL,3,-242.5,-330.0
2021-09-27,2ES,1,-192.5,-680.0
2021-09-27,2EL,1,-480.0,-192.5
2021-09-30,2EL,3,-742.5,-742.5
2021-09-30,2EL,3,-742.5,-242.5
2021-09-30,2EL,3,-742.5,-517.5
2021-09-30,2EL,3,-742.5,-617.5
2021-10-01,2EL,3,1882.5,1882.5
2021-10-01,2EL,1,1320.0,-205.0
2021-10-01,2EL,2,1507.5,1507.5
2021-10-01,2EL,3,1282.5,-242.5
2021-10-01,2EL,3,1295.0,1295.0
2021-10-01,2EL,3,1332.5,1332.5
2021-10-01,2EL,3,1307.5,1307.5
2021-10-01,2EL,1,982.5,982.5
2021-10-01,2EL,1,270.0,-55.0
2021-10-01,2EL,1,-5.0,-117.5
2021-10-04,2ES,1,1282.5,1282.5
2021-10-04,2ES,1,-317.5,-105.0
2021-10-04,2ES,1,-442.5,-80.0
2021-10-04,2ES,1,-430.0,-67.5
2021-10-04,2ES,2,-867.5,-130.0
2021-10-04,2ES,3,-867.5,-305.0
2021-10-04,2ES,3,-705.0,-167.5
2021-10-04,2ES,3,-742.5,-280.0
2021-10-04,2ES,3,-742.5,-417.5
2021-10-04,2ES,3,-680.0,-467.5
2021-10-04,2ES,3,-517.5,-317.5
2021-10-04,2ES,3,-455.0,-155.0
2021-10-05,2EL,1,-867.5,-292.5
2021-10-05,2EL,1,-867.5,-142.5
2021-10-05,2EL,2,-867.5,-30.0
2021-10-05,2EL,3,-530.0,-30.0
2021-10-05,2EL,3,-542.5,-42.5
2021-10-05,2EL,3,-655.0,-55.0
2021-10-05,2EL,3,-705.0,-42.5
2021-10-05,2EL,3,-867.5,-67.5
2021-10-05,2EL,1,-867.5,-80.0
2021-10-12,2ES,3,-930.0,-467.5
2021-10-12,2ES,3,832.5,-342.5
2021-10-12,2ES,3,645.0,-417.5
2021-10-15,2EL,3,270.0,-167.5
2021-10-15,2EL,3,282.5,-155.0
2021-10-15,2EL,3,307.5,307.5
2021-10-15,2EL,1,-80.0,-205.0
2021-10-18,2EL,1,345.0,345.0
2021-10-18,2EL,3,207.5,-117.5
2021-10-18,2EL,1,270.0,-30.0
2021-10-18,2EL,1,257.5,-105.0
2021-10-18,2EL,2,282.5,282.5
2021-10-18,2EL,3,282.5,282.5
2021-10-19,2EL,2,1007.5,1007.5
2021-10-19,2EL,1,732.5,732.5
2021-10-19,2EL,2,782.5,782.5
2021-10-19,2EL,1,507.5,-55.0
2021-10-19,2EL,1,482.5,-92.5
2021-10-19,2EL,2,357.5,-42.5
2021-10-19,2EL,1,332.5,-67.5
2021-10-19,2EL,3,357.5,357.5
2021-10-20,2EL,1,-242.5,-342.5
2021-10-20,2EL,2,-42.5,-167.5
2021-10-20,2EL,3,-192.5,-67.5
2021-10-20,2EL,3,-205.0,-217.5
2021-10-20,2EL,3,-67.5,-80.0
2021-10-21,2EL,1,657.5,-230.0
2021-10-21,2EL,1,520.0,-367.5
2021-10-21,2EL,1,782.5,-30.0
2021-10-21,2EL,3,670.0,-92.5
2021-10-21,2EL,3,720.0,720.0
2021-10-21,2EL,1,607.5,607.5
2021-10-22,2ES,2,357.5,-130.0
2021-10-22,2ES,1,-617.5,-92.5
2021-10-22,2ES,1,-617.5,-267.5
2021-10-22,2ES,2,-617.5,-192.5
2021-10-22,2ES,3,-617.5,-617.5
2021-10-25,2EL,1,482.5,482.5
2021-10-25,2EL,1,120.0,-30.0
2021-10-25,2EL,1,82.5,-42.5
2021-10-25,2EL,1,-42.5,-167.5
2021-10-26,2ES,1,-517.5,-517.5
2021-10-27,2ES,1,-505.0,-242.5
2021-10-27,2ES,2,-505.0,-105.0
2021-10-27,2EL,1,-505.0,-80.0
2021-10-27,2EL,2,-505.0,-192.5
2021-10-27,2EL,1,-505.0,-255.0
2021-10-28,2EL,2,-480.0,-267.5
2021-10-28,2EL,3,332.5,-42.5
2021-10-28,2EL,3,282.5,282.5
2021-10-28,2EL,3,395.0,395.0
2021-10-28,2EL,3,32.5,-105.0
2021-10-28,2EL,3,45.0,45.0
2021-10-29,2ES,2,-467.5,-80.0
2021-10-29,2ES,3,-467.5,-392.5
2021-10-29,2ES,3,-467.5,-405.0
2021-10-29,2EL,1,732.5,-55.0
2021-10-29,2EL,1,682.5,-105.0
2021-10-29,2EL,1,-467.5,-167.5
2021-10-29,2EL,3,-467.5,-142.5
2021-10-29,2EL,3,-467.5,-305.0
2021-10-29,2EL,3,-467.5,-342.5
2021-11-01,2ES,3,-492.5,-492.5
2021-11-01,2ES,3,-492.5,-267.5
2021-11-01,2ES,3,-492.5,-292.5
2021-11-02,2ES,3,-142.5,-117.5
2021-11-02,2ES,3,-117.5,-242.5
2021-11-03,2EL,3,1732.5,-55.0
2021-11-04,2EL,1,-505.0,-305.0
2021-11-04,2EL,2,-505.0,-392.5
2021-11-04,2ES,1,-505.0,-255.0
2021-11-04,2ES,1,-505.0,-280.0
2021-11-04,2ES,2,-505.0,-292.5
2021-11-04,2ES,3,-505.0,-155.0
2021-11-05,2ES,3,857.5,857.5
2021-11-05,2ES,3,745.0,-92.5
2021-11-05,2ES,3,782.5,782.5
2021-11-05,2ES,1,-492.5,-492.5
2021-11-05,2ES,2,332.5,-30.0
2021-11-05,2ES,3,157.5,-205.0
2021-11-05,2ES,3,307.5,-55.0
2021-11-05,2ES,3,345.0,-92.5
2021-11-08,2EL,3,107.5,-105.0
2021-11-08,2EL,3,95.0,-42.5
2021-11-08,2EL,3,20.0,-67.5
2021-11-08,2EL,3,-217.5,-42.5
2021-11-09,2ES,2,-467.5,-342.5
2021-11-10,2ES,3,1282.5,1282.5
2021-11-10,2ES,3,857.5,857.5
2021-11-10,2ES,1,570.0,570.0
2021-11-10,2ES,1,295.0,295.0
2021-11-10,2ES,1,132.5,-42.5
2021-11-10,2ES,1,-5.0,-67.5
2021-11-10,2ES,1,-480.0,-180.0
2021-11-10,2ES,1,-480.0,-480.0
2021-11-11,2EL,1,-167.5,-205.0
2021-11-12,2ES,3,-492.5,-117.5
2021-11-12,2ES,3,-492.5,-180.0
2021-11-12,2ES,3,-380.0,-42.5
2021-11-15,2ES,1,20.0,-105.0
2021-11-15,2ES,2,7.5,-167.5
2021-11-15,2EL,1,-492.5,-192.5
2021-11-15,2ES,3,-380.0,-267.5
2021-11-16,2EL,1,-230.0,-92.5
2021-11-16,2EL,2,-205.0,-67.5
2021-11-16,2EL,2,-492.5,-80.0
2021-11-16,2EL,1,-492.5,-267.5
2021-11-17,2ES,1,-505.0,-80.0
2021-11-17,2ES,2,-505.0,-317.5
2021-11-17,2ES,3,120.0,-55.0
2021-11-30,2EL,1,-555.0,-555.0
2021-11-30,2ES,2,-555.0,-30.0
2021-11-30,2ES,1,-555.0,-555.0
2021-12-06,2EL,2,-642.5,-642.5
2021-12-06,2EL,3,357.5,357.5
2021-12-06,2EL,3,582.5,582.5
2021-12-06,2EL,3,482.5,482.5
2021-12-06,2EL,1,-642.5,-92.5
2021-12-06,2EL,2,-642.5,-142.5
2021-12-06,2EL,3,-642.5,-217.5
2021-12-06,2EL,1,-642.5,-217.5
2021-12-06,2EL,2,-642.5,-642.5
2021-12-06,2EL,3,-642.5,-642.5
2021-12-13,2ES,1,-705.0,-580.0
2021-12-13,2ES,2,357.5,-117.5
2021-12-13,2EL,1,-705.0,-30.0
2021-12-15,2EL,3,4370.0,-92.5
2021-12-15,2EL,3,4320.0,-442.5
2021-12-15,2ES,1,-755.0,-442.5
2021-12-15,2ES,2,-755.0,-467.5
2021-12-15,2EL,1,4270.0,-55.0
2021-12-15,2EL,1,4257.5,-67.5
2021-12-15,2EL,2,4245.0,-80.0
2021-12-15,2EL,1,-755.0,-755.0
2021-12-16,2ES,1,2370.0,2370.0
2021-12-16,2ES,2,2270.0,2270.0
2021-12-16,2ES,1,1745.0,1745.0
2021-12-16,2ES,2,1482.5,1482.5
2021-12-16,2ES,1,1395.0,1395.0
2021-12-16,2ES,1,970.0,-42.5
2021-12-16,2ES,1,1032.5,1032.5
2021-12-16,2ES,1,870.0,-67.5
2021-12-16,2ES,1,582.5,-430.0
2021-12-16,2ES,1,-180.0,-467.5
2021-12-16,2ES,1,-192.5,-480.0
2021-12-21,2EL,1,1432.5,1432.5
2021-12-21,2EL,3,1407.5,1407.5
2021-12-21,2EL,1,1132.5,1132.5
2021-12-21,2EL,1,382.5,-255.0
2021-12-22,2ES,3,-942.5,-430.0
2021-12-27,2EL,1,1995.0,1995.0
2021-12-27,2EL,1,1195.0,1195.0
2021-12-27,2EL,1,1182.5,1182.5
2021-12-27,2EL,1,1020.0,1020.0
2021-12-27,2EL,1,1132.5,1132.5
2021-12-27,2EL,2,1045.0,1045.0
2021-12-27,2EL,1,457.5,-167.5
2021-12-29,2ES,1,-917.5,-317.5
2021-12-29,2ES,1,-917.5,-42.5
2021-12-29,2ES,2,-17.5,-80.0
2021-12-29,2ES,3,-42.5,-105.0
2021-12-29,2ES,3,-917.5,-142.5
2021-12-29,2ES,3,-917.5,-155.0
2021-12-29,2ES,3,-917.5,-105.0
2021-12-29,2ES,3,-917.5,-130.0
2021-12-29,2ES,3,-917.5,-180.0
2021-12-29,2ES,3,-242.5,-305.0
2021-12-29,2ES,3,7.5,-105.0
2021-12-29,2ES,3,70.0,-92.5
2021-12-30,2ES,3,895.0,-42.5
2021-12-30,2ES,3,932.5,-30.0
2021-12-30,2ES,3,857.5,-80.0
2021-12-30,2ES,3,907.5,-55.0
2021-12-31,2ES,1,57.5,-30.0
2021-12-31,2ES,1,157.5,-92.5
2021-12-31,2ES,2,145.0,-105.0
2021-12-31,2ES,3,-42.5,-42.5
2021-12-31,2ES,3,120.0,-42.5
2021-12-31,2ES,3,32.5,-92.5
2021-12-31,2ES,3,57.5,-105.0
2021-12-31,2ES,3,-767.5,-267.5
2021-12-31,2ES,3,145.0,-342.5
2021-12-31,2ES,3,420.0,-142.5
2021-12-31,2ES,3,395.0,-92.5
2022-01-03,2ES,3,-680.0,-367.5
2022-01-04,2ES,1,907.5,-155.0
2022-01-04,2ES,2,882.5,-180.0
2022-01-04,2ES,1,795.0,795.0
2022-01-04,2EL,3,-642.5,-130.0
2022-01-04,2ES,1,-642.5,-67.5
2022-01-04,2ES,1,-642.5,-155.0
2022-01-04,2ES,1,-642.5,-305.0
2022-01-04,2ES,2,-642.5,-642.5
2022-01-05,2EL,1,-630.0,-192.5
2022-01-05,2EL,3,-630.0,-392.5
2022-01-05,2ES,1,3482.5,-80.0
2022-01-05,2ES,1,3445.0,-117.5
2022-01-05,2ES,2,3457.5,3457.5
2022-01-05,2ES,3,3357.5,3357.5
2022-01-05,2ES,1,1295.0,1295.0
2022-01-06,2EL,1,-667.5,-517.5
2022-01-07,2EL,3,-667.5,-305.0
2022-01-07,2EL,3,-430.0,-80.0
2022-01-07,2EL,3,-542.5,-130.0
2022-01-07,2EL,3,-667.5,-217.5
2022-01-07,2EL,3,-567.5,-280.0
2022-01-07,2EL,3,-492.5,-205.0
2022-01-07,2EL,3,-492.5,-217.5
2022-01-07,2EL,3,-255.0,-255.0
2022-01-11,2ES,3,-742.5,-392.5
2022-01-12,2EL,1,-817.5,-817.5
2022-01-12,2ES,1,-817.5,-817.5
2022-01-12,2EL,1,-817.5,-517.5
2022-01-12,2ES,1,-517.5,-230.0
2022-01-13,2ES,1,-842.5,-842.5
2022-01-19,2EL,3,-942.5,-317.5
2022-01-19,2EL,3,-942.5,-130.0
2022-01-19,2EL,3,-942.5,-330.0
2022-01-19,2EL,3,-942.5,-817.5
2022-01-19,2EL,3,-942.5,-267.5
2022-01-19,2EL,3,-942.5,-942.5
2022-01-20,2EL,1,-917.5,-105.0
2022-01-20,2EL,1,-917.5,-467.5
2022-01-20,2ES,1,5757.5,5757.5
2022-01-20,2ES,2,5757.5,5757.5
2022-01-20,2ES,1,5770.0,5770.0
2022-01-20,2ES,1,4832.5,-230.0
2022-01-20,2ES,1,4845.0,-217.5
2022-01-20,2ES,2,4907.5,4907.5
2022-01-20,2ES,3,4857.5,4857.5
2022-01-21,2ES,1,-1030.0,-1030.0
2022-01-21,2ES,1,-1030.0,-1030.0
2022-01-21,2EL,1,-1030.0,-1030.0
2022-01-21,2EL,1,-1030.0,-1030.0
2022-01-21,2ES,1,2782.5,-105.0
2022-01-21,2ES,1,2545.0,-342.5
2022-01-21,2ES,1,2457.5,-430.0
2022-01-21,2ES,1,2482.5,-55.0
2022-01-21,2ES,2,2445.0,-92.5
2022-01-21,2ES,3,2207.5,-330.0
2022-01-21,2ES,3,2182.5,2182.5
2022-01-21,2ES,3,2032.5,2032.5
2022-01-28,2EL,1,-1555.0,-355.0
2022-02-01,2ES,1,-1830.0,-405.0
2022-02-01,2ES,2,-1830.0,-1405.0
2022-02-01,2EL,1,1620.0,1620.0
2022-02-01,2EL,1,1545.0,1545.0
2022-02-01,2EL,3,1645.0,1645.0
2022-02-02,2ES,1,-1867.5,-355.0
2022-02-02,2EL,1,-1092.5,-217.5
2022-02-02,2EL,1,-1042.5,-217.5
2022-02-02,2EL,2,-905.0,-80.0
2022-02-02,2EL,3,-1030.0,-342.5
2022-02-02,2EL,3,-1092.5,-1092.5
2022-02-07,2EL,1,-1705.0,-430.0
2022-02-07,2ES,1,-1705.0,-105.0
2022-02-07,2ES,2,-80.0,-880.0
2022-02-07,2EL,1,-630.0,-1105.0
2022-02-07,2EL,1,-1705.0,-280.0
2022-02-08,2ES,3,-380.0,-92.5
2022-02-08,2ES,3,-555.0,-267.5
2022-02-08,2ES,3,-580.0,-430.0
2022-02-08,2ES,3,-1492.5,-130.0
2022-02-08,2ES,3,-1492.5,-330.0
2022-02-08,2ES,3,-1492.5,-1130.0
2022-02-14,2EL,1,-1167.5,-167.5
2022-02-14,2EL,1,-1167.5,-192.5
2022-02-14,2EL,1,-1167.5,-1167.5
2022-02-14,2EL,3,645.0,-542.5
2022-02-14,2EL,3,682.5,682.5
2022-02-16,2ES,1,-1042.5,-367.5
2022-02-16,2ES,1,-1042.5,-267.5
2022-02-16,2ES,2,-1042.5,-305.0
2022-02-16,2EL,1,1332.5,-142.5
2022-02-16,2EL,1,1370.0,-380.0
2022-02-18,2EL,3,-1067.5,-1067.5
2022-02-23,2ES,1,-1067.5,-267.5
2022-02-23,2ES,1,-1067.5,-305.0
2022-02-23,2ES,1,-1067.5,-630.0
2022-02-23,2ES,2,-1067.5,-880.0
2022-02-23,2EL,1,-1067.5,-1067.5
2022-03-01,2ES,1,1732.5,1732.5
2022-03-01,2ES,1,1620.0,1620.0
2022-03-01,2ES,1,1682.5,1682.5
2022-03-01,2ES,2,1482.5,1482.5
2022-03-01,2ES,1,857.5,857.5
2022-03-01,2ES,2,1007.5,1007.5
2022-03-01,2ES,1,-1305.0,-1167.5
2022-03-02,2EL,1,270.0,270.0
2022-03-02,2EL,2,70.0,70.0
2022-03-02,2EL,3,-5.0,-5.0
2022-03-02,2EL,1,-580.0,-117.5
2022-03-02,2EL,2,-805.0,-130.0
2022-03-02,2EL,1,-817.5,-342.5
2022-03-02,2EL,1,-780.0,-317.5
2022-03-07,2ES,1,4445.0,4445.0
2022-03-07,2ES,1,4420.0,4420.0
2022-03-07,2ES,1,3682.5,-217.5
2022-03-07,2ES,1,3582.5,3582.5
2022-03-07,2ES,1,2357.5,2357.5
2022-03-07,2ES,1,2007.5,-280.0
2022-03-07,2ES,1,1757.5,-530.0
2022-03-07,2ES,1,1870.0,-230.0
2022-03-07,2ES,2,2145.0,2145.0
2022-03-07,2ES,3,1695.0,1695.0
2022-03-07,2ES,3,2095.0,2095.0
2022-03-07,2ES,3,1895.0,1895.0
2022-03-07,2ES,1,1332.5,1332.5
2022-03-08,2ES,1,-1542.5,-1192.5
2022-03-08,2EL,1,-1542.5,-130.0
2022-03-08,2EL,1,-1542.5,-1542.5
2022-03-11,2EL,3,-1505.0,-242.5
2022-03-11,2EL,3,-1505.0,-405.0
2022-03-11,2EL,3,-1505.0,-667.5
2022-03-14,2EL,1,-1367.5,-217.5
2022-03-14,2EL,2,-1367.5,-255.0
2022-03-14,2EL,2,-1367.5,-1367.5
2022-03-14,2ES,1,-80.0,-155.0
2022-03-15,2ES,3,-1355.0,-117.5
2022-03-15,2ES,3,-1355.0,-292.5
2022-03-15,2ES,3,-1355.0,-30.0
2022-03-22,2ES,3,-467.5,-230.0
2022-03-22,2ES,3,-405.0,-355.0
2022-03-22,2ES,3,-430.0,-380.0
2022-03-22,2EL,1,157.5,-192.5
2022-03-23,2EL,1,-1255.0,-317.5
2022-03-23,2EL,2,-1255.0,-242.5
2022-03-23,2ES,1,1395.0,1395.0
2022-03-23,2ES,1,732.5,-280.0
2022-03-23,2ES,1,920.0,-167.5
2022-03-24,2EL,1,2157.5,2157.5
2022-03-24,2EL,3,1932.5,1932.5
2022-03-24,2EL,1,1557.5,1557.5
2022-03-24,2EL,1,1057.5,-67.5
2022-03-24,2EL,1,995.0,-467.5
2022-03-24,2ES,1,-1217.5,-505.0
2022-03-24,2EL,1,1095.0,-242.5
2022-03-24,2ES,1,-1217.5,-142.5
2022-03-24,2ES,1,-1217.5,-180.0
2022-03-25,2EL,1,-1217.5,-1217.5
2022-03-28,2EL,3,1832.5,-105.0
2022-03-28,2EL,3,1832.5,1832.5
2022-03-28,2EL,3,1832.5,1832.5
2022-03-28,2EL,3,1732.5,1732.5
2022-03-28,2EL,3,1757.5,1757.5
2022-03-30,2ES,1,157.5,-192.5
2022-03-30,2ES,2,207.5,-142.5
2022-03-30,2ES,3,170.0,-167.5
2022-03-30,2ES,3,320.0,320.0
2022-03-30,2ES,3,182.5,182.5
2022-03-30,2ES,3,407.5,407.5
2022-03-30,2ES,3,-42.5,-92.5
2022-03-30,2ES,1,-55.0,-30.0
2022-03-31,2EL,1,-905.0,-442.5
2022-03-31,2ES,1,1732.5,-205.0
2022-04-01,2EL,3,332.5,-92.5
2022-04-01,2EL,3,182.5,-105.0
2022-04-01,2EL,3,-880.0,-467.5
2022-04-04,2EL,1,207.5,-92.5
2022-04-07,2ES,1,-855.0,-105.0
2022-04-07,2ES,2,-855.0,-67.5
2022-04-07,2ES,1,-855.0,-392.5
2022-04-07,2ES,1,-855.0,-117.5
2022-04-07,2ES,2,-855.0,-92.5
2022-04-07,2ES,3,-855.0,-855.0
2022-04-07,2ES,3,-855.0,-855.0
2022-04-07,2ES,2,-855.0,-855.0
2022-04-13,2ES,1,-942.5,-742.5
2022-04-13,2EL,1,1582.5,1582.5
2022-04-13,2EL,2,1557.5,1557.5
2022-04-13,2EL,1,970.0,970.0
2022-04-13,2EL,2,907.5,907.5
2022-04-13,2EL,1,332.5,-380.0
2022-04-13,2EL,2,295.0,-417.5
2022-04-13,2EL,1,195.0,-517.5
2022-04-14,2ES,1,1782.5,-367.5
2022-04-14,2ES,2,1832.5,-317.5
2022-04-14,2ES,3,1945.0,-255.0
2022-04-14,2ES,3,1870.0,1870.0
2022-04-14,2ES,3,1795.0,1795.0
2022-04-14,2ES,3,1495.0,-292.5
2022-04-18,2ES,1,-955.0,-92.5
2022-04-18,2ES,1,-955.0,-455.0
2022-04-19,2ES,3,-955.0,-430.0
2022-04-22,2ES,1,4032.5,-80.0
2022-04-22,2ES,1,3770.0,3770.0
2022-04-25,2ES,1,-1142.5,-1142.5
2022-04-25,2EL,1,2957.5,-30.0
2022-04-25,2EL,1,-1142.5,-1142.5
2022-04-27,2ES,1,-1317.5,-317.5
2022-04-27,2ES,1,-1317.5,-1317.5
2022-04-27,2ES,2,-1317.5,-1317.5
2022-04-27,2ES,1,-1317.5,-1317.5
2022-04-27,2EL,1,-1317.5,-967.5
2022-04-27,2EL,1,-1317.5,-730.0
2022-04-27,2ES,1,945.0,945.0
2022-04-29,2ES,1,4382.5,4382.5
2022-04-29,2ES,1,3457.5,-430.0
2022-04-29,2ES,2,3407.5,3407.5
2022-04-29,2EL,3,-1392.5,-1255.0
2022-05-04,2EL,1,-1567.5,-192.5
2022-05-04,2EL,1,-1567.5,-367.5
2022-05-04,2EL,1,-1567.5,-267.5
2022-05-04,2EL,2,-1567.5,-355.0
2022-05-04,2EL,3,-1567.5,-892.5
2022-05-11,2EL,3,-1717.5,-417.5
2022-05-11,2EL,3,-1717.5,-1717.5
2022-05-16,2EL,1,607.5,-142.5
2022-05-16,2EL,2,457.5,-292.5
2022-05-16,2EL,3,370.0,370.0
2022-05-16,2EL,3,182.5,-105.0
2022-05-16,2EL,1,-255.0,-542.5
2022-05-16,2EL,2,7.5,-217.5
2022-05-16,2EL,3,-217.5,-442.5
2022-05-16,2EL,3,20.0,-205.0
2022-05-16,2EL,1,-1280.0,-405.0
2022-05-19,2ES,2,-1542.5,-817.5
2022-05-19,2ES,3,-1542.5,-555.0
2022-05-19,2ES,3,-1542.5,-1542.5
2022-05-19,2ES,3,-1542.5,-217.5
2022-05-19,2ES,3,-1542.5,-592.5
2022-05-19,2ES,3,-1542.5,-480.0
2022-05-19,2ES,3,-1542.5,-992.5
2022-05-19,2EL,3,-1017.5,-1292.5
2022-05-25,2ES,3,-1405.0,-292.5
2022-05-25,2ES,3,-1405.0,-355.0
2022-05-25,2ES,3,-1405.0,-217.5
2022-05-25,2ES,3,-1405.0,-417.5
2022-05-25,2EL,1,995.0,-342.5
2022-05-25,2EL,2,1095.0,1095.0
2022-05-26,2EL,2,-717.5,-130.0
2022-06-01,2ES,1,595.0,-117.5
2022-06-01,2ES,1,-1255.0,-342.5
2022-06-01,2ES,3,-1255.0,-30.0
2022-06-01,2ES,1,-1255.0,-42.5
2022-06-01,2ES,1,-1255.0,-167.5
2022-06-01,2ES,1,-1255.0,-555.0
2022-06-02,2EL,2,3732.5,3732.5
2022-06-02,2EL,1,2607.5,2607.5
2022-06-02,2EL,2,2745.0,2745.0
2022-06-02,2EL,1,2107.5,2107.5
2022-06-02,2EL,1,1320.0,1320.0
2022-06-02,2EL,1,1132.5,1132.5
2022-06-02,2EL,1,1057.5,1057.5
2022-06-02,2EL,1,957.5,957.5
2022-06-02,2EL,1,895.0,-30.0
2022-06-02,2EL,1,707.5,-42.5
2022-06-02,2EL,1,557.5,-117.5
2022-06-08,2EL,3,-1105.0,-267.5
2022-06-09,2ES,1,3507.5,-430.0
2022-06-09,2ES,2,3632.5,-305.0
2022-06-09,2ES,3,3657.5,-505.0
2022-06-09,2ES,3,3907.5,3907.5
2022-06-09,2ES,3,3820.0,3820.0
2022-06-09,2ES,3,4257.5,4257.5
2022-06-09,2ES,3,3482.5,3482.5
2022-06-09,2ES,1,2707.5,2707.5
2022-06-14,2ES,2,907.5,-130.0
2022-06-14,2ES,3,-1155.0,-580.0
2022-06-14,2ES,3,545.0,-505.0
2022-06-14,2ES,3,557.5,-105.0
2022-06-14,2ES,3,-1155.0,-617.5
2022-06-17,2EL,3,145.0,-230.0
2022-06-17,2EL,3,-1155.0,-605.0
2022-06-17,2EL,3,-1155.0,-667.5
2022-06-17,2EL,3,-30.0,-605.0
