entry_id,Date,dir,regime,hour,fx4p_t8p,fx4p_eod,sb1_t8p,sb1_eod,er10,adx14,sb_ibs_o,sb_dirok,sb_rngx,ema_side_ok,warm
2021-10-04_38S2,2021-10-04,S,BEAR,11,395.0,-205.0,395.0,-280.0,0.064,45.5,0.0833333333333333,False,0.8856088560885609,True,True
2021-10-04_77S2,2021-10-04,S,BULL,14,-205.0,-205.0,-255.0,-255.0,0.261,13.9,0.9545454545454546,True,0.668693009118541,False,True
2021-10-05_26L2,2021-10-05,L,BULL,10,-205.0,-205.0,-167.5,-167.5,0.108,,0.9333333333333332,True,0.986842105263158,True,True
2021-10-06_16S2,2021-10-06,S,NEUTRAL,09,-205.0,-205.0,-442.5,-442.5,0.241,,0.9189189189189187,True,0.7566462167689162,True,True
2021-10-06_73S2,2021-10-06,S,NEUTRAL,14,-205.0,-205.0,-155.0,-155.0,0.31,29.6,0.0714285714285714,False,0.6113537117903931,False,True
2021-10-11_17L2,2021-10-11,L,BEAR,09,-205.0,-205.0,-80.0,-80.0,0.276,,0.75,False,0.5714285714285714,True,True
2021-10-12_10S2,2021-10-12,S,NEUTRAL,09,-205.0,-205.0,-417.5,-417.5,,,0.1428571428571429,False,0.7934508816120907,True,False
2021-10-12_66S2,2021-10-12,S,NEUTRAL,13,395.0,895.0,395.0,895.0,0.101,13.4,0.0,False,0.8974358974358975,True,True
2021-10-12_75S2,2021-10-12,S,BEAR,14,395.0,570.0,395.0,570.0,0.7,16.0,0.85,True,1.0582010582010584,True,True
2021-10-13_15S2,2021-10-13,S,BULL,09,-205.0,-205.0,-255.0,-255.0,0.077,,0.8636363636363636,True,0.676923076923077,True,True
2021-10-14_38L2,2021-10-14,L,BULL,11,-205.0,370.0,-92.5,-92.5,0.404,56.0,0.5555555555555556,False,0.8910891089108911,True,True
2021-10-14_55S2,2021-10-14,S,BULL,13,-205.0,-167.5,-67.5,-67.5,0.442,47.2,0.8571428571428572,False,0.875,False,True
2021-10-15_19L2,2021-10-15,L,NEUTRAL,10,-205.0,-205.0,-155.0,-155.0,0.036,,0.9285714285714286,True,0.8383233532934132,True,True
