Date,src,book,net
2023-02-15,REAL,WT-L,445.0
2023-02-15,PROXY,WT-L,445.0
2023-02-17,REAL,WT-S,-867.5
2023-02-17,PROXY,WT-S,-867.5
2023-02-22,PROXY,WT-L,-742.5
2023-03-01,REAL,WT-S,-105.0
2023-03-01,PROXY,WT-L,-642.5
2023-03-01,PROXY,WT-S,-105.0
2023-03-02,REAL,WT-L,2032.5
2023-03-02,PROXY,WT-L,2032.5
2023-03-03,REAL,WT-L,1632.5
2023-03-03,REAL,WT-L,745.0
2023-03-03,PROXY,WT-L,1632.5
2023-03-03,PROXY,WT-L,745.0
2023-03-06,REAL,WT-L,-680.0
2023-03-06,REAL,WT-L,-680.0
2023-03-06,PROXY,WT-L,-680.0
2023-03-06,PROXY,WT-L,-680.0
2023-03-07,REAL,WT-S,-717.5
2023-03-07,PROXY,WT-S,-717.5
2023-03-20,REAL,WT-S,-192.5
2023-03-20,PROXY,WT-S,-192.5
2023-03-28,REAL,WT-S,-1030.0
2023-03-28,PROXY,WT-S,-1030.0
2023-04-06,REAL,WT-L,1245.0
2023-04-06,REAL,WT-L,132.5
2023-04-06,REAL,WT-L,132.5
2023-04-06,PROXY,WT-L,1245.0
2023-04-06,PROXY,WT-L,132.5
2023-04-06,PROXY,WT-L,132.5
2023-04-11,REAL,WT-S,-555.0
2023-04-11,REAL,WT-L,-130.0
2023-04-11,PROXY,WT-S,-555.0
2023-04-11,PROXY,WT-L,270.0
2023-04-11,PROXY,WT-L,-130.0
2023-04-12,REAL,WT-L,-542.5
2023-04-12,PROXY,WT-L,-542.5
2023-04-13,REAL,WT-L,1420.0
2023-04-13,PROXY,WT-L,1420.0
2023-04-17,REAL,WT-S,-642.5
2023-04-17,REAL,WT-S,-642.5
2023-04-17,PROXY,WT-S,-642.5
2023-04-17,PROXY,WT-S,-642.5
2023-04-24,REAL,WT-S,-567.5
2023-04-24,REAL,WT-L,495.0
2023-04-24,REAL,WT-L,295.0
2023-04-24,PROXY,WT-S,-567.5
2023-04-24,PROXY,WT-L,495.0
2023-04-24,PROXY,WT-L,295.0
2023-04-25,REAL,WT-S,-167.5
2023-04-25,PROXY,WT-S,-167.5
2023-04-27,REAL,WT-L,1557.5
2023-04-27,REAL,WT-L,1520.0
2023-04-27,PROXY,WT-L,1557.5
2023-04-27,PROXY,WT-L,1520.0
2023-04-28,REAL,WT-L,-605.0
2023-04-28,PROXY,WT-L,-605.0
2023-05-02,REAL,WT-S,-592.5
2023-05-02,PROXY,WT-S,-592.5
2023-05-04,PROXY,WT-S,-705.0
2023-05-08,REAL,WT-S,-492.5
2023-05-08,PROXY,WT-S,-492.5
2023-05-11,REAL,WT-S,-505.0
2023-05-11,PROXY,WT-L,-705.0
2023-05-11,PROXY,WT-S,-505.0
2023-05-12,REAL,WT-S,-630.0
2023-05-12,PROXY,WT-S,-630.0
2023-05-19,REAL,WT-S,95.0
2023-05-19,PROXY,WT-S,95.0
2023-05-22,REAL,WT-S,195.0
2023-05-22,PROXY,WT-S,195.0
2023-05-24,REAL,WT-S,-630.0
2023-05-24,PROXY,WT-S,-630.0
2023-05-26,REAL,WT-S,-605.0
2023-05-26,PROXY,WT-S,-605.0
2023-06-05,REAL,WT-S,707.5
