Date,dir,net,yr,tr
2023-09-25,S,-1140.0,2023,True
2023-10-04,L,-1390.0,2023,True
2023-10-05,L,-80.0,2023,True
2023-10-10,L,-620.0,2023,True
2023-10-10,L,-1590.0,2023,True
2023-10-11,L,1735.0,2023,True
2023-10-12,L,-1555.0,2023,True
2023-10-12,L,-1555.0,2023,True
2023-10-13,S,220.0,2023,True
2023-10-19,S,-1525.0,2023,True
2023-10-20,L,-1575.0,2023,True
2023-10-23,L,-1445.0,2023,True
2023-10-26,S,730.0,2023,True
2023-10-27,L,-1640.0,2023,True
2023-11-01,S,-1540.0,2023,True
2023-11-01,S,-1540.0,2023,True
2023-11-03,L,95.0,2023,True
2023-11-06,S,-450.0,2023,True
2023-11-06,S,-1415.0,2023,True
2023-11-07,L,-85.0,2023,True
2023-11-07,L,-590.0,2023,True
2023-11-08,S,-545.0,2023,True
2023-11-08,S,-520.0,2023,True
2023-11-10,S,-1085.0,2023,True
2023-11-10,L,3220.0,2023,True
2023-11-21,S,-1020.0,2023,True
2023-11-22,L,-970.0,2023,True
2023-11-27,L,-675.0,2023,True
2023-11-29,S,1500.0,2023,True
2023-11-29,S,385.0,2023,True
2023-11-30,L,1475.0,2023,True
2023-12-08,L,1085.0,2023,True
2023-12-11,L,1585.0,2023,True
2023-12-12,L,1935.0,2023,True
2023-12-14,S,965.0,2023,True
2023-12-14,S,445.0,2023,True
2023-12-20,L,-1090.0,2023,True
2024-01-10,L,1655.0,2024,False
2024-01-10,L,-1000.0,2024,False
2024-01-19,L,4305.0,2024,False
2024-01-22,S,5.0,2024,False
2024-01-23,L,1140.0,2024,False
2024-01-29,L,2180.0,2024,False
2024-02-09,L,-85.0,2024,False
2024-02-12,L,-1250.0,2024,False
2024-02-12,L,-1250.0,2024,False
2024-02-12,S,1075.0,2024,False
2024-02-14,L,-1300.0,2024,False
2024-02-15,S,-1260.0,2024,False
2024-02-15,S,-1260.0,2024,False
2024-02-20,S,3970.0,2024,False
2024-02-23,S,2135.0,2024,False
2024-02-23,S,960.0,2024,False
2024-02-27,L,-1270.0,2024,False
2024-03-01,L,1905.0,2024,False
2024-03-04,S,1190.0,2024,False
2024-03-05,S,-1140.0,2024,False
2024-03-08,S,2345.0,2024,False
2024-03-08,S,2455.0,2024,False
2024-03-08,S,-1140.0,2024,False
2024-03-11,L,1045.0,2024,False
2024-03-12,L,-1295.0,2024,False
2024-03-13,S,-1410.0,2024,False
2024-03-13,L,-1410.0,2024,False
2024-03-15,S,-495.0,2024,False
2024-03-19,L,215.0,2024,False
2024-03-26,S,1605.0,2024,False
2024-03-28,S,105.0,2024,False
2024-03-28,S,100.0,2024,False
2024-04-01,S,-1065.0,2024,False
2024-04-05,L,365.0,2024,False
2024-04-08,L,125.0,2024,False
2024-04-11,S,-1300.0,2024,False
2024-04-18,L,-1750.0,2024,False
2024-04-18,S,2800.0,2024,False
2024-04-18,S,595.0,2024,False
2024-04-23,L,1300.0,2024,False
2024-04-24,S,-1750.0,2024,False
2024-04-30,S,2975.0,2024,False
2024-05-01,S,-1865.0,2024,False
2024-05-10,S,-340.0,2024,False
2024-05-13,L,-35.0,2024,False
2024-05-17,S,-100.0,2024,False
2024-05-20,L,-165.0,2024,False
2024-05-28,S,-1080.0,2024,False
2024-05-31,S,-1060.0,2024,False
2024-05-31,S,-1060.0,2024,False
2024-06-14,L,1145.0,2024,False
2024-06-24,S,2640.0,2024,False
2024-06-24,S,1000.0,2024,False
2024-06-24,S,985.0,2024,False
2024-06-25,L,1670.0,2024,False
2024-06-26,L,-1310.0,2024,False
2024-06-28,S,1565.0,2024,False
2024-07-01,L,1845.0,2024,False
2024-07-08,L,720.0,2024,False
2024-07-09,S,-315.0,2024,False
2024-07-10,L,490.0,2024,False
2024-07-10,L,85.0,2024,False
2024-07-19,S,3335.0,2024,False
2024-07-30,S,2820.0,2024,False
2024-08-01,S,3060.0,2024,False
2024-08-01,S,-2155.0,2024,False
2024-08-06,L,-2770.0,2024,False
2024-08-09,L,610.0,2024,False
2024-08-20,S,-915.0,2024,False
2024-08-20,S,-815.0,2024,False
2024-08-22,S,5505.0,2024,False
2024-08-22,S,4270.0,2024,False
2024-08-22,S,825.0,2024,False
2024-08-26,S,960.0,2024,False
2024-08-26,S,570.0,2024,False
2024-08-27,L,-90.0,2024,False
2024-09-03,L,-1855.0,2024,False
2024-09-05,S,-2160.0,2024,False
2024-09-05,S,330.0,2024,False
2024-09-10,L,-2205.0,2024,False
2024-09-10,L,375.0,2024,False
2024-09-16,L,-2345.0,2024,False
2024-09-18,L,-2000.0,2024,False
2024-09-20,S,-120.0,2024,False
2024-09-20,S,-1995.0,2024,False
2024-09-23,S,-305.0,2024,False
2024-09-23,S,-595.0,2024,False
2024-09-24,L,-1730.0,2024,False
2024-10-01,S,-1425.0,2024,False
2024-10-02,S,-1020.0,2024,False
2024-10-15,S,1460.0,2024,False
2024-10-18,L,-80.0,2024,False
2024-10-29,L,3360.0,2024,False
2024-10-29,L,2990.0,2024,False
2024-10-29,L,1570.0,2024,False
2024-11-01,L,-1435.0,2024,False
2024-11-01,L,-115.0,2024,False
2024-11-04,L,-1515.0,2024,False
2024-11-19,L,2120.0,2024,False
2024-11-22,L,-220.0,2024,False
2024-11-26,S,-910.0,2024,False
2024-12-05,S,1335.0,2024,False
2024-12-06,L,385.0,2024,False
2024-12-12,S,1410.0,2024,False
2024-12-23,S,-2125.0,2024,False
2024-12-31,S,-280.0,2024,False
2025-01-07,S,3050.0,2025,False
2025-01-14,L,-2040.0,2025,False
2025-01-14,L,-2040.0,2025,False
2025-02-04,L,-1850.0,2025,False
2025-02-06,S,-180.0,2025,False
2025-02-07,S,3295.0,2025,False
2025-02-07,S,1620.0,2025,False
2025-02-13,L,-1780.0,2025,False
2025-02-14,L,1690.0,2025,False
2025-02-18,L,-1580.0,2025,False
2025-02-18,S,305.0,2025,False
2025-02-18,S,-1580.0,2025,False
2025-02-18,S,-1580.0,2025,False
2025-02-25,S,-1565.0,2025,False
2025-02-26,L,-1720.0,2025,False
2025-02-26,S,-1720.0,2025,False
2025-03-05,L,-1330.0,2025,False
2025-03-07,S,-3270.0,2025,False
2025-03-11,S,-3410.0,2025,False
2025-03-13,S,10.0,2025,False
2025-03-13,S,-900.0,2025,False
2025-03-26,S,-265.0,2025,False
2025-03-28,S,945.0,2025,False
2025-04-09,L,-4255.0,2025,False
2025-04-24,L,4205.0,2025,False
2025-04-24,L,3715.0,2025,False
2025-04-29,L,1320.0,2025,False
2025-04-29,L,1165.0,2025,False
2025-04-29,L,-540.0,2025,False
2025-05-13,L,-1100.0,2025,False
2025-05-16,L,-1700.0,2025,False
2025-05-21,L,-1675.0,2025,False
2025-05-21,S,2575.0,2025,False
2025-06-03,L,205.0,2025,False
2025-06-03,L,-1860.0,2025,False
2025-06-03,S,530.0,2025,False
2025-06-05,S,3910.0,2025,False
2025-06-05,S,2325.0,2025,False
2025-06-09,L,-435.0,2025,False
2025-06-10,L,-1650.0,2025,False
2025-06-11,S,2255.0,2025,False
2025-06-16,L,-220.0,2025,False
2025-06-16,L,-445.0,2025,False
2025-06-23,S,-1425.0,2025,False
2025-06-23,L,30.0,2025,False
2025-06-25,S,590.0,2025,False
2025-06-25,S,-300.0,2025,False
2025-06-25,S,-660.0,2025,False
2025-06-26,L,1640.0,2025,False
2025-06-26,L,1010.0,2025,False
2025-06-26,L,-250.0,2025,False
2025-06-27,L,-1490.0,2025,False
2025-07-01,S,-1470.0,2025,False
2025-07-01,L,-850.0,2025,False
