Date,dir,net
2022-06-08,S,432.5
2022-06-08,S,-205.0
2022-06-09,L,-205.0
2022-06-10,S,-205.0
2022-06-13,L,-205.0
2022-06-15,S,-205.0
2022-06-15,S,-205.0
2022-06-15,S,-205.0
2022-06-15,S,-205.0
2022-06-16,S,632.5
2022-06-16,S,-205.0
2022-06-17,S,-205.0
2022-06-17,S,-205.0
2022-06-21,L,-205.0
2022-06-21,L,-205.0
2022-06-23,S,-205.0
2022-06-27,L,-205.0
2022-06-27,L,-205.0
2022-06-27,L,-205.0
2022-06-28,S,4807.5
2022-06-28,S,395.0
2022-06-29,S,-205.0
2022-06-29,S,-205.0
2022-06-29,S,-205.0
2022-06-29,S,-205.0
2022-06-30,S,-205.0
2022-06-30,S,-205.0
2022-06-30,L,-205.0
2022-06-30,L,-205.0
2022-07-01,S,-205.0
2022-07-01,S,-205.0
2022-07-01,S,-205.0
2022-07-01,L,-205.0
2022-07-01,L,-205.0
2022-07-05,L,-205.0
2022-07-05,L,-205.0
2022-07-05,L,-205.0
2022-07-05,L,-205.0
2022-07-05,L,2982.5
2022-07-05,L,2020.0
2022-07-05,L,1782.5
2022-07-05,L,-205.0
2022-07-06,S,-205.0
2022-07-06,L,-205.0
2022-07-07,L,-205.0
2022-07-07,L,-55.0
2022-07-12,L,-205.0
2022-07-13,L,-205.0
2022-07-13,L,-205.0
2022-07-18,S,-205.0
2022-07-20,S,-205.0
2022-07-21,S,-205.0
2022-07-21,S,-205.0
2022-07-21,L,-205.0
2022-07-21,L,-205.0
2022-07-22,S,-205.0
2022-07-22,S,-205.0
2022-07-22,S,-205.0
2022-07-22,S,-205.0
2022-07-22,S,-205.0
2022-07-25,S,-205.0
2022-07-25,L,-205.0
2022-07-26,S,157.5
2022-07-27,L,-205.0
2022-07-28,L,3507.5
2022-07-28,L,-205.0
2022-07-28,L,-205.0
2022-08-01,S,-205.0
2022-08-01,S,-205.0
2022-08-02,S,-205.0
2022-08-02,S,-205.0
2022-08-03,L,907.5
2022-08-03,L,-42.5
2022-08-08,S,1157.5
2022-08-08,S,-205.0
2022-08-09,S,-205.0
2022-08-10,L,-205.0
2022-08-11,S,-205.0
2022-08-15,S,-205.0
2022-08-15,L,245.0
2022-08-15,L,-205.0
2022-08-16,L,-205.0
2022-08-18,S,-205.0
2022-08-18,S,-205.0
2022-08-19,S,-205.0
2022-08-19,S,-205.0
2022-08-19,L,-205.0
2022-08-22,S,932.5
2022-08-22,S,-205.0
2022-08-22,S,645.0
2022-08-24,L,-205.0
2022-08-24,L,-205.0
2022-08-24,L,-205.0
2022-08-24,S,-205.0
2022-08-24,S,-205.0
2022-08-25,L,-205.0
2022-08-25,S,-205.0
2022-08-25,S,-205.0
2022-08-25,L,-205.0
2022-08-26,L,-205.0
2022-08-26,S,-205.0
2022-08-26,S,-205.0
2022-08-26,S,-205.0
2022-08-26,S,1632.5
2022-08-29,S,-205.0
2022-08-30,L,-205.0
2022-08-30,S,-205.0
2022-08-30,S,-205.0
2022-08-31,L,-205.0
2022-08-31,L,-205.0
2022-09-01,L,-205.0
2022-09-02,L,-205.0
2022-09-02,S,2982.5
2022-09-02,S,1995.0
2022-09-02,S,-205.0
2022-09-02,L,-205.0
2022-09-06,L,-205.0
2022-09-06,L,-205.0
2022-09-06,S,-205.0
2022-09-06,S,-205.0
2022-09-07,L,-205.0
2022-09-07,L,1407.5
2022-09-07,L,-205.0
2022-09-08,L,-205.0
2022-09-08,S,-205.0
2022-09-09,L,-205.0
2022-09-09,S,-205.0
2022-09-13,S,-205.0
2022-09-13,S,-205.0
2022-09-13,L,-205.0
2022-09-14,S,-205.0
2022-09-14,L,-205.0
2022-09-14,L,-205.0
2022-09-14,S,-205.0
2022-09-14,S,-205.0
2022-09-15,S,-205.0
2022-09-15,S,-205.0
2022-09-15,L,-205.0
2022-09-15,L,-205.0
2022-09-15,L,-205.0
2022-09-16,L,-205.0
2022-09-16,L,-205.0
2022-09-16,L,-205.0
2022-09-16,L,-205.0
2022-09-19,L,-205.0
2022-09-20,S,-205.0
2022-09-21,S,-205.0
2022-09-21,L,-205.0
2022-09-26,L,-205.0
2022-09-26,S,-205.0
2022-09-26,S,1545.0
2022-09-27,S,-205.0
2022-09-27,S,-205.0
2022-09-27,S,-205.0
2022-09-27,L,-205.0
2022-09-28,L,2220.0
2022-09-28,L,-205.0
2022-09-28,L,-205.0
2022-09-29,S,-205.0
2022-09-29,S,-205.0
2022-09-29,L,-205.0
2022-09-30,S,-205.0
2022-09-30,L,-205.0
2022-09-30,L,-205.0
2022-09-30,S,-205.0
2022-09-30,S,-205.0
2022-09-30,S,-205.0
2022-10-03,L,-205.0
2022-10-03,L,-205.0
2022-10-03,L,-205.0
2022-10-03,L,-205.0
2022-10-03,S,-205.0
2022-10-04,S,-205.0
2022-10-05,L,-205.0
2022-10-06,L,-205.0
2022-10-07,S,-205.0
2022-10-07,S,-205.0
2022-10-07,S,707.5
2022-10-07,S,-205.0
2022-10-10,L,-205.0
2022-10-11,S,-205.0
2022-10-11,L,-205.0
2022-10-12,L,-205.0
2022-10-13,L,7007.5
2022-10-13,L,-205.0
2022-10-13,L,4707.5
2022-10-13,L,-205.0
2022-10-13,L,-205.0
2022-10-13,L,-205.0
2022-10-13,L,1357.5
2022-10-14,S,-205.0
2022-10-14,S,-205.0
2022-10-14,L,-205.0
2022-10-17,L,-205.0
2022-10-18,S,-205.0
2022-10-18,S,-205.0
2022-10-19,S,-205.0
2022-10-19,L,-205.0
2022-10-20,L,-205.0
2022-10-20,S,-205.0
2022-10-21,S,-205.0
2022-10-21,S,-205.0
2022-10-24,S,-205.0
2022-10-24,S,-205.0
2022-10-25,L,632.5
2022-10-25,L,245.0
2022-10-25,L,-205.0
2022-10-25,L,-205.0
2022-10-26,L,-205.0
2022-10-26,L,-205.0
2022-10-26,L,-205.0
2022-10-26,L,-205.0
2022-10-26,S,-205.0
2022-10-26,S,-205.0
2022-10-27,S,-205.0
2022-10-27,S,-205.0
2022-10-27,S,3320.0
2022-10-27,S,-205.0
2022-10-27,S,-205.0
2022-10-27,S,-205.0
2022-10-28,L,3395.0
2022-10-31,L,-205.0
2022-11-01,L,-205.0
2022-11-02,S,-205.0
2022-11-02,S,-205.0
2022-11-02,S,-205.0
2022-11-03,L,-205.0
2022-11-03,S,-205.0
2022-11-03,L,-205.0
2022-11-03,L,-205.0
2022-11-04,S,-205.0
2022-11-04,S,-205.0
2022-11-04,L,1220.0
2022-11-07,L,-205.0
2022-11-07,L,-205.0
2022-11-08,L,-205.0
2022-11-08,L,-205.0
2022-11-08,L,-205.0
2022-11-08,S,-205.0
2022-11-09,S,-205.0
2022-11-09,S,-205.0
2022-11-10,L,-205.0
2022-11-14,L,-205.0
2022-11-15,S,-205.0
2022-11-16,L,-205.0
2022-11-17,L,-205.0
2022-11-21,S,-205.0
2022-11-21,S,-205.0
2022-11-22,L,-205.0
2022-11-22,L,682.5
2022-11-28,S,-205.0
2022-11-29,L,-205.0
2022-11-29,S,-205.0
2022-11-29,S,-205.0
2022-11-29,L,-205.0
2022-11-30,S,-205.0
2022-11-30,L,-205.0
2022-11-30,L,-205.0
2022-12-01,L,-205.0
2022-12-01,L,-205.0
2022-12-01,L,-205.0
2022-12-01,L,-205.0
2022-12-02,S,-205.0
2022-12-05,S,1032.5
2022-12-05,S,-205.0
2022-12-06,S,257.5
2022-12-06,S,-205.0
2022-12-06,S,-205.0
2022-12-07,L,-205.0
2022-12-08,L,-205.0
2022-12-08,L,-205.0
2022-12-09,S,-205.0
2022-12-12,S,-205.0
2022-12-13,S,2932.5
2022-12-15,S,-205.0
2022-12-15,S,720.0
2022-12-15,S,-205.0
2022-12-15,S,-205.0
2022-12-16,S,-205.0
2022-12-16,S,-205.0
2022-12-19,S,-205.0
2022-12-19,S,-205.0
2022-12-20,L,-205.0
2022-12-20,S,-205.0
2022-12-20,L,-205.0
2022-12-21,L,1045.0
2022-12-22,S,-205.0
2022-12-22,S,-205.0
2022-12-22,S,-205.0
2022-12-22,S,-205.0
2022-12-22,S,-205.0
2022-12-30,S,-205.0
2022-12-30,S,-205.0
2023-01-03,S,957.5
2023-01-03,S,-205.0
2023-01-04,L,1095.0
2023-01-04,L,-205.0
2023-01-04,S,-205.0
2023-01-05,L,-205.0
2023-01-05,L,-205.0
