Date,dir,variant,net
2021-11-15,S,retest2,-42.5
2021-11-15,S,retest6,7.5
2021-11-16,L,base,-230.0
2021-11-16,L,be1.0,-230.0
2021-11-16,L,be0.5,-17.5
2021-11-16,L,tight6,-53.8
2021-11-16,L,scale2x,-230.0
2021-11-16,L,retest2,-255.0
2021-11-16,L,retest6,-205.0
2021-11-16,L,base,-492.5
2021-11-16,L,be1.0,-492.5
2021-11-16,L,be0.5,-492.5
2021-11-16,L,tight6,-31.2
2021-11-16,L,scale2x,-492.5
2021-11-16,L,retest2,-492.5
2021-11-16,L,retest6,-492.5
2021-11-17,S,base,-505.0
2021-11-17,S,be1.0,-505.0
2021-11-17,S,be0.5,-505.0
2021-11-17,S,tight6,-255.0
2021-11-17,S,scale2x,-505.0
2021-11-17,S,retest2,-505.0
2021-11-17,S,retest6,-505.0
2021-11-29,L,base,795.0
2021-11-29,L,be1.0,795.0
2021-11-29,L,be0.5,-17.5
2021-11-29,L,tight6,795.0
2021-11-29,L,scale2x,901.2
2021-11-29,L,retest2,770.0
2021-11-29,L,retest6,820.0
2021-11-29,L,base,-530.0
2021-11-29,L,be1.0,-530.0
2021-11-29,L,be0.5,-530.0
2021-11-29,L,tight6,-192.5
2021-11-29,L,scale2x,-530.0
2021-11-29,L,retest2,-530.0
2021-11-29,L,retest6,-530.0
2021-11-29,S,base,357.5
2021-11-29,S,be1.0,357.5
2021-11-29,S,be0.5,357.5
2021-11-29,S,tight6,-117.5
2021-11-29,S,scale2x,357.5
2021-11-29,S,retest2,332.5
2021-11-29,S,retest6,382.5
2021-11-30,S,base,-555.0
2021-11-30,S,be1.0,-17.5
2021-11-30,S,be0.5,-17.5
2021-11-30,S,tight6,353.8
2021-11-30,S,scale2x,251.2
2021-11-30,S,retest2,-555.0
2021-11-30,S,retest6,-555.0
2021-12-06,L,base,-642.5
2021-12-06,L,be1.0,-642.5
2021-12-06,L,be0.5,-642.5
2021-12-06,L,tight6,-642.5
2021-12-06,L,scale2x,-642.5
2021-12-06,L,retest2,-642.5
2021-12-06,L,retest6,-642.5
2021-12-06,L,base,-642.5
2021-12-06,L,be1.0,-642.5
2021-12-06,L,be0.5,-642.5
2021-12-06,L,tight6,-80.0
2021-12-06,L,scale2x,-642.5
2021-12-06,L,retest2,-642.5
2021-12-06,L,retest6,-642.5
2021-12-06,L,base,-642.5
2021-12-06,L,be1.0,-642.5
2021-12-06,L,be0.5,-642.5
2021-12-06,L,tight6,-642.5
2021-12-06,L,scale2x,-642.5
2021-12-06,L,retest2,-642.5
2021-12-06,L,retest6,-642.5
2021-12-07,L,base,-692.5
2021-12-07,L,be1.0,-692.5
2021-12-07,L,be0.5,-692.5
2021-12-07,L,tight6,-180.0
2021-12-07,L,scale2x,-692.5
2021-12-07,L,retest2,-692.5
2021-12-07,L,retest6,-692.5
2021-12-13,S,base,332.5
2021-12-13,S,be1.0,332.5
2021-12-13,S,be0.5,332.5
2021-12-13,S,tight6,-205.0
2021-12-13,S,scale2x,332.5
