engine,entry_dt,exit_dt,why,entry,exit,pts,pnl,window
4h,2022-11-16 09:00:00,2022-11-16 21:00:00,sma5,4790.5,4808.25,17.5,82.5,A: 2021-06-17..2026-07-02
4h,2022-11-17 01:00:00,2022-11-17 09:00:00,sma5,4769.25,4778.5,9.0,40.0,A: 2021-06-17..2026-07-02
4h,2022-11-27 17:00:00,2022-11-29 01:00:00,sma5,4831.5,4802.25,-29.5,-152.5,A: 2021-06-17..2026-07-02
4h,2022-11-29 05:00:00,2022-11-29 21:00:00,sma5,4788.75,4790.5,1.5,2.5,A: 2021-06-17..2026-07-02
4h,2023-01-09 17:00:00,2023-01-10 05:00:00,sma5,4690.75,4707.0,16.0,75.0,A: 2021-06-17..2026-07-02
4h,2023-01-18 09:00:00,2023-01-19 21:00:00,sma5,4755.0,4712.5,-42.75,-218.75,A: 2021-06-17..2026-07-02
4h,2023-01-25 01:00:00,2023-01-25 09:00:00,sma5,4791.25,4806.75,15.25,71.25,A: 2021-06-17..2026-07-02
4h,2023-01-30 01:00:00,2023-01-30 05:00:00,sma5,4839.0,4858.0,18.75,88.75,A: 2021-06-17..2026-07-02
4h,2023-01-30 09:00:00,2023-01-31 05:00:00,sma5,4836.75,4826.0,-11.0,-60.0,A: 2021-06-17..2026-07-02
4h,2023-02-05 17:00:00,2023-02-06 13:00:00,sma5,4922.5,4911.25,-11.5,-62.5,A: 2021-06-17..2026-07-02
4h,2023-02-09 09:00:00,2023-02-10 09:00:00,sma5,4901.75,4875.25,-26.75,-138.75,A: 2021-06-17..2026-07-02
4h,2023-03-28 05:00:00,2023-03-28 13:00:00,sma5,4753.0,4760.25,7.0,30.0,A: 2021-06-17..2026-07-02
4h,2023-04-05 01:00:00,2023-04-06 01:00:00,sma5,4873.0,4866.25,-7.0,-40.0,A: 2021-06-17..2026-07-02
4h,2023-04-06 05:00:00,2023-04-06 09:00:00,sma5,4855.0,4882.75,27.5,132.5,A: 2021-06-17..2026-07-02
4h,2023-04-10 05:00:00,2023-04-10 09:00:00,sma5,4855.25,4880.25,24.75,118.75,A: 2021-06-17..2026-07-02
4h,2023-04-12 13:00:00,2023-04-13 01:00:00,sma5,4871.0,4881.0,9.75,43.75,A: 2021-06-17..2026-07-02
4h,2023-04-19 01:00:00,2023-04-19 09:00:00,sma5,4908.25,4935.5,27.0,130.0,A: 2021-06-17..2026-07-02
4h,2023-04-20 01:00:00,2023-04-20 09:00:00,sma5,4903.0,4920.5,17.25,81.25,A: 2021-06-17..2026-07-02
4h,2023-05-02 01:00:00,2023-05-02 21:00:00,sma5,4933.5,4898.25,-35.5,-182.5,A: 2021-06-17..2026-07-02
4h,2023-05-23 09:00:00,2023-05-24 13:00:00,sma5,4927.0,4904.5,-22.75,-118.75,A: 2021-06-17..2026-07-02
4h,2023-05-30 09:00:00,2023-05-31 21:00:00,sma5,4956.25,4947.75,-8.75,-48.75,A: 2021-06-17..2026-07-02
4h,2023-06-06 01:00:00,2023-06-06 13:00:00,sma5,5030.5,5046.0,15.25,71.25,A: 2021-06-17..2026-07-02
4h,2023-06-07 13:00:00,2023-06-08 01:00:00,sma5,5027.0,5030.25,3.0,10.0,A: 2021-06-17..2026-07-02
4h,2023-06-18 17:00:00,2023-06-20 17:00:00,sma5,5160.25,5146.75,-13.75,-73.75,A: 2021-06-17..2026-07-02
4h,2023-06-21 05:00:00,2023-06-22 05:00:00,sma5,5122.25,5116.0,-6.5,-37.5,A: 2021-06-17..2026-07-02
4h,2023-07-06 01:00:00,2023-07-06 21:00:00,sma5,5174.25,5152.25,-22.25,-116.25,A: 2021-06-17..2026-07-02
4h,2023-07-16 17:00:00,2023-07-17 05:00:00,sma5,5241.75,5251.75,9.75,43.75,A: 2021-06-17..2026-07-02
4h,2023-07-20 09:00:00,2023-07-21 01:00:00,sma5,5286.25,5284.75,-1.75,-13.75,A: 2021-06-17..2026-07-02
4h,2023-07-23 21:00:00,2023-07-24 01:00:00,sma5,5272.25,5284.75,12.25,56.25,A: 2021-06-17..2026-07-02
4h,2023-07-26 09:00:00,2023-07-26 13:00:00,sma5,5292.25,5302.0,9.5,42.5,A: 2021-06-17..2026-07-02
4h,2023-09-05 13:00:00,2023-09-07 13:00:00,sma5,5210.25,5167.0,-43.5,-222.5,A: 2021-06-17..2026-07-02
4h,2023-10-12 09:00:00,2023-10-12 21:00:00,sma5,5029.0,5046.0,16.75,78.75,A: 2021-06-17..2026-07-02
4h,2023-10-13 13:00:00,2023-10-16 01:00:00,sma5,5012.75,5026.5,13.5,62.5,A: 2021-06-17..2026-07-02
4h,2023-11-09 09:00:00,2023-11-10 05:00:00,sma5,5040.25,5042.75,2.25,6.25,A: 2021-06-17..2026-07-02
4h,2023-11-26 17:00:00,2023-11-27 01:00:00,sma5,5216.75,5226.0,9.0,40.0,A: 2021-06-17..2026-07-02
4h,2023-11-30 09:00:00,2023-11-30 13:00:00,sma5,5212.0,5233.0,20.75,98.75,A: 2021-06-17..2026-07-02
4h,2023-12-05 01:00:00,2023-12-05 09:00:00,sma5,5220.75,5232.75,11.75,53.75,A: 2021-06-17..2026-07-02
4h,2023-12-06 13:00:00,2023-12-07 05:00:00,sma5,5217.75,5232.5,14.5,67.5,A: 2021-06-17..2026-07-02
4h,2023-12-20 13:00:00,2023-12-21 05:00:00,sma5,5361.25,5389.75,28.25,136.25,A: 2021-06-17..2026-07-02
4h,2024-01-02 05:00:00,2024-01-05 05:00:00,sma5,5391.25,5344.75,-46.75,-238.75,A: 2021-06-17..2026-07-02
4h,2024-01-15 21:00:00,2024-01-16 13:00:00,sma5,5406.0,5407.0,0.75,-1.25,A: 2021-06-17..2026-07-02
4h,2024-01-30 21:00:00,2024-02-01 01:00:00,sma5,5536.5,5496.5,-40.25,-206.25,A: 2021-06-17..2026-07-02
4h,2024-02-12 17:00:00,2024-02-13 21:00:00,sma5,5642.75,5583.25,-59.75,-303.75,A: 2021-06-17..2026-07-02
4h,2024-02-16 13:00:00,2024-02-19 05:00:00,sma5,5622.5,5635.5,12.75,58.75,A: 2021-06-17..2026-07-02
4h,2024-02-19 17:00:00,2024-02-20 21:00:00,sma5,5612.5,5597.0,-15.75,-83.75,A: 2021-06-17..2026-07-02
4h,2024-02-25 17:00:00,2024-02-26 01:00:00,sma5,5699.75,5707.25,7.25,31.25,A: 2021-06-17..2026-07-02
4h,2024-02-26 13:00:00,2024-02-27 01:00:00,sma5,5685.5,5694.0,8.25,36.25,A: 2021-06-17..2026-07-02
4h,2024-03-04 17:00:00,2024-03-06 01:00:00,sma5,5737.25,5709.75,-27.75,-143.75,A: 2021-06-17..2026-07-02
4h,2024-03-08 09:00:00,2024-03-11 09:00:00,sma5,5735.25,5728.25,-7.25,-41.25,A: 2021-06-17..2026-07-02
4h,2024-03-14 05:00:00,2024-03-15 01:00:00,sma5,5754.0,5769.25,15.0,70.0,A: 2021-06-17..2026-07-02
4h,2024-03-15 05:00:00,2024-03-17 21:00:00,sma5,5727.25,5742.0,14.5,67.5,A: 2021-06-17..2026-07-02
4h,2024-03-22 13:00:00,2024-03-25 17:00:00,sma5,5834.25,5830.0,-4.5,-27.5,A: 2021-06-17..2026-07-02
4h,2024-04-01 17:00:00,2024-04-03 05:00:00,sma5,5834.0,5799.5,-34.75,-178.75,A: 2021-06-17..2026-07-02
4h,2024-05-23 09:00:00,2024-05-24 01:00:00,sma5,5838.5,5842.0,3.25,11.25,A: 2021-06-17..2026-07-02
4h,2024-05-28 09:00:00,2024-05-30 05:00:00,sma5,5858.25,5814.75,-43.75,-223.75,A: 2021-06-17..2026-07-02
4h,2024-06-14 01:00:00,2024-06-14 13:00:00,sma5,5958.0,5980.25,22.0,105.0,A: 2021-06-17..2026-07-02
4h,2024-06-21 05:00:00,2024-06-21 13:00:00,sma5,6003.5,6012.5,8.75,38.75,A: 2021-06-17..2026-07-02
4h,2024-06-24 13:00:00,2024-06-25 01:00:00,sma5,5991.75,6003.25,11.25,51.25,A: 2021-06-17..2026-07-02
4h,2024-07-11 09:00:00,2024-07-12 01:00:00,sma5,6107.0,6120.25,13.0,60.0,A: 2021-06-17..2026-07-02
4h,2024-07-17 09:00:00,2024-07-17 21:00:00,sma5,6116.5,6127.0,10.25,46.25,A: 2021-06-17..2026-07-02
4h,2024-08-22 09:00:00,2024-08-22 21:00:00,sma5,6064.0,6088.75,24.5,117.5,A: 2021-06-17..2026-07-02
4h,2024-08-28 09:00:00,2024-08-29 01:00:00,sma5,6056.75,6101.5,44.5,217.5,A: 2021-06-17..2026-07-02
4h,2024-09-03 01:00:00,2024-09-04 05:00:00,sma5,6105.75,6021.5,-84.5,-427.5,A: 2021-06-17..2026-07-02
4h,2024-10-02 01:00:00,2024-10-02 09:00:00,sma5,6158.0,6178.75,20.5,97.5,A: 2021-06-17..2026-07-02
4h,2024-10-16 05:00:00,2024-10-16 09:00:00,sma5,6270.75,6296.0,25.0,120.0,A: 2021-06-17..2026-07-02
4h,2024-10-22 01:00:00,2024-10-22 09:00:00,sma5,6281.0,6314.5,33.25,161.25,A: 2021-06-17..2026-07-02
4h,2024-11-12 01:00:00,2024-11-12 05:00:00,sma5,6433.5,6448.25,14.5,67.5,A: 2021-06-17..2026-07-02
4h,2024-11-14 09:00:00,2024-11-17 21:00:00,sma5,6396.25,6330.75,-65.75,-333.75,A: 2021-06-17..2026-07-02
4h,2024-12-06 01:00:00,2024-12-06 05:00:00,sma5,6496.25,6525.75,29.25,141.25,A: 2021-06-17..2026-07-02
4h,2024-12-09 13:00:00,2024-12-10 01:00:00,sma5,6478.75,6481.75,2.75,8.75,A: 2021-06-17..2026-07-02
4h,2024-12-10 09:00:00,2024-12-11 05:00:00,sma5,6474.25,6499.25,24.75,118.75,A: 2021-06-17..2026-07-02
4h,2024-12-12 13:00:00,2024-12-12 21:00:00,sma5,6474.25,6485.25,10.75,48.75,A: 2021-06-17..2026-07-02
4h,2025-01-26 17:00:00,2025-01-27 13:00:00,sma5,6420.5,6392.0,-28.75,-148.75,A: 2021-06-17..2026-07-02
4h,2025-01-31 13:00:00,2025-02-03 09:00:00,sma5,6407.25,6376.0,-31.5,-162.5,A: 2021-06-17..2026-07-02
4h,2025-02-18 05:00:00,2025-02-18 13:00:00,sma5,6477.5,6486.5,8.75,38.75,A: 2021-06-17..2026-07-02
4h,2025-02-20 05:00:00,2025-02-20 13:00:00,sma5,6458.5,6474.75,16.0,75.0,A: 2021-06-17..2026-07-02
4h,2025-03-26 09:00:00,2025-03-27 01:00:00,sma5,6042.0,6055.75,13.5,62.5,A: 2021-06-17..2026-07-02
4h,2025-03-27 09:00:00,2025-03-31 09:00:00,sma5,6027.5,5887.25,-140.5,-707.5,A: 2021-06-17..2026-07-02
4h,2025-04-23 21:00:00,2025-04-24 05:00:00,sma5,5671.75,5730.0,58.0,285.0,A: 2021-06-17..2026-07-02
4h,2025-04-30 05:00:00,2025-04-30 09:00:00,sma5,5750.0,5836.75,86.5,427.5,A: 2021-06-17..2026-07-02
4h,2025-05-05 17:00:00,2025-05-06 17:00:00,sma5,5949.25,5959.75,10.25,46.25,A: 2021-06-17..2026-07-02
4h,2025-05-14 21:00:00,2025-05-15 05:00:00,sma5,6179.0,6185.5,6.25,26.25,A: 2021-06-17..2026-07-02
4h,2025-05-18 21:00:00,2025-05-19 05:00:00,sma5,6207.75,6234.25,26.25,126.25,A: 2021-06-17..2026-07-02
4h,2025-05-20 21:00:00,2025-05-22 05:00:00,sma5,6222.5,6161.0,-61.75,-313.75,A: 2021-06-17..2026-07-02
4h,2025-05-30 05:00:00,2025-05-30 13:00:00,sma5,6182.25,6204.25,21.75,103.75,A: 2021-06-17..2026-07-02
4h,2025-06-04 21:00:00,2025-06-05 01:00:00,sma5,6265.75,6274.5,8.5,37.5,A: 2021-06-17..2026-07-02
4h,2025-06-05 05:00:00,2025-06-05 09:00:00,sma5,6251.75,6267.0,15.0,70.0,A: 2021-06-17..2026-07-02
4h,2025-06-05 13:00:00,2025-06-05 21:00:00,sma5,6230.25,6258.5,28.0,135.0,A: 2021-06-17..2026-07-02
4h,2025-06-11 17:00:00,2025-06-12 05:00:00,sma5,6295.0,6311.5,16.25,76.25,A: 2021-06-17..2026-07-02
4h,2025-06-17 09:00:00,2025-06-18 01:00:00,sma5,6278.0,6290.0,11.75,53.75,A: 2021-06-17..2026-07-02
4h,2025-07-07 09:00:00,2025-07-07 21:00:00,sma5,6503.25,6516.5,13.0,60.0,A: 2021-06-17..2026-07-02
4h,2025-07-11 01:00:00,2025-07-11 09:00:00,sma5,6515.5,6544.0,28.25,136.25,A: 2021-06-17..2026-07-02
4h,2025-07-13 17:00:00,2025-07-14 05:00:00,sma5,6507.0,6524.0,16.75,78.75,A: 2021-06-17..2026-07-02
4h,2025-07-15 13:00:00,2025-07-16 05:00:00,sma5,6508.75,6516.75,7.75,33.75,A: 2021-06-17..2026-07-02
4h,2025-07-22 01:00:00,2025-07-22 09:00:00,sma5,6572.5,6576.0,3.25,11.25,A: 2021-06-17..2026-07-02
4h,2025-07-31 13:00:00,2025-08-03 17:00:00,sma5,6603.75,6517.0,-87.0,-440.0,A: 2021-06-17..2026-07-02
4h,2025-08-15 13:00:00,2025-08-17 17:00:00,sma5,6702.25,6719.25,16.75,78.75,A: 2021-06-17..2026-07-02
4h,2025-08-18 01:00:00,2025-08-18 13:00:00,sma5,6694.5,6702.0,7.25,31.25,A: 2021-06-17..2026-07-02
4h,2025-08-18 21:00:00,2025-08-19 01:00:00,sma5,6690.25,6700.75,10.25,46.25,A: 2021-06-17..2026-07-02
4h,2025-08-19 17:00:00,2025-08-20 13:00:00,sma5,6653.75,6649.5,-4.5,-27.5,A: 2021-06-17..2026-07-02
4h,2025-08-29 05:00:00,2025-08-31 17:00:00,sma5,6714.25,6719.25,4.75,18.75,A: 2021-06-17..2026-07-02
4h,2025-09-01 21:00:00,2025-09-02 13:00:00,sma5,6699.0,6682.25,-17.0,-90.0,A: 2021-06-17..2026-07-02
4h,2025-09-16 21:00:00,2025-09-17 05:00:00,sma5,6843.75,6846.25,2.25,6.25,A: 2021-06-17..2026-07-02
4h,2025-09-24 09:00:00,2025-09-25 17:00:00,sma5,6866.0,6836.75,-29.5,-152.5,A: 2021-06-17..2026-07-02
4h,2025-10-07 09:00:00,2025-10-08 01:00:00,sma5,6932.25,6949.5,17.0,80.0,A: 2021-06-17..2026-07-02
4h,2025-11-03 17:00:00,2025-11-05 05:00:00,sma5,7031.5,7000.5,-31.25,-161.25,A: 2021-06-17..2026-07-02
4h,2025-11-30 17:00:00,2025-12-01 05:00:00,sma5,6998.25,7018.25,19.75,93.75,A: 2021-06-17..2026-07-02
4h,2025-12-08 09:00:00,2025-12-08 21:00:00,sma5,7019.5,7040.5,20.75,98.75,A: 2021-06-17..2026-07-02
4h,2025-12-28 21:00:00,2025-12-29 21:00:00,sma5,7091.75,7072.0,-20.0,-105.0,A: 2021-06-17..2026-07-02
4h,2025-12-30 21:00:00,2026-01-01 21:00:00,sma5,7049.5,7043.5,-6.25,-36.25,A: 2021-06-17..2026-07-02
4h,2026-01-07 17:00:00,2026-01-08 09:00:00,sma5,7077.75,7075.0,-3.0,-20.0,A: 2021-06-17..2026-07-02
4h,2026-01-12 01:00:00,2026-01-12 05:00:00,sma5,7078.75,7119.75,40.75,198.75,A: 2021-06-17..2026-07-02
4h,2026-01-14 01:00:00,2026-01-14 17:00:00,sma5,7091.5,7080.25,-11.5,-62.5,A: 2021-06-17..2026-07-02
4h,2026-01-29 05:00:00,2026-01-29 13:00:00,sma5,7086.5,7109.75,23.0,110.0,A: 2021-06-17..2026-07-02
4h,2026-05-12 05:00:00,2026-05-12 13:00:00,sma5,7463.75,7488.0,24.0,115.0,A: 2021-06-17..2026-07-02
4h,2026-05-14 21:00:00,2026-05-15 09:00:00,sma5,7533.5,7538.25,4.5,17.5,A: 2021-06-17..2026-07-02
4h,2026-05-15 13:00:00,2026-05-18 05:00:00,sma5,7485.5,7513.25,27.5,132.5,A: 2021-06-17..2026-07-02
4h,2026-05-26 09:00:00,2026-05-26 17:00:00,sma5,7591.5,7609.75,18.0,85.0,A: 2021-06-17..2026-07-02
4h,2026-06-01 17:00:00,2026-06-02 01:00:00,sma5,7645.0,7669.0,23.75,113.75,A: 2021-06-17..2026-07-02
4h,2026-06-03 13:00:00,2026-06-04 05:00:00,sma5,7615.0,7627.0,11.75,53.75,A: 2021-06-17..2026-07-02
4h,2026-06-16 13:00:00,2026-06-18 01:00:00,sma5,7583.0,7563.25,-20.0,-105.0,A: 2021-06-17..2026-07-02
daily,2010-11-15 00:00:00,2010-11-18 00:00:00,sma5,1848.25,1853.25,4.75,18.75,B: 2010-06..2021-06 (OOS)
daily,2010-11-23 00:00:00,2010-11-24 00:00:00,sma5,1831.75,1851.25,19.25,91.25,B: 2010-06..2021-06 (OOS)
