Date,yr,traded,n5m,n1m,flat1m,t_first,t_last,close,adr,bull,bear,neut,n_ent,n_gate,n_fill
2023-12-27,2023,True,81,405,0.0,08:30,15:10,5442.75,41.45,0,40,41,2,0,0
2023-12-28,2023,True,81,405,0.0,08:30,15:10,5441.5,39.6,24,9,48,3,1,1
2023-12-29,2023,True,81,405,0.0,08:30,15:10,5421.5,34.025,27,26,28,5,4,1
2024-01-02,2024,False,81,405,0.0,08:30,15:10,5396.0,33.3,0,0,0,0,0,0
2024-01-03,2024,True,81,405,0.0,08:30,15:10,5354.5,34.275,11,15,55,5,2,1
2024-01-04,2024,True,81,405,0.0,08:30,15:10,5336.75,35.15,22,45,14,2,1,0
2024-01-05,2024,True,81,405,0.0,08:30,15:10,5345.0,36.6,20,26,35,3,1,1
2024-01-08,2024,True,81,405,0.0,08:30,15:10,5408.0,31.9,78,0,3,1,0,0
2024-01-09,2024,True,81,405,0.0,08:30,15:10,5400.0,34.15,40,7,34,1,0,0
2024-01-10,2024,True,81,405,0.0,08:30,15:10,5427.5,34.1,34,8,39,1,0,0
2024-01-11,2024,True,81,405,0.0,08:30,15:10,5422.0,35.075,29,22,30,5,4,1
2024-01-12,2024,True,81,405,0.0,08:30,15:10,5421.5,39.025,23,11,47,2,0,0
2024-01-15,2024,True,42,210,0.009523809523809525,08:30,11:55,5421.5,41.275,25,0,17,1,0,0
2024-01-16,2024,True,81,405,0.0,08:30,15:10,5406.75,37.9,10,19,52,4,2,2
2024-01-17,2024,False,81,405,0.0,08:30,15:10,5376.75,38.325,0,0,0,0,0,0
2024-01-18,2024,True,81,405,0.0,08:30,15:10,5417.25,38.2,8,31,42,3,3,2
2024-01-19,2024,True,81,405,0.0,08:30,15:10,5479.75,38.95,46,7,28,3,2,1
2024-01-22,2024,True,81,405,0.0,08:30,15:10,5487.75,40.825,2,70,9,3,2,2
2024-01-23,2024,True,81,405,0.0,08:30,15:10,5506.5,36.775,19,26,36,6,3,1
2024-01-24,2024,True,81,405,0.0,08:30,15:10,5501.25,35.55,2,46,33,4,2,0
2024-01-25,2024,True,81,405,0.0,08:30,15:10,5530.0,36.35,17,23,41,2,0,0
2024-01-26,2024,True,81,405,0.0,08:30,15:10,5522.5,33.375,45,0,36,4,1,0
2024-01-29,2024,True,81,405,0.0,08:30,15:10,5559.0,32.625,26,13,42,3,1,0
2024-01-30,2024,True,81,405,0.0,08:30,15:10,5553.0,36.5,22,17,42,2,0,0
2024-01-31,2024,True,81,405,0.0,08:30,15:10,5480.0,34.725,9,8,64,3,0,0
2024-02-01,2024,True,81,405,0.0,08:30,15:10,5552.25,38.225,13,4,64,3,1,1
2024-02-02,2024,True,81,405,0.0,08:30,15:10,5586.5,40.625,49,4,28,4,2,2
2024-02-05,2024,True,81,405,0.0,08:30,15:10,5567.25,41.575,36,15,30,3,0,0
2024-02-06,2024,True,81,405,0.0,08:30,15:10,5577.0,43.075,30,5,46,3,0,0
2024-02-07,2024,True,81,405,0.0,08:30,15:10,5622.5,42.975,4,35,42,4,0,0
2024-02-08,2024,True,81,405,0.0,08:30,15:10,5623.5,41.75,13,19,49,4,2,2
2024-02-09,2024,True,81,405,0.0,08:30,15:10,5650.75,40.275,64,0,17,1,0,0
2024-02-12,2024,True,81,405,0.0,08:30,15:10,5642.0,40.825,37,24,20,2,1,0
2024-02-13,2024,False,81,405,0.0,08:30,15:10,5578.75,39.9,0,0,0,0,0,0
2024-02-14,2024,True,81,405,0.0,08:30,15:10,5626.25,43.225,39,0,42,4,1,1
2024-02-15,2024,True,81,405,0.0,08:30,15:10,5655.5,41.525,39,8,34,5,3,2
2024-02-16,2024,True,81,405,0.0,08:30,15:10,5623.5,38.1,19,32,30,2,1,0
2024-02-19,2024,True,42,210,0.05238095238095238,08:30,11:55,5632.5,35.4,0,19,23,2,1,1
2024-02-20,2024,True,81,405,0.0,08:30,15:10,5595.0,32.0,16,22,43,3,0,0
2024-02-21,2024,True,81,405,0.0,08:30,15:10,5601.0,33.775,8,18,55,3,1,1
2024-02-22,2024,False,81,405,0.0,08:30,15:10,5702.5,34.5,0,0,0,0,0,0
2024-02-23,2024,True,81,405,0.0,08:30,15:10,5705.5,38.55,0,76,5,1,0,0
2024-02-26,2024,True,81,405,0.0,08:30,15:10,5686.75,38.425,2,46,33,3,1,1
2024-02-27,2024,True,81,405,0.0,08:30,15:10,5699.75,38.05,33,19,29,2,1,1
2024-02-28,2024,True,81,405,0.0,08:30,15:10,5679.5,35.425,48,1,32,2,0,0
2024-02-29,2024,True,81,405,0.0,08:30,15:10,5708.0,32.6,10,40,31,3,2,2
2024-03-01,2024,True,81,405,0.0,08:30,15:10,5749.0,33.375,34,10,37,6,2,2
2024-03-04,2024,True,81,405,0.0,08:30,15:10,5742.75,34.0,60,6,15,3,2,2
2024-03-05,2024,True,81,405,0.0,08:30,15:10,5698.5,35.775,0,41,40,2,0,0
2024-03-06,2024,True,81,405,0.0,08:30,15:10,5720.5,37.525,13,41,27,4,3,3
2024-03-07,2024,True,81,405,0.0,08:30,15:10,5763.5,37.275,54,1,26,4,2,2
2024-03-08,2024,True,81,405,0.0,08:30,15:10,5741.5,35.45,0,46,35,1,0,0
2024-03-11,2024,True,81,405,0.0,08:30,15:10,5733.0,39.475,21,26,34,1,1,0
2024-03-12,2024,True,81,405,0.0,08:30,15:10,5786.0,39.875,45,9,27,6,5,2
2024-03-13,2024,True,81,405,0.0,08:30,15:10,5780.25,44.0,25,15,41,2,0,0
2024-03-14,2024,True,81,405,0.0,08:30,15:10,5762.25,44.925,8,15,58,2,0,0
2024-03-15,2024,False,81,405,0.0,08:30,15:10,5728.5,45.825,0,0,0,0,0,0
2024-03-18,2024,False,81,405,0.0,08:30,15:10,5760.0,44.425,0,0,0,0,0,0
2024-03-19,2024,True,81,405,0.0,08:30,15:10,5785.25,45.075,45,0,36,3,1,1
2024-03-20,2024,True,81,405,0.0,08:30,15:10,5839.25,44.175,30,10,41,5,2,1
2024-03-21,2024,True,81,405,0.0,08:30,15:10,5851.25,46.775,30,16,35,3,2,2
2024-03-22,2024,True,81,405,0.0,08:30,15:10,5834.25,45.325,27,27,27,4,2,1
2024-03-25,2024,True,81,405,0.0,08:30,15:10,5822.5,39.9,55,14,12,1,0,0
2024-03-26,2024,True,81,405,0.0,08:30,15:10,5815.75,37.925,14,34,33,3,1,1
2024-03-27,2024,True,81,405,0.0,08:30,15:10,5855.75,34.4,1,41,39,3,0,0
2024-03-28,2024,True,81,405,0.0,08:30,15:10,5851.0,35.85,20,12,49,3,1,0
2024-04-01,2024,True,81,405,0.0,08:30,15:10,5839.0,32.4,21,30,30,3,2,2
2024-04-02,2024,False,81,405,0.0,08:30,15:10,5806.75,32.5,0,0,0,0,0,0
2024-04-03,2024,True,81,405,0.0,08:30,15:10,5814.25,32.25,32,18,31,3,1,0
2024-04-04,2024,False,81,405,0.0,08:30,15:10,5746.25,30.675,0,0,0,0,0,0
2024-04-05,2024,True,81,405,0.0,08:30,15:10,5795.0,35.825,7,34,40,1,0,0
2024-04-08,2024,True,81,405,0.0,08:30,15:10,5802.0,40.125,2,31,48,4,1,0
2024-04-09,2024,True,81,405,0.0,08:30,15:10,5811.5,40.775,22,15,44,1,0,0
2024-04-10,2024,False,81,405,0.0,08:30,15:10,5742.5,45.925,0,0,0,0,0,0
2024-04-11,2024,True,81,405,0.0,08:30,15:10,5788.0,46.925,40,23,18,2,0,0
2024-04-12,2024,False,81,405,0.0,08:30,15:10,5714.75,50.2,0,0,0,0,0,0
2024-04-15,2024,False,81,405,0.0,08:30,15:10,5644.25,55.175,0,0,0,0,0,0
2024-04-16,2024,True,81,405,0.0,08:30,15:10,5636.5,63.575,13,17,51,4,1,1
2024-04-17,2024,True,81,405,0.0,08:30,15:10,5605.25,65.275,18,27,36,2,0,0
2024-04-18,2024,True,81,405,0.0,08:30,15:10,5593.75,69.1,26,27,28,3,2,2
2024-04-19,2024,True,81,405,0.0,08:30,15:10,5548.25,63.35,4,35,42,2,0,0
2024-04-22,2024,True,81,405,0.0,08:30,15:10,5589.25,63.45,21,25,35,3,2,1
2024-04-23,2024,True,81,405,0.0,08:30,15:10,5654.75,68.175,15,15,51,2,0,0
2024-04-24,2024,True,81,405,0.0,08:30,15:10,5630.75,66.475,3,37,41,3,1,1
2024-04-25,2024,False,81,405,0.0,08:30,15:10,5670.0,66.6,0,0,0,0,0,0
2024-04-26,2024,True,81,405,0.0,08:30,15:10,5674.25,69.975,36,0,45,2,1,1
2024-04-29,2024,True,81,405,0.0,08:30,15:10,5692.25,67.3,4,31,46,2,0,0
2024-04-30,2024,True,81,405,0.0,08:30,15:10,5609.0,58.95,0,64,17,4,3,2
2024-05-01,2024,True,81,405,0.0,08:30,15:10,5595.0,63.2,8,53,20,3,2,2
2024-05-02,2024,False,81,405,0.0,08:30,15:10,5636.25,64.45,0,0,0,0,0,0
2024-05-03,2024,False,81,405,0.0,08:30,15:10,5705.75,65.225,0,0,0,0,0,0
2024-05-06,2024,True,81,405,0.0,08:30,15:10,5748.5,62.55,46,2,33,3,2,1
2024-05-07,2024,True,81,405,0.0,08:30,15:10,5760.0,58.85,36,20,25,4,2,0
2024-05-08,2024,True,81,405,0.0,08:30,15:10,5753.0,56.075,35,0,46,3,1,0
2024-05-09,2024,True,81,405,0.0,08:30,15:10,5787.0,54.4,22,3,56,3,2,2
2024-05-10,2024,True,81,405,0.0,08:30,15:10,5788.75,47.5,12,25,44,4,2,2
2024-05-13,2024,True,81,405,0.0,08:30,15:10,5787.0,46.425,1,58,22,3,2,1
2024-05-14,2024,True,81,405,0.0,08:30,15:10,5813.0,45.875,26,16,39,3,2,0
2024-05-15,2024,True,81,405,0.0,08:30,15:10,5871.25,40.475,39,10,32,3,1,1
2024-05-16,2024,True,81,405,0.0,08:30,15:10,5862.25,37.075,6,29,46,2,1,1
2024-05-17,2024,True,81,405,0.0,08:30,15:10,5870.25,33.825,19,17,45,3,0,0
2024-05-20,2024,True,81,405,0.0,08:30,15:10,5874.5,32.125,24,22,35,3,1,0
2024-05-21,2024,True,81,405,0.0,08:30,15:10,5888.75,31.2,29,18,34,4,2,1
2024-05-22,2024,True,81,405,0.0,08:30,15:10,5873.0,31.575,1,33,47,4,2,1
2024-05-23,2024,True,81,405,0.0,08:30,15:10,5830.75,32.8,25,20,36,2,1,1
2024-05-24,2024,True,81,405,0.0,08:30,15:10,5865.25,37.225,65,3,13,1,1,1
2024-05-27,2024,True,42,210,0.0,08:30,11:55,5878.5,37.55,3,0,39,1,0,0
2024-05-28,2024,True,81,405,0.0,08:30,15:10,5866.75,36.175,5,26,50,5,2,0
2024-05-29,2024,False,81,405,0.0,08:30,15:10,5824.5,36.325,0,0,0,0,0,0
2024-05-30,2024,True,81,405,0.0,08:30,15:10,5787.75,33.25,12,30,39,5,2,1
2024-05-31,2024,True,81,405,0.0,08:30,15:10,5842.0,33.925,29,26,26,3,3,2
2024-06-03,2024,True,81,405,0.0,08:30,15:10,5845.0,41.775,22,8,51,2,1,0
2024-06-04,2024,True,81,405,0.0,08:30,15:10,5849.0,45.975,45,18,18,5,4,3
2024-06-05,2024,True,81,405,0.0,08:30,15:10,5907.0,47.75,46,8,27,3,2,1
2024-06-06,2024,True,81,405,0.0,08:30,15:10,5907.0,49.975,7,35,39,3,0,0
2024-06-07,2024,True,81,405,0.0,08:30,15:10,5896.5,44.3,51,5,25,2,0,0
2024-06-10,2024,True,81,405,0.0,08:30,15:10,5910.75,45.3,39,6,36,2,0,0
2024-06-11,2024,True,81,405,0.0,08:30,15:10,5929.75,47.15,31,3,47,3,1,1
2024-06-12,2024,False,81,405,0.0,08:30,15:10,5970.0,48.875,0,0,0,0,0,0
2024-06-13,2024,True,81,405,0.0,08:30,15:10,5981.0,50.725,41,19,21,2,1,1
2024-06-14,2024,True,81,405,0.0,08:30,15:10,5979.0,50.575,28,10,43,2,0,0
2024-06-17,2024,True,81,405,0.0,08:30,15:10,6022.0,43.425,68,0,13,1,0,0
2024-06-18,2024,True,81,405,0.0,08:30,15:10,6038.25,43.7,29,11,41,2,0,0
2024-06-19,2024,True,42,210,0.02857142857142857,08:30,11:55,6037.75,41.35,0,33,9,1,1,0
2024-06-20,2024,True,81,405,0.0,08:30,15:10,6017.0,35.95,14,25,42,2,0,0
2024-06-21,2024,True,81,405,0.0,08:30,15:10,6014.25,38.275,6,33,42,1,0,0
