Date,eod,reg,cut
2023-11-07,-105.0,-117.5,True
2023-11-10,582.5,582.5,False
2023-11-10,520.0,520.0,False
2023-11-13,-105.0,-105.0,False
2023-11-17,95.0,195.0,True
2023-11-29,-342.5,-342.5,False
2023-11-30,-367.5,-367.5,False
2023-12-01,-380.0,-242.5,True
2023-12-01,195.0,-92.5,True
2023-12-05,-392.5,-230.0,True
2023-12-06,945.0,945.0,False
2023-12-06,782.5,782.5,False
2023-12-07,-180.0,-105.0,True
2023-12-08,820.0,-230.0,True
2023-12-12,882.5,882.5,False
2023-12-12,732.5,732.5,False
2023-12-15,-592.5,45.0,True
2023-12-15,-592.5,-105.0,True
2023-12-19,132.5,-105.0,True
2023-12-19,170.0,-105.0,True
2023-12-28,32.5,-67.5,True
2023-12-29,-55.0,20.0,True
2024-01-05,-567.5,-180.0,True
2024-01-11,732.5,570.0,True
2024-01-16,-580.0,-305.0,True
2024-01-16,-417.5,-292.5,True
2024-01-18,-592.5,-230.0,True
2024-01-18,-592.5,-255.0,True
2024-01-19,2082.5,1670.0,True
2024-01-22,270.0,270.0,False
2024-01-22,70.0,70.0,False
2024-01-23,-567.5,-180.0,True
2024-02-01,1795.0,-192.5,True
2024-02-02,982.5,457.5,True
2024-02-02,-630.0,-280.0,True
2024-02-08,-205.0,-92.5,True
2024-02-08,170.0,-142.5,True
2024-02-14,-667.5,-192.5,True
2024-02-15,-642.5,-392.5,True
2024-02-15,495.0,495.0,False
2024-02-21,-530.0,-192.5,True
2024-02-26,607.5,607.5,False
2024-02-27,-592.5,-167.5,True
2024-02-29,-505.0,-155.0,True
2024-02-29,-505.0,-505.0,False
2024-03-01,332.5,370.0,True
2024-03-04,-330.0,545.0,True
2024-03-04,-530.0,357.5,True
2024-03-06,-580.0,-255.0,True
2024-03-06,-192.5,-192.5,False
2024-03-06,-242.5,-242.5,False
2024-03-07,-30.0,220.0,True
2024-03-07,-580.0,-155.0,True
2024-03-12,-617.5,-380.0,True
2024-03-12,-617.5,-617.5,False
2024-03-19,1282.5,732.5,True
2024-03-20,2495.0,-317.5,True
2024-03-21,-717.5,-230.0,True
