Date,book,net
2015-10-20,WT-L,-305.0
2015-10-20,WT-S,82.5
2015-11-02,WT-L,445.0
2015-11-04,WT-S,95.0
2015-11-05,WT-S,-305.0
2015-11-09,WT-L,182.5
2015-11-09,WT-L,120.0
2015-11-10,WT-S,-317.5
2015-11-12,WT-L,-292.5
2015-11-13,WT-S,-317.5
2015-11-16,WT-L,1107.5
2015-11-16,WT-L,495.0
2015-11-17,WT-L,-342.5
2015-12-02,WT-S,595.0
2015-12-04,WT-L,-280.0
2015-12-04,WT-L,157.5
2015-12-07,WT-S,-330.0
2015-12-07,WT-S,-330.0
2015-12-09,WT-S,-330.0
2015-12-09,WT-S,-330.0
2015-12-10,WT-L,-255.0
2015-12-10,WT-L,-392.5
2015-12-14,WT-S,-442.5
2015-12-17,WT-S,1095.0
2015-12-17,WT-S,1107.5
2016-02-01,WT-L,307.5
2016-02-04,WT-S,-517.5
2016-02-04,WT-L,-517.5
2016-02-04,WT-L,-517.5
2016-02-05,WT-S,107.5
2016-02-05,WT-S,-192.5
2016-02-10,WT-S,-555.0
2016-02-16,WT-L,-80.0
2016-02-19,WT-L,170.0
2016-02-26,WT-S,770.0
2016-02-26,WT-S,532.5
2016-02-26,WT-S,307.5
2016-02-29,WT-S,-330.0
2016-03-01,WT-L,645.0
2016-03-03,WT-L,345.0
2016-03-08,WT-L,-405.0
2016-03-15,WT-L,382.5
2016-03-18,WT-L,-317.5
2016-04-01,WT-L,320.0
2016-04-04,WT-L,-267.5
2016-04-06,WT-S,-267.5
2016-04-07,WT-L,-280.0
2016-04-08,WT-S,-305.0
2016-04-11,WT-S,570.0
2016-04-22,WT-S,-267.5
2016-04-27,WT-L,-217.5
2016-05-02,WT-L,457.5
2016-05-02,WT-L,445.0
2016-05-03,WT-L,-17.5
2016-05-04,WT-S,20.0
2016-05-05,WT-S,-42.5
2016-05-06,WT-L,70.0
2016-05-12,WT-S,-292.5
2016-05-13,WT-S,-280.0
2016-05-16,WT-L,95.0
2016-05-17,WT-S,-117.5
2016-05-18,WT-S,-317.5
2016-05-19,WT-S,-330.0
2016-05-25,WT-S,120.0
2016-05-31,WT-S,-92.5
2016-06-01,WT-L,382.5
2016-06-02,WT-L,670.0
2016-06-09,WT-S,-192.5
2016-06-15,WT-L,-230.0
2016-06-16,WT-L,-242.5
2016-06-17,WT-L,-255.0
2016-06-22,WT-L,-267.5
2016-07-01,WT-S,-80.0
2016-07-06,WT-L,432.5
2016-07-08,WT-L,145.0
2016-07-11,WT-L,-205.0
2016-07-13,WT-S,-117.5
2016-07-15,WT-S,57.5
2016-07-19,WT-S,-242.5
2016-07-19,WT-S,-117.5
2016-07-28,WT-L,107.5
2016-08-02,WT-S,-217.5
2016-08-02,WT-S,-217.5
2016-08-03,WT-L,232.5
2016-08-03,WT-L,145.0
2016-08-05,WT-S,-230.0
2016-08-05,WT-S,7.5
2016-08-08,WT-S,95.0
2016-08-09,WT-L,-217.5
2016-08-22,WT-L,-155.0
2016-08-22,WT-L,-155.0
2016-08-24,WT-S,270.0
2016-08-25,WT-L,-167.5
2016-08-29,WT-L,-42.5
2016-08-29,WT-L,-92.5
2016-08-31,WT-L,-217.5
2016-09-06,WT-S,-217.5
2016-09-08,WT-L,-217.5
2016-09-22,WT-S,45.0
2016-09-23,WT-S,45.0
2016-09-26,WT-S,132.5
2016-09-28,WT-S,-280.0
2016-10-03,WT-S,-105.0
2016-10-05,WT-S,45.0
2016-10-06,WT-L,132.5
2016-10-11,WT-S,-280.0
2016-10-13,WT-L,682.5
2016-10-13,WT-L,-67.5
2016-10-14,WT-S,-267.5
2016-10-24,WT-S,32.5
2016-10-31,WT-L,-217.5
2016-11-03,WT-L,-267.5
2016-11-03,WT-S,170.0
2016-11-15,WT-S,-380.0
2016-11-21,WT-L,-30.0
2016-11-22,WT-S,-305.0
2016-11-30,WT-S,395.0
2016-11-30,WT-S,345.0
2016-12-19,WT-S,-130.0
2016-12-20,WT-S,-5.0
