Date,sleeve,dir,net
2025-01-24,WT,S,395.0
2025-01-28,WT,S,-705.0
2025-01-29,FADE,S,-217.5
2025-01-30,FADE,S,-217.5
2025-01-31,FADE,S,-217.5
2025-01-31,FADE,S,3620.0
2025-02-05,WT,S,-917.5
2025-02-05,FADE,S,-217.5
2025-02-06,FADE,S,-217.5
2025-02-07,FADE,S,-217.5
2025-02-10,WT,L,-155.0
2025-02-10,WT,L,-292.5
2025-02-11,WT,L,295.0
2025-02-11,WT,L,257.5
2025-02-13,WT,L,1345.0
2025-02-14,WT,L,-380.0
2025-02-14,WT,L,-192.5
2025-02-14,FADE,L,-217.5
2025-02-14,WT,L,-155.0
2025-02-18,WT,S,-692.5
2025-02-18,WT,S,-692.5
2025-02-21,WT,S,3095.0
2025-02-21,WT,S,782.5
2025-02-24,FADE,S,-217.5
2025-02-25,WT,S,-742.5
2025-02-25,FADE,L,795.0
2025-02-26,WT,L,-817.5
2025-02-26,WT,L,-817.5
2025-02-28,FADE,S,-217.5
2025-03-03,WT,L,-1092.5
2025-03-03,WT,S,2357.5
2025-03-05,WT,S,-1492.5
2025-03-07,WT,S,-1692.5
2025-03-13,WT,S,-242.5
2025-03-13,FADE,S,-217.5
2025-03-14,FADE,L,-217.5
2025-03-18,WT,S,-705.0
2025-03-18,FADE,L,-217.5
2025-03-19,WT,L,-1517.5
2025-03-25,FADE,S,-217.5
2025-03-26,WT,S,2482.5
2025-03-26,WT,S,970.0
2025-03-26,WT,S,-167.5
2025-03-27,FADE,S,-217.5
2025-03-28,WT,S,432.5
2025-04-01,WT,S,-1205.0
2025-04-15,FADE,L,-217.5
2025-04-15,WT,S,557.5
2025-04-24,WT,L,2445.0
2025-04-24,WT,L,2257.5
2025-04-29,WT,S,-917.5
2025-05-07,WT,L,-1380.0
2025-05-07,WT,S,-1380.0
2025-05-13,FADE,S,-217.5
2025-05-14,FADE,L,-217.5
2025-05-14,FADE,L,-217.5
2025-05-14,WT,S,-92.5
2025-05-16,FADE,L,-217.5
2025-05-16,FADE,L,1445.0
2025-05-20,FADE,S,-217.5
2025-05-20,FADE,S,-217.5
2025-05-20,FADE,L,-217.5
