Date,book,filled,yr
2024-01-23,2ES,True,2024
2024-01-24,2ES,False,2024
2024-01-24,2ES,False,2024
2024-02-01,2EL,True,2024
2024-02-02,2EL,True,2024
2024-02-02,2EL,True,2024
2024-02-08,2ES,True,2024
2024-02-08,2EL,True,2024
2024-02-12,2ES,False,2024
2024-02-14,2EL,True,2024
2024-02-15,2ES,True,2024
2024-02-15,2EL,True,2024
2024-02-15,2EL,False,2024
2024-02-21,2ES,True,2024
2024-02-26,2ES,True,2024
2024-02-27,2EL,True,2024
2024-02-29,2ES,True,2024
2024-02-29,2ES,True,2024
2024-03-01,2EL,True,2024
2024-03-04,2EL,True,2024
2024-03-04,2EL,True,2024
2024-03-06,2ES,True,2024
2024-03-06,2ES,True,2024
2024-03-06,2ES,True,2024
2024-03-07,2EL,True,2024
2024-03-07,2EL,True,2024
2024-03-11,2ES,False,2024
2024-03-12,2EL,True,2024
2024-03-12,2ES,True,2024
2024-03-19,2EL,True,2024
2024-03-20,2EL,True,2024
2024-03-21,2EL,True,2024
2024-03-21,2ES,True,2024
2024-03-22,2ES,True,2024
2024-03-22,2EL,False,2024
2024-03-26,2ES,True,2024
2024-04-01,2ES,True,2024
2024-04-01,2ES,True,2024
2024-04-16,2ES,True,2024
2024-04-18,2ES,True,2024
2024-04-18,2ES,True,2024
2024-04-22,2EL,True,2024
2024-04-24,2ES,True,2024
2024-04-26,2EL,True,2024
2024-04-30,2ES,True,2024
2024-04-30,2ES,True,2024
2024-05-01,2ES,True,2024
2024-05-01,2ES,True,2024
2024-05-06,2EL,False,2024
2024-05-06,2EL,True,2024
2024-05-07,2EL,False,2024
2024-05-09,2EL,True,2024
2024-05-10,2ES,True,2024
2024-05-10,2ES,True,2024
2024-05-13,2ES,False,2024
2024-05-13,2ES,True,2024
2024-05-15,2EL,True,2024
2024-05-16,2ES,True,2024
2024-05-21,2EL,True,2024
2024-05-24,2EL,True,2024
2024-05-28,2ES,False,2024
2024-05-30,2EL,True,2024
2024-05-30,2ES,False,2024
2024-05-31,2ES,True,2024
2024-05-31,2EL,True,2024
2024-06-04,2ES,True,2024
2024-06-04,2EL,True,2024
2024-06-04,2EL,True,2024
2024-06-05,2EL,False,2024
2024-06-05,2EL,True,2024
2024-06-11,2EL,True,2024
2024-06-13,2ES,True,2024
2024-06-24,2ES,True,2024
2024-06-24,2ES,True,2024
2024-06-25,2EL,False,2024
2024-06-28,2EL,True,2024
2024-07-01,2ES,True,2024
2024-07-01,2ES,True,2024
2024-07-03,2EL,True,2024
2024-07-03,2EL,False,2024
2024-07-05,2EL,True,2024
2024-07-08,2ES,True,2024
2024-07-08,2ES,True,2024
2024-07-08,2ES,True,2024
2024-07-10,2EL,True,2024
2024-07-10,2EL,True,2024
2024-07-15,2ES,True,2024
2024-07-16,2ES,True,2024
2024-07-19,2ES,True,2024
2024-07-19,2ES,True,2024
2024-07-25,2EL,False,2024
2024-07-25,2EL,True,2024
2024-07-25,2ES,True,2024
2024-07-30,2ES,True,2024
2024-08-01,2ES,False,2024
2024-08-20,2ES,True,2024
2024-08-21,2ES,True,2024
2024-08-22,2ES,True,2024
2024-08-26,2ES,True,2024
2024-08-26,2ES,True,2024
2024-08-27,2EL,True,2024
2024-08-28,2ES,True,2024
2024-08-29,2EL,True,2024
2024-08-30,2ES,True,2024
2024-09-06,2ES,True,2024
2024-09-11,2EL,False,2024
2024-09-17,2ES,False,2024
2024-09-17,2ES,True,2024
2024-09-18,2EL,True,2024
2024-09-23,2ES,True,2024
2024-09-24,2EL,True,2024
2024-09-25,2ES,True,2024
2024-09-25,2ES,False,2024
2024-09-25,2ES,True,2024
2024-09-27,2ES,True,2024
2024-10-02,2EL,True,2024
2024-10-02,2EL,True,2024
2024-10-02,2EL,True,2024
2024-10-02,2EL,True,2024
2024-10-03,2EL,True,2024
2024-10-07,2ES,False,2024
2024-10-08,2EL,True,2024
2024-10-09,2EL,False,2024
2024-10-09,2EL,True,2024
2024-10-11,2EL,True,2024
2024-10-15,2ES,True,2024
2024-10-15,2ES,True,2024
2024-10-18,2EL,False,2024
2024-10-18,2EL,True,2024
2024-10-22,2EL,False,2024
2024-10-25,2ES,True,2024
2024-10-29,2EL,True,2024
2024-10-29,2EL,True,2024
2024-10-30,2ES,True,2024
2024-11-04,2EL,True,2024
2024-11-04,2EL,True,2024
2024-11-07,2EL,False,2024
2024-11-08,2EL,True,2024
2024-11-12,2ES,True,2024
2024-11-13,2EL,True,2024
2024-11-13,2EL,True,2024
2024-11-14,2EL,True,2024
2024-11-21,2EL,True,2024
2024-11-22,2ES,True,2024
2024-11-26,2ES,True,2024
2024-12-03,2EL,True,2024
2024-12-09,2EL,True,2024
2024-12-10,2EL,True,2024
2024-12-10,2ES,True,2024
2024-12-11,2EL,True,2024
2024-12-11,2EL,False,2024
2024-12-16,2EL,True,2024
2024-12-17,2EL,False,2024
2024-12-17,2EL,True,2024
2024-12-18,2ES,True,2024
2024-12-31,2ES,True,2024
2024-12-31,2ES,False,2024
2025-01-03,2ES,True,2025
2025-01-03,2ES,True,2025
2025-01-14,2ES,True,2025
2025-01-14,2EL,True,2025
2025-01-21,2EL,True,2025
2025-01-24,2ES,True,2025
2025-01-24,2ES,False,2025
2025-01-28,2ES,True,2025
2025-02-05,2ES,True,2025
2025-02-10,2EL,True,2025
2025-02-10,2EL,True,2025
2025-02-10,2ES,False,2025
2025-02-10,2EL,False,2025
2025-02-11,2EL,False,2025
2025-02-11,2EL,True,2025
2025-02-11,2EL,True,2025
2025-02-13,2EL,True,2025
2025-02-14,2EL,True,2025
2025-02-14,2EL,True,2025
2025-02-14,2EL,True,2025
2025-02-18,2ES,True,2025
2025-02-18,2ES,False,2025
2025-02-18,2ES,True,2025
2025-02-19,2EL,False,2025
2025-02-19,2EL,False,2025
2025-02-21,2ES,True,2025
2025-02-21,2ES,True,2025
2025-02-25,2ES,True,2025
2025-02-26,2EL,True,2025
2025-02-26,2EL,True,2025
2025-03-03,2EL,True,2025
2025-03-03,2ES,True,2025
2025-03-05,2ES,True,2025
2025-03-07,2ES,True,2025
2025-03-13,2ES,True,2025
2025-03-18,2ES,True,2025
2025-03-19,2EL,True,2025
2025-03-26,2ES,True,2025
2025-03-26,2ES,False,2025
2025-03-26,2ES,True,2025
2025-03-26,2ES,True,2025
2025-03-28,2ES,False,2025
2025-03-28,2ES,False,2025
2025-03-28,2ES,True,2025
2025-04-01,2ES,True,2025
2025-04-15,2ES,True,2025
2025-04-24,2EL,True,2025
2025-04-24,2EL,True,2025
2025-04-29,2ES,True,2025
2025-05-07,2EL,True,2025
2025-05-07,2ES,True,2025
2025-05-14,2ES,True,2025
2025-05-22,2EL,True,2025
2025-05-27,2EL,False,2025
2025-05-27,2EL,True,2025
2025-05-27,2EL,False,2025
2025-05-27,2EL,True,2025
2025-05-27,2EL,True,2025
2025-05-28,2EL,True,2025
2025-05-30,2ES,True,2025
2025-06-03,2EL,False,2025
2025-06-05,2ES,True,2025
2025-06-11,2EL,True,2025
2025-06-11,2EL,True,2025
2025-06-11,2ES,True,2025
2025-06-11,2ES,True,2025
2025-06-17,2ES,True,2025
2025-06-26,2EL,False,2025
2025-06-26,2EL,True,2025
2025-06-27,2EL,False,2025
2025-06-30,2EL,True,2025
2025-07-02,2EL,True,2025
2025-07-02,2EL,True,2025
2025-07-02,2EL,True,2025
2025-07-02,2EL,False,2025
2025-07-09,2ES,True,2025
2025-07-09,2EL,False,2025
2025-07-10,2EL,False,2025
