Date,yr,dir,net
2023-02-06,2023,L,-80.0
2023-02-07,2023,L,-892.5
2023-02-10,2023,S,-267.5
2023-02-15,2023,L,445.0
2023-03-06,2023,L,-680.0
2023-03-06,2023,L,-680.0
2023-04-06,2023,L,1245.0
2023-04-06,2023,L,132.5
2023-04-06,2023,L,132.5
2023-04-11,2023,S,-555.0
2023-04-11,2023,L,270.0
2023-04-11,2023,L,-130.0
2023-04-12,2023,L,-542.5
2023-04-13,2023,L,1420.0
2023-04-17,2023,S,-642.5
2023-04-17,2023,S,-642.5
2023-04-24,2023,S,-567.5
2023-04-24,2023,L,495.0
2023-04-24,2023,L,295.0
2023-04-28,2023,L,-605.0
2023-05-19,2023,S,95.0
2023-05-22,2023,S,195.0
2023-05-26,2023,S,-605.0
2023-06-05,2023,S,707.5
2023-06-06,2023,S,-605.0
2023-06-07,2023,S,1095.0
2023-06-07,2023,S,270.0
2023-06-09,2023,S,-580.0
2023-06-09,2023,L,-130.0
2023-06-13,2023,S,-592.5
2023-06-13,2023,L,-592.5
2023-06-15,2023,L,670.0
2023-06-20,2023,S,-592.5
2023-06-26,2023,S,245.0
2023-06-27,2023,S,-567.5
2023-06-28,2023,L,-592.5
2023-06-29,2023,S,-555.0
2023-07-17,2023,L,-180.0
2023-07-25,2023,L,307.5
2023-07-25,2023,L,132.5
2023-08-01,2023,S,-80.0
2023-08-31,2023,S,257.5
2023-09-12,2023,S,-505.0
2023-09-13,2023,S,-455.0
2023-10-11,2023,S,-892.5
2023-10-19,2023,L,-892.5
2023-11-06,2023,S,-517.5
2023-11-07,2023,L,-105.0
2023-11-07,2023,S,-242.5
2023-11-10,2023,L,582.5
2023-11-10,2023,L,520.0
2023-11-13,2023,L,-105.0
2023-11-17,2023,L,95.0
2023-11-29,2023,S,-342.5
2023-11-30,2023,L,-367.5
2023-11-30,2023,S,-367.5
2023-12-01,2023,S,-380.0
2023-12-01,2023,L,195.0
2023-12-05,2023,S,-392.5
2023-12-06,2023,S,945.0
2023-12-06,2023,S,782.5
2023-12-07,2023,L,-180.0
2023-12-08,2023,L,820.0
2023-12-12,2023,L,882.5
2023-12-12,2023,L,732.5
2023-12-15,2023,L,-592.5
2023-12-15,2023,L,-592.5
2023-12-19,2023,L,132.5
2023-12-19,2023,L,170.0
2023-12-28,2023,S,32.5
2023-12-29,2023,L,-55.0
2024-01-03,2024,S,-530.0
2024-01-11,2024,L,732.5
2024-01-16,2024,L,-580.0
2024-01-19,2024,L,2082.5
2024-01-22,2024,S,270.0
2024-01-22,2024,S,70.0
2024-01-23,2024,S,-567.5
2024-02-01,2024,L,1795.0
2024-02-02,2024,L,982.5
2024-02-02,2024,L,-630.0
2024-02-08,2024,S,-205.0
2024-02-08,2024,L,170.0
2024-02-14,2024,L,-667.5
2024-02-15,2024,S,-642.5
2024-02-15,2024,L,495.0
2024-02-19,2024,S,7.5
2024-02-26,2024,S,607.5
2024-02-27,2024,L,-592.5
2024-02-29,2024,S,-505.0
2024-02-29,2024,S,-505.0
2024-03-01,2024,L,1220.0
2024-03-01,2024,L,332.5
2024-03-04,2024,L,-330.0
2024-03-04,2024,L,-530.0
2024-03-06,2024,S,-580.0
2024-03-06,2024,S,-192.5
2024-03-06,2024,S,-242.5
2024-03-07,2024,L,-30.0
2024-03-07,2024,L,-580.0
2024-03-12,2024,L,-617.5
2024-03-12,2024,S,-617.5
2024-03-19,2024,L,1282.5
2024-03-20,2024,L,2495.0
2024-03-21,2024,L,-717.5
2024-03-21,2024,S,395.0
2024-03-22,2024,S,270.0
2024-03-26,2024,S,820.0
2024-04-01,2024,S,20.0
2024-04-01,2024,S,-505.0
2024-05-06,2024,L,420.0
2024-05-09,2024,L,645.0
2024-05-09,2024,L,570.0
2024-05-10,2024,S,-167.5
2024-05-10,2024,S,-167.5
2024-05-13,2024,S,-17.5
2024-05-15,2024,L,195.0
2024-05-16,2024,S,1045.0
2024-05-21,2024,L,507.5
2024-05-22,2024,S,-492.5
2024-05-23,2024,S,1720.0
2024-05-24,2024,L,20.0
2024-06-05,2024,L,820.0
2024-06-11,2024,L,370.0
2024-06-13,2024,S,-780.0
2024-06-24,2024,S,595.0
2024-06-24,2024,S,407.5
2024-06-28,2024,L,-530.0
2024-07-01,2024,S,-592.5
2024-07-01,2024,S,-592.5
2024-07-03,2024,L,745.0
2024-07-05,2024,L,157.5
2024-07-08,2024,S,20.0
2024-07-08,2024,S,-142.5
2024-07-08,2024,S,-255.0
2024-07-10,2024,L,870.0
2024-07-10,2024,L,695.0
2024-07-15,2024,S,1082.5
2024-07-15,2024,S,-605.0
2024-07-16,2024,S,-630.0
2024-08-20,2024,S,-367.5
2024-08-21,2024,S,-367.5
2024-08-22,2024,S,2170.0
2024-08-26,2024,S,457.5
2024-08-26,2024,S,-392.5
2024-08-27,2024,L,107.5
2024-08-28,2024,S,-767.5
2024-08-29,2024,L,-792.5
2024-08-30,2024,S,-817.5
2024-09-17,2024,S,-292.5
2024-09-18,2024,L,-1067.5
2024-09-23,2024,S,-417.5
2024-09-24,2024,L,182.5
2024-09-25,2024,S,245.0
2024-09-25,2024,S,-355.0
2024-09-27,2024,S,520.0
2024-10-02,2024,L,945.0
2024-10-02,2024,L,-755.0
2024-10-02,2024,L,-755.0
2024-10-02,2024,L,-755.0
2024-10-03,2024,L,-705.0
2024-10-08,2024,L,720.0
2024-10-09,2024,L,95.0
2024-10-10,2024,S,-805.0
2024-10-11,2024,L,-30.0
2024-10-15,2024,S,1270.0
2024-10-15,2024,S,1245.0
2024-10-18,2024,L,-55.0
2024-10-25,2024,S,1682.5
2024-10-29,2024,L,782.5
2024-10-29,2024,L,407.5
2024-10-30,2024,S,1182.5
2024-11-08,2024,L,-417.5
2024-11-12,2024,S,357.5
2024-11-13,2024,L,-780.0
2024-11-13,2024,L,-780.0
2024-11-14,2024,L,-780.0
2024-11-21,2024,L,-405.0
2024-11-22,2024,S,-817.5
2024-11-26,2024,S,-855.0
2024-12-03,2024,L,370.0
2024-12-09,2024,L,-455.0
2024-12-10,2024,L,-417.5
2024-12-10,2024,S,582.5
2024-12-11,2024,L,82.5
2024-12-16,2024,L,-230.0
2024-12-17,2024,L,-467.5
2024-12-18,2024,S,10470.0
2025-01-21,2025,L,220.0
2025-01-24,2025,S,395.0
2025-01-28,2025,S,-705.0
2025-02-05,2025,S,-917.5
2025-02-10,2025,L,-155.0
2025-02-10,2025,L,-292.5
2025-02-11,2025,L,295.0
2025-02-11,2025,L,257.5
2025-02-13,2025,L,1345.0
2025-02-14,2025,L,-380.0
2025-02-14,2025,L,-192.5
2025-02-14,2025,L,-155.0
2025-02-18,2025,S,-692.5
2025-02-18,2025,S,-692.5
2025-02-21,2025,S,3095.0
2025-03-26,2025,S,2482.5
2025-03-26,2025,S,1707.5
2025-04-24,2025,L,2445.0
2025-04-24,2025,L,2257.5
2025-04-25,2025,S,-1967.5
2025-04-29,2025,S,-917.5
2025-05-07,2025,L,-1380.0
2025-05-07,2025,S,-1380.0
2025-05-14,2025,S,-92.5
2025-05-22,2025,L,-5.0
2025-05-27,2025,L,1295.0
2025-05-27,2025,L,670.0
2025-05-27,2025,L,357.5
2025-05-28,2025,L,-892.5
2025-05-30,2025,S,-955.0
2025-06-05,2025,S,1182.5
2025-06-11,2025,L,-867.5
2025-06-11,2025,L,-867.5
2025-06-11,2025,S,1270.0
2025-06-11,2025,S,182.5
2025-06-17,2025,S,1845.0
2025-06-17,2025,S,-5.0
2025-06-26,2025,L,-80.0
2025-06-30,2025,L,395.0
2025-07-02,2025,L,657.5
2025-07-02,2025,L,445.0
2025-07-02,2025,L,282.5
2025-07-09,2025,S,-80.0
2025-07-09,2025,L,870.0
2025-07-10,2025,L,-605.0
2025-07-18,2025,S,-330.0
2025-07-21,2025,L,-680.0
2025-07-25,2025,L,570.0
2025-07-25,2025,L,95.0
2025-07-25,2025,L,-80.0
2025-07-25,2025,L,-180.0
2025-07-28,2025,S,-505.0
2025-07-29,2025,S,370.0
2025-08-11,2025,S,-917.5
2025-08-11,2025,S,495.0
2025-08-12,2025,L,445.0
2025-08-12,2025,L,232.5
2025-08-14,2025,L,-142.5
2025-08-19,2025,S,695.0
2025-08-26,2025,L,1470.0
2025-08-26,2025,L,1170.0
2025-09-04,2025,L,1557.5
2025-09-04,2025,L,1470.0
2025-09-04,2025,L,1045.0
2025-09-08,2025,S,-280.0
2025-09-08,2025,S,-317.5
2025-09-09,2025,L,757.5
2025-09-09,2025,L,720.0
2025-09-11,2025,L,-5.0
2025-09-12,2025,L,-317.5
2025-09-16,2025,S,-155.0
2025-09-16,2025,S,-192.5
2025-09-16,2025,L,45.0
2025-09-17,2025,L,-605.0
2025-09-19,2025,L,657.5
2025-09-19,2025,L,482.5
2025-09-23,2025,S,1507.5
2025-09-24,2025,S,-255.0
2025-09-30,2025,L,895.0
2025-09-30,2025,L,957.5
2025-09-30,2025,L,-742.5
2025-10-02,2025,S,-755.0
2025-10-02,2025,L,395.0
2025-10-03,2025,L,-742.5
2025-10-07,2025,S,-230.0
2025-10-10,2025,S,9345.0
2025-10-31,2025,S,1120.0
2025-11-05,2025,L,-842.5
2025-11-06,2025,S,1632.5
2025-11-12,2025,S,-530.0
2025-11-26,2025,S,-1742.5
2025-12-03,2025,L,770.0
2025-12-03,2025,L,-142.5
2025-12-05,2025,S,-255.0
2025-12-08,2025,S,-605.0
2025-12-12,2025,L,-742.5
2025-12-15,2025,L,-842.5
2025-12-15,2025,S,-42.5
2025-12-15,2025,L,7.5
2025-12-19,2025,L,45.0
2025-12-22,2025,L,107.5
2025-12-23,2025,L,1120.0
2025-12-26,2025,S,195.0
2026-01-05,2026,L,-67.5
2026-01-05,2026,L,-405.0
2026-01-07,2026,L,-605.0
2026-01-09,2026,S,-605.0
2026-01-12,2026,L,370.0
2026-01-16,2026,S,607.5
2026-01-27,2026,L,82.5
2026-01-29,2026,L,1057.5
2026-02-09,2026,S,532.5
2026-02-10,2026,S,432.5
2026-02-25,2026,L,532.5
2026-02-25,2026,L,507.5
2026-04-09,2026,L,-392.5
2026-04-10,2026,L,-1367.5
2026-04-10,2026,S,-267.5
2026-04-13,2026,L,1932.5
2026-04-15,2026,L,820.0
2026-04-15,2026,L,507.5
2026-04-20,2026,S,-555.0
2026-04-21,2026,S,432.5
2026-04-21,2026,S,257.5
2026-04-22,2026,L,145.0
2026-04-27,2026,S,-630.0
2026-04-27,2026,L,370.0
2026-04-29,2026,S,-855.0
2026-04-29,2026,S,-855.0
2026-04-29,2026,S,-855.0
2026-05-04,2026,S,-892.5
2026-05-07,2026,L,-917.5
2026-05-07,2026,S,-917.5
2026-05-13,2026,L,2170.0
2026-05-13,2026,L,1832.5
2026-05-13,2026,L,170.0
2026-05-18,2026,L,-917.5
2026-05-20,2026,L,282.5
2026-05-28,2026,L,732.5
2026-05-28,2026,L,595.0
2026-05-28,2026,L,457.5
2026-06-01,2026,L,-505.0
2026-06-03,2026,S,557.5
2026-06-16,2026,S,1570.0
2026-06-17,2026,S,4132.5
2026-07-01,2026,L,-1217.5
2026-07-01,2026,S,1057.5
2026-07-02,2026,S,882.5
2026-07-02,2026,S,282.5
2026-07-06,2026,L,832.5
2026-07-06,2026,L,470.0
