Date,engine,dir,net
2022-12-05,NEW,S,357.5
2022-12-06,OLD,S,707.5
2022-12-06,OLD,S,807.5
2022-12-06,OLD,S,270.0
2022-12-06,NEW,S,707.5
2022-12-06,NEW,S,807.5
2022-12-06,NEW,S,270.0
2022-12-08,NEW,L,57.5
2022-12-09,OLD,S,-917.5
2022-12-09,OLD,L,-917.5
2022-12-09,OLD,L,-917.5
2022-12-09,NEW,S,-917.5
2022-12-09,NEW,L,-917.5
2022-12-09,NEW,L,-917.5
2022-12-12,OLD,S,-967.5
2022-12-12,NEW,S,-967.5
2022-12-19,OLD,S,945.0
2022-12-19,OLD,S,970.0
2022-12-19,NEW,S,945.0
2022-12-19,NEW,S,970.0
2022-12-23,NEW,L,782.5
2022-12-23,NEW,L,332.5
2022-12-28,OLD,S,1795.0
2022-12-28,NEW,S,1795.0
2023-01-11,OLD,L,1132.5
2023-01-11,NEW,L,1132.5
2023-01-12,OLD,S,-917.5
2023-01-12,NEW,S,-917.5
2023-01-17,OLD,L,-855.0
2023-01-17,NEW,L,-855.0
2023-01-18,OLD,S,982.5
2023-01-18,NEW,S,982.5
2023-01-19,OLD,L,-480.0
2023-01-19,NEW,L,-480.0
2023-01-20,OLD,L,2482.5
2023-01-20,OLD,L,1895.0
2023-01-20,NEW,L,2482.5
2023-01-20,NEW,L,1895.0
2023-01-31,OLD,L,1295.0
2023-01-31,OLD,L,1057.5
2023-01-31,NEW,L,1295.0
2023-01-31,NEW,L,1057.5
2023-02-06,NEW,L,-80.0
2023-02-07,OLD,L,-892.5
2023-02-07,NEW,L,-892.5
2023-02-15,OLD,L,445.0
2023-02-15,NEW,L,445.0
2023-02-17,OLD,S,-867.5
2023-02-17,NEW,S,-867.5
2023-03-01,OLD,S,-105.0
2023-03-01,NEW,S,-105.0
2023-03-02,OLD,L,2032.5
2023-03-02,NEW,L,2032.5
2023-03-03,OLD,L,1632.5
2023-03-03,OLD,L,745.0
2023-03-03,NEW,L,1632.5
2023-03-03,NEW,L,745.0
2023-03-06,OLD,L,-680.0
2023-03-06,OLD,L,-680.0
2023-03-06,NEW,L,-680.0
2023-03-06,NEW,L,-680.0
2023-03-07,OLD,S,-717.5
2023-03-07,NEW,S,-717.5
2023-03-09,NEW,S,4295.0
2023-03-20,OLD,S,-192.5
2023-03-20,NEW,S,-192.5
2023-03-28,OLD,S,-1030.0
2023-03-28,NEW,S,-1030.0
2023-04-06,OLD,L,1245.0
2023-04-06,OLD,L,132.5
2023-04-06,OLD,L,132.5
2023-04-06,NEW,L,1245.0
2023-04-06,NEW,L,132.5
2023-04-06,NEW,L,132.5
2023-04-11,OLD,S,-555.0
2023-04-11,OLD,L,-130.0
2023-04-11,NEW,S,-555.0
2023-04-11,NEW,L,-130.0
2023-04-12,OLD,L,-542.5
2023-04-12,NEW,L,-542.5
2023-04-13,OLD,L,1420.0
2023-04-13,NEW,L,1420.0
2023-04-17,OLD,S,-642.5
2023-04-17,OLD,S,-642.5
2023-04-17,NEW,S,-642.5
