side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,rep
long,20,41,1285,109.1,105.4,58.5,1.43,37.8,null_shuffle,daily,donch100,0
short,1,18,1304,3.8,2.3,50.0,0.24,7.5,null_shuffle,daily,donch100,0
short,3,18,1302,-22.7,-41.9,50.0,-0.53,-11.6,null_shuffle,daily,donch100,0
short,5,18,1300,-32.0,-62.3,38.9,-0.54,-13.6,null_shuffle,daily,donch100,0
short,10,18,1295,-72.0,-65.1,33.3,-1.03,-36.3,null_shuffle,daily,donch100,0
short,20,18,1285,-44.3,-115.7,38.9,-0.45,27.0,null_shuffle,daily,donch100,0
long,1,33,1304,-2.6,-11.2,48.5,-0.14,-6.3,null_shuffle,daily,donch260,0
long,3,33,1302,38.3,12.9,51.5,1.13,27.2,null_shuffle,daily,donch260,0
long,5,33,1300,71.8,72.0,63.6,1.86,53.4,null_shuffle,daily,donch260,0
long,10,33,1295,89.0,78.5,63.6,1.72,53.3,null_shuffle,daily,donch260,0
long,20,33,1285,179.7,200.2,66.7,2.15,108.4,null_shuffle,daily,donch260,0
short,1,10,1304,-7.7,0.4,50.0,-0.39,-4.0,null_shuffle,daily,donch260,0
short,3,10,1302,-43.9,-45.1,50.0,-0.82,-32.8,null_shuffle,daily,donch260,0
short,5,10,1300,-69.3,-110.5,20.0,-0.89,-50.9,null_shuffle,daily,donch260,0
short,10,10,1295,-53.7,-128.1,30.0,-0.56,-18.0,null_shuffle,daily,donch260,0
short,20,10,1285,4.0,-42.4,50.0,0.02,75.2,null_shuffle,daily,donch260,0
long,1,29,8993,1.8,0.9,51.7,0.28,1.2,null_shuffle,60m,compress_bo,0
long,3,29,8991,-7.0,-2.2,48.3,-0.44,-8.6,null_shuffle,60m,compress_bo,0
long,5,29,8989,-11.4,-21.1,48.3,-0.42,-14.0,null_shuffle,60m,compress_bo,0
long,10,29,8984,-23.0,-33.1,37.9,-0.72,-28.4,null_shuffle,60m,compress_bo,0
long,20,29,8974,-29.3,-40.4,37.9,-0.76,-40.0,null_shuffle,60m,compress_bo,0
short,1,16,8993,5.1,0.4,50.0,0.66,5.6,null_shuffle,60m,compress_bo,0
short,3,16,8991,18.2,12.6,56.2,1.22,19.9,null_shuffle,60m,compress_bo,0
short,5,16,8989,47.0,12.4,62.5,2.11,49.7,null_shuffle,60m,compress_bo,0
short,10,16,8984,92.6,50.9,68.8,2.17,98.0,null_shuffle,60m,compress_bo,0
short,20,16,8974,95.9,47.2,68.8,2.22,106.6,null_shuffle,60m,compress_bo,0
long,1,101,8993,3.7,2.4,57.4,1.28,3.2,null_shuffle,60m,kelt_pull,0
long,3,101,8991,2.5,1.1,50.5,0.44,0.9,null_shuffle,60m,kelt_pull,0
long,5,101,8989,-3.9,-3.8,49.5,-0.41,-6.6,null_shuffle,60m,kelt_pull,0
long,10,101,8984,-2.4,7.3,50.5,-0.19,-7.7,null_shuffle,60m,kelt_pull,0
long,20,101,8974,12.7,-3.6,49.5,0.75,2.0,null_shuffle,60m,kelt_pull,0
short,1,94,8993,-0.0,-1.2,48.9,-0.01,0.5,null_shuffle,60m,kelt_pull,0
short,3,93,8991,-2.4,-3.3,47.3,-0.33,-0.8,null_shuffle,60m,kelt_pull,0
short,5,93,8989,-6.7,-3.5,46.2,-0.72,-4.0,null_shuffle,60m,kelt_pull,0
short,10,93,8984,-13.6,4.1,51.6,-1.03,-8.2,null_shuffle,60m,kelt_pull,0
short,20,93,8974,-34.6,-23.6,45.2,-1.8,-23.9,null_shuffle,60m,kelt_pull,0
long,1,3,1304,-94.0,-38.8,33.3,-1.2,-97.7,null_shuffle,daily,compress_bo,1
long,3,3,1302,-327.8,-341.2,0.0,-3.12,-339.0,null_shuffle,daily,compress_bo,1
long,5,3,1300,-339.1,-517.6,33.3,-1.83,-357.8,null_shuffle,daily,compress_bo,1
long,10,3,1295,-447.2,-660.8,33.3,-1.91,-484.8,null_shuffle,daily,compress_bo,1
long,20,3,1285,-258.0,-488.8,33.3,-1.11,-332.9,null_shuffle,daily,compress_bo,1
short,1,3,1304,-66.3,-79.0,0.0,-3.04,-62.6,null_shuffle,daily,compress_bo,1
short,3,3,1302,-24.8,-62.3,33.3,-0.2,-13.5,null_shuffle,daily,compress_bo,1
short,5,3,1300,-93.9,-167.1,33.3,-0.62,-75.2,null_shuffle,daily,compress_bo,1
short,10,3,1295,-245.8,-246.4,0.0,-4.35,-208.2,null_shuffle,daily,compress_bo,1
short,20,3,1285,-119.3,-94.4,0.0,-1.76,-44.5,null_shuffle,daily,compress_bo,1
long,1,16,1304,-9.0,-2.4,43.8,-0.36,-12.7,null_shuffle,daily,kelt_pull,1
long,3,16,1302,-26.0,-71.1,37.5,-0.56,-37.3,null_shuffle,daily,kelt_pull,1
long,5,16,1300,3.0,8.9,50.0,0.06,-15.7,null_shuffle,daily,kelt_pull,1
long,10,16,1295,44.9,61.5,62.5,0.62,7.4,null_shuffle,daily,kelt_pull,1
long,20,16,1285,40.4,29.1,50.0,0.42,-34.5,null_shuffle,daily,kelt_pull,1
short,1,12,1304,-40.8,-46.6,33.3,-1.73,-37.1,null_shuffle,daily,kelt_pull,1
short,3,12,1302,-115.4,-53.8,16.7,-2.2,-104.1,null_shuffle,daily,kelt_pull,1
short,5,12,1300,-74.1,-48.2,41.7,-1.33,-55.4,null_shuffle,daily,kelt_pull,1
short,10,12,1295,-97.5,-61.4,33.3,-1.52,-59.9,null_shuffle,daily,kelt_pull,1
short,20,12,1285,-20.3,-21.0,50.0,-0.18,54.6,null_shuffle,daily,kelt_pull,1
long,1,42,1304,8.1,-6.3,45.2,0.56,4.4,null_shuffle,daily,donch100,1
long,3,42,1302,10.2,-4.7,50.0,0.37,-1.1,null_shuffle,daily,donch100,1
long,5,42,1300,26.2,9.0,52.4,0.86,7.5,null_shuffle,daily,donch100,1
long,10,41,1295,62.6,84.3,61.0,1.47,25.0,null_shuffle,daily,donch100,1
long,20,40,1285,122.2,149.2,60.0,1.91,47.4,null_shuffle,daily,donch100,1
short,1,20,1304,-6.3,-13.8,45.0,-0.39,-2.6,null_shuffle,daily,donch100,1
short,3,20,1302,1.4,-2.9,50.0,0.04,12.7,null_shuffle,daily,donch100,1
short,5,20,1300,12.0,-72.7,45.0,0.24,30.7,null_shuffle,daily,donch100,1
short,10,20,1295,2.5,-28.8,40.0,0.04,40.1,null_shuffle,daily,donch100,1
short,20,20,1285,-4.2,3.7,50.0,-0.06,70.7,null_shuffle,daily,donch100,1
long,1,23,1304,28.9,34.1,60.9,1.32,25.2,null_shuffle,daily,donch260,1
long,3,23,1302,26.7,64.9,56.5,0.7,15.5,null_shuffle,daily,donch260,1
long,5,23,1300,30.5,25.4,52.2,0.6,11.8,null_shuffle,daily,donch260,1
long,10,22,1295,44.3,52.7,59.1,0.65,6.8,null_shuffle,daily,donch260,1
long,20,21,1285,47.4,-15.3,47.6,0.45,-27.4,null_shuffle,daily,donch260,1
short,1,10,1304,4.5,14.3,60.0,0.2,8.2,null_shuffle,daily,donch260,1
short,3,10,1302,58.5,65.2,60.0,1.06,69.8,null_shuffle,daily,donch260,1
short,5,10,1300,66.3,62.3,60.0,0.83,85.1,null_shuffle,daily,donch260,1
short,10,10,1295,72.4,-28.5,40.0,0.67,110.0,null_shuffle,daily,donch260,1
short,20,10,1285,-6.1,-18.0,50.0,-0.09,68.8,null_shuffle,daily,donch260,1
long,1,31,8993,9.2,7.7,58.1,0.8,8.6,null_shuffle,60m,compress_bo,1
long,3,31,8991,-1.4,-3.6,41.9,-0.1,-3.0,null_shuffle,60m,compress_bo,1
long,5,31,8989,-18.4,-13.9,38.7,-1.48,-21.1,null_shuffle,60m,compress_bo,1
long,10,31,8984,10.0,8.7,54.8,0.54,4.5,null_shuffle,60m,compress_bo,1
long,20,31,8974,2.7,-14.8,45.2,0.1,-8.4,null_shuffle,60m,compress_bo,1
short,1,24,8993,-3.1,-5.7,37.5,-0.6,-2.5,null_shuffle,60m,compress_bo,1
short,3,24,8991,-6.4,-1.8,45.8,-0.56,-4.8,null_shuffle,60m,compress_bo,1
short,5,24,8989,-1.2,-7.1,45.8,-0.1,1.4,null_shuffle,60m,compress_bo,1
short,10,24,8984,-20.4,-23.9,41.7,-0.89,-15.0,null_shuffle,60m,compress_bo,1
short,20,24,8974,-36.1,-22.9,45.8,-1.03,-25.0,null_shuffle,60m,compress_bo,1
long,1,111,8993,0.9,-1.4,46.8,0.22,0.4,null_shuffle,60m,kelt_pull,1
long,3,111,8991,-4.6,-11.3,42.3,-0.7,-6.2,null_shuffle,60m,kelt_pull,1
long,5,111,8989,-8.4,-13.9,41.4,-1.04,-11.1,null_shuffle,60m,kelt_pull,1
long,10,111,8984,-3.0,-13.9,43.2,-0.26,-8.4,null_shuffle,60m,kelt_pull,1
long,20,110,8974,-5.9,-11.4,47.3,-0.39,-17.0,null_shuffle,60m,kelt_pull,1
short,1,79,8993,0.7,-2.7,44.3,0.2,1.2,null_shuffle,60m,kelt_pull,1
short,3,79,8991,-9.4,-3.4,48.1,-1.18,-7.8,null_shuffle,60m,kelt_pull,1
short,5,79,8989,-15.0,-6.4,44.3,-1.62,-12.3,null_shuffle,60m,kelt_pull,1
short,10,79,8984,-23.1,-8.0,45.6,-2.06,-17.7,null_shuffle,60m,kelt_pull,1
short,20,79,8974,-32.5,-53.2,40.5,-1.91,-21.4,null_shuffle,60m,kelt_pull,1
long,1,2,1304,93.1,93.1,100.0,4.53,89.4,null_shuffle,daily,compress_bo,2
long,3,2,1302,145.4,145.4,100.0,6.64,134.3,null_shuffle,daily,compress_bo,2
long,5,2,1300,173.0,173.0,100.0,3.54,154.6,null_shuffle,daily,compress_bo,2
long,10,2,1295,282.8,282.8,100.0,11.48,246.4,null_shuffle,daily,compress_bo,2
long,20,2,1285,343.8,343.8,100.0,1.12,271.2,null_shuffle,daily,compress_bo,2
short,1,2,1304,-39.3,-39.3,0.0,-1.76,-35.6,null_shuffle,daily,compress_bo,2
short,3,2,1302,-4.4,-4.4,50.0,-0.28,6.7,null_shuffle,daily,compress_bo,2
short,5,2,1300,-90.0,-90.0,50.0,-0.75,-71.6,null_shuffle,daily,compress_bo,2
short,10,2,1295,-290.4,-290.4,0.0,-518.36,-253.9,null_shuffle,daily,compress_bo,2
short,20,2,1285,-294.6,-294.6,50.0,-0.99,-222.1,null_shuffle,daily,compress_bo,2
long,1,17,1304,-43.4,-29.1,29.4,-2.14,-47.1,null_shuffle,daily,kelt_pull,2
long,3,17,1302,-31.3,-41.0,47.1,-0.74,-42.5,null_shuffle,daily,kelt_pull,2
long,5,17,1300,-12.2,27.9,58.8,-0.21,-30.6,null_shuffle,daily,kelt_pull,2
long,10,17,1295,79.8,97.7,64.7,0.87,43.4,null_shuffle,daily,kelt_pull,2
long,20,17,1285,78.2,31.4,52.9,0.56,5.6,null_shuffle,daily,kelt_pull,2
short,1,11,1304,0.6,12.7,54.5,0.04,4.3,null_shuffle,daily,kelt_pull,2
short,3,11,1302,76.6,40.2,63.6,1.93,87.7,null_shuffle,daily,kelt_pull,2
short,5,11,1300,35.1,78.7,54.5,0.76,53.5,null_shuffle,daily,kelt_pull,2
short,10,11,1295,-93.3,-164.1,45.5,-0.91,-56.9,null_shuffle,daily,kelt_pull,2
short,20,10,1285,-230.8,-286.6,40.0,-1.47,-158.3,null_shuffle,daily,kelt_pull,2
long,1,40,1304,12.3,11.3,60.0,0.71,8.6,null_shuffle,daily,donch100,2
long,3,40,1302,9.2,12.3,52.5,0.3,-1.9,null_shuffle,daily,donch100,2
long,5,40,1300,18.5,20.6,55.0,0.54,0.2,null_shuffle,daily,donch100,2
long,10,40,1295,0.5,-0.7,50.0,0.01,-35.9,null_shuffle,daily,donch100,2
long,20,40,1285,5.0,-10.4,50.0,0.07,-67.5,null_shuffle,daily,donch100,2
short,1,16,1304,10.6,4.3,62.5,0.74,14.3,null_shuffle,daily,donch100,2
short,3,16,1302,-50.2,-35.5,37.5,-1.68,-39.1,null_shuffle,daily,donch100,2
short,5,16,1300,-54.7,-55.4,37.5,-1.62,-36.4,null_shuffle,daily,donch100,2
short,10,15,1295,-37.8,-85.8,33.3,-0.82,-1.3,null_shuffle,daily,donch100,2
short,20,14,1285,-44.6,-124.0,42.9,-0.65,28.0,null_shuffle,daily,donch100,2
long,1,24,1304,25.2,34.6,58.3,1.32,21.5,null_shuffle,daily,donch260,2
long,3,24,1302,7.2,33.0,54.2,0.16,-3.9,null_shuffle,daily,donch260,2
long,5,24,1300,-23.3,-26.0,45.8,-0.5,-41.6,null_shuffle,daily,donch260,2
long,10,24,1295,-58.6,-155.7,37.5,-0.91,-95.0,null_shuffle,daily,donch260,2
long,20,24,1285,-64.8,-77.2,37.5,-0.68,-137.3,null_shuffle,daily,donch260,2
short,1,2,1304,-82.9,-82.9,0.0,-1.26,-79.2,null_shuffle,daily,donch260,2
short,3,2,1302,-57.6,-57.6,0.0,-1.61,-46.5,null_shuffle,daily,donch260,2
short,5,2,1300,-144.8,-144.8,0.0,-2.0,-126.5,null_shuffle,daily,donch260,2
short,10,1,1295,,,,,,null_shuffle,daily,donch260,2
short,20,0,1285,,,,,,null_shuffle,daily,donch260,2
long,1,24,8993,1.9,2.4,50.0,0.26,1.4,null_shuffle,60m,compress_bo,2
long,3,24,8991,14.9,2.2,54.2,1.11,13.3,null_shuffle,60m,compress_bo,2
long,5,24,8989,14.8,10.1,58.3,1.08,12.1,null_shuffle,60m,compress_bo,2
long,10,24,8984,37.4,42.4,66.7,2.07,32.0,null_shuffle,60m,compress_bo,2
long,20,24,8974,13.9,-0.5,50.0,0.68,3.2,null_shuffle,60m,compress_bo,2
short,1,30,8993,10.4,3.9,60.0,2.24,10.9,null_shuffle,60m,compress_bo,2
short,3,30,8991,11.4,20.1,73.3,1.04,13.0,null_shuffle,60m,compress_bo,2
short,5,30,8989,16.4,10.8,60.0,0.99,19.1,null_shuffle,60m,compress_bo,2
short,10,30,8984,24.4,15.5,56.7,1.53,29.8,null_shuffle,60m,compress_bo,2
short,20,30,8974,20.3,35.7,66.7,0.92,30.9,null_shuffle,60m,compress_bo,2
long,1,102,8993,-2.2,-1.0,48.0,-0.78,-2.8,null_shuffle,60m,kelt_pull,2
long,3,102,8991,-9.9,-1.1,49.0,-1.68,-11.5,null_shuffle,60m,kelt_pull,2
long,5,102,8989,-6.7,-1.5,49.0,-0.96,-9.4,null_shuffle,60m,kelt_pull,2
long,10,101,8984,-12.1,-5.1,45.5,-1.18,-17.5,null_shuffle,60m,kelt_pull,2
long,20,101,8974,-8.8,0.9,50.5,-0.56,-19.5,null_shuffle,60m,kelt_pull,2
short,1,75,8993,-4.0,-3.8,41.3,-1.01,-3.5,null_shuffle,60m,kelt_pull,2
short,3,75,8991,1.0,2.2,52.0,0.15,2.6,null_shuffle,60m,kelt_pull,2
short,5,75,8989,-5.8,-8.9,45.3,-0.65,-3.1,null_shuffle,60m,kelt_pull,2
short,10,75,8984,-1.7,-12.2,44.0,-0.13,3.7,null_shuffle,60m,kelt_pull,2
short,20,75,8974,-10.6,-1.3,49.3,-0.61,-0.0,null_shuffle,60m,kelt_pull,2
long,1,1,1304,,,,,,null_shuffle,daily,compress_bo,3
long,3,1,1302,,,,,,null_shuffle,daily,compress_bo,3
long,5,1,1300,,,,,,null_shuffle,daily,compress_bo,3
long,10,1,1295,,,,,,null_shuffle,daily,compress_bo,3
long,20,1,1285,,,,,,null_shuffle,daily,compress_bo,3
short,1,1,1304,,,,,,null_shuffle,daily,compress_bo,3
short,3,1,1302,,,,,,null_shuffle,daily,compress_bo,3
short,5,1,1300,,,,,,null_shuffle,daily,compress_bo,3
short,10,1,1295,,,,,,null_shuffle,daily,compress_bo,3
short,20,1,1285,,,,,,null_shuffle,daily,compress_bo,3
long,1,15,1304,-14.9,-7.6,46.7,-0.76,-18.6,null_shuffle,daily,kelt_pull,3
long,3,15,1302,-23.9,45.4,60.0,-0.5,-35.2,null_shuffle,daily,kelt_pull,3
long,5,15,1300,25.7,6.8,53.3,0.41,6.9,null_shuffle,daily,kelt_pull,3
long,10,15,1295,29.0,-10.8,46.7,0.34,-8.3,null_shuffle,daily,kelt_pull,3
long,20,15,1285,106.0,75.8,53.3,0.96,34.3,null_shuffle,daily,kelt_pull,3
short,1,10,1304,-43.5,-37.3,40.0,-1.41,-39.8,null_shuffle,daily,kelt_pull,3
short,3,10,1302,-97.8,-117.7,20.0,-1.56,-86.5,null_shuffle,daily,kelt_pull,3
short,5,10,1300,-87.8,-129.8,20.0,-1.13,-69.0,null_shuffle,daily,kelt_pull,3
short,10,10,1295,-240.9,-163.6,30.0,-1.68,-203.6,null_shuffle,daily,kelt_pull,3
short,20,10,1285,-285.5,-233.6,20.0,-2.52,-213.8,null_shuffle,daily,kelt_pull,3
long,1,41,1304,-11.0,5.8,53.7,-0.77,-14.7,null_shuffle,daily,donch100,3
long,3,40,1302,-3.6,8.2,55.0,-0.13,-14.9,null_shuffle,daily,donch100,3
long,5,40,1300,27.0,56.0,60.0,0.72,8.2,null_shuffle,daily,donch100,3
long,10,39,1295,-2.8,72.4,59.0,-0.05,-40.0,null_shuffle,daily,donch100,3
long,20,38,1285,27.1,61.4,52.6,0.37,-44.6,null_shuffle,daily,donch100,3
short,1,19,1304,23.6,19.4,52.6,1.54,27.3,null_shuffle,daily,donch100,3
short,3,19,1302,15.2,32.5,68.4,0.68,26.5,null_shuffle,daily,donch100,3
short,5,19,1300,-35.2,13.1,52.6,-0.87,-16.4,null_shuffle,daily,donch100,3
short,10,19,1295,-72.3,-7.0,47.4,-1.12,-35.0,null_shuffle,daily,donch100,3
short,20,19,1285,-212.2,-266.9,26.3,-2.35,-140.5,null_shuffle,daily,donch100,3
long,1,30,1304,-3.5,4.2,53.3,-0.22,-7.2,null_shuffle,daily,donch260,3
long,3,29,1302,-1.8,9.8,62.1,-0.06,-13.2,null_shuffle,daily,donch260,3
long,5,29,1300,19.1,34.9,58.6,0.39,0.3,null_shuffle,daily,donch260,3
long,10,28,1295,18.0,86.2,67.9,0.27,-19.3,null_shuffle,daily,donch260,3
long,20,27,1285,37.4,128.0,55.6,0.43,-34.4,null_shuffle,daily,donch260,3
short,1,8,1304,23.5,10.1,50.0,0.97,27.2,null_shuffle,daily,donch260,3
short,3,8,1302,-7.8,-10.1,50.0,-0.36,3.6,null_shuffle,daily,donch260,3
short,5,8,1300,-75.4,-22.7,50.0,-1.65,-56.6,null_shuffle,daily,donch260,3
short,10,8,1295,-153.0,-61.4,37.5,-1.69,-115.7,null_shuffle,daily,donch260,3
short,20,8,1285,-455.8,-400.2,0.0,-3.43,-384.1,null_shuffle,daily,donch260,3
long,1,19,8993,-1.2,-10.3,31.6,-0.16,-1.7,null_shuffle,60m,compress_bo,3
long,3,19,8991,-2.9,-14.2,42.1,-0.2,-4.5,null_shuffle,60m,compress_bo,3
long,5,19,8989,-4.4,-16.4,42.1,-0.27,-7.1,null_shuffle,60m,compress_bo,3
long,10,19,8984,-9.5,-7.5,42.1,-0.52,-14.9,null_shuffle,60m,compress_bo,3
long,20,19,8974,-28.5,-43.7,36.8,-0.97,-39.4,null_shuffle,60m,compress_bo,3
short,1,15,8993,-8.5,-9.3,40.0,-1.46,-7.9,null_shuffle,60m,compress_bo,3
short,3,15,8991,-8.9,-12.8,40.0,-0.71,-7.3,null_shuffle,60m,compress_bo,3
short,5,15,8989,-15.8,-16.1,40.0,-1.04,-13.1,null_shuffle,60m,compress_bo,3
short,10,15,8984,-63.4,-65.9,33.3,-1.87,-58.0,null_shuffle,60m,compress_bo,3
short,20,15,8974,-89.4,-57.6,26.7,-2.45,-78.5,null_shuffle,60m,compress_bo,3
long,1,112,8993,-2.0,0.8,51.8,-0.61,-2.5,null_shuffle,60m,kelt_pull,3
long,3,112,8991,0.1,4.3,52.7,0.02,-1.5,null_shuffle,60m,kelt_pull,3
long,5,112,8989,0.2,-2.1,49.1,0.03,-2.5,null_shuffle,60m,kelt_pull,3
long,10,112,8984,5.0,-3.8,47.3,0.47,-0.4,null_shuffle,60m,kelt_pull,3
long,20,112,8974,10.0,23.8,54.5,0.63,-0.9,null_shuffle,60m,kelt_pull,3
short,1,93,8993,-2.8,-0.5,47.3,-0.95,-2.2,null_shuffle,60m,kelt_pull,3
short,3,93,8991,-1.2,-1.8,49.5,-0.2,0.4,null_shuffle,60m,kelt_pull,3
short,5,93,8989,-0.7,4.2,54.8,-0.09,2.0,null_shuffle,60m,kelt_pull,3
short,10,93,8984,-0.4,-4.7,48.4,-0.03,5.0,null_shuffle,60m,kelt_pull,3
short,20,92,8974,-10.1,-9.7,47.8,-0.56,0.8,null_shuffle,60m,kelt_pull,3
long,1,4,1304,-22.5,-4.9,25.0,-0.8,-26.2,null_shuffle,daily,compress_bo,4
long,3,4,1302,20.3,-9.1,25.0,0.36,9.1,null_shuffle,daily,compress_bo,4
long,5,4,1300,35.0,16.4,50.0,0.36,15.9,null_shuffle,daily,compress_bo,4
long,10,4,1295,99.9,86.1,75.0,1.77,60.3,null_shuffle,daily,compress_bo,4
long,20,4,1285,487.7,533.7,75.0,2.02,410.1,null_shuffle,daily,compress_bo,4
short,1,3,1304,-110.2,-118.9,33.3,-1.15,-106.5,null_shuffle,daily,compress_bo,4
short,3,3,1302,-261.5,-191.0,0.0,-2.1,-250.3,null_shuffle,daily,compress_bo,4
short,5,3,1300,-202.4,-106.4,33.3,-1.02,-183.3,null_shuffle,daily,compress_bo,4
short,10,3,1295,25.9,62.1,66.7,0.06,65.5,null_shuffle,daily,compress_bo,4
short,20,3,1285,-3.9,302.1,66.7,-0.01,73.7,null_shuffle,daily,compress_bo,4
long,1,14,1304,-18.3,-5.5,50.0,-0.64,-22.0,null_shuffle,daily,kelt_pull,4
long,3,14,1302,-54.6,-40.6,35.7,-0.93,-65.8,null_shuffle,daily,kelt_pull,4
long,5,14,1300,-48.0,17.2,50.0,-0.57,-67.2,null_shuffle,daily,kelt_pull,4
long,10,14,1295,33.8,109.3,57.1,0.33,-5.8,null_shuffle,daily,kelt_pull,4
long,20,14,1285,26.5,47.1,50.0,0.19,-51.1,null_shuffle,daily,kelt_pull,4
short,1,8,1304,6.0,1.5,50.0,0.22,9.7,null_shuffle,daily,kelt_pull,4
short,3,8,1302,-7.7,-9.9,50.0,-0.16,3.5,null_shuffle,daily,kelt_pull,4
short,5,8,1300,42.7,35.1,62.5,0.69,61.9,null_shuffle,daily,kelt_pull,4
short,10,8,1295,34.5,-41.4,50.0,0.47,74.1,null_shuffle,daily,kelt_pull,4
short,20,8,1285,-73.0,-92.3,25.0,-1.21,4.7,null_shuffle,daily,kelt_pull,4
long,1,39,1304,4.8,5.3,53.8,0.41,1.1,null_shuffle,daily,donch100,4
long,3,39,1302,14.8,25.1,56.4,0.71,3.6,null_shuffle,daily,donch100,4
long,5,39,1300,26.6,38.9,56.4,1.0,7.4,null_shuffle,daily,donch100,4
long,10,39,1295,49.3,65.8,59.0,1.43,9.7,null_shuffle,daily,donch100,4
long,20,39,1285,48.5,20.1,53.8,0.74,-29.1,null_shuffle,daily,donch100,4
short,1,15,1304,32.9,-7.4,46.7,1.34,36.6,null_shuffle,daily,donch100,4
short,3,15,1302,-12.4,-12.3,40.0,-0.42,-1.2,null_shuffle,daily,donch100,4
short,5,15,1300,-75.5,-61.6,26.7,-2.1,-56.4,null_shuffle,daily,donch100,4
short,10,15,1295,-157.6,-237.6,26.7,-2.52,-118.0,null_shuffle,daily,donch100,4
short,20,15,1285,-223.1,-138.7,20.0,-2.78,-145.5,null_shuffle,daily,donch100,4
long,1,28,1304,11.3,6.7,57.1,0.85,7.6,null_shuffle,daily,donch260,4
long,3,28,1302,37.6,40.6,60.7,1.64,26.4,null_shuffle,daily,donch260,4
long,5,28,1300,57.0,52.3,60.7,1.9,37.8,null_shuffle,daily,donch260,4
long,10,28,1295,51.7,78.6,60.7,1.24,12.1,null_shuffle,daily,donch260,4
long,20,28,1285,19.0,-19.0,46.4,0.27,-58.6,null_shuffle,daily,donch260,4
short,1,13,1304,23.2,-7.4,46.2,1.08,26.9,null_shuffle,daily,donch260,4
short,3,13,1302,-11.9,-12.3,46.2,-0.35,-0.7,null_shuffle,daily,donch260,4
short,5,13,1300,-76.8,-58.1,30.8,-1.84,-57.6,null_shuffle,daily,donch260,4
short,10,13,1295,-182.6,-237.6,23.1,-2.99,-143.0,null_shuffle,daily,donch260,4
short,20,13,1285,-239.2,-138.7,23.1,-2.61,-161.5,null_shuffle,daily,donch260,4
long,1,26,8993,9.6,1.7,53.8,1.3,9.0,null_shuffle,60m,compress_bo,4
long,3,26,8991,9.4,4.7,57.7,0.91,7.8,null_shuffle,60m,compress_bo,4
long,5,26,8989,4.3,3.9,50.0,0.35,1.7,null_shuffle,60m,compress_bo,4
long,10,26,8984,13.5,-0.1,50.0,0.83,8.2,null_shuffle,60m,compress_bo,4
long,20,26,8974,-16.4,-49.3,30.8,-0.64,-27.1,null_shuffle,60m,compress_bo,4
short,1,21,8993,4.1,-2.3,42.9,0.44,4.6,null_shuffle,60m,compress_bo,4
short,3,21,8991,-13.2,-4.7,47.6,-0.91,-11.6,null_shuffle,60m,compress_bo,4
short,5,21,8989,-37.7,-36.7,28.6,-2.26,-35.0,null_shuffle,60m,compress_bo,4
short,10,21,8984,-46.5,-39.4,28.6,-2.19,-41.2,null_shuffle,60m,compress_bo,4
short,20,21,8974,-43.3,-66.1,47.6,-1.24,-32.6,null_shuffle,60m,compress_bo,4
long,1,90,8993,-1.2,1.7,55.6,-0.34,-1.7,null_shuffle,60m,kelt_pull,4
long,3,90,8991,3.1,2.4,50.0,0.54,1.5,null_shuffle,60m,kelt_pull,4
