Date,base_book_n,base_book_net,base_fade_n,base_fade_net,all_book_n,all_book_net,all_fade_n,all_fade_net
2022-04-21,0,0.0,1,-217.5,0,0.0,1,-217.5
2022-04-22,0,0.0,1,3895.0,0,0.0,0,0.0
2022-04-25,0,0.0,1,-217.5,0,0.0,1,-217.5
2022-04-26,0,0.0,0,0.0,1,3082.5,1,-217.5
2022-04-27,1,-1317.5,0,0.0,2,-2635.0,1,-217.5
2022-04-28,0,0.0,0,0.0,0,0.0,0,0.0
2022-04-29,1,3407.5,1,-217.5,1,3407.5,0,0.0
2022-05-02,0,0.0,1,-217.5,1,-1505.0,1,-217.5
2022-05-03,0,0.0,0,0.0,2,140.0,0,0.0
2022-05-04,1,-1567.5,1,-217.5,2,-3135.0,1,-217.5
2022-05-05,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-06,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-09,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-10,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-11,0,0.0,1,3045.0,0,0.0,0,0.0
2022-05-12,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-13,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-16,2,465.0,0,0.0,2,465.0,0,0.0
2022-05-17,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-18,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-19,1,-1542.5,0,0.0,1,-1542.5,1,-217.5
2022-05-20,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-23,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-24,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-25,1,1095.0,0,0.0,0,0.0,0,0.0
2022-05-26,1,-717.5,0,0.0,1,-717.5,0,0.0
2022-05-27,0,0.0,0,0.0,0,0.0,0,0.0
2022-05-31,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-01,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-02,2,6477.5,1,-217.5,2,6477.5,0,0.0
2022-06-03,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-06,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-07,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-08,0,0.0,0,0.0,1,7.5,0,0.0
2022-06-09,1,3632.5,0,0.0,1,3632.5,0,0.0
2022-06-10,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-13,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-14,1,907.5,0,0.0,1,907.5,0,0.0
2022-06-15,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-16,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-17,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-21,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-22,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-23,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-27,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-28,2,3002.5,0,0.0,2,3002.5,1,4645.0
2022-06-29,0,0.0,0,0.0,0,0.0,0,0.0
2022-06-30,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-01,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-05,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-06,0,0.0,0,0.0,2,-2035.0,0,0.0
2022-07-07,0,0.0,0,0.0,3,1035.0,0,0.0
2022-07-08,0,0.0,0,0.0,1,-980.0,0,0.0
2022-07-11,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-12,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-13,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-14,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-15,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-18,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-19,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-20,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-21,1,107.5,0,0.0,2,-835.0,0,0.0
2022-07-22,1,520.0,0,0.0,2,-460.0,0,0.0
2022-07-25,0,0.0,0,0.0,1,-405.0,0,0.0
2022-07-26,0,0.0,1,557.5,1,-530.0,1,-217.5
2022-07-27,0,0.0,0,0.0,0,0.0,0,0.0
2022-07-28,2,1927.5,0,0.0,2,1927.5,0,0.0
2022-07-29,0,0.0,0,0.0,1,57.5,0,0.0
2022-08-01,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-02,1,-992.5,0,0.0,1,-992.5,1,-217.5
2022-08-03,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-04,1,-980.0,0,0.0,1,-980.0,0,0.0
2022-08-05,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-08,0,0.0,1,-217.5,2,1402.5,1,-217.5
2022-08-09,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-10,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-11,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-12,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-15,0,0.0,0,0.0,1,995.0,0,0.0
2022-08-16,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-17,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-18,0,0.0,0,0.0,0,0.0,1,-217.5
2022-08-19,0,0.0,1,-217.5,2,640.0,0,0.0
2022-08-22,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-23,0,0.0,0,0.0,1,-692.5,0,0.0
2022-08-24,1,-342.5,0,0.0,0,0.0,0,0.0
2022-08-25,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-26,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-29,0,0.0,0,0.0,0,0.0,0,0.0
2022-08-30,2,-847.5,0,0.0,2,-847.5,1,-217.5
2022-08-31,0,0.0,1,-217.5,2,2190.0,1,-217.5
2022-09-01,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-02,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-06,0,0.0,0,0.0,1,-1017.5,0,0.0
2022-09-07,1,1695.0,0,0.0,1,1695.0,0,0.0
2022-09-08,1,-880.0,0,0.0,0,0.0,0,0.0
2022-09-09,0,0.0,0,0.0,0,0.0,1,-217.5
2022-09-12,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-13,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-14,1,-555.0,1,-217.5,0,0.0,1,-217.5
2022-09-15,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-16,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-19,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-20,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-21,1,-980.0,0,0.0,1,-980.0,0,0.0
2022-09-26,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-27,0,0.0,0,0.0,0,0.0,0,0.0
2022-09-28,3,3997.5,0,0.0,3,3997.5,0,0.0
