Date,book,dir,variant,net,mfe_r,mfe_pts
2021-09-16,WT,L,eod,7.5,1.49,14.5
2021-09-16,WT,L,gb25,520.0,1.49,14.5
2021-09-16,WT,L,gb50,345.0,1.49,14.5
2021-09-16,WT,L,peakK,457.5,1.49,14.5
2021-09-16,WT,L,t1r,470.0,1.49,14.5
2021-09-16,WT,L,d1,7.5,1.49,14.5
2021-09-17,WT,S,eod,332.5,1.0,10.5
2021-09-17,WT,S,gb25,370.0,1.0,10.5
2021-09-17,WT,S,gb50,245.0,1.0,10.5
2021-09-17,WT,S,peakK,245.0,1.0,10.5
2021-09-17,WT,S,t1r,507.5,1.0,10.5
2021-09-17,WT,S,d1,332.5,1.0,10.5
2021-09-27,WT,L,eod,-367.5,0.26,4.0
2021-09-27,WT,L,gb25,-367.5,0.26,4.0
2021-09-27,WT,L,gb50,-367.5,0.26,4.0
2021-09-27,WT,L,peakK,-367.5,0.26,4.0
2021-09-27,WT,L,t1r,-792.5,0.26,4.0
2021-09-27,WT,L,d1,-367.5,0.26,4.0
2021-10-01,FADE,S,eod,-217.5,0.25,1.0
2021-10-01,FADE,S,gb25,-217.5,0.25,1.0
2021-10-01,FADE,S,gb50,-217.5,0.25,1.0
2021-10-01,FADE,S,peakK,-217.5,0.25,1.0
2021-10-01,FADE,S,t1r,-217.5,0.25,1.0
2021-10-01,FADE,S,d1,-217.5,0.25,1.0
2021-10-01,WT,L,eod,1507.5,3.11,49.0
2021-10-01,WT,L,gb25,1820.0,3.11,49.0
2021-10-01,WT,L,gb50,1207.5,3.11,49.0
2021-10-01,WT,L,peakK,2032.5,3.11,49.0
2021-10-01,WT,L,t1r,770.0,3.11,49.0
2021-10-01,WT,L,d1,1507.5,3.11,49.0
2021-10-04,WT,S,eod,-867.5,0.57,9.75
2021-10-04,WT,S,gb25,-867.5,0.57,9.75
2021-10-04,WT,S,gb50,-867.5,0.57,9.75
2021-10-04,WT,S,peakK,-867.5,0.57,9.75
2021-10-04,WT,S,t1r,-867.5,0.57,9.75
2021-10-04,WT,S,d1,-867.5,0.57,9.75
2021-10-05,WT,L,eod,-867.5,0.46,7.75
2021-10-05,WT,L,gb25,-867.5,0.46,7.75
2021-10-05,WT,L,gb50,-867.5,0.46,7.75
2021-10-05,WT,L,peakK,-867.5,0.46,7.75
2021-10-05,WT,L,t1r,-867.5,0.46,7.75
2021-10-05,WT,L,d1,-867.5,0.46,7.75
2021-10-18,WT,L,eod,282.5,0.51,9.0
2021-10-18,WT,L,gb25,282.5,0.51,9.0
2021-10-18,WT,L,gb50,282.5,0.51,9.0
2021-10-18,WT,L,peakK,282.5,0.51,9.0
2021-10-18,WT,L,t1r,-905.0,0.51,9.0
2021-10-18,WT,L,d1,282.5,0.51,9.0
2021-10-19,WT,L,eod,1007.5,1.31,22.0
2021-10-19,WT,L,gb25,645.0,1.31,22.0
2021-10-19,WT,L,gb50,1007.5,1.31,22.0
2021-10-19,WT,L,peakK,1007.5,1.31,22.0
2021-10-19,WT,L,t1r,820.0,1.31,22.0
2021-10-19,WT,L,d1,1007.5,1.31,22.0
2021-10-19,WT,L,eod,782.5,1.04,17.5
2021-10-19,WT,L,gb25,782.5,1.04,17.5
2021-10-19,WT,L,gb50,782.5,1.04,17.5
2021-10-19,WT,L,peakK,782.5,1.04,17.5
2021-10-19,WT,L,t1r,820.0,1.04,17.5
2021-10-19,WT,L,d1,782.5,1.04,17.5
2021-10-19,WT,L,eod,357.5,0.54,9.0
2021-10-19,WT,L,gb25,357.5,0.54,9.0
2021-10-19,WT,L,gb50,357.5,0.54,9.0
2021-10-19,WT,L,peakK,357.5,0.54,9.0
2021-10-19,WT,L,t1r,-855.0,0.54,9.0
2021-10-19,WT,L,d1,357.5,0.54,9.0
2021-10-20,WT,L,eod,-42.5,0.39,5.75
2021-10-20,WT,L,gb25,-42.5,0.39,5.75
2021-10-20,WT,L,gb50,-42.5,0.39,5.75
2021-10-20,WT,L,peakK,-42.5,0.39,5.75
2021-10-20,WT,L,t1r,-755.0,0.39,5.75
2021-10-20,WT,L,d1,-42.5,0.39,5.75
2021-10-22,WT,S,eod,357.5,2.25,27.0
2021-10-22,WT,S,gb25,657.5,2.25,27.0
2021-10-22,WT,S,gb50,657.5,2.25,27.0
2021-10-22,WT,S,peakK,582.5,2.25,27.0
2021-10-22,WT,S,t1r,582.5,2.25,27.0
2021-10-22,WT,S,d1,357.5,2.25,27.0
2021-10-22,WT,S,eod,-617.5,0.12,1.5
2021-10-22,WT,S,gb25,-617.5,0.12,1.5
2021-10-22,WT,S,gb50,-617.5,0.12,1.5
2021-10-22,WT,S,peakK,-617.5,0.12,1.5
2021-10-22,WT,S,t1r,-617.5,0.12,1.5
2021-10-22,WT,S,d1,-617.5,0.12,1.5
2021-10-27,WT,S,eod,-505.0,2.1,20.5
2021-10-27,WT,S,gb25,-505.0,2.1,20.5
2021-10-27,WT,S,gb50,-505.0,2.1,20.5
2021-10-27,WT,S,peakK,-505.0,2.1,20.5
2021-10-27,WT,S,t1r,-505.0,2.1,20.5
2021-10-27,WT,S,d1,-505.0,2.1,20.5
2021-10-27,FADE,S,eod,-217.5,4.56,18.25
2021-10-27,FADE,S,gb25,-217.5,4.56,18.25
2021-10-27,FADE,S,gb50,-217.5,4.56,18.25
2021-10-27,FADE,S,peakK,-217.5,4.56,18.25
2021-10-27,FADE,S,t1r,-217.5,4.56,18.25
2021-10-27,FADE,S,d1,-217.5,4.56,18.25
2021-10-27,WT,L,eod,-505.0,0.1,1.0
2021-10-27,WT,L,gb25,-505.0,0.1,1.0
2021-10-27,WT,L,gb50,-505.0,0.1,1.0
2021-10-27,WT,L,peakK,-505.0,0.1,1.0
2021-10-27,WT,L,t1r,-505.0,0.1,1.0
2021-10-27,WT,L,d1,-505.0,0.1,1.0
2021-10-28,WT,L,eod,-480.0,1.03,9.5
2021-10-28,WT,L,gb25,-480.0,1.03,9.5
2021-10-28,WT,L,gb50,-480.0,1.03,9.5
2021-10-28,WT,L,peakK,-480.0,1.03,9.5
2021-10-28,WT,L,t1r,-480.0,1.03,9.5
2021-10-28,WT,L,d1,-480.0,1.03,9.5
2021-10-29,WT,S,eod,-467.5,0.22,2.0
2021-10-29,WT,S,gb25,-467.5,0.22,2.0
2021-10-29,WT,S,gb50,-467.5,0.22,2.0
2021-10-29,WT,S,peakK,-467.5,0.22,2.0
2021-10-29,WT,S,t1r,-467.5,0.22,2.0
2021-10-29,WT,S,d1,-467.5,0.22,2.0
2021-11-04,WT,L,eod,-505.0,0.21,2.0
2021-11-04,WT,L,gb25,-505.0,0.21,2.0
2021-11-04,WT,L,gb50,-505.0,0.21,2.0
2021-11-04,WT,L,peakK,-505.0,0.21,2.0
2021-11-04,WT,L,t1r,-505.0,0.21,2.0
2021-11-04,WT,L,d1,-505.0,0.21,2.0
2021-11-04,WT,S,eod,-505.0,0.18,1.75
2021-11-04,WT,S,gb25,-505.0,0.18,1.75
2021-11-04,WT,S,gb50,-505.0,0.18,1.75
2021-11-04,WT,S,peakK,-505.0,0.18,1.75
2021-11-04,WT,S,t1r,-505.0,0.18,1.75
2021-11-04,WT,S,d1,-505.0,0.18,1.75
2021-11-05,WT,S,eod,332.5,0.76,7.25
2021-11-05,WT,S,gb25,332.5,0.76,7.25
2021-11-05,WT,S,gb50,332.5,0.76,7.25
2021-11-05,WT,S,peakK,332.5,0.76,7.25
2021-11-05,WT,S,t1r,-492.5,0.76,7.25
2021-11-05,WT,S,d1,332.5,0.76,7.25
2021-11-09,WT,S,eod,-467.5,0.56,5.0
2021-11-09,WT,S,gb25,-467.5,0.56,5.0
2021-11-09,WT,S,gb50,-467.5,0.56,5.0
2021-11-09,WT,S,peakK,-467.5,0.56,5.0
2021-11-09,WT,S,t1r,-467.5,0.56,5.0
2021-11-09,WT,S,d1,-467.5,0.56,5.0
2021-11-15,WT,S,eod,7.5,1.61,15.25
2021-11-15,WT,S,gb25,545.0,1.61,15.25
2021-11-15,WT,S,gb50,357.5,1.61,15.25
2021-11-15,WT,S,peakK,507.5,1.61,15.25
2021-11-15,WT,S,t1r,457.5,1.61,15.25
2021-11-15,WT,S,d1,7.5,1.61,15.25
2021-11-16,WT,L,eod,-205.0,0.89,8.5
2021-11-16,WT,L,gb25,-205.0,0.89,8.5
2021-11-16,WT,L,gb50,-205.0,0.89,8.5
2021-11-16,WT,L,peakK,-205.0,0.89,8.5
2021-11-16,WT,L,t1r,-492.5,0.89,8.5
2021-11-16,WT,L,d1,-205.0,0.89,8.5
2021-11-16,WT,L,eod,-492.5,0.45,4.25
2021-11-16,WT,L,gb25,-492.5,0.45,4.25
2021-11-16,WT,L,gb50,-492.5,0.45,4.25
2021-11-16,WT,L,peakK,-492.5,0.45,4.25
2021-11-16,WT,L,t1r,-492.5,0.45,4.25
2021-11-16,WT,L,d1,-492.5,0.45,4.25
2021-11-17,WT,S,eod,-505.0,0.41,4.0
2021-11-17,WT,S,gb25,-505.0,0.41,4.0
2021-11-17,WT,S,gb50,-505.0,0.41,4.0
2021-11-17,WT,S,peakK,-505.0,0.41,4.0
2021-11-17,WT,S,t1r,-505.0,0.41,4.0
2021-11-17,WT,S,d1,-505.0,0.41,4.0
2021-11-30,WT,S,eod,-555.0,2.53,27.25
2021-11-30,WT,S,gb25,557.5,2.53,27.25
2021-11-30,WT,S,gb50,445.0,2.53,27.25
2021-11-30,WT,S,peakK,520.0,2.53,27.25
2021-11-30,WT,S,t1r,520.0,2.53,27.25
2021-11-30,WT,S,d1,-555.0,2.53,27.25
2021-12-06,WT,L,eod,-642.5,3.66,45.75
2021-12-06,WT,L,gb25,-642.5,3.66,45.75
2021-12-06,WT,L,gb50,-642.5,3.66,45.75
2021-12-06,WT,L,peakK,-642.5,3.66,45.75
2021-12-06,WT,L,t1r,-642.5,3.66,45.75
2021-12-06,WT,L,d1,-642.5,3.66,45.75
2021-12-06,WT,L,eod,-642.5,0.38,4.75
2021-12-06,WT,L,gb25,-642.5,0.38,4.75
2021-12-06,WT,L,gb50,-642.5,0.38,4.75
2021-12-06,WT,L,peakK,-642.5,0.38,4.75
2021-12-06,WT,L,t1r,-642.5,0.38,4.75
2021-12-06,WT,L,d1,-642.5,0.38,4.75
2021-12-06,WT,L,eod,-642.5,0.16,2.0
2021-12-06,WT,L,gb25,-642.5,0.16,2.0
2021-12-06,WT,L,gb50,-642.5,0.16,2.0
2021-12-06,WT,L,peakK,-642.5,0.16,2.0
2021-12-06,WT,L,t1r,-642.5,0.16,2.0
2021-12-06,WT,L,d1,-642.5,0.16,2.0
2021-12-13,WT,S,eod,357.5,1.04,14.25
2021-12-13,WT,S,gb25,507.5,1.04,14.25
2021-12-13,WT,S,gb50,332.5,1.04,14.25
2021-12-13,WT,S,peakK,345.0,1.04,14.25
2021-12-13,WT,S,t1r,670.0,1.04,14.25
2021-12-13,WT,S,d1,357.5,1.04,14.25
2021-12-15,WT,S,eod,-755.0,0.42,6.25
2021-12-15,WT,S,gb25,-755.0,0.42,6.25
2021-12-15,WT,S,gb50,-755.0,0.42,6.25
2021-12-15,WT,S,peakK,-755.0,0.42,6.25
2021-12-15,WT,S,t1r,-755.0,0.42,6.25
2021-12-15,WT,S,d1,-755.0,0.42,6.25
2021-12-15,WT,L,eod,4245.0,6.08,89.75
2021-12-15,WT,L,gb25,557.5,6.08,89.75
2021-12-15,WT,L,gb50,832.5,6.08,89.75
2021-12-15,WT,L,peakK,957.5,6.08,89.75
2021-12-15,WT,L,t1r,720.0,6.08,89.75
2021-12-15,WT,L,d1,4245.0,6.08,89.75
2021-12-16,WT,S,eod,2270.0,4.03,68.5
2021-12-16,WT,S,gb25,620.0,4.03,68.5
2021-12-16,WT,S,gb50,445.0,4.03,68.5
2021-12-16,WT,S,peakK,482.5,4.03,68.5
2021-12-16,WT,S,t1r,832.5,4.03,68.5
2021-12-16,WT,S,d1,2270.0,4.03,68.5
2021-12-16,WT,S,eod,1482.5,3.1,52.75
2021-12-16,WT,S,gb25,870.0,3.1,52.75
2021-12-16,WT,S,gb50,570.0,3.1,52.75
2021-12-16,WT,S,peakK,745.0,3.1,52.75
2021-12-16,WT,S,t1r,832.5,3.1,52.75
2021-12-16,WT,S,d1,1482.5,3.1,52.75
2021-12-27,WT,L,eod,1045.0,1.37,24.25
2021-12-27,WT,L,gb25,1045.0,1.37,24.25
2021-12-27,WT,L,gb50,1045.0,1.37,24.25
2021-12-27,WT,L,peakK,1045.0,1.37,24.25
2021-12-27,WT,L,t1r,870.0,1.37,24.25
2021-12-27,WT,L,d1,1045.0,1.37,24.25
2021-12-29,WT,S,eod,-17.5,0.64,11.5
2021-12-29,WT,S,gb25,-17.5,0.64,11.5
2021-12-29,WT,S,gb50,-17.5,0.64,11.5
2021-12-29,WT,S,peakK,-17.5,0.64,11.5
2021-12-29,WT,S,t1r,-917.5,0.64,11.5
2021-12-29,WT,S,d1,-17.5,0.64,11.5
2021-12-31,WT,S,eod,145.0,0.67,10.0
2021-12-31,WT,S,gb25,145.0,0.67,10.0
2021-12-31,WT,S,gb50,145.0,0.67,10.0
2021-12-31,WT,S,peakK,145.0,0.67,10.0
2021-12-31,WT,S,t1r,-767.5,0.67,10.0
2021-12-31,WT,S,d1,145.0,0.67,10.0
2022-01-04,WT,S,eod,882.5,2.82,35.25
2022-01-04,WT,S,gb25,957.5,2.82,35.25
2022-01-04,WT,S,gb50,645.0,2.82,35.25
2022-01-04,WT,S,peakK,970.0,2.82,35.25
2022-01-04,WT,S,t1r,607.5,2.82,35.25
2022-01-04,WT,S,d1,882.5,2.82,35.25
2022-01-04,WT,S,eod,-642.5,0.08,1.0
2022-01-04,WT,S,gb25,-642.5,0.08,1.0
2022-01-04,WT,S,gb50,-642.5,0.08,1.0
2022-01-04,WT,S,peakK,-642.5,0.08,1.0
2022-01-04,WT,S,t1r,-642.5,0.08,1.0
2022-01-04,WT,S,d1,-642.5,0.08,1.0
2022-01-05,WT,S,eod,3457.5,6.41,78.5
2022-01-05,WT,S,gb25,532.5,6.41,78.5
2022-01-05,WT,S,gb50,345.0,6.41,78.5
2022-01-05,WT,S,peakK,407.5,6.41,78.5
2022-01-05,WT,S,t1r,595.0,6.41,78.5
2022-01-05,WT,S,d1,3457.5,6.41,78.5
2022-01-20,WT,S,eod,5757.5,6.51,117.25
2022-01-20,WT,S,gb25,720.0,6.51,117.25
2022-01-20,WT,S,gb50,570.0,6.51,117.25
2022-01-20,WT,S,peakK,720.0,6.51,117.25
2022-01-20,WT,S,t1r,882.5,6.51,117.25
2022-01-20,WT,S,d1,5757.5,6.51,117.25
2022-01-20,WT,S,eod,4907.5,5.57,100.25
2022-01-20,WT,S,gb25,745.0,5.57,100.25
2022-01-20,WT,S,gb50,4907.5,5.57,100.25
2022-01-20,WT,S,peakK,957.5,5.57,100.25
2022-01-20,WT,S,t1r,882.5,5.57,100.25
2022-01-20,WT,S,d1,4907.5,5.57,100.25
2022-01-21,WT,S,eod,2445.0,2.59,52.5
2022-01-21,WT,S,gb25,1632.5,2.59,52.5
2022-01-21,WT,S,gb50,1182.5,2.59,52.5
2022-01-21,WT,S,peakK,1682.5,2.59,52.5
2022-01-21,WT,S,t1r,995.0,2.59,52.5
2022-01-21,WT,S,d1,2445.0,2.59,52.5
2022-02-01,WT,S,eod,-1830.0,0.01,0.25
2022-02-01,WT,S,gb25,-1830.0,0.01,0.25
2022-02-01,WT,S,gb50,-1830.0,0.01,0.25
2022-02-01,WT,S,peakK,-1830.0,0.01,0.25
2022-02-01,WT,S,t1r,-1830.0,0.01,0.25
2022-02-01,WT,S,d1,-1830.0,0.01,0.25
2022-02-02,WT,L,eod,-905.0,0.61,22.5
2022-02-02,WT,L,gb25,-905.0,0.61,22.5
2022-02-02,WT,L,gb50,-905.0,0.61,22.5
2022-02-02,WT,L,peakK,-905.0,0.61,22.5
2022-02-02,WT,L,t1r,-1867.5,0.61,22.5
2022-02-02,WT,L,d1,-905.0,0.61,22.5
2022-02-07,WT,S,eod,-80.0,0.56,19.0
2022-02-07,WT,S,gb25,-80.0,0.56,19.0
2022-02-07,WT,S,gb50,-80.0,0.56,19.0
2022-02-07,WT,S,peakK,-80.0,0.56,19.0
2022-02-07,WT,S,t1r,-1705.0,0.56,19.0
2022-02-07,WT,S,d1,-80.0,0.56,19.0
2022-02-14,FADE,S,eod,-217.5,5.69,22.75
2022-02-14,FADE,S,gb25,-217.5,5.69,22.75
2022-02-14,FADE,S,gb50,-217.5,5.69,22.75
2022-02-14,FADE,S,peakK,-217.5,5.69,22.75
2022-02-14,FADE,S,t1r,-217.5,5.69,22.75
2022-02-14,FADE,S,d1,-217.5,5.69,22.75
2022-02-16,WT,S,eod,-1042.5,0.46,9.5
2022-02-16,WT,S,gb25,-1042.5,0.46,9.5
2022-02-16,WT,S,gb50,-1042.5,0.46,9.5
2022-02-16,WT,S,peakK,-1042.5,0.46,9.5
2022-02-16,WT,S,t1r,-1042.5,0.46,9.5
2022-02-16,WT,S,d1,-1042.5,0.46,9.5
2022-02-18,FADE,S,eod,-217.5,9.0,36.0
2022-02-18,FADE,S,gb25,-217.5,9.0,36.0
2022-02-18,FADE,S,gb50,-217.5,9.0,36.0
2022-02-18,FADE,S,peakK,-217.5,9.0,36.0
2022-02-18,FADE,S,t1r,-217.5,9.0,36.0
2022-02-18,FADE,S,d1,-217.5,9.0,36.0
2022-02-23,WT,S,eod,-1067.5,2.9,61.0
2022-02-23,WT,S,gb25,-1067.5,2.9,61.0
2022-02-23,WT,S,gb50,-1067.5,2.9,61.0
2022-02-23,WT,S,peakK,-1067.5,2.9,61.0
2022-02-23,WT,S,t1r,-1067.5,2.9,61.0
2022-02-23,WT,S,d1,-1067.5,2.9,61.0
2022-02-23,FADE,S,eod,-217.5,9.75,39.0
2022-02-23,FADE,S,gb25,-217.5,9.75,39.0
2022-02-23,FADE,S,gb50,-217.5,9.75,39.0
2022-02-23,FADE,S,peakK,-217.5,9.75,39.0
2022-02-23,FADE,S,t1r,-217.5,9.75,39.0
2022-02-23,FADE,S,d1,-217.5,9.75,39.0
2022-03-01,WT,S,eod,1482.5,2.67,68.75
2022-03-01,WT,S,gb25,2082.5,2.67,68.75
2022-03-01,WT,S,gb50,1382.5,2.67,68.75
2022-03-01,WT,S,peakK,2145.0,2.67,68.75
2022-03-01,WT,S,t1r,1270.0,2.67,68.75
2022-03-01,WT,S,d1,1482.5,2.67,68.75
2022-03-01,WT,S,eod,1007.5,2.3,59.25
2022-03-01,WT,S,gb25,1720.0,2.3,59.25
2022-03-01,WT,S,gb50,1145.0,2.3,59.25
2022-03-01,WT,S,peakK,1670.0,2.3,59.25
2022-03-01,WT,S,t1r,1270.0,2.3,59.25
2022-03-01,WT,S,d1,1007.5,2.3,59.25
2022-03-02,WT,L,eod,70.0,0.82,22.75
2022-03-02,WT,L,gb25,70.0,0.82,22.75
2022-03-02,WT,L,gb50,70.0,0.82,22.75
2022-03-02,WT,L,peakK,70.0,0.82,22.75
2022-03-02,WT,L,t1r,-1405.0,0.82,22.75
2022-03-02,WT,L,d1,70.0,0.82,22.75
2022-03-02,WT,L,eod,-805.0,0.19,5.25
2022-03-02,WT,L,gb25,-805.0,0.19,5.25
2022-03-02,WT,L,gb50,-805.0,0.19,5.25
2022-03-02,WT,L,peakK,-805.0,0.19,5.25
2022-03-02,WT,L,t1r,-1405.0,0.19,5.25
2022-03-02,WT,L,d1,-805.0,0.19,5.25
2022-03-07,WT,S,eod,2145.0,1.84,51.0
2022-03-07,WT,S,gb25,1095.0,1.84,51.0
2022-03-07,WT,S,gb50,720.0,1.84,51.0
2022-03-07,WT,S,peakK,770.0,1.84,51.0
2022-03-07,WT,S,t1r,1370.0,1.84,51.0
2022-03-07,WT,S,d1,2145.0,1.84,51.0
2022-03-14,WT,L,eod,-1367.5,0.54,14.5
2022-03-14,WT,L,gb25,-1367.5,0.54,14.5
2022-03-14,WT,L,gb50,-1367.5,0.54,14.5
2022-03-14,WT,L,peakK,-1367.5,0.54,14.5
2022-03-14,WT,L,t1r,-1367.5,0.54,14.5
2022-03-14,WT,L,d1,-1367.5,0.54,14.5
2022-03-14,WT,L,eod,-1367.5,0.06,1.5
2022-03-14,WT,L,gb25,-1367.5,0.06,1.5
2022-03-14,WT,L,gb50,-1367.5,0.06,1.5
2022-03-14,WT,L,peakK,-1367.5,0.06,1.5
2022-03-14,WT,L,t1r,-1367.5,0.06,1.5
2022-03-14,WT,L,d1,-1367.5,0.06,1.5
2022-03-23,WT,L,eod,-1255.0,0.3,7.5
2022-03-23,WT,L,gb25,-1255.0,0.3,7.5
2022-03-23,WT,L,gb50,-1255.0,0.3,7.5
2022-03-23,WT,L,peakK,-1255.0,0.3,7.5
2022-03-23,WT,L,t1r,-1255.0,0.3,7.5
2022-03-23,WT,L,d1,-1255.0,0.3,7.5
2022-03-30,WT,S,eod,207.5,1.61,30.5
2022-03-30,WT,S,gb25,1120.0,1.61,30.5
