kind,feature,bucket,n_tr,PF_tr,net_tr,n_te,PF_te,net_te
rule2,overlap>=q3 & doji4>=q3,,155,0.528,-17450,165,0.9,-3588
rule2,overlap>=q3 & WT,,174,0.543,-17720,203,0.777,-10265
rule2,overlap>=q3 & hour!=EOD,,434,0.532,-49032,465,0.784,-23825
rule2,mchan<=q1 & pushes<=q1,,671,0.705,-45730,638,0.798,-32415
rule2,mchan<=q1 & pushes>=q3,,216,0.841,-7480,260,0.894,-6375
rule2,mchan<=q1 & pos_day<=q1,,218,0.85,-8228,209,0.76,-12932
rule2,mchan<=q1 & pos_day>=q3,,210,0.769,-9262,204,0.749,-10795
rule2,mchan<=q1 & drift<=q1,,229,0.519,-29908,205,0.682,-18238
rule2,mchan<=q1 & drift>=q3,,249,0.951,-2358,217,0.764,-12135
rule2,mchan<=q1 & rng_sf_adr<=q1,,205,0.75,-11788,246,0.677,-18555
rule2,mchan<=q1 & rng_sf_adr>=q3,,193,0.855,-6540,246,0.671,-24768
rule2,mchan<=q1 & fh_adr<=q1,,188,0.82,-6378,291,0.654,-22055
rule2,mchan<=q1 & fh_adr>=q3,,210,0.812,-9512,249,0.88,-8932
rule2,mchan<=q1 & ema_slope<=q1,,197,0.945,-2398,215,0.915,-4438
rule2,mchan<=q1 & ema_slope>=q3,,197,0.628,-14472,204,0.901,-4058
rule2,mchan<=q1 & vs_pC<=q1,,237,0.839,-9185,213,0.79,-12278
rule2,mchan<=q1 & vs_pC>=q3,,223,0.607,-16290,226,0.766,-10430
rule2,mchan<=q1 & gap_atr<=q1,,271,0.81,-11855,201,0.834,-8955
rule2,mchan<=q1 & gap_atr>=q3,,201,0.562,-18105,235,0.66,-17262
rule2,mchan<=q1 & nth_2e<=q1,,497,0.795,-24260,497,0.892,-14035
rule2,mchan<=q1 & nth_2e>=q3,,390,0.654,-28950,401,0.73,-24755
rule2,mchan<=q1 & ema20_atr<=q1,,194,0.778,-10958,204,0.789,-11208
rule2,mchan<=q1 & ema20_atr>=q3,,200,0.68,-12912,188,0.836,-6515
rule2,mchan<=q1 & er10<=q1,,219,0.757,-11745,217,0.744,-13635
rule2,mchan<=q1 & er10>=q3,,188,0.73,-11315,206,0.754,-12068
rule2,mchan<=q1 & stochK<=q1,,228,0.8,-11902,214,0.828,-9445
rule2,mchan<=q1 & stochK>=q3,,219,0.621,-16970,223,0.662,-17265
rule2,mchan<=q1 & zl_osc<=q1,,245,0.697,-20150,234,0.884,-7458
rule2,mchan<=q1 & zl_osc>=q3,,230,0.656,-20475,270,0.786,-16962
rule2,mchan<=q1 & vix>=q3,,351,0.773,-23468,121,0.974,-1180
rule2,mchan<=q1 & adr10_pct<=q1,,157,0.707,-7148,267,0.817,-9060
rule2,mchan<=q1 & adr10_pct>=q3,,315,0.755,-23225,158,0.929,-3690
rule2,mchan<=q1 & consec_ct<=q1,,562,0.723,-36135,578,0.833,-24565
rule2,mchan<=q1 & consec_ct>=q3,,325,0.761,-17075,320,0.809,-14225
rule2,mchan<=q1 & tight15<=q1,,219,0.679,-13470,197,0.782,-7860
rule2,mchan<=q1 & tight15>=q3,,222,0.714,-17372,265,0.883,-9962
rule2,mchan<=q1 & doji4<=q1,,611,0.777,-30868,637,0.862,-22060
rule2,mchan<=q1 & doji4>=q3,,276,0.649,-22342,261,0.729,-16730
rule2,mchan<=q1 & prior_str<=q1,,221,0.758,-11205,208,0.974,-1178
rule2,mchan<=q1 & prior_str>=q3,,185,0.676,-14175,207,0.602,-21422
rule2,mchan<=q1 & WT,,249,0.944,-2770,297,0.789,-13960
rule2,mchan<=q1 & hour!=EOD,,872,0.75,-49498,879,0.849,-32320
rule2,mchan>=q3 & pushes<=q1,,415,0.711,-25850,484,0.807,-21120
rule2,mchan>=q3 & pushes>=q3,,318,0.705,-21140,338,0.829,-14102
rule2,mchan>=q3 & pos_day<=q1,,212,0.565,-22822,206,0.927,-3955
rule2,mchan>=q3 & pos_day>=q3,,200,0.673,-12162,238,0.774,-10865
rule2,mchan>=q3 & drift<=q1,,197,0.691,-14960,218,0.836,-7878
rule2,mchan>=q3 & drift>=q3,,190,0.719,-9938,182,0.839,-6835
rule2,mchan>=q3 & rng_sf_adr<=q1,,172,0.551,-19748,234,0.901,-4995
rule2,mchan>=q3 & rng_sf_adr>=q3,,179,0.647,-14508,227,0.93,-4110
rule2,mchan>=q3 & fh_adr>=q3,,176,0.775,-8942,216,0.894,-5905
rule2,mchan>=q3 & ema_slope<=q1,,175,0.6,-17425,178,0.957,-2015
rule2,mchan>=q3 & ema_slope>=q3,,171,0.921,-2180,198,0.89,-4252
rule2,mchan>=q3 & vs_pC<=q1,,189,0.704,-13032,196,0.919,-4118
rule2,mchan>=q3 & vs_pC>=q3,,192,0.645,-11560,206,0.578,-17655
rule2,mchan>=q3 & gap_atr<=q1,,186,0.692,-12905,177,0.666,-15122
rule2,mchan>=q3 & gap_atr>=q3,,191,0.631,-13305,208,0.694,-12890
rule2,mchan>=q3 & nth_2e<=q1,,392,0.722,-26298,426,0.951,-5105
rule2,mchan>=q3 & nth_2e>=q3,,341,0.688,-20692,396,0.657,-30118
rule2,mchan>=q3 & ema20_atr<=q1,,219,0.539,-25045,218,0.923,-4265
rule2,mchan>=q3 & ema20_atr>=q3,,212,0.853,-5510,235,0.736,-12825
rule2,mchan>=q3 & er10<=q1,,161,0.616,-14292,168,0.425,-26102
rule2,mchan>=q3 & er10>=q3,,168,1.047,1348,207,1.121,5065
rule2,mchan>=q3 & stochK<=q1,,192,0.559,-21335,203,1.045,2260
rule2,mchan>=q3 & stochK>=q3,,172,0.957,-1272,221,0.908,-4005
rule2,mchan>=q3 & zl_osc<=q1,,171,0.601,-18168,185,0.94,-3050
rule2,mchan>=q3 & vix>=q3,,266,0.714,-22630,104,0.703,-12558
rule2,mchan>=q3 & adr10_pct<=q1,,166,0.646,-9105,245,0.878,-4862
rule2,mchan>=q3 & adr10_pct>=q3,,230,0.681,-22450,129,0.646,-18258
rule2,mchan>=q3 & consec_ct<=q1,,405,0.677,-29112,408,0.791,-20690
rule2,mchan>=q3 & consec_ct>=q3,,328,0.748,-17878,414,0.843,-14532
rule2,mchan>=q3 & tight15<=q1,,175,0.544,-14475,264,0.736,-12782
rule2,mchan>=q3 & tight15>=q3,,172,0.864,-5948,201,0.881,-7480
rule2,mchan>=q3 & doji4<=q1,,457,0.632,-38460,521,0.863,-16280
rule2,mchan>=q3 & doji4>=q3,,276,0.849,-8530,301,0.741,-18942
rule2,mchan>=q3 & prior_str>=q3,,191,0.86,-5218,196,0.928,-3192
rule2,mchan>=q3 & WT,,324,0.735,-18020,348,0.831,-13290
rule2,mchan>=q3 & hour!=EOD,,714,0.725,-43095,812,0.826,-32998
rule2,pushes<=q1 & pos_day<=q1,,284,0.697,-21608,258,0.867,-8828
rule2,pushes<=q1 & pos_day>=q3,,282,0.704,-15535,298,0.676,-20440
rule2,pushes<=q1 & drift<=q1,,286,0.56,-32592,269,0.765,-16358
rule2,pushes<=q1 & drift>=q3,,311,0.942,-3292,265,0.674,-20712
rule2,pushes<=q1 & rng_sf_adr<=q1,,251,0.632,-22868,315,0.76,-16850
rule2,pushes<=q1 & rng_sf_adr>=q3,,261,0.723,-16805,303,0.814,-15340
rule2,pushes<=q1 & fh_adr<=q1,,214,0.657,-14582,349,0.588,-30832
