dir,regime,with_trend,adr,mae_pts,eod_move,fill_hour,entry_px,Date,yr,gap,sma20,skip_after,net
S,NEUTRAL,False,26.52,11.25,-1.75,10,5225.25,2021-08-10,2021,0.067,5176.625,False,-417.5
L,BEAR,False,24.2,7.75,2.25,09,5237.25,2021-08-11,2021,0.273,5179.95,False,-380.0
L,BULL,True,22.43,0.25,8.75,12,5244.5,2021-08-12,2021,0.095,5183.5375,False,420.0
L,BULL,True,22.43,0.5,7.0,13,5246.25,2021-08-12,2021,0.095,5183.5375,False,332.5
L,BULL,True,23.02,1.0,4.75,09,5256.25,2021-08-13,2021,0.109,5188.825,False,220.0
L,BEAR,False,21.65,4.25,37.0,09,5236.5,2021-08-16,2021,0.233,5196.1625,False,1832.5
S,BULL,False,21.65,17.0,-14.5,12,5259.0,2021-08-16,2021,0.233,5196.1625,False,-342.5
S,BULL,False,22.38,6.75,8.5,09,5246.25,2021-08-17,2021,0.536,5207.1375,True,-355.0
S,BEAR,True,22.38,22.5,-15.25,12,5222.5,2021-08-17,2021,0.536,5207.1375,True,-355.0
S,BULL,False,21.38,0.5,52.0,09,5246.0,2021-08-18,2021,0.1,5213.075,True,2582.5
S,BULL,False,25.57,20.25,-9.75,09,5194.0,2021-08-19,2021,0.554,5215.175,True,-405.0
S,BEAR,True,28.52,12.75,-6.5,10,5227.25,2021-08-20,2021,0.024,5217.2375,True,-442.5
L,BULL,True,28.52,3.75,2.75,13,5231.0,2021-08-20,2021,0.024,5217.2375,True,120.0
S,BULL,False,31.43,12.5,-5.5,09,5272.75,2021-08-23,2021,0.396,5218.9,False,-492.5
S,BULL,False,32.55,11.75,-7.0,09,5285.75,2021-08-25,2021,0.066,5226.8125,False,-505.0
L,BULL,True,32.55,3.25,-1.25,12,5294.0,2021-08-25,2021,0.066,5226.8125,False,-80.0
L,NEUTRAL,False,32.55,2.75,-0.75,12,5293.5,2021-08-25,2021,0.066,5226.8125,False,-55.0
S,BEAR,True,33.02,11.0,5.5,09,5272.75,2021-08-26,2021,0.071,5231.9,False,-517.5
L,BEAR,False,33.02,11.25,-8.5,10,5275.75,2021-08-26,2021,0.071,5231.9,False,-517.5
L,BEAR,False,33.02,17.0,-14.25,11,5281.5,2021-08-26,2021,0.071,5231.9,False,-517.5
S,BEAR,True,33.02,0.5,6.5,13,5273.75,2021-08-26,2021,0.071,5231.9,False,307.5
L,BULL,True,33.12,3.5,5.0,10,5298.75,2021-08-27,2021,0.128,5235.0,False,232.5
L,BULL,True,33.12,3.5,-2.5,12,5306.25,2021-08-27,2021,0.128,5235.0,False,-142.5
L,BULL,True,35.85,6.75,-3.75,11,5330.25,2021-08-30,2021,0.17,5240.475,False,-205.0
L,BULL,True,33.85,6.5,4.25,09,5321.5,2021-08-31,2021,0.038,5247.65,False,195.0
S,NEUTRAL,False,33.85,4.5,-3.75,13,5322.0,2021-08-31,2021,0.038,5247.65,False,-205.0
S,NEUTRAL,False,31.27,8.75,1.5,09,5325.75,2021-09-01,2021,0.061,5253.4875,False,57.5
L,NEUTRAL,False,26.95,15.25,-2.75,09,5337.5,2021-09-02,2021,0.23,5259.9125,False,-417.5
L,BEAR,False,24.05,0.5,7.0,09,5326.25,2021-09-03,2021,0.225,5265.6625,False,332.5
S,BULL,False,24.05,7.5,-1.25,12,5332.0,2021-09-03,2021,0.225,5265.6625,False,-380.0
L,BEAR,False,22.07,33.5,-28.25,10,5343.75,2021-09-07,2021,0.183,5270.8375,False,-342.5
L,NEUTRAL,False,22.07,7.75,-7.0,13,5322.5,2021-09-07,2021,0.183,5270.8375,False,-342.5
S,BEAR,True,22.65,17.0,-14.0,10,5297.25,2021-09-08,2021,0.066,5275.325,True,-355.0
S,BULL,False,24.38,3.75,33.5,09,5325.0,2021-09-09,2021,0.028,5279.5375,False,1657.5
S,BEAR,True,24.38,7.75,5.5,13,5297.0,2021-09-09,2021,0.028,5279.5375,False,-380.0
S,NEUTRAL,False,24.38,6.75,6.5,13,5298.0,2021-09-09,2021,0.028,5279.5375,False,307.5
L,BEAR,False,26.7,37.5,-32.75,09,5293.75,2021-09-10,2021,0.42,5282.1375,True,-417.5
L,BEAR,False,26.7,31.75,-27.0,13,5288.0,2021-09-10,2021,0.42,5282.1375,True,-417.5
L,BEAR,False,30.2,19.0,10.5,09,5262.5,2021-09-13,2021,0.542,5282.525,True,-467.5
L,BEAR,False,31.48,25.5,-13.0,09,5259.75,2021-09-14,2021,0.213,5283.125,True,-492.5
S,NEUTRAL,False,31.48,0.5,6.25,13,5253.0,2021-09-14,2021,0.213,5283.125,True,295.0
L,NEUTRAL,False,34.27,4.5,33.25,09,5249.0,2021-09-15,2021,0.033,5281.7875,True,1645.0
S,BEAR,True,37.7,35.0,-21.0,10,5250.5,2021-09-16,2021,0.133,5284.0125,False,-580.0
L,BULL,True,37.7,1.5,0.5,13,5271.0,2021-09-16,2021,0.133,5284.0125,False,7.5
L,BEAR,False,40.45,23.25,-19.75,09,5243.75,2021-09-17,2021,0.128,5287.8875,False,-630.0
S,NEUTRAL,False,40.45,2.75,10.75,13,5234.75,2021-09-17,2021,0.128,5287.8875,False,520.0
S,BEAR,True,40.45,6.5,7.0,13,5231.0,2021-09-17,2021,0.128,5287.8875,False,332.5
L,NEUTRAL,False,43.2,59.75,-13.5,09,5162.5,2021-09-20,2021,1.163,5288.9,False,-667.5
L,BEAR,False,48.88,26.75,-24.0,09,5167.5,2021-09-21,2021,0.607,5284.6625,True,-755.0
L,NEUTRAL,False,48.88,26.5,-23.75,12,5167.25,2021-09-21,2021,0.607,5284.6625,True,-755.0
L,BULL,True,50.48,10.0,4.75,09,5190.75,2021-09-22,2021,0.622,5277.925,False,220.0
S,NEUTRAL,False,50.48,19.25,0.75,13,5196.25,2021-09-22,2021,0.622,5277.925,False,-780.0
L,NEUTRAL,False,52.65,4.25,0.25,11,5248.5,2021-09-23,2021,0.342,5273.65,False,-5.0
S,BULL,False,53.98,15.75,-8.5,09,5246.25,2021-09-24,2021,0.372,5271.45,False,-442.5
L,BULL,True,51.3,12.5,-7.0,10,5248.25,2021-09-27,2021,0.233,5270.825,False,-367.5
L,NEUTRAL,False,51.3,11.0,-7.25,13,5248.5,2021-09-27,2021,0.233,5270.825,False,-380.0
L,NEUTRAL,False,48.55,35.75,-24.5,09,5179.5,2021-09-28,2021,0.563,5267.7,False,-742.5
L,NEUTRAL,False,50.5,24.25,-11.5,09,5177.5,2021-09-29,2021,0.233,5259.125,False,-780.0
S,BULL,False,50.5,13.5,5.0,11,5171.0,2021-09-29,2021,0.233,5259.125,False,232.5
S,NEUTRAL,False,50.5,24.25,-5.75,11,5160.25,2021-09-29,2021,0.233,5259.125,False,-780.0
L,NEUTRAL,False,50.5,25.25,-13.5,13,5179.5,2021-09-29,2021,0.233,5259.125,False,-780.0
L,BEAR,False,48.7,50.75,-42.5,10,5154.0,2021-09-30,2021,0.174,5251.1375,False,-742.5
L,BEAR,False,52.3,9.75,60.5,09,5095.75,2021-10-01,2021,0.245,5240.5,True,3007.5
L,BULL,True,52.3,2.0,30.5,11,5125.75,2021-10-01,2021,0.245,5240.5,True,1507.5
S,BEAR,True,56.3,17.75,-15.5,11,5087.75,2021-10-04,2021,0.242,5231.575,True,-867.5
L,BULL,True,56.25,19.25,-16.5,10,5161.0,2021-10-05,2021,0.26,5220.075,False,-867.5
S,NEUTRAL,False,57.05,49.0,-48.0,09,5115.75,2021-10-06,2021,0.748,5211.525,False,-867.5
S,BULL,False,59.67,2.5,26.5,09,5227.0,2021-10-07,2021,0.649,5204.15,False,1307.5
L,NEUTRAL,False,57.8,21.5,-18.5,09,5206.75,2021-10-08,2021,0.149,5199.6,False,-880.0
L,BEAR,False,56.98,54.75,-52.25,10,5209.75,2021-10-11,2021,0.063,5195.9625,False,-867.5
S,NEUTRAL,False,60.98,21.75,11.5,09,5152.25,2021-10-12,2021,0.238,5190.1875,False,-930.0
S,BULL,False,57.55,34.5,-22.75,09,5139.25,2021-10-13,2021,0.374,5184.8875,False,-880.0
L,BULL,True,58.92,3.0,8.0,12,5232.0,2021-10-14,2021,0.818,5178.875,False,382.5
S,BULL,False,58.92,3.0,-2.75,13,5237.25,2021-10-14,2021,0.818,5178.875,False,-155.0
L,NEUTRAL,False,55.12,7.25,5.5,10,5266.75,2021-10-15,2021,0.401,5177.3,False,257.5
L,BULL,True,48.5,1.75,6.0,13,5279.75,2021-10-18,2021,0.37,5179.7125,False,282.5
L,BULL,True,45.1,1.0,20.5,09,5302.75,2021-10-19,2021,0.317,5186.55,False,1007.5
L,BULL,True,45.1,0.5,16.0,09,5307.25,2021-10-19,2021,0.317,5186.55,False,782.5
L,BULL,True,45.1,6.25,7.5,12,5315.75,2021-10-19,2021,0.317,5186.55,False,357.5
L,BULL,True,41.83,10.5,-0.5,10,5334.5,2021-10-20,2021,0.028,5195.5375,False,-42.5
L,NEUTRAL,False,35.98,6.25,15.25,09,5333.5,2021-10-21,2021,0.056,5202.4625,False,745.0
S,BULL,False,35.98,14.0,-10.5,13,5338.25,2021-10-21,2021,0.056,5202.4625,False,-555.0
S,BEAR,True,35.02,9.25,7.5,09,5351.25,2021-10-22,2021,0.07,5207.4625,False,357.5
S,BEAR,True,35.02,20.75,-9.75,11,5334.0,2021-10-22,2021,0.07,5207.4625,False,-542.5
S,BULL,False,35.02,11.0,0.0,12,5343.75,2021-10-22,2021,0.07,5207.4625,False,-542.5
L,NEUTRAL,False,35.95,1.25,16.75,09,5352.0,2021-10-25,2021,0.243,5211.9125,False,820.0
L,BEAR,False,33.33,25.75,-20.75,09,5395.5,2021-10-26,2021,0.312,5218.2875,False,-517.5
S,BEAR,True,32.52,12.0,17.0,10,5373.25,2021-10-27,2021,0.06,5229.275,False,-505.0
L,BEAR,False,32.52,19.5,-16.0,10,5372.25,2021-10-27,2021,0.06,5229.275,False,-505.0
L,BULL,True,32.52,28.25,-24.75,13,5381.0,2021-10-27,2021,0.06,5229.275,False,-505.0
L,BULL,True,31.23,10.5,2.5,10,5389.25,2021-10-28,2021,0.233,5238.7875,False,-480.0
S,BEAR,True,30.18,27.25,-26.25,09,5382.75,2021-10-29,2021,0.352,5252.8,False,-467.5
S,NEUTRAL,False,32.0,12.75,-9.75,09,5403.25,2021-11-01,2021,0.148,5265.4375,False,-492.5
S,NEUTRAL,False,30.25,9.75,-4.0,09,5426.25,2021-11-02,2021,0.055,5280.925,False,-467.5
L,NEUTRAL,False,29.55,1.75,36.5,09,5424.0,2021-11-03,2021,0.06,5295.2125,False,1807.5
L,NEUTRAL,False,29.55,2.25,22.25,13,5438.25,2021-11-03,2021,0.06,5295.2125,False,1095.0
L,BULL,True,32.17,16.25,0.0,09,5481.75,2021-11-04,2021,0.119,5310.05,False,-505.0
S,BEAR,True,32.17,14.25,-12.5,10,5469.25,2021-11-04,2021,0.119,5310.05,False,-505.0
S,BULL,False,31.65,0.75,23.75,09,5517.25,2021-11-05,2021,0.456,5324.1125,False,1170.0
S,BEAR,True,31.65,5.25,7.0,13,5500.5,2021-11-05,2021,0.456,5324.1125,False,332.5
L,NEUTRAL,False,31.77,9.5,-3.5,10,5505.25,2021-11-08,2021,0.314,5339.375,False,-492.5
S,BEAR,True,30.27,10.75,-6.75,11,5478.25,2021-11-09,2021,0.1,5356.5875,False,-467.5
S,NEUTRAL,False,31.07,3.0,32.5,09,5483.75,2021-11-10,2021,0.283,5373.8,False,1607.5
S,BULL,False,31.6,34.75,-33.0,09,5457.75,2021-11-12,2021,0.202,5398.9625,False,-492.5
S,NEUTRAL,False,31.3,1.25,2.5,09,5493.25,2021-11-15,2021,0.173,5409.8875,False,107.5
S,BEAR,True,31.3,3.25,0.5,09,5491.25,2021-11-15,2021,0.173,5409.8875,False,7.5
S,NEUTRAL,False,31.3,5.25,-5.0,12,5485.75,2021-11-15,2021,0.173,5409.8875,False,-267.5
L,NEUTRAL,False,31.32,7.0,5.25,09,5501.25,2021-11-16,2021,0.1,5420.1375,False,245.0
L,NEUTRAL,False,31.32,0.5,10.25,09,5496.25,2021-11-16,2021,0.1,5420.1375,False,495.0
L,BULL,True,31.32,6.75,-3.75,11,5510.25,2021-11-16,2021,0.1,5420.1375,False,-205.0
L,BULL,True,31.32,11.0,-8.0,12,5514.5,2021-11-16,2021,0.1,5420.1375,False,-492.5
S,BEAR,True,32.6,11.25,0.5,09,5494.5,2021-11-17,2021,0.05,5429.3,False,-505.0
S,BEAR,True,29.95,26.5,-20.5,10,5487.5,2021-11-18,2021,0.223,5437.3,False,-467.5
S,NEUTRAL,False,29.95,7.5,-1.5,12,5506.5,2021-11-18,2021,0.223,5437.3,False,-92.5
L,BEAR,False,31.62,6.0,-0.75,09,5505.0,2021-11-19,2021,0.032,5445.2625,False,-55.0
L,BULL,True,31.62,17.25,-12.0,12,5516.25,2021-11-19,2021,0.032,5445.2625,False,-492.5
S,NEUTRAL,False,31.62,0.75,4.25,13,5508.5,2021-11-19,2021,0.032,5445.2625,False,195.0
S,NEUTRAL,False,30.3,23.5,22.0,11,5514.5,2021-11-22,2021,0.313,5453.2875,False,-467.5
L,BEAR,False,34.9,12.75,17.5,09,5470.75,2021-11-23,2021,0.123,5459.475,True,-542.5
L,BULL,True,35.83,7.0,15.0,11,5493.75,2021-11-24,2021,0.26,5465.15,False,732.5
L,BULL,True,35.83,14.5,7.5,12,5501.25,2021-11-24,2021,0.26,5465.15,False,-555.0
S,NEUTRAL,False,35.83,9.0,-8.0,13,5500.75,2021-11-24,2021,0.26,5465.15,False,-417.5
S,NEUTRAL,False,35.83,15.25,-14.25,13,5494.5,2021-11-24,2021,0.26,5465.15,False,-555.0
L,NEUTRAL,False,34.92,129.0,-127.25,09,5515.25,2021-11-26,2021,0.109,5472.775,False,-542.5
S,NEUTRAL,False,46.52,33.25,-16.25,09,5445.5,2021-11-29,2021,1.225,5472.5875,True,-717.5
L,BULL,True,46.52,2.5,16.75,10,5445.0,2021-11-29,2021,1.225,5472.5875,True,820.0
L,BULL,True,46.52,17.75,-12.25,12,5474.0,2021-11-29,2021,1.225,5472.5875,True,-717.5
S,BEAR,True,46.52,7.25,8.0,13,5469.75,2021-11-29,2021,1.225,5472.5875,True,382.5
S,BEAR,True,47.6,12.75,5.5,10,5393.25,2021-11-30,2021,0.526,5475.225,False,257.5
L,NEUTRAL,False,47.6,25.25,-3.5,11,5391.25,2021-11-30,2021,0.526,5475.225,False,-730.0
L,BULL,True,53.75,138.5,-122.5,11,5445.25,2021-12-01,2021,0.775,5473.9625,True,-817.5
L,BEAR,False,53.75,85.25,-69.25,13,5392.0,2021-12-01,2021,0.775,5473.9625,True,-817.5
S,NEUTRAL,False,65.62,52.5,-31.75,09,5350.25,2021-12-02,2021,0.066,5468.5875,True,-1005.0
L,NEUTRAL,False,65.62,5.25,10.5,10,5371.5,2021-12-02,2021,0.066,5468.5875,True,507.5
L,BULL,True,65.62,15.5,-7.25,12,5389.25,2021-12-02,2021,0.066,5468.5875,True,-380.0
S,BULL,False,72.62,14.0,-2.0,11,5338.25,2021-12-03,2021,0.409,5464.6625,False,-117.5
L,BULL,True,80.38,14.25,24.5,09,5375.0,2021-12-06,2021,0.623,5457.5875,False,1207.5
L,NEUTRAL,False,80.38,5.25,12.5,10,5387.0,2021-12-06,2021,0.623,5457.5875,False,607.5
L,BULL,True,80.38,20.25,-16.5,12,5416.0,2021-12-06,2021,0.623,5457.5875,False,-842.5
L,BULL,True,80.38,19.75,-16.0,13,5415.5,2021-12-06,2021,0.623,5457.5875,False,-817.5
L,BULL,True,85.2,21.0,4.0,10,5496.25,2021-12-07,2021,1.06,5452.8875,False,182.5
L,BEAR,False,83.12,8.75,17.5,09,5489.5,2021-12-08,2021,0.018,5452.8125,False,857.5
S,BEAR,True,81.62,11.5,18.25,09,5492.0,2021-12-09,2021,0.241,5453.9125,False,895.0
S,BEAR,True,81.62,11.75,18.0,10,5491.75,2021-12-09,2021,0.241,5453.9125,False,882.5
L,NEUTRAL,False,81.62,24.0,-21.75,13,5495.5,2021-12-09,2021,0.241,5453.9125,False,-1105.0
S,BULL,False,80.38,16.5,-14.75,09,5505.0,2021-12-10,2021,0.58,5455.0375,False,-755.0
S,NEUTRAL,False,80.38,33.0,-31.25,10,5488.5,2021-12-10,2021,0.58,5455.0375,False,-1217.5
L,NEUTRAL,False,80.38,7.25,20.5,11,5499.25,2021-12-10,2021,0.58,5455.0375,False,1007.5
L,NEUTRAL,False,80.38,7.25,16.0,13,5503.75,2021-12-10,2021,0.58,5455.0375,False,782.5
L,NEUTRAL,False,71.6,32.0,-25.25,09,5503.75,2021-12-13,2021,0.1,5458.325,False,-1092.5
S,BULL,False,71.6,6.25,12.25,09,5490.75,2021-12-13,2021,0.1,5458.325,False,595.0
S,BEAR,True,71.6,11.0,7.5,12,5486.0,2021-12-13,2021,0.1,5458.325,False,357.5
S,BEAR,True,71.35,14.25,2.5,09,5443.75,2021-12-14,2021,0.684,5457.7125,False,107.5
S,BEAR,True,71.35,27.75,-14.25,10,5427.0,2021-12-14,2021,0.684,5457.7125,False,-1092.5
S,BEAR,True,71.35,35.5,-22.0,12,5419.25,2021-12-14,2021,0.684,5457.7125,False,-1092.5
S,BULL,False,71.35,25.0,-11.5,13,5429.75,2021-12-14,2021,0.684,5457.7125,False,-1092.5
L,NEUTRAL,False,68.2,12.0,87.25,09,5430.25,2021-12-15,2021,0.074,5455.2375,False,4345.0
S,BEAR,True,68.2,97.5,-93.0,11,5424.5,2021-12-15,2021,0.074,5455.2375,False,-1042.5
L,BULL,True,68.2,14.0,85.25,12,5432.25,2021-12-15,2021,0.074,5455.2375,False,4245.0
S,NEUTRAL,False,68.2,66.5,-62.0,13,5455.5,2021-12-15,2021,0.074,5455.2375,False,-1042.5
S,BEAR,True,63.27,2.25,45.75,09,5526.75,2021-12-16,2021,0.34,5455.7875,False,2270.0
S,BEAR,True,63.27,4.0,30.0,10,5511.0,2021-12-16,2021,0.34,5455.7875,False,1482.5
L,BEAR,False,62.65,4.75,20.75,09,5412.0,2021-12-17,2021,0.73,5455.1375,False,1020.0
S,NEUTRAL,False,57.9,34.0,-34.0,09,5353.25,2021-12-20,2021,1.173,5451.375,False,-880.0
S,BEAR,True,57.9,38.75,-38.75,09,5348.5,2021-12-20,2021,1.173,5451.375,False,-880.0
S,BULL,False,57.9,41.25,-41.25,12,5346.0,2021-12-20,2021,1.173,5451.375,False,-880.0
S,BULL,False,57.9,37.25,-37.25,12,5350.0,2021-12-20,2021,1.173,5451.375,False,-880.0
L,NEUTRAL,False,57.9,7.25,25.75,12,5361.5,2021-12-20,2021,1.173,5451.375,False,1270.0
S,BULL,False,55.73,52.75,-49.75,09,5405.75,2021-12-21,2021,0.441,5445.525,False,-855.0
S,BULL,False,55.73,59.25,-56.25,10,5399.25,2021-12-21,2021,0.441,5445.525,False,-855.0
S,BULL,False,58.17,19.25,-18.75,10,5487.0,2021-12-22,2021,0.032,5443.675,False,-892.5
S,BULL,False,60.48,15.5,-0.5,09,5532.0,2021-12-23,2021,0.127,5444.55,False,-42.5
L,BULL,True,60.85,0.75,21.25,10,5576.25,2021-12-27,2021,0.244,5445.7375,False,1045.0
L,NEUTRAL,False,61.95,19.75,-6.5,09,5606.5,2021-12-28,2021,0.107,5456.2125,False,-942.5
S,BEAR,True,60.1,12.75,0.0,09,5599.5,2021-12-29,2021,0.062,5463.125,False,-17.5
S,BULL,False,57.12,2.25,23.25,09,5613.75,2021-12-30,2021,0.094,5473.7125,False,1145.0
S,NEUTRAL,False,50.0,10.75,3.5,09,5583.75,2021-12-31,2021,0.143,5487.1,False,157.5
S,BEAR,True,50.0,11.0,3.25,09,5583.5,2021-12-31,2021,0.143,5487.1,False,145.0
S,BULL,False,44.0,16.5,-13.75,09,5587.25,2022-01-03,2022,0.161,5497.0125,False,-680.0
S,BEAR,True,41.3,6.5,18.0,09,5616.0,2022-01-04,2022,0.295,5510.05,False,882.5
S,BEAR,True,41.3,25.25,-8.75,13,5589.25,2022-01-04,2022,0.295,5510.05,False,-642.5
L,NEUTRAL,False,40.6,90.0,-81.0,09,5595.75,2022-01-05,2022,0.027,5519.975,False,-630.0
L,NEUTRAL,False,40.6,87.0,-78.0,10,5592.75,2022-01-05,2022,0.027,5519.975,False,-630.0
S,BEAR,True,40.6,9.5,69.5,13,5584.25,2022-01-05,2022,0.027,5519.975,False,3457.5
S,BULL,False,43.48,20.25,4.25,10,5511.75,2022-01-06,2022,0.204,5520.7,True,-667.5
L,BEAR,False,44.4,5.25,79.25,09,5398.5,2022-01-10,2022,0.625,5521.25,False,3945.0
L,BULL,True,44.4,15.5,23.0,13,5454.75,2022-01-10,2022,0.625,5521.25,False,-680.0
L,NEUTRAL,False,48.15,19.75,54.5,09,5466.5,2022-01-11,2022,0.032,5519.15,True,-742.5
S,NEUTRAL,False,48.15,24.25,-21.5,11,5499.5,2022-01-11,2022,0.032,5519.15,True,-742.5
S,NEUTRAL,False,53.42,13.5,-8.75,10,5529.0,2022-01-12,2022,0.331,5521.275,True,-455.0
S,NEUTRAL,False,53.42,9.5,-4.75,11,5533.0,2022-01-12,2022,0.331,5521.275,True,-255.0
L,NEUTRAL,False,53.42,11.25,5.0,12,5532.75,2022-01-12,2022,0.331,5521.275,True,232.5
S,NEUTRAL,False,53.42,8.75,-6.0,13,5531.75,2022-01-12,2022,0.331,5521.275,True,-317.5
L,NEUTRAL,False,55.1,75.5,-66.25,09,5534.25,2022-01-13,2022,0.144,5526.1,False,-842.5
L,NEUTRAL,False,55.1,47.25,-38.0,13,5506.0,2022-01-13,2022,0.144,5526.1,False,-842.5
S,BULL,False,61.23,19.0,-17.5,09,5458.0,2022-01-14,2022,0.604,5523.625,True,-930.0
L,NEUTRAL,False,61.23,4.25,27.25,13,5448.25,2022-01-14,2022,0.604,5523.625,True,1345.0
S,BULL,False,64.58,0.75,87.5,09,5476.0,2022-01-18,2022,0.073,5523.35,False,4357.5
S,NEUTRAL,False,64.58,4.5,19.0,09,5407.5,2022-01-18,2022,0.073,5523.35,False,932.5
L,BEAR,False,64.58,14.5,-2.25,11,5390.75,2022-01-18,2022,0.073,5523.35,False,-130.0
L,NEUTRAL,False,70.62,46.25,-42.5,09,5383.75,2022-01-19,2022,0.292,5521.1375,False,-1080.0
S,BEAR,True,74.42,2.5,115.5,11,5398.5,2022-01-20,2022,0.351,5518.8375,False,5757.5
S,BEAR,True,74.42,7.25,98.5,12,5381.5,2022-01-20,2022,0.351,5518.8375,False,4907.5
L,NEUTRAL,False,74.42,78.5,-76.75,13,5359.75,2022-01-20,2022,0.351,5518.8375,False,-1130.0
S,BEAR,True,77.47,4.5,49.25,12,5251.0,2022-01-21,2022,0.085,5510.2125,True,2445.0
S,BEAR,True,82.58,119.0,-114.5,10,5107.25,2022-01-24,2022,1.139,5495.0125,False,-1255.0
L,BULL,True,82.58,29.0,111.0,13,5110.75,2022-01-24,2022,1.139,5495.0125,False,-1255.0
L,NEUTRAL,False,97.72,8.25,21.5,11,5129.75,2022-01-25,2022,1.326,5479.475,True,1057.5
L,BEAR,False,101.12,94.25,-59.25,09,5204.75,2022-01-26,2022,1.514,5457.1625,False,-1530.0
S,BEAR,True,101.12,32.25,84.75,12,5230.25,2022-01-26,2022,1.514,5457.1625,False,-1530.0
S,NEUTRAL,False,108.3,8.5,71.5,10,5211.0,2022-01-27,2022,1.132,5434.4375,False,3557.5
L,BEAR,False,108.3,18.75,5.75,13,5133.75,2022-01-27,2022,1.132,5434.4375,False,270.0
S,NEUTRAL,False,116.35,125.0,-112.25,09,5117.25,2022-01-28,2022,0.17,5411.4375,False,-1767.5
S,BULL,False,121.28,58.25,-41.5,09,5265.75,2022-01-31,2022,0.072,5393.3875,False,-1842.5
S,BEAR,True,126.3,56.5,-55.5,09,5301.5,2022-02-01,2022,0.391,5379.7375,False,-1917.5
L,NEUTRAL,False,126.3,12.0,34.25,10,5322.75,2022-02-01,2022,0.391,5379.7375,False,1695.0
S,NEUTRAL,False,126.3,37.25,-36.25,11,5320.75,2022-02-01,2022,0.391,5379.7375,False,-1830.0
S,BULL,False,126.3,38.25,-37.25,12,5319.75,2022-02-01,2022,0.391,5379.7375,False,-1917.5
L,NEUTRAL,False,126.3,4.0,33.25,13,5323.75,2022-02-01,2022,0.391,5379.7375,False,1645.0
S,NEUTRAL,False,123.03,27.5,12.75,09,5374.75,2022-02-02,2022,0.355,5367.5375,False,620.0
L,BEAR,False,123.03,6.5,2.75,10,5359.25,2022-02-02,2022,0.355,5367.5375,False,120.0
L,BULL,True,123.03,22.25,-17.75,12,5379.75,2022-02-02,2022,0.355,5367.5375,False,-905.0
S,NEUTRAL,False,119.92,6.5,27.5,09,5344.0,2022-02-03,2022,0.587,5355.7375,False,1357.5
L,NEUTRAL,False,114.22,39.75,4.75,09,5298.5,2022-02-04,2022,0.616,5345.825,False,-1730.0
