Date,engine,book,net
2022-06-28,NEW,WT-S,1170.0
2022-07-21,OLD,WT-L,107.5
2022-07-21,NEW,WT-L,107.5
2022-07-22,OLD,WT-S,520.0
2022-07-22,NEW,WT-S,520.0
2022-07-26,OLD,FADE,557.5
2022-07-26,NEW,FADE,557.5
2022-07-28,OLD,WT-L,1432.5
2022-07-28,OLD,WT-L,495.0
2022-07-28,NEW,WT-L,1432.5
2022-07-28,NEW,WT-L,495.0
2022-08-02,OLD,WT-L,-992.5
2022-08-02,NEW,WT-L,-992.5
2022-08-04,OLD,WT-L,-980.0
2022-08-04,NEW,WT-L,-980.0
2022-08-08,OLD,FADE,-217.5
2022-08-08,NEW,FADE,-217.5
2022-08-19,OLD,FADE,-217.5
2022-08-19,NEW,FADE,-217.5
2022-08-23,NEW,WT-S,482.5
2022-08-24,OLD,WT-S,-342.5
2022-08-24,NEW,WT-S,-342.5
2022-08-25,NEW,WT-L,1132.5
2022-08-30,OLD,WT-S,-5.0
2022-08-30,OLD,WT-S,-842.5
2022-08-30,NEW,WT-S,-5.0
2022-08-30,NEW,WT-S,-842.5
2022-08-31,OLD,FADE,-217.5
2022-08-31,NEW,FADE,-217.5
2022-09-07,OLD,WT-L,1695.0
2022-09-07,NEW,WT-L,1695.0
2022-09-08,OLD,WT-S,-880.0
2022-09-08,NEW,WT-S,-880.0
2022-09-14,OLD,FADE,-217.5
2022-09-14,OLD,WT-S,-555.0
2022-09-14,NEW,FADE,-217.5
2022-09-14,NEW,WT-S,-555.0
2022-09-21,OLD,WT-L,-980.0
2022-09-21,NEW,WT-L,-980.0
2022-09-28,OLD,WT-L,1970.0
2022-09-28,OLD,WT-L,945.0
2022-09-28,OLD,WT-L,1082.5
2022-09-28,NEW,WT-L,1970.0
2022-09-28,NEW,WT-L,945.0
2022-09-28,NEW,WT-L,1082.5
2022-10-03,OLD,WT-L,1245.0
2022-10-03,OLD,WT-L,995.0
2022-10-03,NEW,WT-L,1245.0
