Date,yr,side,net,R
2011-05-30,2011,L,20.0,0.2
2011-06-07,2011,S,107.5,1.075
2011-06-08,2011,L,-142.5,-1.14
2011-06-13,2011,S,38.8,0.3875
2011-06-13,2011,L,-117.5,-1.175
2011-06-17,2011,L,-117.5,-1.175
2011-06-23,2011,S,-117.5,-1.175
2011-06-23,2011,L,163.8,1.190909090909091
2011-06-28,2011,S,-117.5,-1.175
2011-07-05,2011,L,101.2,1.0125
2011-07-07,2011,S,51.2,0.5125
2011-07-08,2011,S,-117.5,-1.175
2011-07-08,2011,L,113.8,1.1375
2011-07-19,2011,S,-142.5,-1.14
2011-07-22,2011,S,-5.0,-0.05
2011-07-26,2011,S,176.2,1.7625
2011-08-04,2011,L,-230.0,-1.0823529411764705
2011-08-11,2011,S,-155.0,-1.1272727272727272
2011-08-12,2011,S,438.8,4.3875
2011-08-15,2011,S,176.2,1.41
2011-08-15,2011,L,213.8,2.1375
2011-08-16,2011,S,-117.5,-1.175
2011-08-17,2011,L,-117.5,-1.175
2011-08-23,2011,S,-117.5,-1.175
2011-08-31,2011,L,207.5,1.66
2011-09-06,2011,S,-117.5,-1.175
2011-09-09,2011,S,-117.5,-1.175
2011-09-15,2011,L,-117.5,-1.175
2011-09-16,2011,L,-130.0,-1.1555555555555554
2011-09-23,2011,S,-180.0,-1.1076923076923078
2011-09-28,2011,L,-130.0,-1.1555555555555554
2011-10-05,2011,S,-130.0,-1.1555555555555554
2011-10-07,2011,L,-117.5,-1.175
2011-10-10,2011,S,-117.5,-1.175
2011-10-14,2011,L,-155.0,-1.1272727272727272
2011-10-17,2011,L,-117.5,-1.175
2011-10-20,2011,S,-142.5,-1.14
2011-10-21,2011,S,157.5,0.9
2011-10-21,2011,L,-130.0,-1.1555555555555554
2011-10-24,2011,S,-117.5,-1.175
2011-10-31,2011,L,63.8,0.6375
2011-11-04,2011,S,-117.5,-1.175
2011-11-07,2011,S,163.8,1.6375
2011-11-08,2011,L,-117.5,-1.175
2011-11-10,2011,S,276.2,2.7625
2011-11-14,2011,L,-117.5,-1.175
2011-11-17,2011,S,-117.5,-1.175
2011-11-18,2011,S,188.8,1.8875
2011-11-18,2011,L,-117.5,-1.175
2011-11-22,2011,S,126.2,0.9181818181818182
2011-11-23,2011,L,-130.0,-1.1555555555555554
2011-11-24,2011,S,145.0,1.45
2011-12-02,2011,L,-142.5,-1.14
2011-12-06,2011,S,132.5,1.1777777777777778
2011-12-07,2011,L,132.5,1.1777777777777778
2011-12-15,2011,L,-117.5,-1.175
2011-12-21,2011,S,-117.5,-1.175
2011-12-21,2011,L,-117.5,-1.175
2012-01-04,2012,L,120.0,1.2
2012-01-09,2012,S,57.5,0.5111111111111111
2012-01-11,2012,S,95.0,0.95
2012-01-17,2012,L,120.0,1.2
2012-01-19,2012,S,-117.5,-1.175
2012-01-20,2012,S,57.5,0.575
2012-01-20,2012,L,45.0,0.45
2012-01-24,2012,S,-117.5,-1.175
2012-01-25,2012,S,-117.5,-1.175
2012-01-27,2012,S,-117.5,-1.175
2012-01-27,2012,L,82.5,0.7333333333333333
2012-01-30,2012,S,-117.5,-1.175
2012-02-01,2012,S,-117.5,-1.175
2012-02-02,2012,S,-117.5,-1.175
2012-02-02,2012,L,-117.5,-1.175
2012-02-03,2012,S,-117.5,-1.175
2012-02-06,2012,S,-117.5,-1.175
2012-02-10,2012,S,-117.5,-1.175
2012-02-13,2012,S,-30.0,-0.3
2012-02-14,2012,S,-92.5,-0.925
2012-02-14,2012,L,63.8,0.6375
2012-02-15,2012,S,82.5,0.825
2012-02-17,2012,L,-117.5,-1.175
2012-02-20,2012,S,-42.5,-0.425
2012-02-22,2012,L,-117.5,-1.175
2012-02-23,2012,S,-117.5,-1.175
2012-02-24,2012,L,63.8,0.6375
2012-03-06,2012,L,-117.5,-1.175
2012-03-08,2012,S,-117.5,-1.175
2012-03-12,2012,L,-117.5,-1.175
2012-03-14,2012,L,-117.5,-1.175
2012-03-15,2012,S,95.0,0.95
2012-03-20,2012,S,-117.5,-1.175
2012-03-21,2012,L,120.0,1.2
2012-03-22,2012,L,-117.5,-1.175
2012-03-26,2012,S,-117.5,-1.175
2012-03-27,2012,L,38.8,0.3875
2012-04-03,2012,S,38.8,0.34444444444444444
2012-04-04,2012,L,-155.0,-1.1272727272727272
2012-04-17,2012,S,-117.5,-1.175
2012-04-18,2012,S,120.0,1.2
2012-04-18,2012,L,107.5,1.075
2012-04-20,2012,L,82.5,0.825
2012-04-24,2012,S,107.5,0.9555555555555556
2012-04-25,2012,S,88.8,0.8875
2012-04-25,2012,L,101.2,1.0125
2012-04-26,2012,S,-117.5,-1.175
2012-04-30,2012,L,113.8,1.1375
2012-05-02,2012,S,-117.5,-1.175
2012-05-02,2012,L,32.5,0.21666666666666667
2012-05-10,2012,L,-117.5,-1.175
2012-05-14,2012,S,-117.5,-1.175
2012-05-15,2012,L,132.5,1.1777777777777778
2012-05-16,2012,L,-180.0,-1.1076923076923078
2012-05-24,2012,S,-130.0,-1.1555555555555554
2012-05-29,2012,S,176.2,1.5666666666666667
2012-05-29,2012,L,-117.5,-1.175
2012-05-30,2012,L,-117.5,-1.175
2012-06-01,2012,L,-117.5,-1.175
2012-06-12,2012,L,-117.5,-1.175
2012-06-15,2012,S,82.5,0.825
2012-06-19,2012,S,-117.5,-1.175
2012-06-20,2012,L,-117.5,-1.175
2012-06-22,2012,L,-130.0,-1.1555555555555554
2012-06-25,2012,L,-117.5,-1.175
2012-06-26,2012,S,132.5,1.325
2012-06-26,2012,L,-117.5,-1.175
2012-06-27,2012,S,-117.5,-1.175
2012-06-28,2012,S,-142.5,-1.14
2012-07-04,2012,S,-55.0,-0.55
2012-07-05,2012,S,-117.5,-1.175
2012-07-06,2012,L,-117.5,-1.175
2012-07-11,2012,L,51.2,0.3416666666666667
2012-07-12,2012,S,-117.5,-1.175
2012-07-12,2012,L,157.5,1.575
2012-07-16,2012,S,-117.5,-1.175
2012-07-20,2012,L,38.8,0.3875
2012-07-25,2012,L,-117.5,-1.175
2012-07-26,2012,S,95.0,0.76
2012-07-30,2012,L,-117.5,-1.175
2012-07-31,2012,S,120.0,1.2
2012-07-31,2012,L,120.0,1.2
2012-08-06,2012,S,101.2,1.0125
2012-08-06,2012,L,-17.5,-0.175
2012-08-09,2012,S,120.0,1.2
2012-08-09,2012,L,120.0,1.2
2012-08-10,2012,S,107.5,1.075
2012-08-13,2012,S,-42.5,-0.425
2012-08-13,2012,L,-117.5,-1.175
2012-08-14,2012,L,95.0,0.95
2012-08-15,2012,S,32.5,0.325
2012-08-17,2012,S,-17.5,-0.175
2012-08-17,2012,L,63.8,0.6375
2012-08-21,2012,L,-117.5,-1.175
2012-08-22,2012,S,45.0,0.45
2012-08-22,2012,L,-117.5,-1.175
2012-08-27,2012,L,-55.0,-0.4888888888888889
2012-08-30,2012,L,-117.5,-1.175
2012-09-10,2012,L,-117.5,-1.175
2012-09-11,2012,S,-117.5,-1.175
2012-09-12,2012,S,-17.5,-0.175
2012-09-17,2012,L,-117.5,-1.175
2012-09-18,2012,S,51.2,0.5125
2012-09-21,2012,L,-117.5,-1.175
2012-09-24,2012,S,-117.5,-1.175
2012-09-25,2012,S,63.8,0.6375
2012-10-05,2012,L,-117.5,-1.175
2012-10-08,2012,S,38.8,0.3875
2012-10-08,2012,L,26.2,0.2625
2012-10-10,2012,S,95.0,0.95
2012-10-10,2012,L,-117.5,-1.175
2012-10-15,2012,L,88.8,0.8875
2012-10-16,2012,S,-117.5,-1.175
2012-10-18,2012,L,38.8,0.25833333333333336
2012-10-22,2012,S,-17.5,-0.175
2012-10-23,2012,S,151.2,1.5125
2012-10-26,2012,S,76.2,0.46923076923076923
2012-10-26,2012,L,-117.5,-1.175
2012-11-06,2012,S,-130.0,-1.1555555555555554
2012-11-08,2012,L,-155.0,-1.1272727272727272
2012-11-12,2012,S,82.5,0.825
2012-11-15,2012,L,-155.0,-1.1272727272727272
2012-11-16,2012,S,-180.0,-1.1076923076923078
2012-11-19,2012,S,-117.5,-1.175
2012-11-20,2012,S,132.5,1.325
2012-11-20,2012,L,-117.5,-1.175
2012-11-21,2012,S,-42.5,-0.425
2012-11-26,2012,S,-117.5,-1.175
2012-11-27,2012,S,163.8,1.6375
2012-11-27,2012,L,126.2,1.1222222222222222
2012-11-30,2012,S,-55.0,-0.24444444444444444
2012-11-30,2012,L,20.0,0.14545454545454545
2012-12-03,2012,L,-117.5,-1.175
2012-12-04,2012,L,-117.5,-1.175
2012-12-05,2012,S,-117.5,-1.175
2012-12-05,2012,L,-117.5,-1.175
2012-12-11,2012,S,-117.5,-1.175
2012-12-12,2012,S,-167.5,-1.1166666666666667
2012-12-12,2012,L,57.5,0.575
2012-12-14,2012,L,63.8,0.6375
2012-12-17,2012,S,-117.5,-1.175
2012-12-19,2012,L,-117.5,-1.175
2012-12-24,2012,S,32.5,0.325
2012-12-24,2012,L,45.0,0.45
2013-01-03,2013,S,-117.5,-1.175
2013-01-04,2013,S,-117.5,-1.175
2013-01-07,2013,S,13.8,0.1375
2013-01-09,2013,L,-117.5,-1.175
2013-01-10,2013,S,-117.5,-1.175
2013-01-11,2013,S,-17.5,-0.175
2013-01-15,2013,S,-117.5,-1.175
2013-01-29,2013,S,-117.5,-1.175
2013-02-04,2013,L,-117.5,-1.175
2013-02-11,2013,S,57.5,0.575
2013-02-12,2013,S,-117.5,-1.175
2013-02-15,2013,L,45.0,0.45
2013-02-19,2013,S,-117.5,-1.175
2013-02-20,2013,L,-117.5,-1.175
2013-02-22,2013,L,107.5,1.075
2013-03-04,2013,S,70.0,0.7
2013-03-04,2013,L,95.0,0.95
2013-03-06,2013,L,-117.5,-1.175
2013-03-07,2013,S,51.2,0.5125
2013-03-07,2013,L,38.8,0.3875
2013-03-08,2013,S,45.0,0.45
2013-03-11,2013,S,-117.5,-1.175
2013-03-14,2013,S,57.5,0.575
2013-03-15,2013,S,120.0,1.2
2013-03-20,2013,L,51.2,0.5125
2013-03-25,2013,L,-117.5,-1.175
2013-03-26,2013,S,1.2,0.00909090909090909
2013-03-26,2013,L,63.8,0.5666666666666667
2013-03-28,2013,S,-117.5,-1.175
2013-04-05,2013,S,-142.5,-1.14
2013-04-16,2013,S,-117.5,-1.175
2013-04-19,2013,S,-130.0,-1.1555555555555554
2013-04-23,2013,S,-117.5,-1.175
2013-04-24,2013,S,-117.5,-1.175
2013-04-25,2013,S,-117.5,-1.175
2013-04-29,2013,S,-117.5,-1.175
2013-04-30,2013,S,-117.5,-1.175
2013-05-02,2013,S,-117.5,-1.175
2013-05-06,2013,S,45.0,0.45
2013-05-10,2013,S,-55.0,-0.55
2013-05-13,2013,S,-117.5,-1.175
2013-05-17,2013,S,-117.5,-1.175
2013-05-20,2013,L,7.5,0.06
2013-05-24,2013,S,-117.5,-1.175
2013-05-28,2013,L,-117.5,-1.175
2013-05-29,2013,S,151.2,1.5125
2013-05-29,2013,L,-130.0,-1.1555555555555554
2013-05-31,2013,L,-117.5,-1.175
2013-06-03,2013,L,-180.0,-1.1076923076923078
2013-06-04,2013,S,157.5,1.575
2013-06-04,2013,L,-117.5,-1.175
2013-06-05,2013,L,-130.0,-1.1555555555555554
2013-06-06,2013,L,-117.5,-1.175
2013-06-12,2013,L,-130.0,-1.1555555555555554
2013-06-17,2013,L,-180.0,-1.1076923076923078
2013-06-19,2013,S,-317.5,-0.6195121951219512
2013-06-25,2013,S,-117.5,-1.175
2013-06-26,2013,S,-117.5,-1.175
2013-06-27,2013,L,-117.5,-1.175
2013-06-28,2013,S,-117.5,-1.175
2013-07-03,2013,S,-117.5,-1.175
2013-07-08,2013,L,157.5,1.575
2013-07-09,2013,S,-117.5,-1.175
2013-07-09,2013,L,126.2,1.2625
2013-07-11,2013,L,88.8,0.7888888888888889
2013-07-12,2013,S,51.2,0.41
2013-07-12,2013,L,63.8,0.6375
2013-07-17,2013,S,82.5,0.55
2013-07-17,2013,L,70.0,0.7
2013-07-23,2013,L,-117.5,-1.175
2013-07-26,2013,L,-117.5,-1.175
2013-07-29,2013,L,-117.5,-1.175
2013-07-30,2013,L,82.5,0.825
2013-07-31,2013,S,-117.5,-1.175
2013-07-31,2013,L,113.8,1.1375
2013-08-16,2013,S,-117.5,-1.175
2013-08-21,2013,L,-117.5,-1.175
2013-08-23,2013,S,-117.5,-1.175
2013-08-26,2013,S,-117.5,-1.175
2013-08-28,2013,S,-117.5,-1.175
2013-09-10,2013,S,-117.5,-1.175
2013-09-12,2013,S,63.8,0.6375
2013-09-17,2013,S,-117.5,-1.175
2013-09-18,2013,L,-117.5,-1.175
2013-09-19,2013,L,-130.0,-1.1555555555555554
2013-09-20,2013,L,-117.5,-1.175
2013-09-24,2013,S,-117.5,-1.175
2013-09-27,2013,S,95.0,0.95
2013-10-02,2013,S,-117.5,-1.175
2013-10-09,2013,S,-117.5,-1.175
2013-10-09,2013,L,-130.0,-1.1555555555555554
2013-10-14,2013,S,-117.5,-1.175
2013-10-15,2013,S,138.8,1.2333333333333334
2013-10-15,2013,L,-117.5,-1.175
2013-10-17,2013,S,-142.5,-1.14
2013-10-21,2013,L,101.2,1.0125
2013-10-23,2013,L,170.0,1.511111111111111
2013-10-25,2013,S,-117.5,-1.175
2013-10-25,2013,L,101.2,1.0125
2013-10-28,2013,L,82.5,0.825
2013-11-04,2013,S,-17.5,-0.175
2013-11-12,2013,L,-117.5,-1.175
2013-11-15,2013,S,38.8,0.3875
2013-11-20,2013,L,-192.5,-1.1
2013-11-22,2013,S,-117.5,-1.175
2013-11-26,2013,S,-117.5,-1.175
2013-11-29,2013,S,88.8,0.8875
2013-12-02,2013,S,-117.5,-1.175
2013-12-05,2013,L,-117.5,-1.175
2013-12-06,2013,L,-117.5,-1.175
2013-12-09,2013,L,82.5,0.825
2013-12-10,2013,S,51.2,0.5125
2013-12-10,2013,L,88.8,0.8875
2013-12-18,2013,L,-117.5,-1.175
2013-12-19,2013,S,-117.5,-1.175
2013-12-20,2013,S,-117.5,-1.175
2013-12-23,2013,S,88.8,0.8875
2013-12-24,2013,S,-117.5,-1.175
2013-12-26,2013,S,32.5,0.325
2013-12-30,2013,L,26.2,0.2625
2013-12-31,2013,L,20.0,0.2
2014-01-13,2014,S,88.8,0.8875
2014-01-14,2014,S,-117.5,-1.175
2014-01-15,2014,S,-117.5,-1.175
2014-01-17,2014,S,-117.5,-1.175
2014-01-22,2014,S,63.8,0.6375
2014-01-22,2014,L,101.2,1.0125
2014-01-30,2014,S,-130.0,-1.1555555555555554
2014-02-04,2014,S,-155.0,-1.1272727272727272
2014-02-07,2014,S,-117.5,-1.175
2014-02-10,2014,S,-117.5,-1.175
2014-02-10,2014,L,88.8,0.8875
2014-02-11,2014,S,-117.5,-1.175
2014-02-12,2014,L,-155.0,-1.1272727272727272
2014-02-18,2014,S,45.0,0.45
2014-02-21,2014,S,113.8,1.1375
2014-02-26,2014,S,-117.5,-1.175
2014-02-27,2014,S,-117.5,-1.175
2014-03-04,2014,S,-130.0,-1.1555555555555554
2014-03-05,2014,S,113.8,1.1375
2014-03-10,2014,S,-30.0,-0.3
2014-03-31,2014,S,88.8,0.71
2014-04-01,2014,L,145.0,1.45
2014-04-07,2014,L,-117.5,-1.175
2014-04-09,2014,S,70.0,0.509090909090909
2014-04-11,2014,L,-117.5,-1.175
2014-04-16,2014,S,188.8,1.8875
2014-04-16,2014,L,-167.5,-1.1166666666666667
2014-04-17,2014,S,-117.5,-1.175
2014-04-21,2014,S,-42.5,-0.425
2014-04-29,2014,S,95.0,0.95
2014-04-29,2014,L,107.5,0.7818181818181819
2014-04-30,2014,S,-117.5,-1.175
2014-05-01,2014,S,-117.5,-1.175
2014-05-06,2014,S,63.8,0.5666666666666667
2014-05-06,2014,L,51.2,0.41
2014-05-09,2014,L,195.0,1.95
2014-05-12,2014,S,-117.5,-1.175
2014-05-13,2014,S,88.8,0.8875
2014-05-13,2014,L,63.8,0.6375
2014-05-16,2014,S,126.2,1.1222222222222222
2014-05-21,2014,S,170.0,1.7
2014-05-23,2014,S,-117.5,-1.175
2014-05-26,2014,S,-30.0,-0.3
2014-05-27,2014,S,107.5,1.075
2014-05-28,2014,S,113.8,1.1375
2014-05-28,2014,L,76.2,0.61
2014-05-29,2014,S,-117.5,-1.175
2014-05-30,2014,S,82.5,0.825
2014-06-03,2014,S,-17.5,-0.175
2014-06-09,2014,S,-117.5,-1.175
2014-06-10,2014,S,113.8,1.1375
2014-06-11,2014,L,57.5,0.575
2014-06-18,2014,S,20.0,0.11428571428571428
2014-06-23,2014,L,82.5,0.825
2014-06-27,2014,S,70.0,0.7
2014-06-27,2014,L,57.5,0.575
2014-06-30,2014,L,76.2,0.7625
2014-07-02,2014,S,63.8,0.6375
2014-07-14,2014,S,57.5,0.575
2014-07-16,2014,L,-117.5,-1.175
2014-07-18,2014,S,57.5,0.575
2014-07-22,2014,S,88.8,0.8875
2014-07-24,2014,S,101.2,1.0125
2014-08-04,2014,S,-117.5,-1.175
2014-08-04,2014,L,-117.5,-1.175
2014-08-05,2014,S,163.8,1.6375
2014-08-08,2014,S,-130.0,-1.1555555555555554
2014-08-11,2014,S,-117.5,-1.175
2014-08-11,2014,L,88.8,0.8875
2014-08-14,2014,S,-117.5,-1.175
2014-08-20,2014,S,-117.5,-1.175
2014-08-21,2014,S,-117.5,-1.175
2014-08-25,2014,S,-117.5,-1.175
2014-08-25,2014,L,88.8,0.8875
2014-08-27,2014,L,101.2,1.0125
2014-08-28,2014,S,-117.5,-1.175
2014-09-08,2014,L,101.2,1.0125
2014-09-11,2014,S,-117.5,-1.175
2014-09-11,2014,L,145.0,1.45
2014-09-17,2014,S,-505.0,-0.7481481481481481
2014-09-17,2014,L,-117.5,-1.175
2014-09-18,2014,S,70.0,0.6222222222222222
2014-09-19,2014,L,-117.5,-1.175
2014-09-22,2014,L,-117.5,-1.175
2014-10-02,2014,S,-117.5,-1.175
2014-10-20,2014,S,-117.5,-1.175
2014-10-28,2014,S,107.5,1.075
2014-10-30,2014,S,-117.5,-1.175
2014-11-07,2014,L,82.5,0.7333333333333333
2014-11-11,2014,S,95.0,0.95
2014-11-13,2014,S,132.5,1.325
2014-11-13,2014,L,-155.0,-1.1272727272727272
2014-11-14,2014,L,82.5,0.6
2014-11-21,2014,L,-117.5,-1.175
2014-11-24,2014,L,76.2,0.7625
2014-11-27,2014,S,-42.5,-0.425
2014-11-28,2014,S,113.8,1.1375
2014-12-03,2014,S,120.0,1.2
2014-12-05,2014,L,63.8,0.5666666666666667
2014-12-22,2014,S,57.5,0.5111111111111111
2014-12-22,2014,L,70.0,0.7
2014-12-23,2014,L,113.8,1.1375
2014-12-24,2014,S,-117.5,-1.175
2014-12-26,2014,S,107.5,1.075
2014-12-29,2014,S,138.8,1.3875
2015-01-16,2015,S,-130.0,-1.1555555555555554
2015-01-19,2015,L,-117.5,-1.175
2015-01-23,2015,S,-117.5,-1.175
2015-01-23,2015,L,-36.2,-0.1380952380952381
2015-02-03,2015,S,-117.5,-1.175
2015-02-04,2015,S,-167.5,-1.1166666666666667
2015-02-04,2015,L,38.8,0.18235294117647058
2015-02-09,2015,S,201.2,2.0125
2015-02-09,2015,L,-117.5,-1.175
2015-02-10,2015,L,-130.0,-1.1555555555555554
2015-02-11,2015,S,101.2,1.0125
2015-02-11,2015,L,63.8,0.6375
2015-02-12,2015,S,-130.0,-1.1555555555555554
2015-02-13,2015,S,120.0,1.2
2015-02-13,2015,L,-117.5,-1.175
2015-02-17,2015,S,-117.5,-1.175
2015-02-18,2015,S,120.0,0.8
2015-02-19,2015,S,-117.5,-1.175
2015-02-23,2015,S,101.2,1.0125
2015-02-25,2015,S,-117.5,-1.175
2015-02-25,2015,L,1.2,0.01
2015-02-27,2015,S,-130.0,-1.1555555555555554
2015-02-27,2015,L,-130.0,-1.1555555555555554
2015-03-05,2015,S,113.8,1.1375
2015-03-09,2015,S,-117.5,-1.175
2015-03-17,2015,S,157.5,1.575
2015-03-17,2015,L,-130.0,-1.1555555555555554
2015-03-18,2015,L,-117.5,-1.175
2015-03-24,2015,S,-117.5,-1.175
2015-03-25,2015,L,-117.5,-1.175
2015-03-27,2015,S,-117.5,-1.175
2015-03-30,2015,S,-117.5,-1.175
2015-03-31,2015,S,-117.5,-1.175
2015-04-07,2015,S,132.5,0.8153846153846154
2015-04-09,2015,S,-117.5,-1.175
2015-04-16,2015,S,-130.0,-1.1555555555555554
2015-04-16,2015,L,45.0,0.45
2015-04-24,2015,S,-117.5,-1.175
2015-04-27,2015,L,-117.5,-1.175
2015-05-01,2015,S,76.2,0.61
2015-05-01,2015,L,126.2,1.2625
2015-05-07,2015,S,-117.5,-1.175
2015-05-08,2015,S,-117.5,-1.175
2015-05-11,2015,L,63.8,0.3923076923076923
2015-05-13,2015,L,-142.5,-1.14
2015-05-19,2015,S,-117.5,-1.175
2015-05-20,2015,S,-267.5,-1.07
2015-05-21,2015,S,-117.5,-1.175
2015-05-22,2015,S,70.0,0.7
2015-06-08,2015,L,70.0,0.56
2015-06-11,2015,L,-155.0,-1.1272727272727272
2015-06-17,2015,L,-117.5,-1.175
2015-06-19,2015,L,-117.5,-1.175
2015-06-22,2015,S,-142.5,-1.14
2015-06-22,2015,L,95.0,0.95
2015-06-24,2015,S,76.2,0.61
2015-06-24,2015,L,-117.5,-1.175
2015-07-01,2015,L,-130.0,-1.1555555555555554
2015-07-14,2015,S,-117.5,-1.175
2015-07-20,2015,S,-117.5,-1.175
2015-08-03,2015,L,157.5,1.4
2015-08-04,2015,L,163.8,1.6375
2015-08-05,2015,S,170.0,1.7
2015-08-05,2015,L,-117.5,-1.175
2015-08-14,2015,L,157.5,1.575
2015-08-18,2015,S,26.2,0.15
2015-08-18,2015,L,-117.5,-1.175
2015-08-28,2015,S,188.8,1.3727272727272728
2015-09-07,2015,S,51.2,0.37272727272727274
