Date,policy,net
2022-02-07,P2,-205.0
2022-02-07,P2,-205.0
2022-02-07,P3,-205.0
2022-02-07,P3,-205.0
2022-02-10,P1,-205.0
2022-02-10,P2,-205.0
2022-02-10,P3,-205.0
2022-02-16,P1,-205.0
2022-02-16,P2,-205.0
2022-02-16,P3,-205.0
2022-02-17,P1,-205.0
2022-02-17,P1,1932.5
2022-02-17,P2,-205.0
2022-02-17,P2,1932.5
2022-02-17,P3,-205.0
2022-02-17,P3,1932.5
2022-02-22,P1,-205.0
2022-02-22,P1,-205.0
2022-02-22,P2,-205.0
2022-02-22,P2,-205.0
2022-02-22,P3,-205.0
2022-02-22,P3,-205.0
2022-02-23,P1,-205.0
2022-02-23,P2,-205.0
2022-02-23,P3,-205.0
2022-02-24,P1,-205.0
2022-02-24,P1,3395.0
2022-02-24,P2,-205.0
2022-02-24,P2,3395.0
2022-02-24,P3,-205.0
2022-02-24,P3,3395.0
2022-03-01,P1,-205.0
2022-03-01,P1,-205.0
2022-03-01,P2,-205.0
2022-03-01,P2,-205.0
2022-03-01,P3,-205.0
2022-03-01,P3,-205.0
2022-03-02,P1,-205.0
2022-03-02,P1,-205.0
2022-03-02,P2,-205.0
2022-03-02,P2,-205.0
2022-03-02,P3,-205.0
2022-03-02,P3,-205.0
2022-03-04,P1,-205.0
2022-03-04,P1,-205.0
2022-03-04,P1,-205.0
2022-03-04,P2,-205.0
2022-03-04,P2,-205.0
2022-03-04,P2,-205.0
2022-03-04,P3,-205.0
2022-03-04,P3,-205.0
2022-03-04,P3,-205.0
2022-03-07,P1,-205.0
2022-03-07,P2,-205.0
2022-03-07,P3,-205.0
2022-03-09,P1,-205.0
2022-03-09,P2,-205.0
2022-03-09,P3,-205.0
2022-03-14,P1,-205.0
2022-03-14,P1,-205.0
2022-03-14,P2,-205.0
2022-03-14,P2,-205.0
2022-03-14,P3,-205.0
2022-03-14,P3,-205.0
2022-03-23,P1,-205.0
2022-03-23,P2,-205.0
2022-03-23,P3,-205.0
2022-03-29,P1,-205.0
2022-03-29,P2,-205.0
2022-03-29,P3,-205.0
2022-03-30,P1,-205.0
2022-03-30,P2,-205.0
2022-03-30,P3,-205.0
2022-04-07,P1,-205.0
2022-04-07,P1,-205.0
2022-04-07,P2,-205.0
2022-04-07,P2,-205.0
2022-04-07,P2,-205.0
2022-04-07,P3,-205.0
2022-04-07,P3,-205.0
2022-04-07,P3,-205.0
2022-04-13,P1,1545.0
2022-04-13,P2,1545.0
2022-04-13,P2,895.0
2022-04-13,P2,-205.0
2022-04-13,P3,1545.0
2022-04-13,P3,895.0
2022-04-13,P3,-205.0
2022-04-14,P1,-205.0
2022-04-14,P2,-205.0
2022-04-14,P3,-205.0
2022-04-27,P1,-205.0
2022-04-27,P2,-205.0
2022-04-27,P3,-205.0
2022-04-28,P1,-205.0
2022-04-28,P1,-205.0
2022-04-28,P2,-205.0
2022-04-28,P2,-205.0
2022-04-28,P3,-205.0
2022-04-28,P3,-205.0
2022-04-29,P1,-205.0
2022-04-29,P2,-205.0
2022-04-29,P3,-205.0
2022-05-04,P1,-205.0
2022-05-04,P2,-205.0
2022-05-04,P3,-205.0
2022-05-05,P1,-205.0
2022-05-05,P2,-205.0
2022-05-05,P3,-205.0
2022-05-09,P1,-205.0
2022-05-09,P2,-205.0
2022-05-09,P3,-205.0
2022-05-13,P1,-205.0
2022-05-13,P1,-205.0
2022-05-13,P2,-205.0
2022-05-13,P2,-205.0
2022-05-13,P2,-205.0
2022-05-13,P3,-205.0
2022-05-13,P3,-205.0
2022-05-13,P3,-205.0
2022-05-16,P1,-205.0
2022-05-16,P1,-205.0
2022-05-16,P2,-205.0
2022-05-16,P2,-205.0
2022-05-16,P3,-205.0
2022-05-16,P3,-205.0
2022-05-19,P1,-205.0
2022-05-19,P2,-205.0
2022-05-19,P3,-205.0
2022-05-23,P1,-205.0
2022-05-23,P1,-205.0
2022-05-23,P2,-205.0
2022-05-23,P2,-205.0
2022-05-23,P3,-205.0
2022-05-23,P3,-205.0
2022-05-24,P1,-205.0
2022-05-24,P1,-205.0
2022-05-24,P2,-205.0
2022-05-24,P2,-205.0
2022-05-24,P3,-205.0
2022-05-24,P3,-205.0
2022-05-25,P1,-205.0
2022-05-25,P2,-205.0
2022-05-25,P3,-205.0
2022-05-26,P1,-205.0
2022-05-26,P2,-205.0
2022-05-26,P3,-205.0
2022-05-27,P1,-205.0
2022-05-27,P2,-205.0
2022-05-27,P3,-205.0
2022-06-01,P1,-205.0
2022-06-01,P2,-205.0
2022-06-01,P3,-205.0
2022-06-02,P1,3720.0
2022-06-02,P2,3720.0
2022-06-02,P2,2732.5
2022-06-02,P3,3720.0
2022-06-02,P3,2732.5
2022-06-06,P1,-205.0
2022-06-06,P2,-205.0
2022-06-06,P3,-205.0
2022-06-09,P1,-205.0
2022-06-09,P2,-205.0
2022-06-09,P3,-205.0
2022-06-13,P1,-205.0
2022-06-13,P2,-205.0
2022-06-13,P3,-205.0
2022-06-14,P1,-205.0
2022-06-14,P2,-205.0
2022-06-14,P3,-205.0
2022-06-17,P1,-205.0
2022-06-17,P2,-205.0
2022-06-17,P3,-205.0
2022-06-22,P1,-205.0
2022-06-22,P2,-205.0
2022-06-22,P3,-205.0
2022-06-28,P1,-205.0
2022-06-28,P1,-205.0
2022-06-28,P2,-205.0
2022-06-28,P2,-205.0
2022-06-28,P3,-205.0
2022-06-28,P3,-205.0
2022-07-14,P1,-205.0
2022-07-14,P2,-205.0
2022-07-14,P2,-205.0
2022-07-14,P3,-205.0
2022-07-14,P3,-205.0
2022-07-15,P1,-205.0
2022-07-15,P2,-205.0
2022-07-15,P3,-205.0
2022-07-18,P1,1145.0
2022-07-18,P2,1145.0
2022-07-18,P3,1145.0
2022-07-21,P1,-205.0
2022-07-21,P2,-205.0
2022-07-21,P3,-205.0
2022-07-22,P1,-205.0
2022-07-22,P2,-205.0
2022-07-22,P3,-205.0
2022-07-28,P1,-205.0
2022-07-28,P1,482.5
2022-07-28,P2,-205.0
2022-07-28,P2,482.5
2022-07-28,P3,-205.0
2022-07-28,P3,482.5
2022-08-02,P1,-205.0
2022-08-02,P2,-205.0
2022-08-02,P3,-205.0
2022-08-04,P1,-205.0
2022-08-04,P2,-205.0
2022-08-04,P3,-205.0
2022-08-05,P1,-205.0
2022-08-05,P2,-205.0
2022-08-05,P3,-205.0
2022-08-16,P1,-205.0
2022-08-16,P2,-205.0
2022-08-16,P3,-205.0
2022-08-17,P1,-205.0
2022-08-17,P2,-205.0
2022-08-17,P3,-205.0
2022-08-24,P1,-205.0
2022-08-24,P2,-205.0
2022-08-24,P3,-205.0
2022-08-30,P1,-205.0
2022-08-30,P1,-205.0
2022-08-30,P2,-205.0
2022-08-30,P2,-205.0
2022-08-30,P3,-205.0
2022-08-30,P3,-205.0
2022-09-02,P1,-205.0
2022-09-02,P1,-205.0
2022-09-02,P2,-205.0
2022-09-02,P2,-205.0
2022-09-02,P2,-205.0
2022-09-02,P3,-205.0
2022-09-02,P3,-205.0
2022-09-02,P3,-205.0
2022-09-07,P1,2157.5
2022-09-07,P2,2157.5
2022-09-07,P2,-205.0
2022-09-07,P3,2157.5
2022-09-07,P3,-205.0
2022-09-08,P1,-205.0
2022-09-08,P2,-205.0
2022-09-08,P3,-205.0
2022-09-14,P1,-205.0
2022-09-14,P2,-205.0
2022-09-14,P3,-205.0
2022-09-21,P1,-205.0
2022-09-21,P2,-205.0
2022-09-21,P3,-205.0
2022-09-28,P1,1957.5
2022-09-28,P2,-205.0
2022-09-28,P2,1957.5
2022-09-28,P2,1070.0
2022-09-28,P3,-205.0
2022-09-28,P3,1957.5
2022-09-28,P3,1070.0
2022-10-03,P1,-205.0
2022-10-03,P2,-205.0
2022-10-03,P2,-205.0
2022-10-03,P3,-205.0
2022-10-03,P3,-205.0
2022-10-05,P1,-205.0
2022-10-05,P1,645.0
2022-10-05,P2,-205.0
2022-10-05,P2,645.0
2022-10-05,P3,-205.0
2022-10-05,P3,645.0
2022-10-06,P1,-205.0
2022-10-06,P2,-205.0
2022-10-06,P3,-205.0
2022-10-12,P1,-205.0
2022-10-12,P2,-205.0
2022-10-12,P3,-205.0
2022-10-13,P1,1932.5
2022-10-13,P2,1932.5
2022-10-13,P2,-205.0
2022-10-13,P3,1932.5
2022-10-13,P3,-205.0
2022-10-18,P1,-205.0
2022-10-18,P2,-205.0
2022-10-18,P3,-205.0
2022-10-19,P1,-205.0
2022-10-19,P2,-205.0
2022-10-19,P3,-205.0
2022-10-20,P1,-205.0
2022-10-20,P1,370.0
2022-10-20,P2,-205.0
2022-10-20,P2,370.0
2022-10-20,P3,-205.0
2022-10-20,P3,370.0
2022-10-21,P1,-205.0
2022-10-21,P2,-205.0
2022-10-21,P3,-205.0
2022-10-27,P1,-205.0
2022-10-27,P2,-205.0
2022-10-27,P3,-205.0
2022-10-28,P1,1145.0
2022-10-28,P2,1145.0
2022-10-28,P3,1145.0
2022-11-02,P1,-205.0
2022-11-02,P2,-205.0
2022-11-02,P3,-205.0
2022-11-03,P1,-205.0
2022-11-03,P2,-205.0
2022-11-03,P3,-205.0
2022-11-04,P1,-205.0
2022-11-04,P2,-205.0
2022-11-04,P3,-205.0
2022-11-08,P1,-205.0
2022-11-08,P2,-205.0
2022-11-08,P2,-205.0
2022-11-08,P3,-205.0
2022-11-08,P3,-205.0
2022-11-11,P1,-205.0
2022-11-11,P2,-205.0
2022-11-11,P3,-205.0
2022-11-15,P1,-205.0
2022-11-15,P1,-205.0
2022-11-15,P2,-205.0
2022-11-15,P2,-205.0
2022-11-15,P3,-205.0
2022-11-15,P3,-205.0
2022-11-16,P1,-205.0
2022-11-16,P1,-205.0
2022-11-16,P2,-205.0
2022-11-16,P2,-205.0
2022-11-16,P3,-205.0
2022-11-16,P3,-205.0
2022-11-17,P1,-205.0
2022-11-17,P1,-205.0
2022-11-17,P2,-205.0
2022-11-17,P2,-205.0
2022-11-17,P3,-205.0
2022-11-17,P3,-205.0
2022-11-23,P1,-205.0
2022-11-23,P2,-205.0
2022-11-23,P3,-205.0
2022-11-28,P1,-205.0
2022-11-28,P2,-205.0
2022-11-28,P3,-205.0
2022-11-30,P1,-205.0
2022-11-30,P2,-205.0
2022-11-30,P3,-205.0
