Date,adr,short,fx2,fx3,fx4,fx5,fx6,fx8,fx10,fx12,adr0.06,adr0.08,adr0.1,adr0.12,adr0.15,adr0.2,EOD,is_tr
2023-07-26,29.7,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-117.5,-136.3,-166.0,-195.7,-240.2,-314.5,-630.0,True
2023-08-04,33.55,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-118.1,-151.7,-185.2,-218.8,-269.1,-353.0,-2155.0,True
2023-08-11,39.625,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-136.4,-176.0,-215.6,-255.3,-314.7,-413.8,-305.0,True
2023-08-14,40.25,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,345.0,-138.2,-178.5,-218.7,-259.0,-319.4,-420.0,345.0,True
2023-08-17,45.15,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-152.9,-198.1,-243.3,-288.4,-356.1,-469.0,1432.5,True
2023-08-24,47.175,True,-117.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,2432.5,True
2023-08-31,51.4,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-171.7,-223.1,-274.5,-325.9,-403.0,-531.5,-1005.0,True
2023-09-01,48.375,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,95.0,95.0,-162.6,-211.0,-259.4,-307.8,-380.3,-501.3,95.0,True
2023-09-18,29.925,False,-117.5,-167.5,-217.5,-267.5,-317.5,20.0,20.0,20.0,-117.5,-137.2,-167.1,-197.1,-241.9,-316.7,20.0,True
2023-09-27,40.85,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-140.1,-180.9,-221.8,-262.6,-323.9,-426.0,-142.5,True
2023-10-10,58.55,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-193.1,-251.7,-310.2,-368.8,-456.6,-603.0,-1080.0,True
