Date,dir,fire_bar,net
2022-01-21,S,54,-205.0
2022-01-24,S,19,-205.0
2022-01-24,L,52,-205.0
2022-01-24,L,61,-205.0
2022-01-26,S,47,-205.0
2022-02-01,S,16,-205.0
2022-02-02,L,49,-205.0
2022-02-04,L,55,-205.0
2022-02-07,S,36,-205.0
2022-02-07,L,60,-205.0
2022-02-10,S,56,-205.0
2022-02-16,S,10,-205.0
2022-02-17,S,17,-205.0
2022-02-17,S,44,1932.5
2022-02-22,S,36,-205.0
2022-02-22,S,50,-205.0
2022-02-23,S,28,-205.0
2022-02-24,L,20,-205.0
2022-02-24,L,57,3395.0
2022-03-01,S,14,-205.0
2022-03-01,S,22,-205.0
2022-03-02,L,33,-205.0
2022-03-02,L,56,-205.0
2022-03-04,S,15,-205.0
2022-03-04,S,29,-205.0
2022-03-04,L,53,-205.0
2022-03-07,S,52,-205.0
2022-03-09,L,17,-205.0
2022-03-14,L,12,-205.0
2022-03-14,L,17,-205.0
2022-03-23,L,13,-205.0
2022-03-29,S,43,-205.0
2022-03-30,S,27,-205.0
2022-04-07,S,24,-205.0
2022-04-07,S,36,-205.0
2022-04-07,S,53,-205.0
2022-04-13,L,18,1545.0
2022-04-13,L,32,895.0
2022-04-13,L,44,-205.0
2022-04-14,S,17,-205.0
2022-04-27,S,13,-205.0
2022-04-28,L,50,-205.0
2022-04-28,L,57,-205.0
2022-04-29,S,21,-205.0
2022-05-04,L,50,-205.0
2022-05-05,S,20,-205.0
2022-05-09,S,59,-205.0
2022-05-13,L,17,-205.0
2022-05-13,L,39,-205.0
2022-05-13,S,60,-205.0
2022-05-16,L,21,-205.0
2022-05-16,L,40,-205.0
2022-05-19,S,15,-205.0
2022-05-23,L,13,-205.0
2022-05-23,L,38,-205.0
2022-05-24,S,23,-205.0
2022-05-24,L,62,-205.0
2022-05-25,L,55,-205.0
2022-05-26,L,52,-205.0
2022-05-27,S,56,-205.0
2022-06-01,S,19,-205.0
2022-06-02,L,17,3720.0
2022-06-02,L,27,2732.5
2022-06-06,L,13,-205.0
2022-06-09,S,28,-205.0
2022-06-13,L,37,-205.0
2022-06-14,S,20,-205.0
2022-06-17,L,20,-205.0
2022-06-22,L,24,-205.0
2022-06-28,S,37,-205.0
2022-06-28,S,54,-205.0
2022-07-14,L,27,-205.0
2022-07-14,L,30,-205.0
2022-07-15,L,34,-205.0
2022-07-18,S,59,1145.0
2022-07-21,L,44,-205.0
2022-07-22,S,32,-205.0
2022-07-28,L,33,-205.0
2022-07-28,L,60,482.5
2022-08-02,L,24,-205.0
2022-08-04,L,8,-205.0
2022-08-05,L,50,-205.0
2022-08-16,S,12,-205.0
2022-08-17,S,22,-205.0
2022-08-24,S,58,-205.0
2022-08-30,S,24,-205.0
2022-08-30,S,66,-205.0
2022-09-02,L,12,-205.0
2022-09-02,L,22,-205.0
2022-09-02,S,58,-205.0
2022-09-07,L,19,2157.5
2022-09-07,L,28,-205.0
2022-09-08,S,48,-205.0
2022-09-14,S,63,-205.0
2022-09-21,L,9,-205.0
2022-09-28,L,21,1957.5
2022-09-28,L,43,-205.0
2022-09-28,L,54,1070.0
2022-10-03,L,20,-205.0
2022-10-03,L,25,-205.0
2022-10-05,S,21,-205.0
2022-10-05,L,56,645.0
2022-10-06,L,51,-205.0
2022-10-12,S,11,-205.0
2022-10-13,L,37,1932.5
2022-10-13,L,56,-205.0
2022-10-18,S,32,-205.0
2022-10-19,S,53,-205.0
2022-10-20,L,16,-205.0
2022-10-20,S,49,370.0
2022-10-21,S,23,-205.0
2022-10-27,S,63,-205.0
2022-10-28,L,43,1145.0
2022-11-02,S,17,-205.0
2022-11-03,L,49,-205.0
2022-11-04,S,43,-205.0
2022-11-08,L,21,-205.0
2022-11-08,L,33,-205.0
2022-11-11,L,19,-205.0
2022-11-15,S,24,-205.0
2022-11-15,S,60,-205.0
2022-11-16,S,10,-205.0
2022-11-16,S,26,-205.0
2022-11-17,L,10,-205.0
2022-11-17,L,39,-205.0
2022-11-23,L,20,-205.0
2022-11-28,S,9,-205.0
2022-11-30,S,10,-205.0
2022-12-05,S,30,1020.0
2022-12-05,S,52,345.0
2022-12-06,S,22,-205.0
2022-12-06,S,29,795.0
2022-12-06,S,39,257.5
2022-12-06,S,56,-205.0
2022-12-09,S,11,-205.0
2022-12-09,L,28,-205.0
2022-12-09,L,37,-205.0
2022-12-12,S,56,-205.0
2022-12-15,S,27,-205.0
2022-12-15,S,35,-205.0
2022-12-15,S,49,-205.0
2022-12-19,S,24,932.5
2022-12-19,S,35,957.5
2022-12-21,L,28,-205.0
2022-12-28,S,16,1782.5
2023-01-04,L,37,-205.0
2023-01-04,S,65,-205.0
2023-01-09,L,10,-205.0
2023-01-09,L,28,-205.0
2023-01-09,S,58,-205.0
2023-01-11,L,41,1120.0
2023-01-12,S,29,-205.0
2023-01-13,L,23,-205.0
2023-01-13,L,48,982.5
2023-01-17,L,11,-205.0
2023-01-18,S,58,-205.0
2023-01-19,L,55,-205.0
2023-01-20,L,18,2470.0
2023-01-20,L,31,-205.0
2023-01-23,L,16,-205.0
2023-01-31,L,30,-205.0
2023-01-31,L,47,-205.0
2023-02-02,L,49,-205.0
2023-02-07,L,32,-205.0
2023-02-15,L,63,-205.0
2023-02-16,L,33,-205.0
2023-02-17,S,53,-205.0
2023-02-21,S,29,670.0
2023-02-22,L,46,-205.0
2023-02-24,L,37,-205.0
2023-03-01,S,55,-205.0
2023-03-02,L,12,2082.5
2023-03-02,L,27,2020.0
2023-03-03,L,16,-205.0
2023-03-03,L,39,1107.5
2023-03-03,L,52,732.5
2023-03-06,L,8,-205.0
2023-03-06,L,15,-205.0
2023-03-06,L,22,-205.0
2023-03-07,S,22,-205.0
2023-03-14,S,52,-205.0
2023-03-20,S,50,-205.0
2023-03-28,S,59,-205.0
2023-03-30,L,66,332.5
2023-04-05,S,27,-205.0
2023-04-05,L,61,270.0
2023-04-06,L,16,-205.0
2023-04-06,L,36,332.5
2023-04-06,L,46,120.0
2023-04-06,L,55,120.0
2023-04-11,S,10,-205.0
2023-04-11,L,29,-205.0
2023-04-11,L,37,-205.0
2023-04-12,L,53,-205.0
2023-04-13,L,19,1407.5
2023-04-14,S,24,-205.0
2023-04-17,S,21,-205.0
2023-04-17,S,33,-205.0
2023-04-24,S,27,-205.0
2023-04-24,S,33,-205.0
2023-04-24,L,46,482.5
2023-04-24,L,61,282.5
2023-04-25,S,51,-180.0
2023-04-27,L,34,1545.0
2023-04-27,L,38,1507.5
2023-04-28,L,48,-205.0
2023-05-02,S,25,-205.0
2023-05-05,L,19,-205.0
2023-05-08,S,14,-205.0
2023-05-11,S,59,-205.0
2023-05-12,S,58,-205.0
2023-05-19,S,31,-205.0
2023-05-22,S,26,-205.0
2023-05-24,S,16,-205.0
2023-05-26,S,56,-205.0
2023-06-05,S,18,-205.0
2023-06-06,S,51,-205.0
2023-06-07,S,9,1082.5
2023-06-07,S,35,-205.0
2023-06-09,S,38,-205.0
2023-06-13,S,8,-205.0
2023-06-13,L,51,-205.0
2023-06-14,L,21,-205.0
2023-06-15,L,33,-205.0
2023-06-20,S,21,-205.0
2023-06-26,S,20,620.0
2023-06-26,S,48,-205.0
2023-06-28,L,17,-205.0
2023-06-29,L,35,-205.0
2023-06-29,S,65,-205.0
2023-06-30,S,16,-205.0
2023-06-30,L,55,-205.0
2023-06-30,L,60,-205.0
2023-07-06,S,13,-205.0
2023-07-12,L,15,-205.0
2023-07-17,L,57,-205.0
2023-07-25,L,34,-205.0
2023-07-25,L,54,-205.0
2023-07-27,S,28,-205.0
2023-08-01,S,22,-205.0
2023-08-07,L,45,582.5
2023-08-08,S,16,-205.0
2023-08-08,S,27,-205.0
2023-08-08,L,64,570.0
2023-08-14,L,27,-205.0
2023-08-18,L,37,-205.0
2023-08-22,S,51,-205.0
2023-08-23,L,35,432.5
2023-08-25,L,35,-205.0
2023-08-28,S,9,-205.0
2023-08-28,L,49,-205.0
2023-08-31,S,38,-205.0
2023-09-07,S,12,-205.0
2023-09-12,S,11,-205.0
2023-09-12,S,17,-205.0
2023-09-13,S,7,-205.0
2023-09-15,S,26,-205.0
2023-09-15,S,60,-205.0
2023-09-19,S,27,-205.0
2023-09-19,L,61,332.5
2023-09-20,S,17,2745.0
2023-09-20,L,36,-205.0
2023-09-20,L,42,-205.0
2023-09-20,S,63,-205.0
2023-09-22,S,63,-205.0
2023-09-26,S,17,757.5
2023-09-26,S,28,-205.0
2023-09-29,S,17,-205.0
2023-09-29,S,52,-205.0
2023-09-29,S,60,-205.0
2023-10-03,L,41,-205.0
2023-10-04,S,53,-205.0
2023-10-05,S,14,-205.0
2023-10-05,S,19,-205.0
2023-10-06,L,56,-205.0
2023-10-11,S,14,-205.0
2023-10-13,L,59,-205.0
2023-10-19,L,35,-205.0
2023-10-25,S,48,32.5
2023-10-25,S,60,-205.0
2023-10-27,L,31,-205.0
2023-10-30,S,47,-205.0
2023-10-31,L,63,107.5
2023-11-02,L,60,182.5
2023-11-06,S,45,-205.0
2023-11-06,S,52,-205.0
2023-11-07,L,25,-205.0
2023-11-10,L,57,570.0
2023-11-10,L,63,507.5
2023-11-13,L,35,-205.0
2023-11-14,L,16,-205.0
2023-11-14,L,21,-205.0
2023-11-14,L,27,-205.0
2023-11-17,L,42,82.5
2023-11-20,L,32,620.0
2023-11-24,S,22,-55.0
2023-11-28,L,10,557.5
2023-11-28,L,22,-205.0
2023-11-29,S,31,-205.0
2023-11-30,L,13,-205.0
2023-12-01,S,56,-205.0
2023-12-01,L,63,-205.0
2023-12-04,S,23,-205.0
2023-12-04,L,42,-205.0
2023-12-04,S,61,-205.0
2023-12-05,S,37,-205.0
2023-12-06,S,31,932.5
2023-12-06,S,51,770.0
2023-12-07,L,63,-205.0
2023-12-08,L,24,-205.0
2023-12-12,L,28,-205.0
2023-12-12,L,46,720.0
2023-12-13,S,37,-205.0
2023-12-15,L,10,-205.0
2023-12-15,L,17,-205.0
2023-12-19,L,27,-205.0
2023-12-19,L,51,245.0
2023-12-19,L,57,157.5
2023-12-28,S,30,-205.0
2023-12-29,S,20,282.5
2023-12-29,S,31,-205.0
2023-12-29,L,58,-205.0
2024-01-02,L,52,-205.0
2024-01-05,S,43,-205.0
2024-01-11,S,16,-205.0
2024-01-11,L,50,720.0
2024-01-16,L,15,-205.0
2024-01-16,S,42,-205.0
2024-01-17,L,14,-205.0
2024-01-18,S,13,-205.0
2024-01-18,S,37,-205.0
2024-01-19,L,29,2070.0
2024-01-22,S,27,257.5
2024-01-22,S,64,-205.0
2024-01-23,S,22,-205.0
2024-01-23,S,34,-205.0
2024-02-01,L,49,-205.0
2024-02-02,L,21,970.0
2024-02-02,L,35,-205.0
2024-02-08,S,11,-205.0
2024-02-08,L,58,-205.0
2024-02-12,S,64,395.0
2024-02-13,S,64,-205.0
2024-02-14,L,10,-205.0
2024-02-15,S,24,-205.0
2024-02-15,L,53,482.5
2024-02-15,L,64,-205.0
2024-02-21,S,39,-205.0
2024-02-26,S,57,-205.0
2024-02-27,L,10,-205.0
2024-02-29,S,14,-205.0
2024-02-29,S,35,-205.0
2024-03-01,L,41,320.0
2024-03-04,L,21,-205.0
2024-03-04,L,43,-205.0
2024-03-06,S,15,-205.0
2024-03-06,S,57,-205.0
2024-03-06,S,64,-205.0
2024-03-07,L,40,-205.0
2024-03-07,L,63,-205.0
2024-03-11,S,20,-205.0
2024-03-12,L,21,-205.0
2024-03-12,S,44,-205.0
2024-03-18,S,49,-205.0
2024-03-19,L,31,1270.0
2024-03-20,L,24,-205.0
2024-03-21,L,9,-205.0
2024-03-21,S,49,382.5
2024-03-22,S,28,-205.0
2024-03-26,S,59,807.5
2024-04-01,S,19,-205.0
2024-04-01,S,29,-205.0
2024-04-02,S,16,-205.0
2024-04-16,S,55,-205.0
2024-04-18,S,37,1407.5
2024-04-18,S,53,-205.0
2024-04-22,L,57,-205.0
2024-04-24,S,32,-205.0
2024-04-25,L,40,-205.0
2024-04-26,L,16,-205.0
2024-04-30,S,11,3620.0
2024-04-30,S,31,-205.0
2024-05-01,S,11,-205.0
2024-05-01,S,37,-205.0
2024-05-06,L,66,-205.0
2024-05-07,L,27,-205.0
2024-05-09,L,24,-205.0
2024-05-10,S,26,-205.0
2024-05-10,S,35,-205.0
2024-05-13,S,55,-205.0
2024-05-15,L,50,-205.0
2024-05-16,S,37,1032.5
2024-05-21,L,22,-205.0
2024-05-24,L,30,-205.0
2024-05-28,S,58,-205.0
2024-05-30,L,38,-205.0
2024-05-31,S,41,-205.0
2024-05-31,L,57,3357.5
2024-06-04,S,30,-205.0
2024-06-04,L,39,1220.0
2024-06-04,L,53,795.0
2024-06-05,L,41,-205.0
2024-06-11,L,65,-205.0
2024-06-13,S,16,-205.0
2024-06-24,S,55,-205.0
2024-06-24,S,62,-205.0
2024-06-25,L,66,182.5
2024-06-28,L,16,-205.0
2024-07-01,S,17,-205.0
2024-07-01,S,26,-205.0
2024-07-03,L,10,-205.0
2024-07-05,L,62,145.0
2024-07-08,S,21,7.5
2024-07-08,S,30,-205.0
2024-07-08,S,43,-205.0
2024-07-10,L,49,857.5
2024-07-10,L,58,682.5
2024-07-15,S,54,-205.0
2024-07-16,S,39,-205.0
2024-07-17,S,14,-205.0
2024-07-19,S,32,-205.0
2024-07-19,S,56,-205.0
2024-07-25,L,33,-205.0
2024-07-25,L,39,-205.0
2024-07-25,S,63,-205.0
2024-07-30,S,11,3032.5
2024-08-05,L,32,-205.0
2024-08-05,S,58,-205.0
2024-08-13,L,51,-205.0
2024-08-20,S,22,-205.0
2024-08-21,S,25,-205.0
2024-08-22,S,13,-205.0
2024-08-26,S,20,-205.0
2024-08-26,S,56,-205.0
2024-08-27,L,17,-205.0
2024-08-28,S,60,-205.0
2024-08-29,L,39,-205.0
2024-08-30,S,31,-205.0
2024-09-03,S,22,-205.0
2024-09-03,S,45,-205.0
2024-09-06,S,34,-205.0
2024-09-17,S,39,-80.0
2024-09-17,S,49,-205.0
2024-09-18,L,48,-205.0
2024-09-19,L,22,-205.0
2024-09-19,L,44,-205.0
2024-09-23,S,40,-205.0
2024-09-24,L,49,-205.0
2024-09-25,S,24,232.5
2024-09-25,S,48,-205.0
2024-09-27,S,40,-205.0
2024-10-02,L,7,932.5
2024-10-02,L,20,-205.0
2024-10-02,L,27,-205.0
2024-10-02,L,36,-205.0
2024-10-03,L,35,-205.0
2024-10-04,S,28,-205.0
2024-10-08,L,23,-205.0
2024-10-09,L,35,-205.0
2024-10-11,L,18,-205.0
2024-10-15,S,21,-205.0
2024-10-15,S,34,-205.0
2024-10-18,L,34,395.0
2024-10-18,L,50,-205.0
2024-10-25,S,34,-205.0
2024-10-29,L,17,-205.0
2024-10-29,L,50,-205.0
2024-10-30,S,58,1170.0
2024-10-31,S,25,-205.0
2024-11-04,L,17,-205.0
2024-11-04,L,58,-205.0
2024-11-07,L,25,-205.0
2024-11-08,L,58,-205.0
2024-11-12,S,13,-205.0
2024-11-13,L,40,-205.0
2024-11-13,L,49,-205.0
2024-11-14,L,27,-205.0
2024-11-21,L,54,-205.0
2024-11-22,S,27,-205.0
2024-11-25,S,17,120.0
2024-11-25,S,49,-205.0
2024-11-26,S,14,-205.0
2024-12-03,L,47,-205.0
2024-12-09,L,41,-205.0
2024-12-10,L,10,-205.0
2024-12-10,S,33,-205.0
2024-12-11,L,16,-205.0
2024-12-11,L,42,-205.0
2024-12-16,L,21,-205.0
2024-12-17,L,19,-205.0
2024-12-17,L,35,-205.0
2024-12-18,S,33,-205.0
2024-12-19,S,43,-205.0
2024-12-30,S,11,-205.0
2024-12-31,S,30,-205.0
2024-12-31,S,35,-205.0
2025-01-03,S,17,-205.0
2025-01-03,S,43,-205.0
2025-01-06,L,29,-205.0
2025-01-06,S,61,-205.0
2025-01-13,L,57,-205.0
2025-01-14,S,25,-205.0
2025-01-14,L,58,-205.0
2025-01-15,S,35,-205.0
2025-01-17,L,13,157.5
2025-01-17,L,32,-205.0
2025-01-21,L,50,-205.0
2025-01-24,S,50,382.5
2025-01-27,L,22,-205.0
2025-01-28,S,27,-205.0
2025-02-03,L,28,-205.0
2025-02-05,S,16,-205.0
2025-02-10,L,12,-205.0
2025-02-10,L,16,-205.0
2025-02-10,S,31,-205.0
2025-02-10,L,65,-205.0
2025-02-11,L,12,-205.0
2025-02-11,L,26,-205.0
2025-02-11,L,56,245.0
2025-02-13,L,26,-205.0
2025-02-14,L,8,-205.0
2025-02-14,L,14,-205.0
2025-02-14,L,62,-205.0
2025-02-18,S,33,-205.0
2025-02-18,S,56,-205.0
2025-02-18,S,61,-205.0
2025-02-19,L,27,-205.0
2025-02-21,S,21,-205.0
2025-02-21,S,54,-205.0
2025-02-25,S,22,-205.0
2025-02-26,L,17,-205.0
2025-02-26,L,29,-205.0
2025-03-03,L,15,-205.0
2025-03-03,S,57,-205.0
2025-03-04,S,17,-205.0
2025-03-05,S,25,-205.0
2025-03-06,S,40,-205.0
2025-03-07,S,21,-205.0
2025-03-13,S,36,-205.0
2025-03-18,S,25,-205.0
2025-03-19,L,35,-205.0
2025-03-21,S,15,-205.0
2025-03-21,L,47,-205.0
2025-03-24,S,59,-205.0
2025-03-26,S,21,2470.0
2025-03-26,S,28,1695.0
2025-03-26,S,39,957.5
2025-03-26,S,54,-205.0
2025-03-28,S,53,-205.0
2025-04-01,S,64,-205.0
2025-04-03,S,53,2720.0
2025-04-09,S,26,-205.0
2025-04-09,L,54,-205.0
2025-04-11,S,17,-205.0
2025-04-11,L,63,-205.0
2025-04-14,S,33,-205.0
2025-04-15,S,52,-205.0
2025-04-21,S,36,-205.0
2025-04-21,S,50,-205.0
2025-04-21,S,62,-205.0
2025-04-24,L,20,-205.0
2025-04-24,L,29,-205.0
2025-04-29,S,48,-205.0
2025-05-01,S,39,-205.0
2025-05-02,L,18,-205.0
2025-05-05,L,56,-205.0
2025-05-07,L,12,-205.0
2025-05-07,S,64,-205.0
2025-05-08,L,34,-205.0
2025-05-14,S,57,-205.0
2025-05-19,L,33,432.5
2025-05-21,S,56,-205.0
2025-05-22,L,15,-205.0
2025-05-27,L,29,1282.5
2025-05-27,L,46,657.5
2025-05-27,L,60,-205.0
2025-05-28,L,43,-205.0
2025-05-29,L,23,-205.0
2025-05-30,S,46,-205.0
2025-06-03,L,44,-205.0
2025-06-05,S,65,-205.0
2025-06-06,S,11,-205.0
2025-06-11,L,8,-205.0
2025-06-11,L,16,-205.0
2025-06-11,S,27,1257.5
2025-06-11,S,65,170.0
2025-06-17,S,60,-205.0
2025-06-20,S,15,-205.0
2025-06-20,S,33,-205.0
2025-06-20,S,62,-205.0
2025-06-26,L,56,7.5
2025-06-26,L,64,-205.0
2025-06-27,L,32,-205.0
2025-06-30,L,48,-205.0
2025-07-02,L,19,645.0
2025-07-02,L,36,432.5
2025-07-02,L,43,-205.0
2025-07-02,L,60,232.5
2025-07-09,S,11,-92.5
2025-07-10,L,35,57.5
2025-07-10,L,58,-205.0
2025-07-14,L,24,445.0
2025-07-18,S,47,-205.0
2025-07-21,L,46,-205.0
2025-07-25,L,24,557.5
2025-07-25,L,44,82.5
2025-07-25,L,54,-205.0
2025-07-25,L,63,-205.0
2025-07-28,S,53,-205.0
2025-07-28,S,62,-205.0
2025-07-29,S,33,-205.0
2025-08-05,S,23,-205.0
2025-08-08,L,61,-205.0
2025-08-11,S,20,-205.0
2025-08-11,S,62,482.5
2025-08-12,L,46,432.5
2025-08-12,L,64,220.0
2025-08-14,L,54,-205.0
2025-08-19,S,23,-205.0
2025-08-20,L,43,-205.0
2025-08-26,L,18,-205.0
2025-08-26,L,39,-205.0
2025-09-02,L,11,-205.0
2025-09-04,L,29,-205.0
2025-09-04,L,35,-205.0
2025-09-04,L,57,1032.5
2025-09-08,S,43,-205.0
2025-09-08,S,62,-205.0
2025-09-09,L,11,707.5
2025-09-11,L,21,382.5
2025-09-11,L,33,-205.0
2025-09-12,L,42,-205.0
2025-09-12,L,59,-205.0
2025-09-16,S,24,-205.0
2025-09-17,L,28,-205.0
2025-09-19,L,46,645.0
2025-09-19,L,58,470.0
2025-09-23,S,19,1495.0
2025-09-24,S,46,-205.0
2025-09-25,L,21,-205.0
2025-09-25,L,34,-205.0
2025-09-30,L,13,-205.0
2025-09-30,L,39,-205.0
2025-10-02,S,25,-205.0
2025-10-02,L,48,382.5
2025-10-03,L,23,-205.0
2025-10-07,S,39,-205.0
2025-10-08,L,19,732.5
2025-10-10,S,7,-205.0
2025-10-10,S,18,9420.0
2025-10-10,S,35,-205.0
2025-10-14,L,26,745.0
2025-10-14,L,47,-205.0
2025-10-14,L,60,-205.0
2025-10-15,S,34,-205.0
2025-10-15,S,55,-205.0
2025-10-16,S,34,2620.0
2025-10-16,S,40,-205.0
2025-10-27,L,16,-205.0
2025-10-27,L,41,-205.0
2025-10-29,S,24,-205.0
2025-11-05,L,46,-205.0
2025-11-06,S,13,1620.0
2025-11-07,S,26,-205.0
2025-11-11,L,39,1120.0
2025-11-12,S,17,-205.0
2025-11-13,L,31,-205.0
2025-11-21,L,36,-205.0
2025-12-03,L,19,-205.0
2025-12-03,L,48,132.5
2025-12-03,L,57,-205.0
2025-12-05,S,37,-205.0
2025-12-08,S,60,-205.0
2025-12-12,L,51,-205.0
2025-12-15,L,22,-205.0
2025-12-15,L,61,-205.0
2025-12-17,L,10,-205.0
2025-12-17,S,29,-205.0
2025-12-17,S,33,-205.0
2025-12-17,S,49,70.0
2025-12-17,S,55,-205.0
2025-12-19,L,41,-205.0
2025-12-22,L,37,-205.0
2025-12-23,L,13,1107.5
2025-12-26,S,17,-205.0
2026-01-02,S,52,-205.0
2026-01-05,L,8,-205.0
2026-01-05,L,18,-205.0
2026-01-07,L,39,-205.0
2026-01-12,L,28,-205.0
2026-01-14,S,16,-205.0
2026-01-14,S,21,-205.0
2026-01-16,S,66,595.0
2026-01-27,L,59,-205.0
2026-01-29,L,44,1982.5
2026-01-29,L,56,1382.5
2026-01-29,L,64,-205.0
2026-02-03,S,16,-205.0
2026-02-03,S,29,582.5
2026-02-03,S,37,-205.0
2026-02-04,S,35,-205.0
2026-02-05,L,36,-205.0
2026-02-06,L,47,-205.0
2026-02-06,L,59,707.5
2026-02-09,S,66,520.0
2026-02-12,S,39,-205.0
2026-02-12,S,48,-205.0
2026-02-13,L,22,-205.0
2026-02-17,L,59,-205.0
2026-02-18,S,57,-205.0
2026-02-25,L,33,-205.0
2026-02-25,L,49,495.0
2026-03-03,L,34,-205.0
2026-03-04,L,27,-205.0
2026-03-05,S,33,-205.0
2026-03-06,L,56,-205.0
2026-03-09,L,35,-205.0
2026-03-17,S,36,-205.0
2026-03-23,L,16,-205.0
2026-03-23,S,42,-205.0
2026-03-26,S,60,-205.0
2026-03-27,S,62,-205.0
2026-03-30,S,56,-205.0
2026-03-31,S,11,-205.0
2026-03-31,L,46,-205.0
2026-04-02,L,21,-205.0
2026-04-07,L,58,-205.0
2026-04-09,L,35,-205.0
2026-04-10,S,47,-205.0
2026-04-13,L,46,-205.0
2026-04-15,L,55,-205.0
2026-04-15,L,58,495.0
2026-04-17,L,24,-205.0
2026-04-17,L,31,-205.0
2026-04-20,S,28,-205.0
2026-04-21,S,23,-205.0
2026-04-21,S,33,-205.0
2026-04-22,L,17,-205.0
2026-04-27,S,9,-205.0
2026-04-27,L,46,357.5
2026-04-29,S,36,-205.0
2026-04-29,S,46,-205.0
2026-04-29,S,63,-205.0
2026-04-30,L,39,-205.0
2026-05-04,S,36,-205.0
2026-05-06,L,29,-205.0
2026-05-07,L,14,-205.0
2026-05-07,S,52,-205.0
2026-05-13,L,16,2157.5
2026-05-13,L,22,1820.0
2026-05-13,L,51,157.5
2026-05-15,L,18,-205.0
2026-05-15,L,53,-205.0
2026-05-18,L,51,-205.0
2026-05-20,L,17,1257.5
2026-05-20,L,28,-205.0
2026-05-28,L,29,-205.0
2026-05-28,L,58,-205.0
2026-06-01,L,59,-205.0
2026-06-03,S,34,-205.0
2026-06-05,S,26,6657.5
2026-06-05,S,45,-205.0
2026-06-08,S,54,-205.0
2026-06-09,S,22,-205.0
2026-06-09,S,30,-205.0
2026-06-09,S,38,-205.0
2026-06-09,L,56,-205.0
2026-06-16,S,18,-205.0
2026-06-17,S,49,-205.0
2026-06-22,S,22,-205.0
2026-06-24,S,9,-205.0
2026-06-24,S,54,-205.0
2026-07-01,L,30,-205.0
2026-07-01,S,63,-205.0
2026-07-02,S,25,-205.0
2026-07-02,S,42,-205.0
2026-07-02,S,50,-205.0
2026-07-06,L,23,-205.0
2026-07-06,L,32,-205.0
2026-07-08,S,21,-205.0
