Date,dir,stop,target,dist_pts,net
2021-07-01,L,abr1.0,t2x,3.25,-167.5
2021-07-01,L,abr1.0,t3x,3.25,-167.5
2021-07-01,L,abr1.5,eod,5.0,-255.0
2021-07-01,L,abr1.5,t2x,5.0,-255.0
2021-07-01,L,abr1.5,t3x,5.0,-255.0
2021-07-01,L,abr2.0,eod,6.5,420.0
2021-07-01,L,abr2.0,t2x,6.5,-330.0
2021-07-01,L,abr2.0,t3x,6.5,-330.0
2021-07-01,L,abr3.0,eod,10.0,420.0
2021-07-01,L,abr3.0,t2x,10.0,-505.0
2021-07-01,L,abr3.0,t3x,10.0,-505.0
2021-07-01,L,abr4.0,eod,13.25,420.0
2021-07-01,L,abr4.0,t2x,13.25,-667.5
2021-07-01,L,abr4.0,t3x,13.25,-667.5
2021-07-01,L,fx4p,eod,4.0,-205.0
2021-07-01,L,fx4p,t2x,4.0,-205.0
2021-07-01,L,fx4p,t3x,4.0,-205.0
2021-07-01,L,abr1.0,eod,2.25,-117.5
2021-07-01,L,abr1.0,t2x,2.25,-117.5
2021-07-01,L,abr1.0,t3x,2.25,-117.5
2021-07-01,L,abr1.5,eod,3.5,-180.0
2021-07-01,L,abr1.5,t2x,3.5,-180.0
2021-07-01,L,abr1.5,t3x,3.5,-180.0
2021-07-01,L,abr2.0,eod,4.5,-230.0
2021-07-01,L,abr2.0,t2x,4.5,-230.0
2021-07-01,L,abr2.0,t3x,4.5,-230.0
2021-07-01,L,abr3.0,eod,6.75,370.0
2021-07-01,L,abr3.0,t2x,6.75,-342.5
2021-07-01,L,abr3.0,t3x,6.75,-342.5
2021-07-01,L,abr4.0,eod,9.0,370.0
2021-07-01,L,abr4.0,t2x,9.0,-455.0
2021-07-01,L,abr4.0,t3x,9.0,-455.0
2021-07-01,L,fx4p,eod,4.0,-205.0
2021-07-01,L,fx4p,t2x,4.0,-205.0
2021-07-01,L,fx4p,t3x,4.0,-205.0
2021-07-08,S,abr1.0,eod,8.5,-430.0
2021-07-08,S,abr1.0,t2x,8.5,-430.0
2021-07-08,S,abr1.0,t3x,8.5,-430.0
2021-07-08,S,abr1.5,eod,12.75,-642.5
2021-07-08,S,abr1.5,t2x,12.75,-642.5
2021-07-08,S,abr1.5,t3x,12.75,-642.5
2021-07-08,S,abr2.0,eod,17.0,-855.0
2021-07-08,S,abr2.0,t2x,17.0,-855.0
2021-07-08,S,abr2.0,t3x,17.0,-855.0
2021-07-08,S,abr3.0,eod,25.5,-1280.0
2021-07-08,S,abr3.0,t2x,25.5,-1280.0
2021-07-08,S,abr3.0,t3x,25.5,-1280.0
2021-07-08,S,abr4.0,eod,34.0,-1705.0
2021-07-08,S,abr4.0,t2x,34.0,-1705.0
2021-07-08,S,abr4.0,t3x,34.0,-1705.0
2021-07-08,S,adr.10,eod,2.0,-105.0
2021-07-08,S,adr.10,t2x,2.0,-105.0
2021-07-08,S,adr.10,t3x,2.0,-105.0
2021-07-08,S,adr.15,eod,3.0,-155.0
2021-07-08,S,adr.15,t2x,3.0,-155.0
2021-07-08,S,adr.15,t3x,3.0,-155.0
2021-07-08,S,adr.20,eod,4.0,-205.0
2021-07-08,S,adr.20,t2x,4.0,-205.0
2021-07-08,S,adr.20,t3x,4.0,-205.0
2021-07-08,S,adr.30,eod,6.0,-305.0
2021-07-08,S,adr.30,t2x,6.0,-305.0
2021-07-08,S,adr.30,t3x,6.0,-305.0
2021-07-08,S,fx4p,eod,4.0,-205.0
2021-07-08,S,fx4p,t2x,4.0,-205.0
2021-07-08,S,fx4p,t3x,4.0,-205.0
2021-07-09,L,abr1.0,eod,2.0,382.5
2021-07-09,L,abr1.0,t2x,2.0,195.0
2021-07-09,L,abr1.0,t3x,2.0,295.0
2021-07-09,L,abr1.5,eod,2.75,382.5
2021-07-09,L,abr1.5,t2x,2.75,270.0
2021-07-09,L,abr1.5,t3x,2.75,407.5
2021-07-09,L,abr2.0,eod,3.75,382.5
2021-07-09,L,abr2.0,t2x,3.75,370.0
2021-07-09,L,abr2.0,t3x,3.75,557.5
2021-07-09,L,abr3.0,eod,5.5,382.5
2021-07-09,L,abr3.0,t2x,5.5,545.0
2021-07-09,L,abr3.0,t3x,5.5,-280.0
2021-07-09,L,abr4.0,eod,7.25,382.5
2021-07-09,L,abr4.0,t2x,7.25,-367.5
2021-07-09,L,abr4.0,t3x,7.25,-367.5
2021-07-09,L,adr.10,eod,2.25,382.5
2021-07-09,L,adr.10,t2x,2.25,220.0
2021-07-09,L,adr.10,t3x,2.25,332.5
2021-07-09,L,adr.15,eod,3.5,382.5
2021-07-09,L,adr.15,t2x,3.5,345.0
2021-07-09,L,adr.15,t3x,3.5,520.0
2021-07-09,L,adr.20,eod,4.75,382.5
2021-07-09,L,adr.20,t2x,4.75,470.0
2021-07-09,L,adr.20,t3x,4.75,-242.5
2021-07-09,L,adr.30,eod,7.0,382.5
2021-07-09,L,adr.30,t2x,7.0,-355.0
2021-07-09,L,adr.30,t3x,7.0,-355.0
2021-07-09,L,fx4p,eod,4.0,382.5
2021-07-09,L,fx4p,t2x,4.0,395.0
2021-07-09,L,fx4p,t3x,4.0,595.0
2021-07-13,S,abr1.0,eod,4.25,345.0
2021-07-13,S,abr1.0,t2x,4.25,420.0
2021-07-13,S,abr1.0,t3x,4.25,-217.5
2021-07-13,S,abr1.5,eod,6.5,345.0
2021-07-13,S,abr1.5,t2x,6.5,-330.0
2021-07-13,S,abr1.5,t3x,6.5,-330.0
2021-07-13,S,abr2.0,eod,8.5,345.0
2021-07-13,S,abr2.0,t2x,8.5,-430.0
2021-07-13,S,abr2.0,t3x,8.5,-430.0
2021-07-13,S,abr3.0,eod,12.75,345.0
2021-07-13,S,abr3.0,t2x,12.75,-642.5
2021-07-13,S,abr3.0,t3x,12.75,-642.5
2021-07-13,S,abr4.0,eod,17.0,345.0
2021-07-13,S,abr4.0,t2x,17.0,-855.0
2021-07-13,S,abr4.0,t3x,17.0,-855.0
2021-07-13,S,adr.10,eod,2.5,345.0
2021-07-13,S,adr.10,t2x,2.5,245.0
2021-07-13,S,adr.10,t3x,2.5,370.0
2021-07-13,S,adr.15,eod,4.0,345.0
2021-07-13,S,adr.15,t2x,4.0,395.0
2021-07-13,S,adr.15,t3x,4.0,-205.0
2021-07-13,S,adr.20,eod,5.25,345.0
2021-07-13,S,adr.20,t2x,5.25,-267.5
2021-07-13,S,adr.20,t3x,5.25,-267.5
2021-07-13,S,adr.30,eod,7.75,345.0
2021-07-13,S,adr.30,t2x,7.75,-392.5
2021-07-13,S,adr.30,t3x,7.75,-392.5
2021-07-13,S,fx4p,eod,4.0,345.0
2021-07-13,S,fx4p,t2x,4.0,395.0
2021-07-13,S,fx4p,t3x,4.0,-205.0
2021-07-14,S,abr1.0,eod,3.5,-180.0
2021-07-14,S,abr1.0,t2x,3.5,-180.0
2021-07-14,S,abr1.0,t3x,3.5,-180.0
2021-07-14,S,abr1.5,eod,5.5,-280.0
2021-07-14,S,abr1.5,t2x,5.5,-280.0
2021-07-14,S,abr1.5,t3x,5.5,-280.0
2021-07-14,S,abr2.0,eod,7.25,82.5
2021-07-14,S,abr2.0,t2x,7.25,-367.5
2021-07-14,S,abr2.0,t3x,7.25,-367.5
2021-07-14,S,abr3.0,eod,10.75,82.5
2021-07-14,S,abr3.0,t2x,10.75,-542.5
2021-07-14,S,abr3.0,t3x,10.75,-542.5
2021-07-14,S,abr4.0,eod,14.5,82.5
2021-07-14,S,abr4.0,t2x,14.5,-730.0
2021-07-14,S,abr4.0,t3x,14.5,-730.0
2021-07-14,S,adr.10,eod,2.75,-142.5
2021-07-14,S,adr.10,t2x,2.75,270.0
2021-07-14,S,adr.10,t3x,2.75,-142.5
2021-07-14,S,adr.15,eod,4.0,-205.0
2021-07-14,S,adr.15,t2x,4.0,-205.0
2021-07-14,S,adr.15,t3x,4.0,-205.0
2021-07-14,S,adr.20,eod,5.5,-280.0
2021-07-14,S,adr.20,t2x,5.5,-280.0
2021-07-14,S,adr.20,t3x,5.5,-280.0
2021-07-14,S,adr.30,eod,8.0,82.5
2021-07-14,S,adr.30,t2x,8.0,-405.0
2021-07-14,S,adr.30,t3x,8.0,-405.0
