Date,first,ADR/EOD,ADR/EOD_r,ADR/1:1,ADR/1:1_r,ADR/2:1,ADR/2:1_r,SB/1:1,SB/1:1_r,SB/2:1,SB/2:1_r,SB/EOD,SB/EOD_r
2022-10-03,False,995.0,eod,1020.0,win,995.0,eod,-192.5,stop,-192.5,stop,-192.5,stop
2022-10-06,True,-1130.0,stop,-1130.0,stop,-1130.0,stop,-205.0,stop,-205.0,stop,-205.0,stop
2022-10-12,True,370.0,eod,370.0,eod,370.0,eod,-405.0,stop,-405.0,stop,-405.0,stop
2022-10-20,True,-1267.5,stop,-1267.5,stop,-1267.5,stop,307.5,win,-342.5,stop,-342.5,stop
2022-10-20,False,382.5,eod,382.5,eod,382.5,eod,170.0,win,357.5,win,382.5,eod
2022-10-21,True,-1305.0,stop,-1305.0,stop,-1305.0,stop,-355.0,stop,-355.0,stop,-355.0,stop
2022-10-27,True,2070.0,eod,1345.0,win,2070.0,eod,-105.0,stop,-105.0,stop,-105.0,stop
2022-11-02,True,-1155.0,stop,-1155.0,stop,-1155.0,stop,-167.5,stop,-167.5,stop,-167.5,stop
2022-11-08,True,-1180.0,stop,-1180.0,stop,-1180.0,stop,-117.5,stop,-117.5,stop,-117.5,stop
2022-11-11,True,-1205.0,stop,-1205.0,stop,-1205.0,stop,195.0,win,-230.0,stop,-230.0,stop
2022-11-16,True,-80.0,eod,-80.0,eod,-80.0,eod,-417.5,stop,-417.5,stop,-417.5,stop
2022-11-16,False,-30.0,eod,-30.0,eod,-30.0,eod,-255.0,stop,-255.0,stop,-255.0,stop
2022-11-23,True,-880.0,stop,-880.0,stop,-880.0,stop,145.0,win,-180.0,stop,-180.0,stop
2022-11-30,True,-567.5,stop,532.5,win,-567.5,stop,320.0,win,-355.0,stop,-355.0,stop
2022-12-05,True,1032.5,eod,720.0,win,1457.5,win,220.0,win,457.5,win,1032.5,eod
2022-12-05,False,357.5,eod,720.0,win,357.5,eod,282.5,win,582.5,win,357.5,eod
2022-12-06,True,707.5,eod,782.5,win,1582.5,win,-305.0,stop,-305.0,stop,-305.0,stop
