Date,book,dir,gap,gross_20,net_20,gross_30,net_30,gross_40,net_40
2022-03-14,WT,L,0.124,-900.0,-917.5,-1350.0,-1367.5,-1812.5,-1830.0
2022-03-14,WT,L,0.124,-900.0,-917.5,-1350.0,-1367.5,-1812.5,-1830.0
2022-03-23,WT,L,0.516,-825.0,-842.5,-1237.5,-1255.0,-1650.0,-1667.5
2022-03-29,WT,S,0.737,-650.0,-667.5,-975.0,-992.5,-1312.5,-1330.0
2022-03-30,WT,S,0.115,225.0,207.5,225.0,207.5,225.0,207.5
2022-04-01,FADE,S,0.019,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-04-05,FADE,S,0.245,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-04-07,WT,S,0.151,-562.5,-580.0,-837.5,-855.0,-1125.0,-1142.5
2022-04-07,WT,S,0.151,-562.5,-580.0,-837.5,-855.0,-1125.0,-1142.5
2022-04-07,WT,S,0.151,-562.5,-580.0,-837.5,-855.0,-1125.0,-1142.5
2022-04-12,FADE,S,0.64,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-04-13,WT,L,0.115,1575.0,1557.5,1575.0,1557.5,1575.0,1557.5
2022-04-13,WT,L,0.115,925.0,907.5,925.0,907.5,925.0,907.5
2022-04-13,WT,L,0.115,312.5,295.0,312.5,295.0,312.5,295.0
2022-04-14,WT,S,0.109,1850.0,1832.5,1850.0,1832.5,1850.0,1832.5
2022-04-14,FADE,S,0.109,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-04-14,FADE,S,0.109,1387.5,1370.0,1387.5,1370.0,1387.5,1370.0
2022-04-21,FADE,S,0.539,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-04-22,FADE,S,0.197,3912.5,3895.0,3912.5,3895.0,3912.5,3895.0
2022-04-25,FADE,S,0.212,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-04-27,WT,S,0.517,-875.0,-892.5,-1300.0,-1317.5,-1737.5,-1755.0
2022-04-28,WT,L,0.783,-862.5,-880.0,-962.5,-980.0,-962.5,-980.0
2022-04-28,WT,L,0.783,-862.5,-880.0,-1287.5,-1305.0,-1100.0,-1117.5
2022-04-29,WT,S,0.305,-912.5,-930.0,3425.0,3407.5,3425.0,3407.5
2022-04-29,FADE,S,0.305,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-05-02,FADE,S,0.287,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-05-04,FADE,S,0.06,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-05-04,WT,L,0.06,-1037.5,-1055.0,-1550.0,-1567.5,5375.0,5357.5
2022-05-05,WT,S,0.748,425.0,407.5,425.0,407.5,425.0,407.5
2022-05-09,WT,S,0.999,587.5,570.0,587.5,570.0,587.5,570.0
2022-05-10,FADE,S,1.073,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2022-05-11,FADE,S,0.156,3062.5,3045.0,3062.5,3045.0,3062.5,3045.0
2022-05-13,WT,L,1.043,-1162.5,-1180.0,200.0,182.5,200.0,182.5
2022-05-13,WT,L,1.043,-1162.5,-1180.0,-1737.5,-1755.0,-2312.5,-2330.0
2022-05-13,WT,S,1.043,-1162.5,-1180.0,-1737.5,-1755.0,-2312.5,-2330.0
2022-05-16,WT,L,0.171,475.0,457.5,475.0,457.5,475.0,457.5
2022-05-16,WT,L,0.171,25.0,7.5,25.0,7.5,25.0,7.5
