SignalNum,SignalType,Direction,DateTime,BarNum,SignalPrice,StopPrice,Date,FilterStatus,_date,TargetR,Filled,SBClose,SEPrice,FillPrice,EntryTime,EntryBarNum,EntryPrice,ActualStop,Target,Target1,RiskPts,RiskDollar,ExitTime,ExitBarNum,ExitPrice,ExitReason,GrossPnLPts,GrossPnL,NetPnL,R_achieved,MAE_pts,MAE_dollar,MAE_R,MFE_pts,MFE_dollar,MFE_R,CumPF,SlippagePts,SlippageDollar,Leg1ExitReason,Leg1ExitPrice,Leg1GrossPts,Leg1GrossPnL,Leg2ExitReason,Leg2ExitPrice,Leg2GrossPts,Leg2GrossPnL,Leg3ExitReason,Leg3ExitPrice,Leg3GrossPts,Leg3GrossPnL,TradeType,BlendedEntry,PB1FillPrice,PB2FillPrice,PBLevel,PBLevelRaw,E2FillPrice,E2FillTime,T1_R,PB_R,SameBarConflict,EntryType,RawFillPrice,EntrySlipTicks,ExitSlipTicks,ActualCalcMs,WireDelayMs,ExecCostTicks,ExecModelVersion,ReferenceTime,OrderLiveTime,RetraceTime,FirstThroughTime,ExitTriggerTime,ConcurrentRiskDollar,R
209,BO+FT,Short,2021-07-06 09:20:00,10,5063.25,5083.25,2021-07-06,ok,2021-07-06,1.0,True,5063.25,5067.0,5067.0,2021-07-06 09:20:00.106728599,11.0,5067.0,5083.5,5050.5,,16.5,825.0,2021-07-06 10:15:59.637614063,22.0,5050.5,Target,16.5,825.0,825.0,1.0,0.5,25.0,0.030303030303030304,16.75,837.5,1.0151515151515151,2.2892561983471076,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5067.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-06 09:20:00.106728599,2021-07-06 09:20:00.106728599,,,2021-07-06 10:15:59.637614063,825.0,1.0
228,BO+FT,Short,2021-07-07 09:30:00,12,5066.25,5095.75,2021-07-07,ok,2021-07-07,1.0,True,5066.25,5069.75,5069.75,2021-07-07 09:30:00.006631031,13.0,5069.75,5096.0,5043.5,,26.25,1312.5,2021-07-07 15:14:59.911634431,81.0,5088.0,EOD,-18.25,-912.5,-912.5,-0.6952380952380952,21.75,1087.5,0.8285714285714286,11.25,562.5,0.42857142857142855,1.4278350515463918,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5069.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-07 09:30:00.006631031,2021-07-07 09:30:00.006631031,,,2021-07-07 15:14:59.911634431,1312.5,-0.695
259,BO+FT,Short,2021-07-08 14:45:00,75,5038.0,5065.5,2021-07-08,ok,2021-07-08,1.0,True,5038.0,5043.75,5043.75,2021-07-08 14:45:00.046082615,76.0,5043.75,5065.75,5021.75,,22.0,1100.0,2021-07-08 15:14:59.144087649,81.0,5047.0,EOD,-3.25,-162.5,-162.5,-0.14772727272727273,11.0,550.0,0.5,8.75,437.5,0.3977272727272727,1.3381642512077294,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5043.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-08 14:45:00.046082615,2021-07-08 14:45:00.046082615,,,2021-07-08 15:14:59.144087649,1100.0,-0.148
261,BO+FT,Long,2021-07-08 14:55:00,77,5053.75,5019.25,2021-07-08,ok,2021-07-08,1.0,True,5053.75,5044.5,5044.5,2021-07-08 14:55:00.000153065,78.0,5044.5,5019.0,5070.0,,25.5,1275.0,2021-07-08 15:14:59.144087649,81.0,5047.0,EOD,2.5,125.0,125.0,0.09803921568627451,0.0,0.0,0.0,10.25,512.5,0.4019607843137255,1.3864734299516908,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5044.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-08 14:55:00.000153065,2021-07-08 14:55:00.000153065,,,2021-07-08 15:14:59.144087649,2375.0,0.098
269,BO+FT,Long,2021-07-09 13:20:00,58,5095.25,5089.25,2021-07-09,ok,2021-07-09,1.0,True,5095.25,5094.75,5094.75,2021-07-09 13:20:00.301100061,59.0,5094.75,5089.0,5100.5,,5.75,287.5,2021-07-09 14:18:56.168183163,70.0,5100.5,Target,5.75,287.5,287.5,1.0,1.0,50.0,0.17391304347826086,6.0,300.0,1.0434782608695652,1.497584541062802,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5094.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-09 13:20:00.301100061,2021-07-09 13:20:00.301100061,,,2021-07-09 14:18:56.168183163,287.5,1.0
286,BO+FT,Short,2021-07-12 12:45:00,51,5108.0,5115.0,2021-07-12,ok,2021-07-12,1.0,True,5108.0,5109.75,5109.75,2021-07-12 12:45:00.156463303,52.0,5109.75,5115.25,5104.25,,5.5,275.0,2021-07-12 14:25:35.820485197,72.0,5115.25,Stop,-5.5,-275.0,-275.0,-1.0,5.5,275.0,1.0,2.25,112.5,0.4090909090909091,1.3537117903930131,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5109.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-12 12:45:00.156463303,2021-07-12 12:45:00.156463303,,,2021-07-12 14:25:35.820485197,275.0,-1.0
309,BO+FT,Short,2021-07-13 14:10:00,68,5099.75,5111.75,2021-07-13,ok,2021-07-13,1.0,True,5099.75,5101.75,5101.75,2021-07-13 14:10:00.000566319,69.0,5101.75,5112.0,5091.5,,10.25,512.5,2021-07-13 15:14:59.647678473,81.0,5099.25,EOD,2.5,125.0,125.0,0.24390243902439024,4.25,212.5,0.4146341463414634,5.0,250.0,0.4878048780487805,1.3973799126637554,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5101.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-13 14:10:00.000566319,2021-07-13 14:10:00.000566319,,,2021-07-13 15:14:59.647678473,512.5,0.244
322,BO+FT,Long,2021-07-14 12:35:00,49,5108.75,5095.25,2021-07-14,ok,2021-07-14,1.0,True,5108.75,5106.0,5106.0,2021-07-14 12:35:00.037117347,50.0,5106.0,5095.0,5117.0,,11.0,550.0,2021-07-14 15:14:59.931363501,81.0,5106.5,EOD,0.5,25.0,25.0,0.045454545454545456,2.0,100.0,0.18181818181818182,8.5,425.0,0.7727272727272727,1.4061135371179039,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5106.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-14 12:35:00.037117347,2021-07-14 12:35:00.037117347,,,2021-07-14 15:14:59.931363501,550.0,0.045
355,BO+FT,Long,2021-07-15 14:55:00,77,5091.25,5076.25,2021-07-15,ok,2021-07-15,1.0,True,5091.25,5088.75,5088.75,2021-07-15 14:55:00.007602751,78.0,5088.75,5076.0,5101.5,,12.75,637.5,2021-07-15 15:14:59.733232625,81.0,5086.25,EOD,-2.5,-125.0,-125.0,-0.19607843137254902,3.0,150.0,0.23529411764705882,3.5,175.0,0.27450980392156865,1.3472803347280335,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5088.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-15 14:55:00.007602751,2021-07-15 14:55:00.007602751,,,2021-07-15 15:14:59.733232625,637.5,-0.196
357,BO+FT,Short,2021-07-16 09:25:00,11,5075.5,5102.5,2021-07-16,ok,2021-07-16,1.0,True,5075.5,5078.25,5078.25,2021-07-16 09:25:00.013268725,12.0,5078.25,5102.75,5053.75,,24.5,1225.0,2021-07-16 14:48:28.739495531,76.0,5053.75,Target,24.5,1225.0,1225.0,1.0,7.5,375.0,0.30612244897959184,24.75,1237.5,1.010204081632653,1.7573221757322175,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5078.25,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-16 09:25:00.013268725,2021-07-16 09:25:00.013268725,,,2021-07-16 14:48:28.739495531,1225.0,1.0
363,BO+FT,Short,2021-07-16 12:25:00,47,5079.0,5090.5,2021-07-16,ok,2021-07-16,1.0,True,5079.0,5081.0,5081.0,2021-07-16 12:25:00.218305201,48.0,5081.0,5090.75,5071.25,,9.75,487.5,2021-07-16 13:01:32.579313181,55.0,5071.25,Target,9.75,487.5,487.5,1.0,0.5,25.0,0.05128205128205128,10.0,500.0,1.0256410256410255,1.9205020920502092,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5081.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-16 12:25:00.218305201,2021-07-16 12:25:00.218305201,,,2021-07-16 13:01:32.579313181,1712.5,1.0
368,BO+FT,Short,2021-07-16 13:30:00,60,5067.75,5090.25,2021-07-16,ok,2021-07-16,1.0,True,5067.75,5069.25,5069.25,2021-07-16 13:30:00.022438877,61.0,5069.25,5090.5,5048.0,,21.25,1062.5,2021-07-16 15:14:59.868853383,81.0,5053.0,EOD,16.25,812.5,812.5,0.7647058823529411,2.75,137.5,0.12941176470588237,16.75,837.5,0.788235294117647,2.192468619246862,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5069.25,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-16 13:30:00.022438877,2021-07-16 13:30:00.022438877,,,2021-07-16 15:14:59.868853383,2287.5,0.765
372,BO+FT,Long,2021-07-16 14:15:00,69,5066.75,5048.25,2021-07-16,ok,2021-07-16,1.0,True,5066.75,5063.25,5063.25,2021-07-16 14:15:00.061505951,70.0,5063.25,5048.0,5078.5,,15.25,762.5,2021-07-16 15:14:59.868853383,81.0,5053.0,EOD,-10.25,-512.5,-512.5,-0.6721311475409836,10.75,537.5,0.7049180327868853,3.75,187.5,0.2459016393442623,1.8714285714285714,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5063.25,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-16 14:15:00.061505951,2021-07-16 14:15:00.061505951,,,2021-07-16 15:14:59.868853383,3050.0,-0.672
390,BO+FT,Short,2021-07-19 13:35:00,61,4964.25,4992.75,2021-07-19,ok,2021-07-19,1.0,True,4964.25,4971.75,4971.75,2021-07-19 13:35:00.025442071,62.0,4971.75,4993.0,4950.5,,21.25,1062.5,2021-07-19 14:59:59.430552929,78.0,4993.0,Stop,-21.25,-1062.5,-1062.5,-1.0,21.25,1062.5,1.0,9.5,475.0,0.4470588235294118,1.4356164383561645,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,4971.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-19 13:35:00.025442071,2021-07-19 13:35:00.025442071,,,2021-07-19 14:59:59.430552929,1062.5,-1.0
406,BO+FT,Short,2021-07-20 12:05:00,43,5054.0,5070.0,2021-07-20,ok,2021-07-20,1.0,True,5054.0,5055.0,5055.0,2021-07-20 12:05:00.334172293,44.0,5055.0,5070.25,5039.75,,15.25,762.5,2021-07-20 15:14:58.526311689,81.0,5057.75,EOD,-2.75,-137.5,-137.5,-0.18032786885245902,12.25,612.5,0.8032786885245902,4.5,225.0,0.29508196721311475,1.3936170212765957,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5055.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-07-20 12:05:00.334172293,2021-07-20 12:05:00.334172293,,,2021-07-20 15:14:58.526311689,762.5,-0.18
423,BO+FT,Short,2021-08-02 10:35:00,25,5141.75,5154.75,2021-08-02,ok,2021-08-02,1.0,True,5141.75,5144.75,5144.75,2021-08-02 10:35:00.022476439,26.0,5144.75,5155.0,5134.5,,10.25,512.5,2021-08-02 10:57:24.170635705,30.0,5134.5,Target,10.25,512.5,512.5,1.0,1.0,50.0,0.0975609756097561,10.5,525.0,1.024390243902439,1.502659574468085,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5144.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-02 10:35:00.022476439,2021-08-02 10:35:00.022476439,,,2021-08-02 10:57:24.170635705,512.5,1.0
436,BO+FT,Short,2021-08-02 14:10:00,68,5126.75,5139.25,2021-08-02,ok,2021-08-02,1.0,True,5126.75,5128.0,5128.0,2021-08-02 14:10:00.010890345,69.0,5128.0,5139.5,5116.5,,11.5,575.0,2021-08-02 14:50:00.045947373,77.0,5116.5,Target,11.5,575.0,575.0,1.0,1.0,50.0,0.08695652173913043,11.75,587.5,1.0217391304347827,1.625,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5128.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-02 14:10:00.010890345,2021-08-02 14:10:00.010890345,,,2021-08-02 14:50:00.045947373,575.0,1.0
440,BO+FT,Short,2021-08-02 14:45:00,75,5116.75,5130.25,2021-08-02,ok,2021-08-02,1.0,True,5116.75,5118.75,5118.75,2021-08-02 14:45:00.006656531,76.0,5118.75,5130.5,5107.0,,11.75,587.5,2021-08-02 15:14:59.931414877,81.0,5121.75,EOD,-3.0,-150.0,-150.0,-0.2553191489361702,3.5,175.0,0.2978723404255319,3.25,162.5,0.2765957446808511,1.574742268041237,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5118.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-02 14:45:00.006656531,2021-08-02 14:45:00.006656531,,,2021-08-02 15:14:59.931414877,1162.5,-0.255
458,BO+FT,Long,2021-08-09 14:35:00,73,5168.5,5160.5,2021-08-09,ok,2021-08-09,1.0,True,5168.5,5167.0,5167.0,2021-08-09 14:35:00.025147429,74.0,5167.0,5160.25,5173.75,,6.75,337.5,2021-08-09 15:14:59.525613707,81.0,5164.5,EOD,-2.5,-125.0,-125.0,-0.37037037037037035,5.0,250.0,0.7407407407407407,1.75,87.5,0.25925925925925924,1.535175879396985,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5167.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-09 14:35:00.025147429,2021-08-09 14:35:00.025147429,,,2021-08-09 15:14:59.525613707,337.5,-0.37
460,BO+FT,Short,2021-08-09 14:45:00,75,5163.5,5174.5,2021-08-09,ok,2021-08-09,1.0,True,5163.5,5165.5,5165.5,2021-08-09 14:45:00.032805649,76.0,5165.5,5174.75,5156.25,,9.25,462.5,2021-08-09 15:14:59.525613707,81.0,5164.5,EOD,1.0,50.0,50.0,0.10810810810810811,1.75,87.5,0.1891891891891892,3.5,175.0,0.3783783783783784,1.5452261306532664,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5165.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-09 14:45:00.032805649,2021-08-09 14:45:00.032805649,,,2021-08-09 15:14:59.525613707,800.0,0.108
469,BO+FT,Short,2021-08-10 11:30:00,36,5171.25,5177.75,2021-08-10,ok,2021-08-10,1.0,True,5171.25,5172.5,5172.5,2021-08-10 11:30:00.258264451,37.0,5172.5,5178.0,5167.0,,5.5,275.0,2021-08-10 13:13:29.759111855,57.0,5167.0,Target,5.5,275.0,275.0,1.0,0.5,25.0,0.09090909090909091,6.0,300.0,1.0909090909090908,1.600502512562814,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5172.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-10 11:30:00.258264451,2021-08-10 11:30:00.258264451,,,2021-08-10 13:13:29.759111855,275.0,1.0
490,BO+FT,Short,2021-08-11 12:35:00,49,5173.5,5181.0,2021-08-11,ok,2021-08-11,1.0,True,5173.5,5175.0,5175.0,2021-08-11 12:35:00.197577387,50.0,5175.0,5181.25,5168.75,,6.25,312.5,2021-08-11 15:14:59.871007409,81.0,5178.25,EOD,-3.25,-162.5,-162.5,-0.52,4.75,237.5,0.76,2.0,100.0,0.32,1.5498783454987834,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5175.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-11 12:35:00.197577387,2021-08-11 12:35:00.197577387,,,2021-08-11 15:14:59.871007409,312.5,-0.52
493,BO+FT,Short,2021-08-11 13:20:00,58,5173.25,5181.25,2021-08-11,ok,2021-08-11,1.0,True,5173.25,5174.5,5174.5,2021-08-11 13:20:00.017391737,59.0,5174.5,5181.5,5167.5,,7.0,350.0,2021-08-11 15:14:59.871007409,81.0,5178.25,EOD,-3.75,-187.5,-187.5,-0.5357142857142857,5.25,262.5,0.75,1.5,75.0,0.21428571428571427,1.4953051643192488,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5174.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-11 13:20:00.017391737,2021-08-11 13:20:00.017391737,,,2021-08-11 15:14:59.871007409,662.5,-0.536
497,BO+FT,Short,2021-08-11 14:40:00,74,5176.0,5183.0,2021-08-11,ok,2021-08-11,1.0,True,5176.0,5177.0,5177.0,2021-08-11 14:40:00.080093431,75.0,5177.0,5183.25,5170.75,,6.25,312.5,2021-08-11 15:14:59.871007409,81.0,5178.25,EOD,-1.25,-62.5,-62.5,-0.2,2.75,137.5,0.44,1.25,62.5,0.2,1.4779582366589328,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5177.0,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-11 14:40:00.080093431,2021-08-11 14:40:00.080093431,,,2021-08-11 15:14:59.871007409,975.0,-0.2
518,BO+FT,Long,2021-08-16 14:55:00,77,5212.0,5195.5,2021-08-16,ok,2021-08-16,1.0,True,5212.0,5209.75,5209.75,2021-08-16 14:55:00.006541295,78.0,5209.75,5195.25,5224.25,,14.5,725.0,2021-08-16 15:14:58.568932865,81.0,5212.25,EOD,2.5,125.0,125.0,0.1724137931034483,0.25,12.5,0.017241379310344827,5.0,250.0,0.3448275862068966,1.5011600928074247,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5209.75,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-16 14:55:00.006541295,2021-08-16 14:55:00.006541295,,,2021-08-16 15:14:58.568932865,725.0,0.172
530,BO+FT,Long,2021-08-17 12:05:00,43,5159.0,5136.5,2021-08-17,ok,2021-08-17,1.0,True,5159.0,5155.5,5155.5,2021-08-17 12:05:00.018211805,44.0,5155.5,5136.25,5174.75,,19.25,962.5,2021-08-17 14:02:37.023611715,67.0,5174.75,Target,19.25,962.5,962.5,1.0,3.25,162.5,0.16883116883116883,19.5,975.0,1.0129870129870129,1.679814385150812,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5155.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-17 12:05:00.018211805,2021-08-17 12:05:00.018211805,,,2021-08-17 14:02:37.023611715,962.5,1.0
534,BO+FT,Long,2021-08-17 12:55:00,53,5162.75,5137.25,2021-08-17,ok,2021-08-17,1.0,True,5162.75,5156.5,5156.5,2021-08-17 12:55:00.012625697,54.0,5156.5,5137.0,5176.0,,19.5,975.0,2021-08-17 14:08:40.232255221,68.0,5176.0,Target,19.5,975.0,975.0,1.0,0.0,0.0,0.0,20.0,1000.0,1.0256410256410255,1.8607888631090488,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5156.5,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-17 12:55:00.012625697,2021-08-17 12:55:00.012625697,,,2021-08-17 14:08:40.232255221,1937.5,1.0
538,BO+FT,Long,2021-08-17 13:45:00,63,5168.0,5147.0,2021-08-17,ok,2021-08-17,1.0,True,5168.0,5164.25,5164.25,2021-08-17 13:45:00.361348649,64.0,5164.25,5146.75,5181.75,,17.5,875.0,2021-08-17 14:58:43.873431559,78.0,5181.75,Target,17.5,875.0,875.0,1.0,1.25,62.5,0.07142857142857142,17.75,887.5,1.0142857142857142,2.023201856148492,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,False,market,5164.25,0.0,0.0,0.0,0.0,0.0,ESA_v2,2021-08-17 13:45:00.361348649,2021-08-17 13:45:00.361348649,,,2021-08-17 14:58:43.873431559,2812.5,1.0
