W,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2022-04-11/2022-04-17,5.0,60.0,0.256,1.118,1.58,0.45,1.3,962.0,1.09,-1.0,-2.0
2022-04-18/2022-04-24,10.0,40.0,-0.125,0.6,0.76,-0.41,-1.2,-1562.0,0.78,-0.73,-2.2
2022-04-25/2022-05-01,9.0,77.8,0.597,0.645,4.88,1.81,5.4,10825.0,1.01,-0.83,-1.0
2022-05-02/2022-05-08,8.0,62.5,0.184,0.506,1.95,0.71,1.5,4125.0,0.6,-0.52,-0.3
2022-05-09/2022-05-15,3.0,33.3,0.082,0.617,1.47,0.26,0.2,475.0,0.69,-0.22,-0.1
2022-05-16/2022-05-22,6.0,66.7,0.827,0.798,8.12,2.03,5.0,9250.0,1.4,-0.32,-0.1
2022-05-23/2022-05-29,4.0,25.0,-0.25,1.47,0.43,-0.33,-1.0,-2788.0,2.0,-1.0,-2.0
2022-05-30/2022-06-05,4.0,75.0,0.167,0.152,11.43,2.15,0.7,912.0,0.24,-0.06,0.0
2022-06-06/2022-06-12,5.0,60.0,0.029,0.711,1.32,0.08,0.1,662.0,0.53,-0.73,-1.5
2022-06-13/2022-06-19,9.0,55.6,0.095,0.584,1.63,0.32,0.9,1925.0,0.61,-0.55,-1.5
2022-06-20/2022-06-26,3.0,66.7,0.029,1.055,0.93,0.05,0.1,-112.0,0.54,-1.0,-1.0
2022-06-27/2022-07-03,6.0,66.7,0.265,0.432,2.36,1.2,1.6,1850.0,0.58,-0.37,-0.5
2022-07-04/2022-07-10,5.0,80.0,0.361,0.691,1.74,1.02,1.8,1150.0,0.7,-1.0,-1.0
2022-07-11/2022-07-17,2.0,100.0,0.326,0.504,inf,1.27,0.7,675.0,0.33,,0.0
2022-07-18/2022-07-24,5.0,100.0,1.011,0.737,inf,2.69,5.1,5888.0,1.01,,0.0
2022-07-25/2022-07-31,2.0,50.0,-0.383,1.209,1.28,-0.62,-0.8,188.0,0.23,-1.0,0.0
2022-08-01/2022-08-07,4.0,100.0,0.287,0.219,inf,2.56,1.1,1300.0,0.29,,0.0
2022-08-08/2022-08-14,7.0,57.1,0.234,0.708,1.64,0.65,1.6,950.0,0.78,-0.49,-1.5
2022-08-15/2022-08-21,4.0,50.0,0.001,0.853,1.32,0.0,0.0,250.0,0.72,-0.72,-1.4
2022-08-22/2022-08-28,7.0,71.4,0.725,0.864,12.7,1.64,5.1,9212.0,1.3,-0.71,-1.0
2022-08-29/2022-09-04,8.0,87.5,0.41,0.536,4.89,1.5,3.3,4225.0,0.57,-0.69,-0.7
2022-09-05/2022-09-11,2.0,50.0,-0.038,0.494,1.35,-0.15,-0.1,88.0,0.21,-0.29,-0.3
2022-09-12/2022-09-18,5.0,60.0,0.331,1.002,2.49,0.65,1.7,2162.0,1.0,-0.67,-1.0
2022-09-19/2022-09-25,3.0,0.0,-0.833,0.327,0.0,-5.0,-2.5,-2912.0,,-0.83,-1.5
2022-09-26/2022-10-02,5.0,80.0,0.666,0.793,8.3,1.65,3.3,6300.0,0.92,-0.33,0.0
2022-10-03/2022-10-09,6.0,33.3,-0.114,0.679,0.7,-0.33,-0.7,-788.0,0.83,-0.59,-2.3
2022-10-10/2022-10-16,4.0,50.0,0.04,0.302,1.88,0.26,0.2,538.0,0.3,-0.22,-0.3
2022-10-17/2022-10-23,9.0,55.6,0.153,0.528,1.46,0.57,1.4,1600.0,0.75,-0.59,-2.4
2022-10-24/2022-10-30,4.0,75.0,-0.116,0.593,0.67,-0.38,-0.5,-288.0,0.18,-1.0,-1.0
2022-10-31/2022-11-06,5.0,100.0,0.783,0.65,inf,2.36,3.9,3462.0,0.78,,0.0
2022-11-07/2022-11-13,6.0,83.3,0.226,0.624,4.16,0.71,1.4,3200.0,0.47,-1.0,-1.0
2022-11-14/2022-11-20,4.0,50.0,0.056,0.877,1.04,0.12,0.2,50.0,0.77,-0.66,-1.0
2022-11-21/2022-11-27,2.0,50.0,-0.178,0.554,0.12,-0.63,-0.4,-450.0,0.1,-0.46,0.0
2022-11-28/2022-12-04,2.0,100.0,0.321,0.465,inf,1.35,0.6,438.0,0.32,,0.0
2022-12-05/2022-12-11,1.0,0.0,-0.02,,0.0,,-0.0,-25.0,,-0.02,0.0
2022-12-12/2022-12-18,4.0,75.0,0.877,1.022,11.72,1.68,3.5,3350.0,1.24,-0.21,-0.2
2022-12-19/2022-12-25,7.0,71.4,0.357,0.628,3.03,1.11,2.5,2975.0,0.77,-0.68,-1.0
2022-12-26/2023-01-01,3.0,66.7,0.671,1.342,8.82,0.98,2.0,1662.0,1.15,-0.28,0.0
2023-01-02/2023-01-08,6.0,66.7,0.482,0.698,3.88,1.35,2.9,2775.0,0.87,-0.29,-0.5
2023-01-09/2023-01-15,4.0,75.0,0.687,1.029,2.25,1.31,2.7,1450.0,1.09,-0.53,-0.5
2023-01-16/2023-01-22,3.0,66.7,0.405,1.119,6.29,0.71,1.2,1588.0,0.82,-0.42,0.0
2023-01-30/2023-02-05,4.0,25.0,-0.053,0.372,2.32,-0.28,-0.2,1288.0,0.41,-0.21,-0.5
2023-02-06/2023-02-12,4.0,25.0,0.249,1.172,2.08,0.42,1.0,1412.0,2.0,-0.34,-0.6
2023-02-13/2023-02-19,5.0,80.0,0.462,0.936,2.09,0.97,2.3,1462.0,0.83,-1.0,-1.0
2023-02-20/2023-02-26,5.0,100.0,0.351,0.333,inf,2.06,1.8,1575.0,0.35,,0.0
2023-02-27/2023-03-05,5.0,40.0,-0.084,0.546,0.75,-0.3,-0.4,-225.0,0.4,-0.41,-0.1
2023-03-06/2023-03-12,8.0,62.5,0.224,0.533,2.3,0.82,1.8,2625.0,0.61,-0.42,-1.1
2023-03-13/2023-03-19,2.0,100.0,1.213,0.071,inf,33.56,2.4,5075.0,1.21,,0.0
2023-03-20/2023-03-26,5.0,80.0,0.492,0.532,11.97,1.81,2.5,5212.0,0.71,-0.38,0.0
2023-03-27/2023-04-02,5.0,60.0,0.171,1.034,1.53,0.32,0.9,612.0,0.86,-0.86,-1.0
2023-04-03/2023-04-09,4.0,100.0,0.6,0.43,inf,2.74,2.4,2050.0,0.6,,0.0
2023-04-10/2023-04-16,7.0,42.9,-0.244,0.571,0.78,-0.84,-1.7,-500.0,0.45,-0.77,-2.1
2023-04-17/2023-04-23,3.0,33.3,-0.605,0.775,0.13,-1.53,-1.8,-1100.0,0.19,-1.0,-1.0
2023-04-24/2023-04-30,3.0,66.7,0.569,1.489,1.64,0.75,1.7,938.0,1.15,-0.59,-0.6
2023-05-08/2023-05-14,4.0,25.0,-0.359,0.533,0.29,-1.32,-1.4,-575.0,0.32,-0.58,-1.0
2023-05-15/2023-05-21,3.0,100.0,0.857,1.146,inf,1.47,2.6,2212.0,0.86,,0.0
2023-05-22/2023-05-28,5.0,80.0,0.357,0.531,4.43,1.32,1.8,1588.0,0.61,-0.67,-0.7
2023-05-29/2023-06-04,5.0,60.0,-0.013,0.53,1.11,-0.05,-0.1,75.0,0.34,-0.54,-1.0
2023-06-05/2023-06-11,4.0,75.0,0.56,1.084,3.51,1.01,2.2,1475.0,0.98,-0.69,-0.7
2023-06-12/2023-06-18,5.0,60.0,0.385,0.975,3.13,0.77,1.9,1600.0,1.01,-0.56,-1.0
2023-06-19/2023-06-25,3.0,0.0,-0.525,0.467,0.0,-2.2,-1.6,-1112.0,,-0.52,-1.3
2023-06-26/2023-07-02,4.0,50.0,0.019,0.775,1.54,0.05,0.1,462.0,0.65,-0.61,-1.2
2023-07-03/2023-07-09,2.0,50.0,-0.457,1.065,0.08,-0.84,-0.9,-562.0,0.09,-1.0,-1.0
2023-07-10/2023-07-16,7.0,42.9,-0.053,0.579,1.03,-0.18,-0.4,38.0,0.69,-0.61,-1.4
2023-07-17/2023-07-23,6.0,66.7,0.216,0.925,1.23,0.46,1.3,225.0,0.82,-1.0,-1.0
2023-07-24/2023-07-30,6.0,50.0,-0.382,0.549,0.52,-1.36,-2.3,-675.0,0.24,-1.0,-3.0
2023-07-31/2023-08-06,11.0,72.7,0.096,0.408,1.57,0.46,1.1,850.0,0.43,-0.79,-1.5
2023-08-07/2023-08-13,4.0,75.0,0.496,0.442,42.0,2.2,2.0,1538.0,0.67,-0.03,-0.0
2023-08-14/2023-08-20,6.0,83.3,0.508,0.756,3.05,1.32,3.0,2388.0,0.76,-0.78,-0.8
2023-08-21/2023-08-27,9.0,77.8,0.148,0.49,1.39,0.59,1.3,800.0,0.48,-1.0,-1.0
2023-08-28/2023-09-03,5.0,40.0,0.05,0.41,0.95,0.24,0.2,-38.0,0.53,-0.27,-0.8
2023-09-04/2023-09-10,6.0,50.0,-0.058,0.669,1.26,-0.17,-0.3,312.0,0.58,-0.7,-2.0
2023-09-11/2023-09-17,6.0,50.0,0.403,0.877,2.71,0.9,2.4,1175.0,1.27,-0.47,-1.0
2023-09-18/2023-09-24,4.0,75.0,1.2,1.44,3.64,1.63,4.8,2875.0,1.93,-1.0,-1.0
2023-09-25/2023-10-01,8.0,62.5,0.446,0.634,3.08,1.38,3.6,2988.0,0.95,-0.4,-1.0
2023-10-02/2023-10-08,5.0,60.0,0.127,0.271,3.09,0.92,0.6,575.0,0.3,-0.13,-0.3
2023-10-09/2023-10-15,3.0,66.7,0.261,1.37,1.61,0.37,0.8,550.0,0.89,-1.0,-1.0
2023-10-16/2023-10-22,3.0,66.7,-0.01,0.981,2.95,-0.02,-0.0,1850.0,0.48,-1.0,0.0
2023-10-23/2023-10-29,5.0,60.0,-0.227,0.647,0.41,-0.69,-1.1,-1538.0,0.29,-1.0,-2.0
2023-10-30/2023-11-05,3.0,100.0,1.184,0.893,inf,2.6,3.6,2500.0,1.18,,0.0
2023-11-06/2023-11-12,1.0,100.0,2.0,,inf,,2.0,2300.0,2.0,,0.0
2023-11-13/2023-11-19,6.0,83.3,0.337,0.66,3.4,1.0,2.0,1438.0,0.6,-1.0,-1.0
2023-11-20/2023-11-26,2.0,50.0,-0.022,0.301,0.5,-0.14,-0.0,-62.0,0.13,-0.18,0.0
2023-11-27/2023-12-03,8.0,87.5,0.376,0.468,5.0,1.58,3.0,2550.0,0.57,-1.0,-1.0
2023-12-04/2023-12-10,5.0,60.0,0.39,0.654,2.66,1.17,1.9,912.0,0.82,-0.26,-0.5
2023-12-11/2023-12-17,2.0,50.0,-0.22,0.68,0.47,-0.63,-0.4,-112.0,0.13,-0.57,0.0
2023-12-18/2023-12-24,9.0,88.9,0.385,0.505,2.41,1.49,3.5,1900.0,0.56,-1.0,-1.0
2023-12-25/2023-12-31,2.0,50.0,-0.346,1.282,0.29,-0.53,-0.7,-600.0,0.31,-1.0,0.0
2024-01-01/2024-01-07,6.0,66.7,0.352,0.816,2.48,0.84,2.1,1350.0,0.87,-0.69,-1.0
2024-01-08/2024-01-14,4.0,0.0,-0.361,0.437,0.0,-1.62,-1.4,-1012.0,,-0.36,-1.3
2024-01-15/2024-01-21,8.0,62.5,0.339,0.786,2.35,0.85,2.7,2012.0,0.96,-0.69,-1.4
2024-01-22/2024-01-28,3.0,66.7,-0.064,0.919,0.6,-0.14,-0.2,-400.0,0.4,-1.0,-1.0
2024-01-29/2024-02-04,5.0,80.0,0.748,1.116,6.79,1.31,3.7,3038.0,1.19,-1.0,-1.0
2024-02-05/2024-02-11,6.0,50.0,0.099,0.946,1.39,0.21,0.6,525.0,1.06,-0.86,-1.6
2024-02-12/2024-02-18,10.0,70.0,0.828,0.852,2.75,1.9,8.3,5225.0,1.61,-1.0,-1.0
2024-02-19/2024-02-25,4.0,50.0,0.012,1.007,0.97,0.02,0.0,-38.0,0.89,-0.87,-0.7
2024-02-26/2024-03-03,1.0,100.0,1.786,,inf,,1.8,625.0,1.79,,0.0
2024-03-04/2024-03-10,8.0,75.0,0.354,0.467,6.38,1.49,2.8,4038.0,0.65,-0.54,-1.0
2024-03-11/2024-03-17,6.0,50.0,0.195,0.672,1.84,0.57,1.2,1475.0,0.92,-0.53,-0.6
2024-03-18/2024-03-24,5.0,60.0,-0.058,0.757,1.08,-0.15,-0.3,88.0,0.57,-1.0,-2.0
2024-03-25/2024-03-31,3.0,66.7,1.0,1.96,4.39,1.0,3.0,1525.0,2.0,-1.0,-1.0
2024-04-01/2024-04-07,6.0,33.3,-0.128,0.948,0.5,-0.27,-0.8,-1038.0,1.17,-0.78,-3.0
2024-04-08/2024-04-14,8.0,75.0,0.132,0.46,2.59,0.56,1.1,1788.0,0.37,-0.58,-1.0
2024-04-15/2024-04-21,9.0,55.6,0.012,0.462,1.12,0.05,0.1,362.0,0.49,-0.59,-1.0
2024-04-22/2024-04-28,7.0,57.1,0.696,0.829,6.94,1.65,4.9,5712.0,1.49,-0.36,-0.8
2024-04-29/2024-05-05,5.0,80.0,0.486,0.482,21.88,1.98,2.4,4438.0,0.67,-0.27,-0.3
2024-05-06/2024-05-12,2.0,50.0,0.004,0.4,0.91,0.02,0.0,-12.0,0.21,-0.2,0.0
2024-05-13/2024-05-19,2.0,50.0,0.5,2.94,1.39,0.33,1.0,238.0,2.0,-1.0,-1.0
2024-05-20/2024-05-26,7.0,28.6,-0.148,0.794,0.84,-0.37,-1.0,-400.0,1.07,-0.63,-1.1
2024-05-27/2024-06-02,3.0,66.7,0.617,1.713,2.08,0.71,1.8,875.0,1.42,-1.0,0.0
2024-06-03/2024-06-09,8.0,37.5,-0.036,0.475,0.88,-0.15,-0.3,-350.0,0.77,-0.52,-1.4
2024-06-10/2024-06-16,4.0,50.0,-0.292,0.674,0.59,-0.85,-1.2,-562.0,0.3,-0.88,-1.8
2024-06-17/2024-06-23,7.0,57.1,0.276,0.765,1.22,0.71,1.9,425.0,0.94,-0.61,-1.1
2024-06-24/2024-06-30,3.0,66.7,-0.003,0.813,1.21,-0.01,-0.0,125.0,0.38,-0.77,-0.8
2024-07-01/2024-07-07,4.0,75.0,0.302,0.425,12.75,1.39,1.2,588.0,0.43,-0.08,-0.1
2024-07-08/2024-07-14,5.0,60.0,0.07,0.697,3.02,0.2,0.4,1438.0,0.59,-0.71,-1.0
2024-07-15/2024-07-21,7.0,71.4,0.259,0.515,4.89,0.99,1.8,4138.0,0.61,-0.62,-1.2
2024-07-22/2024-07-28,6.0,66.7,0.954,0.741,12.54,2.52,5.7,7212.0,1.52,-0.17,-0.2
2024-07-29/2024-08-04,5.0,20.0,-0.362,0.575,0.28,-1.24,-1.8,-2412.0,0.54,-0.59,-1.4
2024-08-05/2024-08-11,7.0,71.4,0.568,0.706,6.18,1.58,4.0,9525.0,1.02,-0.56,-1.0
2024-08-12/2024-08-18,2.0,50.0,-0.425,1.127,0.24,-0.74,-0.9,-750.0,0.15,-1.0,-1.0
2024-08-19/2024-08-25,2.0,50.0,0.074,0.146,inf,1.0,0.1,188.0,0.15,0.0,0.0
2024-08-26/2024-09-01,7.0,42.9,0.105,0.765,0.91,0.27,0.7,-300.0,0.96,-0.54,-2.0
2024-09-02/2024-09-08,4.0,50.0,0.313,0.579,10.64,1.06,1.3,1688.0,0.68,-0.06,-0.1
2024-09-09/2024-09-15,5.0,60.0,0.194,0.661,2.19,0.57,1.0,1625.0,0.68,-0.54,-0.7
2024-09-16/2024-09-22,4.0,25.0,-0.262,0.691,0.99,-0.74,-1.0,-25.0,0.61,-0.55,-0.7
2024-09-23/2024-09-29,3.0,33.3,0.048,0.347,1.73,0.27,0.1,138.0,0.39,-0.13,-0.3
2024-09-30/2024-10-06,4.0,75.0,0.353,0.442,21.08,1.57,1.4,3012.0,0.53,-0.16,-0.2
2024-10-07/2024-10-13,2.0,0.0,-1.0,0.0,0.0,,-2.0,-1288.0,,-1.0,-1.0
2024-10-14/2024-10-20,1.0,0.0,-0.669,,0.0,,-0.7,-1038.0,,-0.67,0.0
2024-10-21/2024-10-27,3.0,100.0,0.936,1.046,inf,1.75,2.8,2362.0,0.94,,0.0
2024-10-28/2024-11-03,2.0,100.0,0.352,0.377,inf,1.83,0.7,800.0,0.35,,0.0
2024-11-04/2024-11-10,4.0,25.0,-0.515,0.569,0.05,-1.77,-2.1,-2512.0,0.16,-0.74,-1.2
2024-11-11/2024-11-17,4.0,50.0,0.193,1.064,2.2,0.36,0.8,1062.0,0.89,-0.5,0.0
2024-11-18/2024-11-24,6.0,66.7,0.417,0.595,2.27,1.37,2.5,2912.0,0.8,-0.34,-0.7
2024-11-25/2024-12-01,6.0,50.0,0.117,0.478,1.64,0.48,0.7,525.0,0.59,-0.35,-0.8
2024-12-02/2024-12-08,7.0,42.9,-0.293,0.667,0.52,-0.86,-2.0,-1075.0,0.6,-0.96,-3.4
2024-12-09/2024-12-15,5.0,60.0,0.079,0.665,1.12,0.23,0.4,162.0,0.58,-0.67,-0.8
2024-12-16/2024-12-22,6.0,50.0,0.198,0.835,1.17,0.47,1.2,350.0,0.92,-0.52,-1.0
2024-12-23/2024-12-29,1.0,100.0,0.258,,inf,,0.3,300.0,0.26,,0.0
2024-12-30/2025-01-05,9.0,66.7,0.266,0.613,2.0,0.85,2.4,4375.0,0.73,-0.67,-1.0
2025-01-06/2025-01-12,3.0,100.0,0.53,0.244,inf,4.25,1.6,3800.0,0.53,,0.0
2025-01-13/2025-01-19,7.0,71.4,0.731,0.74,3.1,1.94,5.1,4538.0,1.28,-0.65,-1.0
2025-01-20/2025-01-26,3.0,66.7,0.56,1.538,1.53,0.71,1.7,625.0,1.34,-1.0,0.0
2025-01-27/2025-02-02,5.0,60.0,-0.154,0.563,1.16,-0.53,-0.8,338.0,0.3,-0.84,-1.7
2025-02-03/2025-02-09,5.0,80.0,0.461,0.508,8.7,1.78,2.3,2888.0,0.71,-0.52,-0.5
2025-02-10/2025-02-16,4.0,100.0,0.638,0.427,inf,2.93,2.6,2625.0,0.64,,0.0
2025-02-17/2025-02-23,4.0,75.0,0.778,0.871,85.0,1.75,3.1,4200.0,1.06,-0.06,-0.1
2025-02-24/2025-03-02,2.0,100.0,0.586,1.117,inf,1.03,1.2,1600.0,0.59,,0.0
2025-03-03/2025-03-09,3.0,66.7,0.294,0.332,31.29,1.74,0.9,2650.0,0.46,-0.03,-0.0
2025-03-10/2025-03-16,7.0,71.4,0.219,0.261,6.32,1.64,1.5,3725.0,0.36,-0.14,-0.2
2025-03-17/2025-03-23,8.0,37.5,-0.074,0.811,0.69,-0.18,-0.6,-2138.0,1.15,-0.81,-2.9
2025-03-24/2025-03-30,8.0,50.0,0.167,0.452,2.48,0.72,1.3,3025.0,0.74,-0.41,-1.0
2025-03-31/2025-04-06,5.0,60.0,-0.011,0.817,1.34,-0.03,-0.1,1550.0,0.65,-1.0,-2.0
2025-04-07/2025-04-13,8.0,75.0,0.287,0.802,2.46,0.7,2.3,11688.0,0.72,-1.0,-2.0
2025-04-14/2025-04-20,2.0,100.0,0.502,0.237,inf,4.15,1.0,2838.0,0.5,,0.0
2025-04-21/2025-04-27,8.0,37.5,-0.228,0.559,0.8,-0.8,-1.8,-900.0,0.62,-0.73,-1.7
2025-04-28/2025-05-04,5.0,100.0,0.565,0.713,inf,1.55,2.8,4012.0,0.56,,0.0
2025-05-05/2025-05-11,3.0,66.7,0.928,1.893,2.81,0.96,2.8,2200.0,1.89,-1.0,0.0
2025-05-12/2025-05-18,2.0,50.0,-0.314,1.345,0.46,-0.46,-0.6,-462.0,0.37,-1.0,0.0
2025-05-19/2025-05-25,4.0,25.0,0.187,0.701,1.34,0.52,0.7,325.0,1.26,-0.17,-0.4
2025-05-26/2025-06-01,4.0,50.0,0.068,0.964,0.79,0.14,0.3,-550.0,0.9,-0.77,-1.5
2025-06-02/2025-06-08,3.0,100.0,0.52,0.494,inf,2.06,1.6,1275.0,0.52,,0.0
2025-06-09/2025-06-15,3.0,100.0,0.619,0.238,inf,5.1,1.9,2688.0,0.62,,0.0
2025-06-16/2025-06-22,1.0,100.0,0.14,,inf,,0.1,375.0,0.14,,0.0
2025-06-23/2025-06-29,3.0,66.7,0.643,1.351,8.86,0.93,1.9,1375.0,1.09,-0.25,0.0
2025-06-30/2025-07-06,5.0,40.0,-0.296,0.487,0.33,-1.19,-1.5,-1075.0,0.26,-0.67,-1.0
2025-07-07/2025-07-13,5.0,80.0,0.352,0.43,5.84,1.6,1.8,1150.0,0.52,-0.31,0.0
2025-07-14/2025-07-20,5.0,80.0,0.151,0.379,2.21,0.78,0.8,425.0,0.33,-0.57,-0.6
2025-07-21/2025-07-27,3.0,66.7,0.309,0.978,1.86,0.62,0.9,300.0,0.72,-0.52,-0.5
2025-07-28/2025-08-03,7.0,57.1,0.141,0.81,1.8,0.34,1.0,1488.0,0.9,-0.87,-1.0
2025-08-04/2025-08-10,8.0,62.5,0.107,0.67,1.64,0.31,0.9,1300.0,0.77,-1.0,-2.0
2025-08-11/2025-08-17,7.0,71.4,0.64,0.72,9.36,1.74,4.5,2925.0,0.97,-0.19,-0.3
2025-08-25/2025-08-31,3.0,33.3,-0.372,0.72,0.07,-1.01,-1.1,-1588.0,0.27,-0.69,-0.4
2025-09-01/2025-09-07,4.0,75.0,0.036,0.704,2.44,0.1,0.1,812.0,0.38,-1.0,-1.0
2025-09-08/2025-09-14,4.0,50.0,0.308,0.68,2.74,0.89,1.2,588.0,0.8,-0.19,-0.4
2025-09-15/2025-09-21,7.0,28.6,-0.288,0.385,0.13,-1.47,-2.0,-1825.0,0.21,-0.49,-2.4
2025-09-22/2025-09-28,5.0,60.0,0.447,0.45,26.75,1.95,2.2,2575.0,0.81,-0.1,-0.0
2025-09-29/2025-10-05,5.0,60.0,0.121,0.691,1.86,0.34,0.6,775.0,0.66,-0.68,-1.0
2025-10-06/2025-10-12,4.0,50.0,0.197,0.578,18.15,0.67,0.8,5575.0,0.56,-0.16,-0.3
2025-10-13/2025-10-19,1.0,100.0,0.056,,inf,,0.1,188.0,0.06,,0.0
2025-10-20/2025-10-26,3.0,66.7,0.936,1.162,53.2,1.58,2.8,3262.0,1.43,-0.05,-0.0
2025-10-27/2025-11-02,5.0,40.0,0.032,1.039,0.4,0.06,0.2,-2188.0,1.19,-0.74,-2.2
2025-11-03/2025-11-09,5.0,100.0,0.888,0.731,inf,2.38,4.4,4638.0,0.89,,0.0
2025-11-10/2025-11-16,8.0,87.5,0.567,0.403,9.34,2.76,4.5,7088.0,0.71,-0.43,-0.4
2025-11-17/2025-11-23,6.0,50.0,-0.172,0.574,0.49,-0.59,-1.0,-2512.0,0.39,-0.73,-2.2
2025-11-24/2025-11-30,3.0,66.7,0.004,0.709,0.82,0.01,0.0,-175.0,0.35,-0.69,0.0
2025-12-01/2025-12-07,5.0,60.0,0.22,0.402,5.29,1.07,1.1,1500.0,0.47,-0.15,-0.1
2025-12-08/2025-12-14,4.0,50.0,0.472,1.108,5.58,0.83,1.9,3262.0,1.32,-0.37,-0.5
