W,n,win%,expR,CIR,PF,SQN,totR,net$,avgW_R,avgL_R,maxDD_R
2021-11-08/2021-11-14,10.0,50.0,-0.044,0.341,0.8,-0.25,-0.4,-288.0,0.37,-0.46,-1.3
2021-11-15/2021-11-21,1.0,0.0,-0.224,,0.0,,-0.2,-138.0,,-0.22,0.0
2021-11-29/2021-12-05,1.0,100.0,0.822,,inf,,0.8,1100.0,0.82,,0.0
2021-12-06/2021-12-12,1.0,100.0,1.0,,inf,,1.0,650.0,1.0,,0.0
2021-12-13/2021-12-19,9.0,66.7,0.338,0.46,4.9,1.44,3.0,4238.0,0.68,-0.34,-1.0
2021-12-20/2021-12-26,4.0,50.0,-0.126,0.842,0.71,-0.29,-0.5,-500.0,0.51,-0.76,-1.5
2021-12-27/2022-01-02,6.0,50.0,0.0,0.877,1.28,0.0,0.0,388.0,1.0,-1.0,-3.0
2022-01-03/2022-01-09,4.0,100.0,0.382,0.43,inf,1.74,1.5,1262.0,0.38,,0.0
2022-01-10/2022-01-16,2.0,50.0,0.0,1.96,1.09,0.0,0.0,175.0,1.0,-1.0,0.0
2022-01-17/2022-01-23,5.0,100.0,0.968,0.063,inf,29.95,4.8,6462.0,0.97,,0.0
2022-01-24/2022-01-30,8.0,87.5,0.693,0.263,223.8,5.17,5.5,13925.0,0.79,-0.02,-0.0
2022-01-31/2022-02-06,4.0,50.0,-0.119,1.015,1.34,-0.23,-0.5,812.0,0.76,-1.0,-2.0
2022-02-07/2022-02-13,7.0,57.1,0.085,0.599,1.4,0.28,0.6,1288.0,0.69,-0.72,-1.8
2022-02-14/2022-02-20,4.0,50.0,-0.062,0.677,0.66,-0.18,-0.2,-575.0,0.42,-0.54,-1.1
2022-02-21/2022-02-27,7.0,71.4,0.334,0.698,2.85,0.94,2.3,6188.0,0.87,-1.0,-1.0
2022-02-28/2022-03-06,7.0,85.7,0.336,0.37,2.83,1.78,2.4,3812.0,0.5,-0.64,-0.6
2022-03-07/2022-03-13,2.0,100.0,0.379,0.252,inf,2.94,0.8,2375.0,0.38,,0.0
2022-03-14/2022-03-20,4.0,75.0,0.391,0.931,2.54,0.82,1.6,2000.0,0.85,-1.0,-1.0
2022-03-21/2022-03-27,5.0,80.0,0.252,0.661,2.26,0.75,1.3,1325.0,0.57,-1.0,-1.0
2022-03-28/2022-04-03,2.0,50.0,0.423,1.13,3.0,0.73,0.8,525.0,1.0,-0.15,-0.2
2022-04-04/2022-04-10,6.0,50.0,-0.02,0.531,0.65,-0.07,-0.1,-712.0,0.46,-0.5,-0.3
2022-04-11/2022-04-17,5.0,60.0,0.108,0.902,1.32,0.24,0.5,538.0,0.85,-1.0,-2.0
2022-04-18/2022-04-24,10.0,40.0,-0.145,0.52,0.69,-0.55,-1.5,-2075.0,0.73,-0.73,-2.2
2022-04-25/2022-05-01,9.0,77.8,0.47,0.511,4.0,1.8,4.2,8362.0,0.84,-0.83,-1.0
2022-05-02/2022-05-08,8.0,75.0,0.399,0.52,3.17,1.5,3.2,7938.0,0.75,-0.65,-0.3
2022-05-09/2022-05-15,3.0,33.3,0.082,0.617,1.47,0.26,0.2,475.0,0.69,-0.22,-0.1
2022-05-16/2022-05-22,6.0,66.7,0.503,0.526,5.44,1.87,3.0,5775.0,0.91,-0.32,-0.1
2022-05-23/2022-05-29,4.0,25.0,-0.5,0.98,0.21,-1.0,-2.0,-3825.0,1.0,-1.0,-2.0
2022-05-30/2022-06-05,4.0,75.0,0.354,0.445,23.0,1.56,1.4,1925.0,0.49,-0.06,0.0
2022-06-06/2022-06-12,5.0,60.0,-0.001,0.667,1.2,-0.0,-0.0,412.0,0.48,-0.73,-1.5
2022-06-13/2022-06-19,9.0,55.6,0.21,0.548,2.34,0.75,1.9,4062.0,0.82,-0.55,-1.0
2022-06-20/2022-06-26,3.0,66.7,0.09,1.145,1.07,0.15,0.3,112.0,0.64,-1.0,-1.0
2022-06-27/2022-07-03,6.0,66.7,0.361,0.517,2.98,1.37,2.2,2700.0,0.73,-0.37,-0.5
2022-07-04/2022-07-10,5.0,80.0,0.427,0.73,1.93,1.15,2.1,1450.0,0.78,-1.0,-1.0
2022-07-11/2022-07-17,2.0,100.0,0.535,0.912,inf,1.15,1.1,1112.0,0.53,,0.0
2022-07-18/2022-07-24,5.0,100.0,0.826,0.341,inf,4.74,4.1,4712.0,0.83,,0.0
2022-07-25/2022-07-31,2.0,50.0,-0.383,1.209,1.28,-0.62,-0.8,188.0,0.23,-1.0,0.0
2022-08-01/2022-08-07,4.0,100.0,0.287,0.219,inf,2.56,1.1,1300.0,0.29,,0.0
2022-08-08/2022-08-14,7.0,57.1,0.12,0.535,1.19,0.44,0.8,288.0,0.58,-0.49,-1.5
2022-08-15/2022-08-21,4.0,50.0,0.029,0.891,1.45,0.06,0.1,350.0,0.77,-0.72,-1.4
2022-08-22/2022-08-28,7.0,71.4,0.374,0.586,8.16,1.25,2.6,5638.0,0.81,-0.71,-1.0
2022-08-29/2022-09-04,8.0,87.5,0.306,0.378,3.98,1.58,2.4,3238.0,0.45,-0.69,-0.7
2022-09-05/2022-09-11,2.0,50.0,-0.038,0.494,1.35,-0.15,-0.1,88.0,0.21,-0.29,-0.3
2022-09-12/2022-09-18,5.0,80.0,0.439,0.768,4.94,1.12,2.2,3788.0,0.8,-1.0,-1.0
2022-09-19/2022-09-25,3.0,0.0,-0.833,0.327,0.0,-5.0,-2.5,-2912.0,,-0.83,-1.5
2022-09-26/2022-10-02,5.0,80.0,0.548,0.557,7.57,1.93,2.7,5662.0,0.77,-0.33,0.0
2022-10-03/2022-10-09,6.0,33.3,-0.058,0.721,0.84,-0.16,-0.3,-438.0,1.0,-0.59,-2.3
2022-10-10/2022-10-16,4.0,50.0,0.04,0.302,1.88,0.26,0.2,538.0,0.3,-0.22,-0.3
2022-10-17/2022-10-23,9.0,55.6,0.094,0.469,1.25,0.39,0.8,888.0,0.64,-0.59,-2.4
2022-10-24/2022-10-30,4.0,75.0,-0.116,0.593,0.67,-0.38,-0.5,-288.0,0.18,-1.0,-1.0
2022-10-31/2022-11-06,5.0,100.0,0.586,0.334,inf,3.44,2.9,2800.0,0.59,,0.0
2022-11-07/2022-11-13,6.0,83.3,0.156,0.529,3.37,0.58,0.9,2400.0,0.39,-1.0,-1.0
2022-11-14/2022-11-20,4.0,50.0,0.169,0.978,1.35,0.34,0.7,488.0,1.0,-0.66,-1.0
2022-11-21/2022-11-27,2.0,50.0,-0.178,0.554,0.12,-0.63,-0.4,-450.0,0.1,-0.46,0.0
2022-11-28/2022-12-04,2.0,100.0,0.542,0.898,inf,1.18,1.1,725.0,0.54,,0.0
2022-12-05/2022-12-11,1.0,0.0,-0.02,,0.0,,-0.0,-25.0,,-0.02,0.0
2022-12-12/2022-12-18,4.0,75.0,0.502,0.589,7.44,1.67,2.0,2012.0,0.74,-0.21,-0.2
2022-12-19/2022-12-25,7.0,71.4,0.267,0.542,2.5,0.96,1.9,2188.0,0.64,-0.68,-1.0
2022-12-26/2023-01-01,3.0,66.7,0.338,0.725,4.82,0.91,1.0,812.0,0.65,-0.28,0.0
2023-01-02/2023-01-08,6.0,66.7,0.35,0.486,3.18,1.41,2.1,2100.0,0.67,-0.29,-0.5
2023-01-09/2023-01-15,4.0,75.0,0.473,0.708,1.7,1.31,1.9,812.0,0.81,-0.53,-0.5
2023-01-16/2023-01-22,3.0,66.7,0.238,0.81,4.33,0.58,0.7,1000.0,0.57,-0.42,0.0
2023-01-30/2023-02-05,4.0,25.0,-0.053,0.372,2.32,-0.28,-0.2,1288.0,0.41,-0.21,-0.5
2023-02-06/2023-02-12,4.0,25.0,-0.001,0.702,1.04,-0.0,-0.0,50.0,1.0,-0.34,-0.6
2023-02-13/2023-02-19,5.0,80.0,0.413,0.722,2.68,1.12,2.1,2250.0,0.77,-1.0,-1.0
2023-02-20/2023-02-26,5.0,100.0,0.348,0.327,inf,2.08,1.7,1562.0,0.35,,0.0
2023-02-27/2023-03-05,5.0,40.0,-0.084,0.546,0.75,-0.3,-0.4,-225.0,0.4,-0.41,-0.1
2023-03-06/2023-03-12,8.0,75.0,0.398,0.355,11.71,2.2,3.2,4688.0,0.57,-0.13,-0.2
2023-03-13/2023-03-19,2.0,100.0,1.0,0.0,inf,,2.0,4162.0,1.0,,0.0
2023-03-20/2023-03-26,5.0,80.0,0.613,0.53,13.11,2.27,3.1,5750.0,0.86,-0.38,0.0
2023-03-27/2023-04-02,5.0,60.0,-0.029,0.722,0.98,-0.08,-0.1,-25.0,0.53,-0.86,-1.0
2023-04-03/2023-04-09,4.0,100.0,0.629,0.422,inf,2.92,2.5,2400.0,0.63,,0.0
2023-04-10/2023-04-16,7.0,42.9,-0.235,0.583,0.81,-0.79,-1.6,-412.0,0.47,-0.77,-2.1
2023-04-17/2023-04-23,3.0,33.3,-0.605,0.775,0.13,-1.53,-1.8,-1100.0,0.19,-1.0,-1.0
2023-04-24/2023-04-30,3.0,66.7,0.235,0.9,0.86,0.51,0.7,-200.0,0.65,-0.59,-0.6
2023-05-08/2023-05-14,4.0,50.0,0.01,0.835,1.36,0.02,0.0,200.0,0.66,-0.64,-1.0
2023-05-15/2023-05-21,3.0,100.0,0.524,0.526,inf,1.95,1.6,1350.0,0.52,,0.0
2023-05-22/2023-05-28,5.0,80.0,0.422,0.582,4.78,1.42,2.1,1750.0,0.7,-0.67,-0.7
2023-05-29/2023-06-04,5.0,60.0,-0.013,0.53,1.11,-0.05,-0.1,75.0,0.34,-0.54,-1.0
2023-06-05/2023-06-11,4.0,75.0,0.425,0.782,3.17,1.07,1.7,1275.0,0.8,-0.69,-0.7
2023-06-12/2023-06-18,5.0,60.0,0.229,0.736,2.58,0.61,1.1,1188.0,0.75,-0.56,-1.0
2023-06-19/2023-06-25,3.0,0.0,-0.525,0.467,0.0,-2.2,-1.6,-1112.0,,-0.52,-1.3
2023-06-26/2023-07-02,4.0,50.0,0.106,0.879,1.87,0.24,0.4,738.0,0.82,-0.61,-1.2
2023-07-03/2023-07-09,2.0,100.0,0.543,0.895,inf,1.19,1.1,662.0,0.54,,0.0
2023-07-10/2023-07-16,7.0,57.1,0.222,0.674,2.08,0.65,1.6,1288.0,0.89,-0.67,-1.0
2023-07-17/2023-07-23,6.0,66.7,0.193,0.784,1.35,0.48,1.2,338.0,0.79,-1.0,-1.0
2023-07-24/2023-07-30,6.0,66.7,-0.049,0.642,1.05,-0.15,-0.3,50.0,0.43,-1.0,-1.0
2023-07-31/2023-08-06,11.0,72.7,0.33,0.469,2.41,1.38,3.6,2112.0,0.75,-0.79,-1.4
2023-08-07/2023-08-13,4.0,75.0,0.572,0.503,49.0,2.23,2.3,1800.0,0.77,-0.03,-0.0
2023-08-14/2023-08-20,6.0,83.3,0.4,0.583,2.6,1.35,2.4,1862.0,0.64,-0.78,-0.8
2023-08-21/2023-08-27,9.0,77.8,0.115,0.456,1.28,0.49,1.0,575.0,0.43,-1.0,-1.0
2023-08-28/2023-09-03,5.0,40.0,0.05,0.41,0.95,0.24,0.2,-38.0,0.53,-0.27,-0.8
2023-09-04/2023-09-10,6.0,50.0,-0.084,0.635,1.17,-0.26,-0.5,200.0,0.53,-0.7,-2.0
2023-09-11/2023-09-17,6.0,50.0,0.195,0.639,1.78,0.6,1.2,538.0,0.86,-0.47,-1.0
2023-09-18/2023-09-24,4.0,75.0,0.5,0.98,1.9,1.0,2.0,975.0,1.0,-1.0,-1.0
2023-09-25/2023-10-01,8.0,62.5,0.31,0.49,2.54,1.24,2.5,2212.0,0.73,-0.4,-1.0
2023-10-02/2023-10-08,5.0,60.0,0.324,0.425,8.09,1.49,1.6,1950.0,0.63,-0.13,-0.3
2023-10-09/2023-10-15,3.0,66.7,0.123,1.157,1.21,0.21,0.4,188.0,0.68,-1.0,-1.0
2023-10-16/2023-10-22,3.0,66.7,-0.01,0.981,2.95,-0.02,-0.0,1850.0,0.48,-1.0,0.0
2023-10-23/2023-10-29,5.0,60.0,-0.154,0.747,0.57,-0.4,-0.8,-1112.0,0.41,-1.0,-2.0
2023-10-30/2023-11-05,3.0,100.0,0.809,0.375,inf,4.22,2.4,1675.0,0.81,,0.0
2023-11-06/2023-11-12,1.0,100.0,1.0,,inf,,1.0,1150.0,1.0,,0.0
2023-11-13/2023-11-19,6.0,83.3,0.356,0.595,3.77,1.17,2.1,1662.0,0.63,-1.0,-1.0
2023-11-20/2023-11-26,2.0,50.0,-0.022,0.301,0.5,-0.14,-0.0,-62.0,0.13,-0.18,0.0
2023-11-27/2023-12-03,8.0,87.5,0.387,0.47,5.14,1.61,3.1,2638.0,0.59,-1.0,-1.0
2023-12-04/2023-12-10,5.0,80.0,0.556,0.548,5.5,1.99,2.8,1688.0,0.77,-0.31,-0.3
2023-12-11/2023-12-17,2.0,50.0,-0.22,0.68,0.47,-0.63,-0.4,-112.0,0.13,-0.57,0.0
2023-12-18/2023-12-24,9.0,88.9,0.443,0.41,2.56,2.12,4.0,2100.0,0.62,-1.0,-1.0
2023-12-25/2023-12-31,2.0,50.0,-0.346,1.282,0.29,-0.53,-0.7,-600.0,0.31,-1.0,0.0
2024-01-01/2024-01-07,6.0,66.7,0.251,0.64,2.38,0.77,1.5,1262.0,0.72,-0.69,-1.0
2024-01-08/2024-01-14,4.0,0.0,-0.361,0.437,0.0,-1.62,-1.4,-1012.0,,-0.36,-1.3
2024-01-15/2024-01-21,8.0,75.0,0.262,0.539,2.33,0.95,2.1,1612.0,0.63,-0.85,-1.0
2024-01-22/2024-01-28,3.0,66.7,-0.064,0.919,0.6,-0.14,-0.2,-400.0,0.4,-1.0,-1.0
2024-01-29/2024-02-04,5.0,80.0,0.348,0.717,3.9,0.95,1.7,1525.0,0.69,-1.0,-1.0
2024-02-05/2024-02-11,6.0,50.0,-0.067,0.717,1.06,-0.18,-0.4,75.0,0.73,-0.86,-1.6
2024-02-12/2024-02-18,10.0,70.0,0.319,0.585,1.54,1.07,3.2,1625.0,0.88,-1.0,-1.0
2024-02-19/2024-02-25,4.0,50.0,0.065,1.063,1.06,0.12,0.3,88.0,1.0,-0.87,-0.7
2024-02-26/2024-03-03,1.0,100.0,1.0,,inf,,1.0,350.0,1.0,,0.0
2024-03-04/2024-03-10,8.0,87.5,0.583,0.49,10.31,2.33,4.7,6050.0,0.81,-1.0,-1.0
2024-03-11/2024-03-17,6.0,50.0,0.144,0.617,1.65,0.46,0.9,1138.0,0.82,-0.53,-0.6
2024-03-18/2024-03-24,5.0,60.0,0.01,0.828,1.26,0.02,0.1,300.0,0.68,-1.0,-2.0
2024-03-25/2024-03-31,3.0,66.7,0.333,1.307,2.19,0.5,1.0,538.0,1.0,-1.0,-1.0
2024-04-01/2024-04-07,6.0,50.0,0.038,0.725,0.89,0.1,0.2,-162.0,0.78,-0.7,-2.0
2024-04-08/2024-04-14,8.0,75.0,0.079,0.383,2.14,0.41,0.6,1288.0,0.3,-0.58,-1.0
2024-04-15/2024-04-21,9.0,55.6,0.201,0.556,1.91,0.71,1.8,2825.0,0.83,-0.59,-1.0
2024-04-22/2024-04-28,7.0,85.7,0.748,0.359,23.85,4.08,5.2,5712.0,0.92,-0.27,-0.3
2024-04-29/2024-05-05,5.0,80.0,0.49,0.483,22.0,1.99,2.4,4462.0,0.68,-0.27,-0.3
2024-05-06/2024-05-12,2.0,50.0,0.004,0.4,0.91,0.02,0.0,-12.0,0.21,-0.2,0.0
2024-05-13/2024-05-19,2.0,50.0,0.0,1.96,0.69,0.0,0.0,-188.0,1.0,-1.0,-1.0
2024-05-20/2024-05-26,7.0,42.9,-0.005,0.608,0.72,-0.02,-0.0,-575.0,0.71,-0.54,-1.2
2024-05-27/2024-06-02,3.0,66.7,0.283,1.261,1.43,0.44,0.8,350.0,0.92,-1.0,0.0
2024-06-03/2024-06-09,8.0,50.0,0.148,0.518,1.94,0.56,1.2,1938.0,0.83,-0.53,-1.4
2024-06-10/2024-06-16,4.0,50.0,-0.292,0.674,0.59,-0.85,-1.2,-562.0,0.3,-0.88,-1.8
2024-06-17/2024-06-23,7.0,57.1,0.155,0.608,0.93,0.5,1.1,-138.0,0.73,-0.61,-1.1
2024-06-24/2024-06-30,3.0,66.7,0.113,1.002,1.77,0.22,0.3,450.0,0.55,-0.77,-0.8
2024-07-01/2024-07-07,4.0,75.0,0.323,0.464,13.5,1.36,1.3,625.0,0.46,-0.08,-0.1
2024-07-08/2024-07-14,5.0,60.0,0.14,0.771,3.65,0.36,0.7,1888.0,0.71,-0.71,-1.0
2024-07-15/2024-07-21,7.0,71.4,0.402,0.599,6.12,1.31,2.8,5438.0,0.81,-0.62,-1.2
2024-07-22/2024-07-28,6.0,100.0,1.0,0.0,inf,,6.0,9000.0,1.0,,0.0
2024-07-29/2024-08-04,5.0,40.0,0.038,0.675,0.59,0.11,0.2,-1088.0,0.77,-0.45,-0.4
2024-08-05/2024-08-11,7.0,71.4,0.47,0.577,5.26,1.6,3.3,7825.0,0.88,-0.56,-1.0
2024-08-12/2024-08-18,2.0,50.0,-0.425,1.127,0.24,-0.74,-0.9,-750.0,0.15,-1.0,-1.0
2024-08-19/2024-08-25,2.0,50.0,0.074,0.146,inf,1.0,0.1,188.0,0.15,0.0,0.0
2024-08-26/2024-09-01,7.0,57.1,0.163,0.67,1.08,0.48,1.1,262.0,0.82,-0.71,-2.0
2024-09-02/2024-09-08,4.0,50.0,0.267,0.493,9.21,1.06,1.1,1438.0,0.59,-0.06,-0.1
2024-09-09/2024-09-15,5.0,80.0,0.499,0.493,6.47,1.98,2.5,3212.0,0.71,-0.35,0.0
2024-09-16/2024-09-22,4.0,25.0,-0.262,0.691,0.99,-0.74,-1.0,-25.0,0.61,-0.55,-0.7
2024-09-23/2024-09-29,3.0,66.7,0.646,0.694,23.8,1.82,1.9,1425.0,1.0,-0.06,-0.1
2024-09-30/2024-10-06,4.0,75.0,0.378,0.482,22.42,1.54,1.5,3212.0,0.56,-0.16,-0.2
2024-10-07/2024-10-13,2.0,50.0,0.0,1.96,0.66,0.0,0.0,-262.0,1.0,-1.0,0.0
2024-10-14/2024-10-20,1.0,0.0,-0.669,,0.0,,-0.7,-1038.0,,-0.67,0.0
2024-10-21/2024-10-27,3.0,100.0,0.602,0.398,inf,2.97,1.8,1588.0,0.6,,0.0
2024-10-28/2024-11-03,2.0,100.0,0.58,0.823,inf,1.38,1.2,1188.0,0.58,,0.0
2024-11-04/2024-11-10,4.0,25.0,-0.515,0.569,0.05,-1.77,-2.1,-2512.0,0.16,-0.74,-1.2
2024-11-11/2024-11-17,4.0,50.0,0.25,0.938,2.18,0.52,1.0,1050.0,1.0,-0.5,0.0
2024-11-18/2024-11-24,6.0,66.7,0.333,0.506,1.89,1.29,2.0,2050.0,0.67,-0.34,-0.7
2024-11-25/2024-12-01,6.0,50.0,0.117,0.478,1.64,0.48,0.7,525.0,0.59,-0.35,-0.8
2024-12-02/2024-12-08,7.0,42.9,-0.328,0.616,0.44,-1.05,-2.3,-1250.0,0.52,-0.96,-3.4
2024-12-09/2024-12-15,5.0,60.0,0.061,0.639,1.07,0.19,0.3,88.0,0.55,-0.67,-0.8
2024-12-16/2024-12-22,6.0,50.0,0.032,0.585,1.02,0.11,0.2,50.0,0.59,-0.52,-1.0
2024-12-23/2024-12-29,1.0,100.0,0.258,,inf,,0.3,300.0,0.26,,0.0
2024-12-30/2025-01-05,9.0,66.7,0.186,0.51,1.76,0.71,1.7,3325.0,0.61,-0.67,-1.0
2025-01-06/2025-01-12,3.0,100.0,0.53,0.244,inf,4.25,1.6,3800.0,0.53,,0.0
2025-01-13/2025-01-19,7.0,71.4,0.505,0.604,2.32,1.64,3.5,2862.0,0.97,-0.65,-1.0
2025-01-20/2025-01-26,3.0,66.7,0.333,1.307,1.19,0.5,1.0,225.0,1.0,-1.0,0.0
2025-01-27/2025-02-02,5.0,80.0,0.246,0.53,3.17,0.91,1.2,2362.0,0.48,-0.67,-0.7
2025-02-03/2025-02-09,5.0,80.0,0.627,0.576,12.33,2.13,3.1,4250.0,0.91,-0.52,-0.5
2025-02-10/2025-02-16,4.0,100.0,0.671,0.454,inf,2.9,2.7,2788.0,0.67,,0.0
2025-02-17/2025-02-23,4.0,75.0,0.575,0.509,54.0,2.21,2.3,2650.0,0.79,-0.06,-0.1
2025-02-24/2025-03-02,2.0,100.0,0.508,0.964,inf,1.03,1.0,1388.0,0.51,,0.0
2025-03-03/2025-03-09,3.0,66.7,0.657,0.672,67.71,1.91,2.0,5838.0,1.0,-0.03,-0.0
2025-03-10/2025-03-16,7.0,71.4,0.338,0.378,9.71,1.76,2.4,6100.0,0.53,-0.14,-0.2
2025-03-17/2025-03-23,8.0,50.0,0.019,0.643,0.78,0.06,0.1,-1250.0,0.8,-0.76,-2.0
2025-03-24/2025-03-30,8.0,50.0,0.22,0.488,2.69,0.88,1.8,3438.0,0.85,-0.41,-1.0
2025-03-31/2025-04-06,5.0,60.0,0.124,0.91,1.62,0.27,0.6,2800.0,0.87,-1.0,-2.0
2025-04-07/2025-04-13,8.0,75.0,0.037,0.526,1.34,0.14,0.3,2738.0,0.38,-1.0,-2.0
2025-04-14/2025-04-20,2.0,100.0,1.0,0.0,inf,,2.0,5475.0,1.0,,0.0
2025-04-21/2025-04-27,8.0,62.5,0.231,0.62,2.09,0.73,1.8,3212.0,0.81,-0.73,-1.0
2025-04-28/2025-05-04,5.0,100.0,0.482,0.418,inf,2.26,2.4,3038.0,0.48,,0.0
2025-05-05/2025-05-11,3.0,66.7,0.333,1.307,1.51,0.5,1.0,612.0,1.0,-1.0,0.0
2025-05-12/2025-05-18,2.0,50.0,-0.314,1.345,0.46,-0.46,-0.6,-462.0,0.37,-1.0,0.0
2025-05-19/2025-05-25,4.0,25.0,0.123,0.576,1.06,0.42,0.5,62.0,1.0,-0.17,-0.4
2025-05-26/2025-06-01,4.0,50.0,0.116,1.017,0.88,0.22,0.5,-312.0,1.0,-0.77,-1.5
2025-06-02/2025-06-08,3.0,100.0,0.672,0.643,inf,2.05,2.0,1650.0,0.67,,0.0
2025-06-09/2025-06-15,3.0,100.0,0.798,0.395,inf,3.96,2.4,3412.0,0.8,,0.0
2025-06-16/2025-06-22,1.0,100.0,0.14,,inf,,0.1,375.0,0.14,,0.0
2025-06-23/2025-06-29,3.0,66.7,0.31,0.717,4.93,0.85,0.9,688.0,0.59,-0.25,0.0
2025-06-30/2025-07-06,5.0,40.0,-0.172,0.676,0.81,-0.5,-0.9,-300.0,0.57,-0.67,-1.0
2025-07-07/2025-07-13,5.0,80.0,0.434,0.494,7.47,1.72,2.2,1538.0,0.62,-0.31,0.0
2025-07-14/2025-07-20,5.0,80.0,0.247,0.497,3.0,0.97,1.2,700.0,0.45,-0.57,-0.6
2025-07-21/2025-07-27,3.0,66.7,0.24,0.859,1.61,0.55,0.7,212.0,0.62,-0.52,-0.5
2025-07-28/2025-08-03,7.0,71.4,0.33,0.611,2.41,1.06,2.3,1988.0,0.78,-0.81,-1.0
2025-08-04/2025-08-10,8.0,62.5,0.161,0.674,1.7,0.47,1.3,1425.0,0.86,-1.0,-2.0
2025-08-11/2025-08-17,7.0,71.4,0.406,0.425,6.61,1.87,2.8,1962.0,0.64,-0.19,-0.3
2025-08-25/2025-08-31,3.0,33.3,-0.13,1.16,0.24,-0.22,-0.4,-1288.0,1.0,-0.69,-0.4
2025-09-01/2025-09-07,4.0,75.0,0.036,0.704,2.44,0.1,0.1,812.0,0.38,-1.0,-1.0
2025-09-08/2025-09-14,4.0,50.0,0.238,0.554,2.3,0.84,1.0,438.0,0.66,-0.19,-0.4
2025-09-15/2025-09-21,7.0,42.9,-0.003,0.449,0.68,-0.01,-0.0,-450.0,0.47,-0.36,-1.4
2025-09-22/2025-09-28,5.0,80.0,0.655,0.43,43.86,2.99,3.3,3750.0,0.87,-0.19,0.0
2025-09-29/2025-10-05,5.0,60.0,0.2,0.768,2.26,0.51,1.0,1138.0,0.79,-0.68,-1.0
2025-10-06/2025-10-12,4.0,50.0,0.185,0.555,17.35,0.65,0.7,5312.0,0.53,-0.16,-0.3
2025-10-13/2025-10-19,1.0,100.0,0.056,,inf,,0.1,188.0,0.06,,0.0
2025-10-20/2025-10-26,3.0,66.7,0.65,0.685,37.0,1.86,2.0,2250.0,1.0,-0.05,-0.0
2025-10-27/2025-11-02,5.0,40.0,-0.128,0.796,0.29,-0.31,-0.6,-2588.0,0.79,-0.74,-2.2
2025-11-03/2025-11-09,5.0,100.0,0.685,0.395,inf,3.4,3.4,4800.0,0.69,,0.0
2025-11-10/2025-11-16,8.0,87.5,0.506,0.346,8.29,2.86,4.0,6200.0,0.64,-0.43,-0.4
2025-11-17/2025-11-23,6.0,50.0,-0.073,0.674,0.76,-0.21,-0.4,-1162.0,0.58,-0.73,-2.2
2025-11-24/2025-11-30,3.0,66.7,0.004,0.709,0.82,0.01,0.0,-175.0,0.35,-0.69,0.0
2025-12-01/2025-12-07,5.0,60.0,0.229,0.418,5.43,1.07,1.1,1550.0,0.48,-0.15,-0.1
2025-12-08/2025-12-14,4.0,50.0,0.313,0.786,4.82,0.78,1.3,2725.0,1.0,-0.37,-0.5
2025-12-15/2025-12-21,7.0,57.1,0.334,0.515,5.25,1.27,2.3,4300.0,0.85,-0.35,-0.7
