population,timeframe,keep_ER_gt,N,pct_kept,win_pct,exp_R,exp_usd,PF,net_usd,maxdd_usd,pnl_dd
CC1,ER15,0.3,126,96.9,51.6,0.086,174.3,1.522,21958.0,-9658.0,2.27
CC1,ER15,0.4,121,93.1,51.2,0.081,179.4,1.553,21708.0,-9658.0,2.25
CC1,ER15,0.5,110,84.6,53.6,0.127,229.3,1.759,25225.0,-7758.0,3.25
CC1,ER15,0.6,100,76.9,55.0,0.15,249.2,1.847,24925.0,-6655.0,3.75
CC1,ER15,0.7,87,66.9,54.0,0.15,248.6,1.804,21628.0,-6338.0,3.41
CC1,ER15,0.8,77,59.2,57.1,0.195,292.4,1.996,22515.0,-5925.0,3.8
CC1,ER15,0.9,60,46.2,58.3,0.188,271.7,1.942,16300.0,-6555.0,2.49
CC1,ER30,0.0,130,100.0,52.3,0.098,189.4,1.573,24625.0,-9658.0,2.55
CC1,ER30,0.1,127,97.7,52.0,0.098,188.3,1.565,23915.0,-9198.0,2.6
CC1,ER30,0.2,119,91.5,52.1,0.105,196.9,1.61,23430.0,-7600.0,3.08
CC1,ER30,0.3,106,81.5,53.8,0.106,206.1,1.638,21845.0,-7365.0,2.97
CC1,ER30,0.4,95,73.1,53.7,0.099,205.8,1.621,19550.0,-9292.0,2.1
CC1,ER30,0.5,77,59.2,55.8,0.127,248.9,1.761,19165.0,-7940.0,2.41
CC1,ER30,0.6,68,52.3,57.4,0.145,274.4,1.868,18660.0,-9208.0,2.03
CC1,ER30,0.7,44,33.8,52.3,0.059,126.2,1.338,5555.0,-6158.0,0.9
CC1,ER30,0.8,22,16.9,36.4,-0.269,-191.4,0.64,-4210.0,-8950.0,-0.47
CC1,ER30,0.9,10,7.7,30.0,-0.363,-350.0,0.255,-3500.0,-3478.0,-1.01
CC1,ER45,0.0,129,99.2,51.9,0.091,182.8,1.549,23580.0,-9658.0,2.44
CC1,ER45,0.1,123,94.6,52.8,0.106,192.5,1.577,23672.0,-8940.0,2.65
CC1,ER45,0.2,110,84.6,51.8,0.089,160.9,1.458,17700.0,-9440.0,1.88
CC1,ER45,0.3,91,70.0,52.7,0.093,185.4,1.555,16870.0,-9092.0,1.86
CC1,ER45,0.4,77,59.2,55.8,0.121,185.1,1.552,14252.0,-8035.0,1.77
CC1,ER45,0.5,56,43.1,55.4,0.102,188.5,1.533,10558.0,-6638.0,1.59
CC1,ER45,0.6,37,28.5,48.6,-0.011,65.3,1.152,2415.0,-8850.0,0.27
CC1,ER45,0.7,22,16.9,54.5,0.099,149.0,1.39,3278.0,-3520.0,0.93
CC1,ER45,0.8,11,8.5,63.6,0.222,276.8,1.904,3045.0,-2440.0,1.25
CC1,ER45,0.9,4,3.1,75.0,0.124,173.1,1.6,692.0,-1155.0,0.6
CC1,ER60,0.0,130,100.0,52.3,0.098,189.4,1.573,24625.0,-9658.0,2.55
CC1,ER60,0.1,111,85.4,52.3,0.111,193.9,1.593,21520.0,-9040.0,2.38
CC1,ER60,0.2,97,74.6,53.6,0.112,214.6,1.649,20815.0,-9618.0,2.16
CC1,ER60,0.3,77,59.2,53.2,0.106,212.2,1.599,16340.0,-7995.0,2.04
CC1,ER60,0.4,55,42.3,50.9,0.028,143.2,1.381,7875.0,-8385.0,0.94
CC1,ER60,0.5,40,30.8,47.5,-0.093,1.6,1.003,62.0,-10088.0,0.01
CC1,ER60,0.6,22,16.9,50.0,-0.08,-2.7,0.994,-60.0,-5830.0,-0.01
CC1,ER60,0.7,13,10.0,53.8,-0.044,26.7,1.067,348.0,-3835.0,0.09
CC1,ER60,0.8,2,1.5,50.0,-0.474,-555.0,0.039,-1110.0,-1155.0,-0.96
CC1,ER60,0.9,2,1.5,50.0,-0.474,-555.0,0.039,-1110.0,-1155.0,-0.96
CC2,ER15,0.0,876,100.0,53.2,0.046,61.5,1.199,53895.0,-12652.0,4.26
CC2,ER15,0.1,873,99.7,53.3,0.048,63.3,1.205,55272.0,-12652.0,4.37
CC2,ER15,0.2,866,98.9,53.3,0.049,67.6,1.221,58545.0,-12652.0,4.63
CC2,ER15,0.3,856,97.7,53.6,0.055,72.5,1.239,62058.0,-12798.0,4.85
CC2,ER15,0.4,818,93.4,53.5,0.052,75.4,1.246,61672.0,-10980.0,5.62
CC2,ER15,0.5,749,85.5,53.7,0.056,79.5,1.261,59518.0,-12852.0,4.63
CC2,ER15,0.6,670,76.5,53.4,0.05,81.3,1.263,54462.0,-10768.0,5.06
CC2,ER15,0.7,575,65.6,52.7,0.046,71.8,1.227,41288.0,-12175.0,3.39
CC2,ER15,0.8,458,52.3,53.5,0.049,86.9,1.275,39785.0,-14928.0,2.67
CC2,ER15,0.9,327,37.3,54.7,0.068,102.3,1.315,33452.0,-11608.0,2.88
CC2,ER30,0.0,872,99.5,53.3,0.049,63.8,1.207,55602.0,-12835.0,4.33
CC2,ER30,0.1,808,92.2,53.5,0.051,65.2,1.209,52710.0,-12755.0,4.13
CC2,ER30,0.2,726,82.9,52.6,0.04,60.1,1.189,43658.0,-13398.0,3.26
CC2,ER30,0.3,637,72.7,52.1,0.037,58.8,1.182,37465.0,-14755.0,2.54
CC2,ER30,0.4,535,61.1,51.6,0.045,64.5,1.2,34525.0,-13200.0,2.62
CC2,ER30,0.5,432,49.3,52.1,0.068,70.3,1.222,30378.0,-11670.0,2.6
CC2,ER30,0.6,338,38.6,53.3,0.077,97.4,1.302,32922.0,-10562.0,3.12
CC2,ER30,0.7,231,26.4,55.4,0.11,143.1,1.44,33045.0,-8088.0,4.09
CC2,ER30,0.8,147,16.8,58.5,0.166,154.0,1.476,22640.0,-6918.0,3.27
CC2,ER30,0.9,82,9.4,65.9,0.272,272.6,2.037,22352.0,-3938.0,5.68
CC2,ER45,0.0,870,99.3,53.3,0.047,61.9,1.199,53850.0,-12652.0,4.26
CC2,ER45,0.1,764,87.2,54.2,0.061,74.4,1.24,56830.0,-11838.0,4.8
CC2,ER45,0.2,645,73.6,53.6,0.061,74.6,1.237,48125.0,-14532.0,3.31
CC2,ER45,0.3,531,60.6,53.1,0.058,78.4,1.247,41632.0,-10780.0,3.86
CC2,ER45,0.4,410,46.8,53.7,0.086,122.0,1.4,50012.0,-7950.0,6.29
CC2,ER45,0.5,300,34.2,52.0,0.07,99.4,1.305,29812.0,-8360.0,3.57
CC2,ER45,0.6,205,23.4,54.6,0.092,156.2,1.495,32012.0,-7640.0,4.19
CC2,ER45,0.7,127,14.5,58.3,0.179,266.9,1.94,33890.0,-4230.0,8.01
CC2,ER45,0.8,58,6.6,62.1,0.211,221.7,1.69,12860.0,-4235.0,3.04
CC2,ER45,0.9,27,3.1,77.8,0.436,487.6,3.028,13165.0,-2725.0,4.83
CC2,ER60,0.0,873,99.7,53.2,0.044,60.9,1.196,53172.0,-12422.0,4.28
CC2,ER60,0.1,732,83.6,53.6,0.059,71.9,1.232,52602.0,-11818.0,4.45
CC2,ER60,0.2,588,67.1,54.4,0.078,84.4,1.269,49622.0,-11460.0,4.33
CC2,ER60,0.3,468,53.4,53.8,0.074,74.2,1.227,34710.0,-14598.0,2.38
CC2,ER60,0.4,336,38.4,54.8,0.088,110.0,1.334,36958.0,-13465.0,2.74
CC2,ER60,0.5,231,26.4,55.8,0.106,158.6,1.483,36632.0,-7640.0,4.79
CC2,ER60,0.6,140,16.0,59.3,0.148,212.0,1.681,29675.0,-4968.0,5.97
CC2,ER60,0.7,79,9.0,59.5,0.168,293.7,1.923,23205.0,-3272.0,7.09
CC2,ER60,0.8,33,3.8,69.7,0.377,498.4,3.526,16448.0,-2285.0,7.2
CC2,ER60,0.9,9,1.0,55.6,0.106,642.2,2.979,5780.0,-1572.0,3.68
CC3,ER15,0.0,1582,99.9,51.4,0.029,31.1,1.096,49152.0,-19492.0,2.52
CC3,ER15,0.1,1577,99.6,51.4,0.028,30.6,1.094,48202.0,-19735.0,2.44
CC3,ER15,0.2,1576,99.6,51.4,0.029,32.0,1.099,50482.0,-19735.0,2.56
CC3,ER15,0.3,1572,99.3,51.3,0.028,30.6,1.095,48102.0,-21232.0,2.27
CC3,ER15,0.4,1567,99.0,51.2,0.026,28.7,1.089,44928.0,-21232.0,2.12
CC3,ER15,0.5,1565,98.9,51.2,0.025,28.0,1.086,43788.0,-21232.0,2.06
CC3,ER15,0.6,1553,98.1,51.2,0.025,26.2,1.081,40672.0,-20188.0,2.01
CC3,ER15,0.7,1539,97.2,51.2,0.025,29.3,1.091,45118.0,-16812.0,2.68
CC3,ER15,0.8,1499,94.7,51.2,0.023,29.9,1.093,44842.0,-18585.0,2.41
CC3,ER15,0.9,1448,91.5,51.4,0.027,32.9,1.102,47648.0,-16620.0,2.87
CC3,ER30,0.0,1580,99.8,51.5,0.031,32.4,1.1,51225.0,-18422.0,2.78
CC3,ER30,0.1,1479,93.4,51.4,0.026,30.2,1.093,44655.0,-16865.0,2.65
CC3,ER30,0.2,1339,84.6,51.2,0.025,28.4,1.086,38092.0,-20662.0,1.84
CC3,ER30,0.3,1188,75.0,51.2,0.028,37.1,1.113,44098.0,-20058.0,2.2
CC3,ER30,0.4,1012,63.9,51.8,0.037,40.0,1.12,40478.0,-14235.0,2.84
CC3,ER30,0.5,813,51.4,50.2,0.005,15.5,1.044,12635.0,-22722.0,0.56
CC3,ER30,0.6,605,38.2,48.9,-0.02,0.8,1.002,512.0,-27840.0,0.02
CC3,ER30,0.7,421,26.6,49.4,-0.022,9.9,1.027,4182.0,-20418.0,0.2
CC3,ER30,0.8,250,15.8,52.4,0.01,25.2,1.066,6288.0,-15832.0,0.4
CC3,ER30,0.9,141,8.9,48.9,-0.065,-113.2,0.737,-15968.0,-23272.0,-0.69
CC3,ER45,0.0,1568,99.1,51.5,0.03,32.4,1.1,50848.0,-20162.0,2.52
CC3,ER45,0.1,1372,86.7,50.4,0.015,20.7,1.063,28390.0,-28498.0,1.0
CC3,ER45,0.2,1159,73.2,50.7,0.023,29.6,1.09,34318.0,-20932.0,1.64
CC3,ER45,0.3,959,60.6,51.0,0.028,36.1,1.109,34668.0,-25330.0,1.37
CC3,ER45,0.4,744,47.0,50.9,0.029,40.0,1.119,29742.0,-23852.0,1.25
CC3,ER45,0.5,546,34.5,50.0,0.009,24.9,1.07,13570.0,-26470.0,0.51
CC3,ER45,0.6,375,23.7,51.5,0.017,29.2,1.076,10938.0,-20432.0,0.54
CC3,ER45,0.7,237,15.0,54.0,0.04,84.7,1.22,20065.0,-11250.0,1.78
CC3,ER45,0.8,128,8.1,51.6,0.01,-30.2,0.932,-3865.0,-21030.0,-0.18
CC3,ER45,0.9,44,2.8,54.5,0.056,-8.7,0.977,-382.0,-5060.0,-0.08
CC3,ER60,0.0,1578,99.7,51.5,0.029,31.5,1.097,49635.0,-18742.0,2.65
CC3,ER60,0.1,1317,83.2,50.3,0.009,22.9,1.069,30115.0,-20772.0,1.45
CC3,ER60,0.2,1054,66.6,50.2,0.011,26.9,1.08,28380.0,-19732.0,1.44
CC3,ER60,0.3,818,51.7,49.5,-0.003,16.8,1.048,13760.0,-20400.0,0.67
CC3,ER60,0.4,606,38.3,49.7,0.006,36.6,1.106,22170.0,-14200.0,1.56
CC3,ER60,0.5,420,26.5,51.0,0.022,48.5,1.135,20350.0,-12930.0,1.57
CC3,ER60,0.6,276,17.4,50.4,0.012,17.4,1.045,4795.0,-13815.0,0.35
CC3,ER60,0.7,149,9.4,54.4,0.053,42.2,1.107,6292.0,-10270.0,0.61
CC3,ER60,0.8,64,4.0,48.4,-0.062,-155.0,0.693,-9920.0,-18058.0,-0.55
CC3,ER60,0.9,14,0.9,50.0,-0.162,-218.4,0.517,-3058.0,-4825.0,-0.63
CC4,ER15,0.0,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.1,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.2,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.3,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.4,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.5,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.6,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.7,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.8,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER15,0.9,1610,100.0,53.2,0.056,49.9,1.15,80288.0,-13270.0,6.05
CC4,ER30,0.0,1606,99.8,53.3,0.057,50.5,1.152,81120.0,-13270.0,6.11
CC4,ER30,0.1,1562,97.0,53.4,0.058,49.9,1.15,77902.0,-13998.0,5.57
CC4,ER30,0.2,1474,91.6,53.1,0.052,47.7,1.143,70355.0,-16920.0,4.16
CC4,ER30,0.3,1343,83.4,53.2,0.056,44.1,1.131,59210.0,-18628.0,3.18
CC4,ER30,0.4,1164,72.3,53.2,0.052,42.4,1.125,49330.0,-20938.0,2.36
CC4,ER30,0.5,967,60.1,52.2,0.039,19.8,1.056,19102.0,-21792.0,0.88
CC4,ER30,0.6,776,48.2,51.7,0.027,18.9,1.053,14695.0,-28692.0,0.51
CC4,ER30,0.7,560,34.8,52.1,0.032,28.1,1.077,15762.0,-21878.0,0.72
CC4,ER30,0.8,373,23.2,50.7,-0.002,-2.2,0.994,-802.0,-23750.0,-0.03
CC4,ER30,0.9,213,13.2,48.8,-0.059,-68.1,0.842,-14515.0,-31670.0,-0.46
CC4,ER45,0.0,1600,99.4,53.2,0.056,49.2,1.148,78700.0,-13270.0,5.93
CC4,ER45,0.1,1410,87.6,54.0,0.067,55.1,1.165,77712.0,-14862.0,5.23
CC4,ER45,0.2,1228,76.3,52.8,0.046,28.5,1.082,35010.0,-24800.0,1.41
CC4,ER45,0.3,1027,63.8,53.7,0.063,38.2,1.111,39202.0,-19580.0,2.0
CC4,ER45,0.4,832,51.7,54.4,0.08,52.4,1.155,43615.0,-16300.0,2.68
CC4,ER45,0.5,640,39.8,54.5,0.079,48.5,1.137,31025.0,-15962.0,1.94
CC4,ER45,0.6,436,27.1,52.8,0.043,2.7,1.007,1158.0,-28812.0,0.04
CC4,ER45,0.7,272,16.9,52.2,0.023,-47.8,0.892,-13010.0,-23112.0,-0.56
CC4,ER45,0.8,145,9.0,52.4,0.012,4.2,1.01,612.0,-16698.0,0.04
CC4,ER45,0.9,70,4.3,44.3,-0.177,-148.2,0.748,-10375.0,-19400.0,-0.53
CC4,ER60,0.0,1598,99.3,53.3,0.057,49.4,1.149,78885.0,-13270.0,5.94
CC4,ER60,0.1,1357,84.3,53.3,0.062,47.0,1.14,63802.0,-13752.0,4.64
CC4,ER60,0.2,1113,69.1,52.5,0.044,22.3,1.063,24872.0,-19735.0,1.26
CC4,ER60,0.3,905,56.2,50.8,0.019,4.4,1.012,3938.0,-20282.0,0.19
CC4,ER60,0.4,695,43.2,52.1,0.05,8.1,1.022,5612.0,-21622.0,0.26
CC4,ER60,0.5,505,31.4,50.5,0.032,-11.2,0.971,-5662.0,-16415.0,-0.34
CC4,ER60,0.6,324,20.1,50.6,0.023,6.0,1.015,1955.0,-11560.0,0.17
CC4,ER60,0.7,177,11.0,51.4,0.005,1.4,1.003,240.0,-12060.0,0.02
CC4,ER60,0.8,77,4.8,55.8,0.025,-22.5,0.954,-1735.0,-12105.0,-0.14
CC4,ER60,0.9,27,1.7,51.9,-0.022,116.8,1.216,3152.0,-7188.0,0.44
CC5,ER15,0.0,1136,100.0,51.9,0.061,62.7,1.195,71282.0,-18988.0,3.75
CC5,ER15,0.1,1136,100.0,51.9,0.061,62.7,1.195,71282.0,-18988.0,3.75
CC5,ER15,0.2,1136,100.0,51.9,0.061,62.7,1.195,71282.0,-18988.0,3.75
CC5,ER15,0.3,1135,99.9,51.9,0.06,62.3,1.194,70750.0,-18988.0,3.73
CC5,ER15,0.4,1135,99.9,51.9,0.06,62.3,1.194,70750.0,-18988.0,3.73
CC5,ER15,0.5,1132,99.6,51.9,0.06,61.9,1.192,70015.0,-18988.0,3.69
CC5,ER15,0.6,1128,99.3,52.0,0.061,65.8,1.206,74210.0,-18988.0,3.91
CC5,ER15,0.7,1122,98.8,52.1,0.064,67.8,1.213,76052.0,-18988.0,4.01
CC5,ER15,0.8,1103,97.1,52.0,0.063,68.4,1.215,75435.0,-18532.0,4.07
CC5,ER15,0.9,1072,94.4,52.1,0.06,64.0,1.199,68628.0,-18685.0,3.67
CC5,ER30,0.0,1136,100.0,51.9,0.061,62.7,1.195,71282.0,-18988.0,3.75
CC5,ER30,0.1,1111,97.8,52.3,0.067,64.8,1.203,72045.0,-18988.0,3.79
CC5,ER30,0.2,1079,95.0,52.4,0.068,70.3,1.223,75805.0,-17698.0,4.28
CC5,ER30,0.3,1030,90.7,52.4,0.07,69.3,1.219,71388.0,-17730.0,4.03
CC5,ER30,0.4,922,81.2,51.6,0.054,56.5,1.176,52052.0,-16575.0,3.14
CC5,ER30,0.5,805,70.9,51.9,0.064,54.3,1.166,43738.0,-16208.0,2.7
CC5,ER30,0.6,639,56.2,53.4,0.097,92.8,1.303,59305.0,-11390.0,5.21
CC5,ER30,0.7,458,40.3,55.2,0.136,135.9,1.471,62235.0,-9655.0,6.45
CC5,ER30,0.8,289,25.4,58.8,0.188,185.1,1.688,53492.0,-6442.0,8.3
CC5,ER30,0.9,151,13.3,54.3,0.097,141.0,1.45,21295.0,-7658.0,2.78
CC5,ER45,0.0,1126,99.1,52.0,0.063,63.4,1.197,71432.0,-18988.0,3.76
CC5,ER45,0.1,1032,90.8,51.4,0.049,53.0,1.16,54690.0,-18942.0,2.89
CC5,ER45,0.2,920,81.0,51.3,0.043,45.5,1.136,41862.0,-19395.0,2.16
CC5,ER45,0.3,797,70.2,51.9,0.058,53.5,1.162,42652.0,-18630.0,2.29
CC5,ER45,0.4,649,57.1,53.8,0.091,87.3,1.278,56668.0,-17385.0,3.26
CC5,ER45,0.5,474,41.7,54.6,0.112,112.0,1.372,53068.0,-9755.0,5.44
CC5,ER45,0.6,353,31.1,55.8,0.131,147.0,1.508,51898.0,-9822.0,5.28
CC5,ER45,0.7,222,19.5,57.2,0.141,168.9,1.56,37502.0,-6860.0,5.47
CC5,ER45,0.8,120,10.6,59.2,0.17,229.7,1.828,27562.0,-5320.0,5.18
CC5,ER45,0.9,41,3.6,63.4,0.288,368.5,2.559,15108.0,-3465.0,4.36
CC5,ER60,0.0,1129,99.4,52.0,0.062,63.4,1.197,71592.0,-18988.0,3.77
CC5,ER60,0.1,969,85.3,51.8,0.067,63.4,1.194,61468.0,-16955.0,3.63
CC5,ER60,0.2,807,71.0,51.7,0.07,57.8,1.171,46678.0,-20848.0,2.24
CC5,ER60,0.3,634,55.8,52.5,0.08,63.5,1.188,40268.0,-18280.0,2.2
CC5,ER60,0.4,489,43.0,52.6,0.073,70.2,1.21,34330.0,-17718.0,1.94
CC5,ER60,0.5,344,30.3,51.2,0.061,67.9,1.2,23342.0,-12945.0,1.8
CC5,ER60,0.6,218,19.2,54.1,0.122,162.4,1.529,35410.0,-6285.0,5.63
CC5,ER60,0.7,123,10.8,58.5,0.175,268.3,1.917,32998.0,-4235.0,7.79
CC5,ER60,0.8,47,4.1,63.8,0.207,282.5,1.947,13278.0,-2972.0,4.47
CC5,ER60,0.9,16,1.4,62.5,0.17,291.9,1.99,4670.0,-2352.0,1.99
