er10_min,zlo_filter,trades,n_wins,n_stop,n_sess,win_pct,net,exp,exp_r,pf,avg_win,avg_loss,maxdd,pnl_dd,sqn,sharpe
0.6,ts_dir_ge3,2463,1478,985,0,60.0,409174.0,166.1,0.1786,1.65,715.0,-658.0,-14892.0,27.48,2.11,3.54
0.6,ts_dir_ge4,2429,1464,965,0,60.3,410985.0,169.2,0.1832,1.67,715.0,-659.0,-14892.0,27.6,2.17,3.55
0.6,osc_sign,2469,1484,985,0,60.1,413123.0,167.3,0.1802,1.66,715.0,-658.0,-14892.0,27.74,2.13,3.56
0.6,trend_dir_strict,2250,1350,900,0,60.0,378740.0,168.3,0.1789,1.65,727.0,-670.0,-15078.0,25.12,2.12,3.43
0.6,osc_sign+trend,2248,1350,898,0,60.1,378936.0,168.6,0.1799,1.65,725.0,-669.0,-15078.0,25.13,2.13,3.45
0.6,osc_sign+ts3,2463,1478,985,0,60.0,409174.0,166.1,0.1786,1.65,715.0,-658.0,-14892.0,27.48,2.11,3.54
0.6,confluence_mom,257,166,91,0,64.6,66429.0,258.5,0.2625,2.12,767.0,-668.0,-5755.0,11.54,3.43,4.44
0.6,confluence_any,263,171,92,0,65.0,69816.0,265.5,0.2713,2.16,769.0,-670.0,-5755.0,12.13,3.53,4.58
0.7,none,3276,2020,1256,0,61.7,629692.0,192.2,0.2118,1.78,722.0,-660.0,-17128.0,36.76,2.51,4.68
0.7,trend_dir,2508,1532,976,0,61.1,473165.0,188.7,0.2016,1.74,738.0,-673.0,-18261.0,25.91,2.42,3.99
0.7,ts_ge3,2321,1435,886,0,61.8,453443.0,195.4,0.2103,1.8,725.0,-662.0,-14071.0,32.23,2.5,4.01
0.7,ts_ge4,2266,1404,862,0,62.0,442920.0,195.5,0.2126,1.8,720.0,-659.0,-14071.0,31.48,2.54,3.99
0.7,ts_dir_ge3,2275,1400,875,0,61.5,429268.0,188.7,0.2043,1.77,718.0,-658.0,-14071.0,30.51,2.43,3.89
0.7,ts_dir_ge4,2246,1387,859,0,61.8,429607.0,191.3,0.2082,1.78,718.0,-658.0,-14071.0,30.53,2.49,3.9
0.7,osc_sign,2281,1406,875,0,61.6,433217.0,189.9,0.2059,1.77,718.0,-658.0,-14071.0,30.79,2.45,3.92
0.7,trend_dir_strict,2080,1277,803,0,61.4,394394.0,189.6,0.2018,1.76,730.0,-670.0,-15011.0,26.27,2.41,3.75
0.7,osc_sign+trend,2078,1277,801,0,61.5,394590.0,189.9,0.2028,1.76,728.0,-668.0,-15011.0,26.29,2.42,3.78
0.7,osc_sign+ts3,2275,1400,875,0,61.5,429268.0,188.7,0.2043,1.77,718.0,-658.0,-14071.0,30.51,2.43,3.89
0.7,confluence_mom,246,161,85,0,65.4,67790.0,275.6,0.2763,2.22,773.0,-667.0,-5755.0,11.78,3.64,4.69
0.7,confluence_any,252,166,86,0,65.9,71176.0,282.4,0.2851,2.27,775.0,-668.0,-5755.0,12.37,3.75,4.83
0.8,none,3049,1911,1138,0,62.7,639644.0,209.8,0.2306,1.88,724.0,-654.0,-14048.0,45.53,2.74,4.99
0.8,trend_dir,2327,1447,880,0,62.2,482942.0,207.5,0.2213,1.85,738.0,-665.0,-14886.0,32.44,2.67,4.3
0.8,ts_ge3,2176,1366,810,0,62.8,463788.0,213.1,0.2287,1.9,726.0,-652.0,-10666.0,43.48,2.73,4.34
0.8,ts_ge4,2122,1336,786,0,63.0,453623.0,213.8,0.2321,1.91,721.0,-649.0,-10666.0,42.53,2.79,4.34
0.8,ts_dir_ge3,2131,1332,799,0,62.5,440559.0,206.7,0.2231,1.88,719.0,-648.0,-10666.0,41.31,2.67,4.24
0.8,ts_dir_ge4,2103,1320,783,0,62.8,441256.0,209.8,0.228,1.89,719.0,-648.0,-10666.0,41.37,2.74,4.25
0.8,osc_sign,2137,1338,799,0,62.6,444508.0,208.0,0.2248,1.88,719.0,-648.0,-10666.0,41.68,2.69,4.27
0.8,trend_dir_strict,1943,1213,730,0,62.4,406354.0,209.1,0.2217,1.87,731.0,-658.0,-12035.0,33.76,2.66,4.12
0.8,osc_sign+trend,1941,1213,728,0,62.5,406550.0,209.5,0.2228,1.87,729.0,-657.0,-12035.0,33.78,2.68,4.15
0.8,osc_sign+ts3,2131,1332,799,0,62.5,440559.0,206.7,0.2231,1.88,719.0,-648.0,-10666.0,41.31,2.67,4.24
0.8,confluence_mom,229,152,77,0,66.4,69264.0,302.5,0.2885,2.46,775.0,-631.0,-3926.0,17.64,3.82,5.28
0.8,confluence_any,233,156,77,0,67.0,72872.0,312.8,0.3007,2.53,779.0,-631.0,-3926.0,18.56,3.99,5.48
0.9,none,2888,1826,1062,0,63.2,615346.0,213.1,0.2389,1.9,721.0,-661.0,-14048.0,43.8,2.84,5.01
0.9,trend_dir,2199,1381,818,0,62.8,461625.0,209.9,0.2306,1.86,734.0,-674.0,-14886.0,31.01,2.79,4.34
0.9,ts_ge3,2067,1308,759,0,63.3,444425.0,215.0,0.236,1.91,723.0,-660.0,-11271.0,39.43,2.82,4.33
0.9,ts_ge4,2018,1281,737,0,63.5,434877.0,215.5,0.2396,1.92,718.0,-657.0,-11271.0,38.58,2.88,4.33
0.9,ts_dir_ge3,2025,1276,749,0,63.0,421621.0,208.2,0.2304,1.88,716.0,-656.0,-11271.0,37.41,2.76,4.22
0.9,ts_dir_ge4,1999,1265,734,0,63.3,422509.0,211.4,0.2354,1.9,715.0,-656.0,-11271.0,37.48,2.83,4.24
0.9,osc_sign,2031,1282,749,0,63.1,425570.0,209.5,0.2322,1.89,715.0,-656.0,-11271.0,37.76,2.78,4.25
0.9,trend_dir_strict,1844,1160,684,0,62.9,386598.0,209.7,0.2286,1.87,726.0,-666.0,-12628.0,30.61,2.75,4.09
0.9,osc_sign+trend,1844,1161,683,0,63.0,386410.0,209.5,0.2295,1.87,725.0,-666.0,-12628.0,30.6,2.76,4.12
0.9,osc_sign+ts3,2025,1276,749,0,63.0,421621.0,208.2,0.2304,1.88,716.0,-656.0,-11271.0,37.41,2.76,4.22
0.9,confluence_mom,214,143,71,0,66.8,66204.0,309.4,0.2916,2.5,778.0,-634.0,-3926.0,16.86,3.86,5.4
0.9,confluence_any,217,146,71,0,67.3,68954.0,317.8,0.3014,2.56,781.0,-634.0,-3926.0,17.57,4.0,5.56
