trade_id,event,strategy,nlegs,net_fill,pkg_worst,pkg_best,achievable,within_band
auto_20260825_090803,entry,gx_bcs,2,10.1,10.0,10.25,True,True
auto_20260825_090803,exit,gx_bcs,2,-10.3,-10.35,-10.2,True,True
auto_20260825_090642,exit,openfly_p,2,-8.1,-8.35,-8.05,True,True
auto_20260826_083028,entry,eodic_p,2,0.35,0.35,0.35,True,True
auto_20260825_090720,exit,openfly_c,2,-7.7,-7.7,-7.7,True,True
auto_20260826_083315,entry,eodfly_c,2,6.45,6.25,6.5,True,True
auto_20260826_083339,entry,eodfly_p,2,8.4,8.2,8.6,True,True
auto_20260826_083315,exit,eodfly_c,2,-12.6,-12.8,-12.5,True,True
auto_20260826_090549,entry,openfly_p,2,6.5,6.45,6.6,True,True
auto_20260826_090613,entry,openfly_c,2,7.6,7.55,7.7,True,True
auto_20260826_090646,entry,gx_bcs,2,2.65,2.65,2.7,True,True
auto_20260826_090549,exit,openfly_p,2,-9.1,-9.3,-9.1,True,True
auto_20260826_083339,exit,eodfly_p,2,-9.2,-9.4,-9.1,True,True
auto_20260826_090613,exit,openfly_c,2,-5.2,-5.2,-5.2,True,True
auto_20260827_083041,entry,eodic_c,2,0.95,0.9,0.95,True,True
auto_20260827_083122,entry,eodfly_p,2,3.15,2.85,3.25,True,True
auto_20260827_083242,entry,eodfly_c,2,14.6,14.2,14.9,True,True
auto_20260827_083242,exit,eodfly_c,2,-17.4,-17.9,-17.2,True,True
auto_20260827_090522,entry,openic_p,2,0.3,0.3,0.3,True,True
auto_20260827_090905,entry,gx_bps,2,3.2,3.0,3.3,True,True
auto_20260827_090552,entry,openfly_p,2,7.1,6.9,7.2,True,True
auto_20260827_091012,entry,gx_bcs,2,3.45,3.45,3.45,True,True
auto_20260827_091109,entry,openfly_c,2,9.7,9.6,9.8,True,True
auto_20260827_091109,exit,openfly_c,2,-11.6,-11.9,-11.5,True,True
auto_20260827_091012,exit,gx_bcs,2,-8.3,-8.3,-8.15,True,True
auto_20260828_083044,entry,eodic_p,2,0.95,0.95,1.0,True,True
auto_20260828_083142,entry,eodic_c,2,0.75,0.65,0.75,True,True
auto_20260828_083205,entry,eodfly_p,2,7.6,7.4,7.7,True,True
auto_20260828_083227,entry,eodfly_c,2,12.0,11.7,12.1,True,True
auto_20260828_090522,entry,openic_p,2,1.0,0.95,1.1,True,True
auto_20260828_083227,exit,eodfly_c,2,-14.2,-14.3,-14.1,True,True
auto_20260828_090601,entry,openic_c,2,0.2,0.2,0.2,True,True
auto_20260828_090735,entry,openfly_c,2,8.4,8.2,8.6,True,True
auto_20260828_090638,entry,openfly_p,2,10.6,10.3,10.7,True,True
auto_20260828_090756,entry,gx_bps,2,3.9,3.7,4.0,True,True
auto_20260828_090818,entry,gx_bcs,2,4.75,4.75,4.8,True,True
auto_20260828_090638,exit,openfly_p,2,-8.4,-8.6,-8.3,True,True
auto_20260828_090735,exit,openfly_c,2,-14.1,-14.2,-14.1,True,True
auto_20260828_090818,exit,gx_bcs,2,-14.2,-14.6,-14.0,True,True
auto_20260831_083122,entry,eodic_p,2,1.0,0.95,1.05,True,True
auto_20260828_083205,exit,eodfly_p,2,-12.4,-12.7,-12.2,True,True
auto_20260831_083206,entry,eodfly_p,2,13.7,13.4,14.1,True,True
auto_20260831_083342,entry,eodfly_c,2,3.4,3.2,3.4,True,True
auto_20260831_083403,entry,openic_p,2,0.45,0.4,0.45,True,True
auto_20260831_083424,entry,openic_c,2,0.1,0.05,0.05,False,False
auto_20260831_083447,entry,openfly_p,2,10.4,10.0,10.6,True,True
auto_20260831_083526,entry,openfly_c,2,5.7,5.45,5.9,True,True
auto_20260831_083610,entry,gx_bcs,2,0.15,0.15,0.15,True,True
auto_20260831_083547,entry,gx_bps,2,14.6,14.1,15.0,True,True
auto_20260831_083206,exit,eodfly_p,2,-18.7,-19.1,-18.3,True,True
auto_20260831_083547,exit,gx_bps,2,-15.6,-15.7,-15.4,True,True
auto_20260901_083038,entry,eodic_p,2,4.2,4.05,4.35,True,True
auto_20260831_083447,exit,openfly_p,2,-11.2,-11.5,-10.9,True,True
auto_20260901_083120,entry,eodfly_p,2,21.3,20.4,21.8,True,True
auto_20260901_083143,entry,eodfly_c,2,0.75,0.75,0.8,True,True
auto_20260901_083120,exit,eodfly_p,2,-22.7,-23.2,-22.7,True,True
auto_20260901_090521,entry,openic_p,2,0.05,0.05,0.05,True,True
auto_20260901_090613,entry,openfly_c,2,8.75,8.65,8.75,True,True
auto_20260901_090550,entry,openfly_p,2,7.1,7.0,7.1,True,True
auto_20260901_090636,entry,gx_bps,2,19.1,18.8,19.5,True,True
auto_20260901_090636,exit,gx_bps,2,-16.7,-16.9,-16.7,True,True
auto_20260901_090550,exit,openfly_p,2,-7.45,-7.65,-7.25,True,True
auto_20260902_083026,entry,eodic_p,2,0.2,0.2,0.2,True,True
auto_20260901_090613,exit,openfly_c,2,-11.8,-12.1,-11.7,True,True
auto_20260902_083110,entry,eodfly_p,2,6.4,6.1,6.5,True,True
auto_20260902_083133,entry,eodfly_c,2,11.2,10.9,11.4,True,True
auto_20260902_083133,exit,eodfly_c,2,-13.4,-13.8,-13.3,True,True
auto_20260902_090524,entry,openic_p,2,0.1,0.1,0.1,True,True
auto_20260902_090604,entry,openfly_p,2,7.2,7.1,7.5,True,True
auto_20260902_090628,entry,openfly_c,2,8.1,8.0,8.1,True,True
auto_20260902_090658,entry,gx_bcs,2,0.35,0.35,0.35,True,True
auto_20260902_090628,exit,openfly_c,2,-14.1,-14.3,-14.0,True,True
auto_20260903_083044,entry,eodic_c,2,0.85,0.8,0.85,True,True
auto_20260903_083123,entry,eodfly_p,2,2.05,1.95,2.1,True,True
auto_20260903_083324,entry,openic_p,2,0.25,0.25,0.25,True,True
auto_20260903_083424,entry,openfly_p,2,5.9,5.8,6.0,True,True
auto_20260903_083447,entry,openfly_c,2,11.5,11.4,11.7,True,True
auto_20260903_083525,entry,gx_bps,2,0.8,0.7,0.8,True,True
auto_20260903_083547,entry,gx_bcs,2,18.4,18.0,18.5,True,True
auto_20260903_083757,entry,eodfly_c,2,20.8,20.2,21.3,True,True
auto_20260903_083447,exit,openfly_c,2,-14.4,-14.6,-14.4,True,True
auto_20260903_083547,exit,gx_bcs,2,-21.1,-21.3,-20.8,True,True
auto_20260903_083757,exit,eodfly_c,2,-22.4,-22.8,-22.2,True,True
