Date,time,rev,side,entry,stop,bar
2021-07-21,2021-07-21 13:30:00,IB,1,5143.0,5140.5,59
2021-07-21,2021-07-21 15:00:00,OB,1,5150.75,5140.0,77
2021-07-23,2021-07-23 09:00:00,BO,-1,5174.0,5180.75,5
2021-07-23,2021-07-23 14:35:00,BO,1,5202.75,5197.25,72
2021-07-26,2021-07-26 08:40:00,OB,1,5205.25,5196.75,1
2021-07-26,2021-07-26 14:40:00,OB,-1,5211.25,5213.0,61
2021-07-26,2021-07-26 15:00:00,BO,1,5214.0,5208.75,65
2021-07-27,2021-07-27 12:20:00,BO,-1,5169.75,5176.25,45
2021-07-28,2021-07-28 10:40:00,OB,1,5197.25,5193.0,25
2021-07-28,2021-07-28 12:20:00,BO,-1,5185.5,5190.5,45
2021-07-29,2021-07-29 08:35:00,IB,1,5209.75,5189.25,0
2021-07-29,2021-07-29 12:40:00,IB,-1,5220.0,5222.0,49
2021-07-29,2021-07-29 13:25:00,BO,-1,5217.0,5220.5,58
2021-07-29,2021-07-29 15:05:00,BO,-1,5208.5,5213.5,78
2021-07-30,2021-07-30 11:20:00,BO,1,5191.25,5186.5,33
2021-07-30,2021-07-30 14:45:00,BO,-1,5184.75,5191.5,74
2021-07-30,2021-07-30 15:05:00,OB,1,5195.0,5184.5,78
2021-08-02,2021-08-02 13:15:00,BO,1,5192.5,5187.75,56
2021-08-02,2021-08-02 14:15:00,BO,-1,5188.0,5193.0,68
2021-08-03,2021-08-03 09:35:00,IB,-1,5175.0,5183.5,12
2021-08-03,2021-08-03 14:45:00,BO,-1,5210.25,5214.25,74
2021-08-04,2021-08-04 11:30:00,BO,-1,5196.5,5200.75,35
2021-08-04,2021-08-04 12:55:00,OB,1,5203.5,5199.75,52
2021-08-05,2021-08-05 12:20:00,BO,1,5209.75,5207.75,45
2021-08-06,2021-08-06 08:55:00,BO,-1,5224.75,5231.75,4
2021-08-06,2021-08-06 11:55:00,BO,1,5230.0,5226.75,40
2021-08-06,2021-08-06 13:15:00,OB,-1,5229.0,5230.75,56
2021-08-06,2021-08-06 13:50:00,BO,-1,5225.5,5228.75,63
2021-08-06,2021-08-06 14:15:00,OB,1,5226.25,5222.75,68
2021-08-09,2021-08-09 08:40:00,OB,-1,5218.25,5231.5,1
2021-08-09,2021-08-09 14:50:00,BO,-1,5224.75,5230.0,75
2021-08-09,2021-08-09 15:05:00,BO,1,5227.25,5223.25,78
2021-08-10,2021-08-10 11:35:00,OB,-1,5232.5,5236.5,36
2021-08-11,2021-08-11 12:05:00,BO,1,5236.75,5234.25,42
2021-08-11,2021-08-11 13:20:00,IB,-1,5235.5,5238.0,57
2021-08-11,2021-08-11 14:45:00,BO,-1,5237.25,5240.5,74
2021-08-12,2021-08-12 09:20:00,BO,1,5235.25,5229.75,3
2021-08-12,2021-08-12 11:15:00,BO,1,5246.0,5241.75,26
2021-08-13,2021-08-13 13:40:00,BO,-1,5257.75,5259.75,61
2021-08-16,2021-08-16 15:00:00,BO,1,5273.25,5266.75,77
2021-08-17,2021-08-17 11:40:00,BO,-1,5223.75,5235.25,37
2021-08-17,2021-08-17 12:10:00,OB,1,5220.25,5211.25,43
2021-08-17,2021-08-17 13:35:00,BO,-1,5225.0,5230.25,60
2021-08-17,2021-08-17 13:50:00,OB,1,5229.25,5220.75,63
2021-08-18,2021-08-18 09:45:00,BO,-1,5241.0,5248.0,14
2021-08-18,2021-08-18 11:30:00,BO,-1,5232.75,5239.25,35
2021-08-18,2021-08-18 14:30:00,BO,-1,5218.5,5229.0,71
2021-08-19,2021-08-19 09:40:00,BO,-1,5182.0,5194.75,13
2021-08-19,2021-08-19 10:00:00,OB,1,5197.75,5177.75,17
2021-08-19,2021-08-19 12:10:00,OB,-1,5202.75,5212.25,43
2021-08-23,2021-08-23 14:35:00,BO,1,5283.0,5279.25,72
2021-08-24,2021-08-24 14:10:00,IB,-1,5286.75,5288.0,67
2021-08-24,2021-08-24 14:40:00,BO,-1,5284.0,5287.75,73
2021-08-25,2021-08-25 12:00:00,OB,1,5295.75,5293.5,41
2021-08-26,2021-08-26 09:25:00,BO,-1,5284.0,5289.0,10
2021-08-26,2021-08-26 14:20:00,IB,1,5271.75,5264.5,69
2021-08-27,2021-08-27 14:20:00,BO,1,5308.0,5305.5,69
2021-08-30,2021-08-30 14:20:00,OB,-1,5331.25,5333.0,69
2021-08-31,2021-08-31 09:10:00,BO,1,5320.25,5312.0,7
2021-08-31,2021-08-31 11:30:00,OB,1,5327.5,5324.25,35
2021-08-31,2021-08-31 12:10:00,BO,-1,5322.5,5326.25,43
2021-08-31,2021-08-31 12:25:00,BO,-1,5318.5,5323.5,46
2021-09-01,2021-09-01 13:25:00,BO,-1,5329.75,5332.75,58
2021-09-02,2021-09-02 10:20:00,IB,1,5340.0,5335.75,21
2021-09-02,2021-09-02 15:00:00,BO,1,5335.5,5325.0,77
2021-09-03,2021-09-03 11:35:00,IB,-1,5329.0,5332.0,36
2021-09-06,2021-09-06 11:35:00,BO,-1,5342.75,5345.0,36
2021-09-07,2021-09-07 08:40:00,BO,-1,5322.5,5344.75,43
2021-09-07,2021-09-07 13:05:00,IB,-1,5325.25,5327.25,96
2021-09-08,2021-09-08 08:35:00,BO,-1,5307.0,5318.0,0
2021-09-08,2021-09-08 15:00:00,BO,1,5312.5,5307.75,77
2021-09-09,2021-09-09 09:50:00,BO,-1,5322.75,5327.25,15
2021-09-09,2021-09-09 12:40:00,BO,-1,5293.5,5301.25,49
2021-09-09,2021-09-09 14:45:00,BO,1,5302.75,5296.25,74
2021-09-09,2021-09-09 14:55:00,BO,-1,5293.5,5304.75,76
2021-09-10,2021-09-10 14:25:00,BO,-1,5271.5,5278.75,70
2021-09-10,2021-09-10 14:55:00,BO,-1,5258.25,5266.5,76
2021-09-13,2021-09-13 13:05:00,IB,1,5254.0,5250.0,54
2021-09-13,2021-09-13 13:50:00,BO,1,5252.0,5244.0,63
2021-09-13,2021-09-13 14:15:00,OB,1,5255.25,5243.5,68
2021-09-14,2021-09-14 11:40:00,BO,-1,5257.5,5261.75,37
2021-09-15,2021-09-15 09:15:00,BO,-1,5245.75,5257.75,8
2021-09-15,2021-09-15 11:25:00,BO,1,5260.25,5254.5,34
2021-09-15,2021-09-15 13:05:00,BO,-1,5276.0,5281.5,54
2021-09-15,2021-09-15 14:55:00,OB,-1,5281.5,5286.75,76
2021-09-16,2021-09-16 12:55:00,OB,1,5267.75,5255.75,52
2021-09-16,2021-09-16 14:50:00,BO,-1,5274.25,5280.25,75
2021-09-17,2021-09-17 12:05:00,BO,-1,5238.75,5246.0,42
2021-09-17,2021-09-17 14:15:00,BO,-1,5229.25,5237.0,68
2021-09-20,2021-09-20 14:30:00,BO,1,5123.5,5102.75,71
2021-09-20,2021-09-20 15:00:00,BO,1,5155.5,5136.25,77
2021-09-22,2021-09-22 09:00:00,BO,1,5183.25,5167.75,5
2021-09-22,2021-09-22 12:10:00,BO,-1,5195.25,5200.75,43
2021-09-22,2021-09-22 12:55:00,BO,-1,5192.25,5197.25,52
2021-09-23,2021-09-23 08:40:00,BO,1,5230.25,5193.0,1
2021-09-23,2021-09-23 12:10:00,BO,1,5258.5,5251.5,43
2021-09-23,2021-09-23 13:00:00,BO,1,5263.75,5261.0,53
2021-09-23,2021-09-23 13:10:00,IB,-1,5260.25,5264.0,55
2021-09-23,2021-09-23 14:15:00,BO,-1,5251.75,5258.0,68
2021-09-24,2021-09-24 10:30:00,BO,-1,5237.75,5245.5,23
2021-09-24,2021-09-24 10:55:00,BO,1,5248.0,5239.25,28
2021-09-24,2021-09-24 11:35:00,OB,-1,5247.5,5251.0,36
2021-09-24,2021-09-24 14:10:00,BO,-1,5249.5,5254.75,67
2021-09-27,2021-09-27 11:35:00,BO,-1,5242.75,5247.5,36
2021-09-27,2021-09-27 13:40:00,OB,-1,5248.0,5252.25,61
2021-09-27,2021-09-27 14:55:00,BO,-1,5240.0,5249.0,76
2021-09-28,2021-09-28 08:50:00,BO,-1,5194.25,5208.75,3
2021-09-28,2021-09-28 09:10:00,BO,-1,5177.5,5196.75,7
2021-09-28,2021-09-28 11:45:00,BO,-1,5149.5,5160.75,38
2021-09-28,2021-09-28 13:25:00,BO,1,5164.0,5144.5,58
2021-09-29,2021-09-29 09:50:00,BO,1,5182.5,5170.75,15
2021-09-30,2021-09-30 14:45:00,BO,-1,5127.25,5146.25,74
2021-10-01,2021-10-01 12:10:00,OB,1,5136.25,5123.75,43
2021-10-04,2021-10-04 09:25:00,BO,-1,5115.25,5135.75,10
2021-10-04,2021-10-04 11:25:00,BO,-1,5087.75,5098.5,34
2021-10-04,2021-10-04 11:45:00,BO,-1,5081.25,5092.5,38
2021-10-04,2021-10-04 14:35:00,BO,1,5094.5,5086.25,72
2021-10-05,2021-10-05 08:55:00,BO,1,5127.0,5110.0,4
2021-10-05,2021-10-05 09:30:00,BO,1,5151.25,5140.5,11
2021-10-05,2021-10-05 11:00:00,OB,1,5159.5,5151.75,29
2021-10-06,2021-10-06 10:55:00,BO,1,5119.75,5106.25,28
2021-10-06,2021-10-06 11:10:00,OB,-1,5109.75,5125.25,31
2021-10-07,2021-10-07 09:00:00,BO,1,5220.25,5205.25,5
2021-10-08,2021-10-08 13:05:00,BO,1,5196.5,5189.25,54
2021-10-08,2021-10-08 14:10:00,OB,1,5203.25,5199.5,67
2021-10-08,2021-10-08 14:40:00,BO,-1,5195.75,5203.0,73
2021-10-12,2021-10-12 10:10:00,BO,1,5165.5,5152.75,19
2021-10-12,2021-10-12 11:35:00,BO,-1,5157.0,5167.5,36
2021-10-12,2021-10-12 12:35:00,OB,1,5158.0,5150.25,48
2021-10-12,2021-10-12 14:45:00,OB,-1,5144.0,5156.5,74
2021-10-13,2021-10-13 08:50:00,BO,-1,5146.75,5166.25,3
2021-10-13,2021-10-13 14:55:00,OB,1,5164.5,5157.0,76
2021-10-14,2021-10-14 12:50:00,BO,1,5237.0,5233.0,51
2021-10-15,2021-10-15 13:10:00,BO,1,5274.5,5269.0,55
2021-10-18,2021-10-18 12:05:00,OB,1,5280.0,5277.75,42
2021-10-18,2021-10-18 12:20:00,BO,1,5281.75,5279.0,45
2021-10-18,2021-10-18 14:55:00,BO,1,5287.25,5282.0,76
2021-10-19,2021-10-19 13:30:00,BO,-1,5314.25,5317.75,59
2021-10-20,2021-10-20 08:40:00,BO,1,5326.75,5323.0,1
2021-10-20,2021-10-20 12:10:00,OB,-1,5333.0,5339.25,43
2021-10-20,2021-10-20 14:20:00,OB,-1,5335.25,5338.75,69
2021-10-21,2021-10-21 10:00:00,BO,-1,5337.0,5342.5,17
2021-10-21,2021-10-21 12:30:00,BO,1,5336.75,5333.75,47
2021-10-21,2021-10-21 12:50:00,OB,-1,5335.5,5337.75,51
2021-10-22,2021-10-22 10:20:00,BO,-1,5345.25,5353.25,21
2021-10-25,2021-10-25 12:10:00,BO,1,5370.5,5367.75,43
2021-10-25,2021-10-25 13:25:00,BO,1,5370.0,5366.75,58
2021-10-25,2021-10-25 13:45:00,OB,-1,5368.75,5373.0,62
2021-10-26,2021-10-26 10:05:00,BO,-1,5394.0,5398.25,18
2021-10-26,2021-10-26 11:05:00,BO,-1,5380.5,5390.75,30
2021-10-26,2021-10-26 14:05:00,BO,1,5386.5,5380.5,66
2021-10-27,2021-10-27 12:15:00,BO,1,5381.0,5375.0,44
2021-10-27,2021-10-27 13:30:00,BO,-1,5381.25,5385.0,59
2021-10-28,2021-10-28 08:35:00,BO,1,5376.0,5353.5,0
2021-10-28,2021-10-28 11:30:00,BO,-1,5386.75,5391.0,35
2021-10-28,2021-10-28 12:35:00,BO,1,5387.5,5381.25,48
2021-11-02,2021-11-02 09:15:00,OB,-1,5422.0,5428.0,8
2021-11-02,2021-11-02 12:45:00,OB,1,5431.5,5426.75,50
2021-11-02,2021-11-02 14:20:00,BO,-1,5430.75,5433.75,69
2021-11-03,2021-11-03 12:35:00,BO,1,5427.75,5425.25,48
2021-11-04,2021-11-04 11:25:00,BO,-1,5472.75,5478.75,34
2021-11-05,2021-11-05 08:35:00,BO,1,5510.25,5479.75,0
2021-11-05,2021-11-05 09:05:00,BO,1,5520.5,5512.25,6
2021-11-05,2021-11-05 11:00:00,BO,-1,5507.5,5515.0,29
2021-11-05,2021-11-05 11:45:00,OB,-1,5506.0,5511.0,38
2021-11-05,2021-11-05 12:15:00,BO,-1,5496.75,5505.25,44
2021-11-05,2021-11-05 12:30:00,BO,-1,5483.5,5498.25,47
2021-11-08,2021-11-08 14:50:00,BO,-1,5499.75,5507.0,75
2021-11-09,2021-11-09 10:15:00,BO,-1,5481.0,5490.0,20
2021-11-09,2021-11-09 14:20:00,BO,-1,5480.0,5485.25,69
2021-11-10,2021-11-10 09:00:00,BO,1,5484.75,5474.25,5
2021-11-11,2021-11-11 13:10:00,BO,1,5461.0,5456.25,55
2021-11-11,2021-11-11 13:40:00,BO,1,5460.25,5457.25,61
2021-11-15,2021-11-15 14:40:00,BO,-1,5483.75,5488.75,73
2021-11-16,2021-11-16 09:25:00,OB,-1,5498.0,5504.5,10
2021-11-18,2021-11-18 11:40:00,BO,-1,5510.0,5513.5,37
2021-11-19,2021-11-19 11:15:00,BO,1,5518.5,5513.5,32
2021-11-19,2021-11-19 13:35:00,BO,-1,5506.25,5512.25,60
2021-11-23,2021-11-23 12:00:00,BO,-1,5468.5,5475.75,39
2021-11-24,2021-11-24 09:05:00,BO,1,5484.0,5465.25,6
2021-11-24,2021-11-24 11:25:00,BO,-1,5492.75,5498.0,34
2021-11-25,2021-11-25 11:50:00,OB,1,5515.5,5514.0,39
2021-11-26,2021-11-26 10:20:00,BO,-1,5397.75,5414.5,63
2021-11-29,2021-11-29 10:40:00,BO,1,5452.75,5442.5,25
2021-11-29,2021-11-29 12:20:00,IB,-1,5473.75,5478.75,45
2021-11-30,2021-11-30 12:05:00,BO,-1,5378.5,5391.5,42
2021-11-30,2021-11-30 12:55:00,BO,1,5398.5,5390.5,52
2021-11-30,2021-11-30 14:55:00,OB,-1,5368.5,5388.75,76
2021-12-01,2021-12-01 09:05:00,BO,1,5434.5,5419.5,6
2021-12-01,2021-12-01 10:35:00,OB,-1,5454.25,5459.75,24
2021-12-01,2021-12-01 11:00:00,BO,-1,5439.75,5452.25,29
2021-12-01,2021-12-01 11:30:00,BO,-1,5439.0,5451.0,35
2021-12-01,2021-12-01 14:25:00,BO,-1,5349.75,5376.0,69
2021-12-03,2021-12-03 08:45:00,BO,-1,5388.75,5415.5,2
2021-12-03,2021-12-03 11:25:00,BO,1,5336.0,5319.5,34
2021-12-06,2021-12-06 14:15:00,IB,1,5404.0,5398.0,68
2021-12-07,2021-12-07 15:00:00,OB,1,5495.25,5475.25,77
2021-12-08,2021-12-08 14:00:00,BO,1,5503.5,5498.25,64
2021-12-08,2021-12-08 14:45:00,BO,-1,5503.75,5508.0,73
2021-12-09,2021-12-09 12:50:00,BO,-1,5493.25,5503.5,51
2021-12-09,2021-12-09 15:00:00,BO,-1,5475.75,5489.25,77
2021-12-10,2021-12-10 08:50:00,OB,-1,5499.25,5514.0,3
2021-12-10,2021-12-10 13:00:00,OB,1,5505.25,5500.75,53
2021-12-13,2021-12-13 08:55:00,BO,-1,5497.25,5511.75,4
2021-12-13,2021-12-13 11:55:00,BO,-1,5485.25,5492.25,40
2021-12-16,2021-12-16 09:05:00,BO,-1,5515.5,5534.75,6
2021-12-16,2021-12-16 12:10:00,BO,1,5494.5,5487.25,43
2021-12-16,2021-12-16 14:50:00,OB,-1,5473.75,5494.0,75
2021-12-17,2021-12-17 08:45:00,BO,-1,5420.5,5449.5,2
2021-12-17,2021-12-17 09:35:00,BO,1,5431.25,5407.25,12
2021-12-17,2021-12-17 09:55:00,BO,1,5463.25,5435.0,16
2021-12-17,2021-12-17 10:40:00,BO,-1,5446.75,5468.25,25
2021-12-17,2021-12-17 14:20:00,BO,-1,5445.25,5454.75,69
2021-12-17,2021-12-17 14:35:00,BO,-1,5435.5,5452.5,72
2021-12-20,2021-12-20 10:35:00,BO,-1,5340.5,5350.0,24
2021-12-20,2021-12-20 12:15:00,BO,1,5351.0,5340.75,44
2021-12-21,2021-12-21 09:30:00,OB,-1,5393.75,5413.25,11
2021-12-22,2021-12-22 11:20:00,BO,-1,5489.25,5493.5,33
2021-12-23,2021-12-23 14:45:00,BO,1,5542.5,5536.25,74
2021-12-28,2021-12-28 12:20:00,BO,-1,5593.0,5596.25,45
2021-12-29,2021-12-29 15:00:00,OB,-1,5600.75,5612.25,77
2021-12-30,2021-12-30 11:15:00,BO,-1,5607.25,5610.5,32
2021-12-30,2021-12-30 12:20:00,BO,-1,5606.0,5609.25,45
2021-12-30,2021-12-30 13:05:00,BO,-1,5604.75,5609.75,54
2021-12-31,2021-12-31 08:50:00,OB,-1,5584.0,5594.75,3
2021-12-31,2021-12-31 12:00:00,BO,1,5587.25,5580.5,41
2022-01-03,2022-01-03 10:40:00,BO,-1,5570.75,5581.25,25
2022-01-04,2022-01-04 08:40:00,BO,1,5621.75,5600.25,1
2022-01-04,2022-01-04 10:00:00,BO,-1,5601.25,5612.25,17
2022-01-04,2022-01-04 14:50:00,BO,1,5610.75,5604.25,75
2022-01-04,2022-01-04 15:00:00,OB,-1,5600.0,5614.5,77
2022-01-05,2022-01-05 11:05:00,BO,1,5593.0,5587.75,30
2022-01-05,2022-01-05 13:10:00,OB,-1,5571.25,5593.75,55
2022-01-05,2022-01-05 14:05:00,BO,-1,5532.75,5546.75,66
2022-01-06,2022-01-06 08:55:00,BO,-1,5500.0,5528.25,4
2022-01-06,2022-01-06 10:55:00,BO,1,5515.75,5504.5,28
2022-01-07,2022-01-07 10:20:00,BO,-1,5473.5,5482.25,21
2022-01-07,2022-01-07 10:30:00,BO,1,5488.0,5470.25,23
2022-01-07,2022-01-07 15:00:00,BO,-1,5485.0,5496.5,77
2022-01-10,2022-01-10 08:50:00,BO,-1,5425.0,5440.5,3
2022-01-10,2022-01-10 14:55:00,BO,1,5466.75,5451.0,76
2022-01-11,2022-01-11 10:20:00,BO,1,5487.25,5465.5,21
2022-01-11,2022-01-11 10:45:00,BO,1,5499.75,5485.25,26
2022-01-11,2022-01-11 13:10:00,BO,-1,5502.75,5509.0,55
2022-01-13,2022-01-13 11:20:00,BO,-1,5505.25,5526.25,33
2022-01-13,2022-01-13 11:50:00,BO,-1,5494.5,5509.25,39
2022-01-17,2022-01-17 08:50:00,BO,-1,5467.25,5476.75,3
2022-01-18,2022-01-18 08:40:00,BO,-1,5404.75,5471.75,43
2022-01-19,2022-01-19 10:55:00,BO,1,5389.75,5373.25,28
2022-01-20,2022-01-20 09:20:00,BO,-1,5378.5,5392.25,9
2022-01-20,2022-01-20 11:55:00,BO,-1,5391.0,5401.0,40
2022-01-20,2022-01-20 14:30:00,BO,-1,5330.0,5345.0,71
2022-01-21,2022-01-21 12:25:00,BO,-1,5240.0,5264.75,46
2022-01-21,2022-01-21 14:00:00,BO,-1,5222.25,5242.25,65
2022-01-21,2022-01-21 15:00:00,BO,-1,5201.75,5228.25,77
2022-01-25,2022-01-25 14:10:00,BO,-1,5196.0,5219.0,67
2022-01-25,2022-01-25 14:30:00,BO,-1,5176.25,5206.0,71
2022-01-26,2022-01-26 13:15:00,IB,-1,5214.75,5262.5,56
2022-01-26,2022-01-26 13:50:00,BO,-1,5169.0,5243.5,63
2022-01-27,2022-01-27 08:50:00,BO,1,5228.5,5191.75,3
2022-01-27,2022-01-27 11:15:00,BO,-1,5189.75,5212.0,32
2022-01-27,2022-01-27 13:05:00,BO,1,5155.0,5126.25,54
2022-01-28,2022-01-28 12:10:00,BO,1,5184.25,5165.0,43
2022-01-28,2022-01-28 14:25:00,BO,1,5197.5,5177.0,70
2022-01-31,2022-01-31 14:15:00,BO,-1,5283.0,5304.25,68
2022-02-01,2022-02-01 10:25:00,IB,-1,5318.0,5329.25,22
2022-02-02,2022-02-02 08:50:00,BO,-1,5362.25,5385.25,3
2022-02-02,2022-02-02 09:45:00,OB,1,5374.0,5355.25,14
2022-02-02,2022-02-02 13:15:00,IB,-1,5382.75,5389.5,56
2022-02-02,2022-02-02 14:30:00,IB,-1,5395.0,5401.25,71
2022-02-03,2022-02-03 15:05:00,BO,1,5318.5,5278.25,78
2022-02-04,2022-02-04 09:30:00,BO,-1,5281.25,5307.75,11
2022-02-04,2022-02-04 14:45:00,BO,-1,5329.0,5346.25,74
2022-02-07,2022-02-07 14:25:00,IB,-1,5319.75,5330.75,70
2022-02-09,2022-02-09 09:10:00,BO,1,5382.5,5373.5,7
2022-02-09,2022-02-09 09:20:00,BO,-1,5374.25,5385.0,9
2022-02-09,2022-02-09 09:35:00,BO,1,5386.75,5372.5,12
2022-02-09,2022-02-09 10:15:00,BO,-1,5380.5,5391.5,20
2022-02-09,2022-02-09 13:55:00,BO,-1,5392.0,5396.75,64
2022-02-10,2022-02-10 10:50:00,BO,1,5380.0,5363.5,27
2022-02-10,2022-02-10 13:20:00,BO,-1,5316.75,5333.5,57
2022-02-10,2022-02-10 14:50:00,BO,-1,5298.75,5314.0,75
2022-02-10,2022-02-10 15:00:00,OB,1,5314.25,5292.25,77
2022-02-11,2022-02-11 10:35:00,BO,-1,5298.0,5309.0,24
2022-02-14,2022-02-14 09:05:00,BO,-1,5203.5,5232.75,6
2022-02-14,2022-02-14 11:30:00,BO,1,5229.25,5218.25,35
2022-02-14,2022-02-14 11:50:00,BO,1,5234.0,5224.25,39
2022-02-14,2022-02-14 12:55:00,BO,-1,5186.0,5216.0,52
2022-02-15,2022-02-15 13:10:00,OB,-1,5268.75,5276.25,55
2022-02-16,2022-02-16 12:55:00,BO,1,5250.0,5245.5,52
2022-02-16,2022-02-16 13:25:00,BO,1,5282.0,5255.5,58
2022-02-17,2022-02-17 13:10:00,BO,-1,5215.75,5224.0,55
2022-02-17,2022-02-17 14:00:00,BO,-1,5203.25,5210.0,65
2022-02-18,2022-02-18 10:05:00,BO,-1,5159.0,5180.5,18
2022-02-22,2022-02-22 08:50:00,BO,1,5162.25,5124.5,45
2022-02-22,2022-02-22 12:45:00,BO,-1,5098.75,5112.25,92
2022-02-22,2022-02-22 13:10:00,BO,-1,5081.25,5093.0,97
2022-02-22,2022-02-22 15:05:00,BO,1,5134.25,5100.25,120
2022-02-23,2022-02-23 09:25:00,BO,-1,5110.0,5123.75,10
2022-02-24,2022-02-24 11:15:00,BO,-1,4981.0,5006.25,32
2022-02-25,2022-02-25 10:55:00,BO,1,5179.5,5165.5,28
2022-02-25,2022-02-25 13:00:00,IB,-1,5185.5,5196.5,53
2022-02-28,2022-02-28 10:25:00,BO,1,5193.0,5174.25,22
2022-02-28,2022-02-28 12:05:00,BO,1,5162.75,5145.75,42
2022-02-28,2022-02-28 13:10:00,BO,-1,5131.5,5168.5,55
2022-02-28,2022-02-28 14:25:00,BO,1,5157.5,5137.0,70
2022-02-28,2022-02-28 14:50:00,BO,1,5167.0,5135.25,75
2022-03-01,2022-03-01 10:35:00,BO,-1,5132.0,5158.0,24
2022-03-01,2022-03-01 11:20:00,OB,1,5123.0,5103.75,33
2022-03-01,2022-03-01 11:50:00,BO,1,5131.75,5119.5,39
2022-03-01,2022-03-01 15:00:00,OB,1,5119.5,5091.25,77
2022-03-02,2022-03-02 08:50:00,BO,1,5161.5,5138.75,3
2022-03-02,2022-03-02 10:45:00,BO,-1,5183.25,5202.75,26
2022-03-03,2022-03-03 09:25:00,BO,-1,5194.25,5213.75,10
2022-03-04,2022-03-04 12:20:00,BO,-1,5139.5,5153.25,45
2022-03-07,2022-03-07 14:55:00,BO,-1,5015.5,5035.25,76
2022-03-08,2022-03-08 12:30:00,BO,-1,5056.75,5087.0,47
2022-03-08,2022-03-08 14:35:00,BO,-1,4996.25,5036.0,72
2022-03-10,2022-03-10 09:30:00,BO,-1,5049.25,5070.0,11
2022-03-11,2022-03-11 09:10:00,BO,-1,5067.75,5090.75,7
2022-03-11,2022-03-11 10:10:00,BO,-1,5075.5,5088.25,19
2022-03-11,2022-03-11 13:00:00,OB,-1,5054.25,5072.75,53
2022-03-11,2022-03-11 14:10:00,BO,-1,5042.5,5050.0,67
2022-03-14,2022-03-14 10:45:00,BO,-1,5025.75,5042.25,26
2022-03-14,2022-03-14 11:10:00,BO,-1,5010.25,5023.75,31
2022-03-14,2022-03-14 13:40:00,OB,1,4985.75,4975.75,61
2022-03-14,2022-03-14 14:35:00,BO,-1,4981.25,4997.0,72
2022-03-14,2022-03-14 15:05:00,BO,1,4992.5,4980.0,78
2022-03-15,2022-03-15 09:05:00,BO,1,5026.25,5007.0,6
2022-03-15,2022-03-15 11:00:00,OB,-1,5044.0,5061.0,29
2022-03-15,2022-03-15 11:50:00,BO,-1,5051.5,5062.75,39
2022-03-15,2022-03-15 12:15:00,BO,-1,5044.0,5060.5,44
2022-03-15,2022-03-15 14:25:00,BO,1,5076.5,5063.75,70
2022-03-16,2022-03-16 08:40:00,BO,1,5136.75,5070.5,1
2022-03-16,2022-03-16 13:10:00,BO,-1,5093.5,5134.25,55
