date,dir,bos,size_adr,inside_run_before,next_bos
2024-03-01,1,0,0.23755458515283842,1,
2024-03-01,-1,1,0.2934497816593886,0,0.0
2024-03-01,-1,0,0.4192139737991266,0,0.0
2024-03-01,-1,0,0.2165938864628821,1,0.0
2024-03-01,-1,0,0.18165938864628822,2,0.0
2024-03-01,-1,0,0.32139737991266376,3,0.0
2024-03-01,-1,0,0.16768558951965065,4,0.0
2024-03-01,-1,0,0.16768558951965065,5,0.0
2024-03-01,-1,0,0.19563318777292577,6,0.0
2024-03-01,-1,0,0.2445414847161572,7,
2024-03-04,1,1,0.17050298380221654,0,1.0
2024-03-04,1,1,0.22506393861892582,0,1.0
2024-03-04,1,1,0.2796248934356351,0,1.0
2024-03-04,1,1,0.5183290707587382,0,0.0
2024-03-04,1,0,0.21142369991474852,0,
2024-03-04,-1,1,0.013640238704177323,0,0.0
2024-03-04,-1,0,0.15004262574595056,0,0.0
2024-03-04,-1,0,0.1977834612105712,1,0.0
2024-03-04,-1,0,0.2318840579710145,2,0.0
2024-03-04,-1,0,0.443307757885763,3,
2024-03-05,1,1,0.02882882882882883,0,0.0
2024-03-05,1,0,0.16576576576576577,0,1.0
2024-03-05,1,1,0.41081081081081083,1,0.0
2024-03-05,1,0,0.18018018018018017,0,0.0
2024-03-05,1,0,0.2018018018018018,1,0.0
2024-03-05,1,0,0.24504504504504504,2,0.0
2024-03-05,1,0,0.1945945945945946,3,0.0
2024-03-05,1,0,0.4252252252252252,4,0.0
2024-03-05,1,0,0.2018018018018018,5,0.0
2024-03-05,1,0,0.15135135135135136,6,0.0
2024-03-05,1,0,0.21621621621621623,7,0.0
2024-03-05,1,0,0.209009009009009,8,
2024-03-05,-1,1,0.25225225225225223,0,1.0
2024-03-05,-1,1,0.209009009009009,0,1.0
2024-03-05,-1,1,0.8864864864864865,0,1.0
2024-03-05,-1,1,0.23063063063063063,0,0.0
2024-03-05,-1,0,0.18018018018018017,0,1.0
2024-03-05,-1,1,0.4252252252252252,1,0.0
2024-03-05,-1,0,0.16576576576576577,0,0.0
2024-03-05,-1,0,0.23783783783783785,1,0.0
2024-03-05,-1,0,0.21621621621621623,2,0.0
2024-03-05,-1,0,0.23063063063063063,3,1.0
2024-03-05,-1,1,0.4252252252252252,4,1.0
2024-03-05,-1,1,0.7135135135135136,0,
2024-03-06,1,1,0.0855614973262032,0,0.0
2024-03-06,1,0,0.1925133689839572,0,0.0
2024-03-06,1,0,0.39215686274509803,1,0.0
2024-03-06,1,0,0.27807486631016043,2,1.0
2024-03-06,1,1,0.49910873440285203,3,1.0
2024-03-06,1,1,0.24242424242424243,0,1.0
2024-03-06,1,1,0.27807486631016043,0,1.0
2024-03-06,1,1,0.27807486631016043,0,0.0
2024-03-06,1,0,0.2638146167557932,0,0.0
2024-03-06,1,0,0.5062388591800356,1,0.0
2024-03-06,1,0,0.35650623885918004,2,0.0
2024-03-06,1,0,0.33511586452762926,3,0.0
2024-03-06,1,0,0.5490196078431373,4,0.0
2024-03-06,1,0,0.20677361853832443,5,0.0
2024-03-06,1,0,0.2994652406417112,6,0.0
2024-03-06,1,0,0.29233511586452765,7,0.0
2024-03-06,1,0,0.2709447415329768,8,0.0
2024-03-06,1,0,0.4919786096256685,9,0.0
2024-03-06,1,0,0.3065953654188948,10,
2024-03-06,-1,1,0.32798573975044565,0,1.0
2024-03-06,-1,1,0.5632798573975044,0,0.0
2024-03-06,-1,0,0.22103386809269163,0,0.0
2024-03-06,-1,0,0.16399286987522282,1,0.0
2024-03-06,-1,0,0.1711229946524064,2,0.0
2024-03-06,-1,0,0.20677361853832443,3,0.0
2024-03-06,-1,0,0.1568627450980392,4,0.0
2024-03-06,-1,0,0.29233511586452765,5,0.0
2024-03-06,-1,0,0.7201426024955436,6,0.0
2024-03-06,-1,0,0.5989304812834224,7,0.0
2024-03-06,-1,0,0.32085561497326204,8,0.0
2024-03-06,-1,0,0.5561497326203209,9,0.0
2024-03-06,-1,0,0.32798573975044565,10,0.0
2024-03-06,-1,0,0.32798573975044565,11,0.0
2024-03-06,-1,0,0.32085561497326204,12,0.0
2024-03-06,-1,0,0.33511586452762926,13,0.0
2024-03-06,-1,0,0.28520499108734404,14,0.0
2024-03-06,-1,0,0.3137254901960784,15,
2024-03-07,1,1,0.26550218340611353,0,0.0
2024-03-07,1,0,0.39126637554585153,0,1.0
2024-03-07,1,1,0.5310043668122271,1,0.0
2024-03-07,1,0,0.17467248908296942,0,1.0
2024-03-07,1,1,0.34934497816593885,1,1.0
2024-03-07,1,1,0.5240174672489083,0,0.0
2024-03-07,1,0,0.38427947598253276,0,0.0
2024-03-07,1,0,0.251528384279476,1,
2024-03-07,-1,1,0.125764192139738,0,1.0
2024-03-07,-1,1,0.41222707423580784,0,0.0
2024-03-07,-1,0,0.16768558951965065,0,0.0
