up,dt_entry,day,R_pts,hwb,entry_tick_low,entry_tick_high,conf400,conf800,outcome,target_first,resolved,mfe_pts,mae_pts,bars_to_out
True,2022-01-04 15:00:00,2022-01-04,33.75,5597.62,-30.0,15.0,False,False,stop,False,True,3.88,11.38,1.0
True,2022-01-06 14:30:00,2022-01-06,53.75,5505.12,-652.0,527.0,True,False,stop,False,True,9.88,10.12,1.0
False,2022-01-07 10:45:00,2022-01-07,62.0,5501.0,-77.0,622.0,True,False,target,True,True,70.5,3.5,18.0
True,2022-01-07 13:15:00,2022-01-07,34.5,5487.25,-507.0,325.0,True,False,stop,False,True,16.5,4.5,6.0
False,2022-01-10 13:00:00,2022-01-10,115.5,5446.75,-221.0,593.0,True,False,stop,False,True,7.25,15.25,2.0
False,2022-01-11 09:00:00,2022-01-11,37.75,5462.38,-193.0,561.0,True,False,stop,False,True,13.62,6.62,0.0
True,2022-01-13 11:15:00,2022-01-13,112.25,5499.62,-1032.0,201.0,True,True,stop,False,True,19.62,20.12,11.0
False,2022-01-12 10:30:00,2022-01-12,42.75,5534.38,-591.0,454.0,True,False,stop,False,True,8.12,5.12,4.0
True,2022-01-13 09:15:00,2022-01-13,39.5,5532.75,-472.0,157.0,True,False,stop,False,True,5.0,6.0,1.0
True,2022-01-14 09:30:00,2022-01-14,41.25,5451.38,-673.0,517.0,True,False,stop,False,True,5.12,8.12,0.0
False,2022-01-14 13:00:00,2022-01-14,49.75,5447.12,-609.0,619.0,True,False,stop,False,True,9.38,7.62,2.0
True,2022-01-18 08:30:00,2022-01-18,54.75,5449.62,-1205.0,64.0,True,True,stop,False,True,0.0,51.88,0.0
True,2022-01-18 14:15:00,2022-01-18,34.5,5394.75,-977.0,411.0,True,True,stop,False,True,5.75,8.25,0.0
False,2022-01-19 08:30:00,2022-01-19,35.75,5394.12,-237.0,703.0,True,False,stop,False,True,0.0,25.12,0.0
True,2022-01-19 09:15:00,2022-01-19,43.0,5397.75,-697.0,243.0,True,False,stop,False,True,10.5,11.5,0.0
False,2022-01-19 11:00:00,2022-01-19,48.75,5394.88,-176.0,592.0,True,False,stop,False,True,4.88,9.12,0.0
True,2022-01-19 12:30:00,2022-01-19,35.25,5388.12,-740.0,598.0,True,False,stop,False,True,7.88,15.62,2.0
False,2022-01-20 08:30:00,2022-01-20,68.25,5371.62,-144.0,625.0,True,False,stop,False,True,13.88,21.38,1.0
True,2022-01-20 13:00:00,2022-01-20,73.0,5374.0,-1007.0,772.0,True,True,stop,False,True,14.75,17.75,2.0
True,2022-01-21 10:45:00,2022-01-21,74.5,5266.0,-966.0,436.0,True,True,stop,False,True,10.25,11.75,1.0
False,2022-01-26 09:00:00,2022-01-26,101.0,5252.75,-540.0,619.0,True,False,target,True,True,86.5,9.75,19.0
True,2022-01-21 14:45:00,2022-01-21,32.75,5218.62,-967.0,739.0,True,True,stop,False,True,9.62,17.12,0.0
False,2022-01-24 14:15:00,2022-01-24,155.75,5157.12,-806.0,923.0,True,True,stop,False,True,24.38,34.12,1.0
True,2022-01-24 09:45:00,2022-01-24,52.0,5105.25,-777.0,746.0,True,False,stop,False,True,25.75,18.75,1.0
False,2022-01-24 11:45:00,2022-01-24,102.25,5080.12,-656.0,851.0,True,True,stop,False,True,25.38,22.62,1.0
False,2022-01-24 12:45:00,2022-01-24,30.25,5098.38,-231.0,996.0,True,True,stop,False,True,2.62,36.62,0.0
True,2022-01-24 13:15:00,2022-01-24,69.0,5117.75,-989.0,495.0,True,True,stop,False,True,13.0,18.25,0.0
False,2022-01-24 14:00:00,2022-01-24,70.5,5117.0,-591.0,985.0,True,True,stop,False,True,0.0,29.25,0.0
True,2022-01-25 08:30:00,2022-01-25,144.5,5154.0,-1395.0,145.0,True,True,stop,False,True,14.0,49.0,1.0
False,2022-01-25 09:45:00,2022-01-25,133.5,5159.5,-759.0,780.0,True,False,stop,False,True,46.0,25.5,12.0
