DateTime,Open,High,Low,Close,K,D,KSignalUp,KSignalDn,ZoneSignal
2024-01-11 15:15:00,5411.75,5429.25,5364.00,5406.75,83.4559,83.4559,0,0,0
2024-01-12 15:15:00,5402.50,5427.75,5382.75,5407.75,84.1912,84.1912,0,1,0
2024-01-15 12:00:00,5403.25,5414.25,5397.75,5404.75,81.9853,81.9853,0,0,0
2024-01-16 15:15:00,5402.75,5407.00,5370.75,5389.75,70.9559,70.9559,0,0,0
2024-01-17 15:15:00,5391.00,5392.00,5337.50,5362.50,45.6212,45.6212,0,0,0
2024-01-18 15:15:00,5359.25,5408.25,5354.75,5402.50,70.8447,70.8447,0,0,0
2024-01-19 15:15:00,5402.50,5465.50,5399.75,5460.75,96.2891,96.2891,0,1,-1
2024-01-22 15:15:00,5463.75,5489.50,5463.75,5472.25,88.6513,88.6513,0,0,0
2024-01-23 15:15:00,5473.00,5493.25,5465.50,5486.25,95.5056,95.5056,0,1,-1
2024-01-24 15:15:00,5491.50,5524.50,5480.25,5489.25,81.1497,81.1497,0,0,0
2024-01-25 15:15:00,5490.75,5517.75,5484.50,5514.50,94.6524,94.6524,0,1,-1
2024-01-26 15:15:00,5510.50,5525.50,5489.75,5507.50,90.4255,90.4255,0,0,0
2024-01-29 15:15:00,5500.00,5547.25,5493.00,5545.75,99.2208,99.2208,0,1,-1
2024-01-30 15:15:00,5541.50,5548.50,5524.25,5542.25,95.7983,95.7983,0,0,0
2024-01-31 15:15:00,5521.50,5529.25,5457.25,5461.75,4.9315,4.9315,1,0,1
2024-02-01 15:15:00,5465.75,5555.00,5463.75,5519.75,63.9386,63.9386,0,0,0
2024-02-02 15:15:00,5544.00,5589.00,5517.00,5571.50,86.7173,86.7173,0,1,-1
2024-02-05 15:15:00,5567.25,5572.00,5529.00,5553.25,72.8653,72.8653,0,0,0
2024-02-06 15:15:00,5550.75,5569.50,5545.75,5566.00,82.5427,82.5427,0,1,-1
2024-02-07 15:15:00,5562.75,5611.25,5561.25,5606.50,96.9156,96.9156,0,1,-1
2024-02-08 15:15:00,5607.00,5611.25,5595.00,5609.00,98.5390,98.5390,0,1,0
2024-02-09 15:15:00,5605.75,5639.75,5604.25,5635.25,97.5342,97.5342,0,0,0
2024-02-12 15:15:00,5633.75,5657.75,5622.75,5632.50,86.9845,86.9845,0,0,0
2024-02-13 15:15:00,5625.25,5631.25,5527.75,5562.50,32.3268,32.3268,0,0,0
2024-02-14 15:15:00,5565.50,5613.75,5560.00,5609.25,62.6923,62.6923,0,0,0
2024-02-15 15:15:00,5608.75,5643.00,5602.25,5637.75,84.6154,84.6154,0,1,-1
2024-02-16 15:15:00,5640.75,5650.50,5604.00,5611.00,64.0385,64.0385,0,0,0
2024-02-19 12:00:00,5607.75,5620.75,5607.50,5615.75,67.6923,67.6923,0,0,0
2024-02-20 15:15:00,5615.75,5616.00,5559.50,5582.75,42.3077,42.3077,0,0,0
2024-02-21 15:15:00,5581.25,5611.75,5550.25,5587.50,45.9615,45.9615,0,0,0
2024-02-22 15:15:00,5607.25,5699.00,5606.50,5689.00,94.1606,94.1606,0,1,-1
2024-02-23 15:15:00,5685.50,5714.75,5683.25,5692.75,86.6261,86.6261,0,0,0
2024-02-26 15:15:00,5686.25,5699.25,5667.50,5671.50,73.7082,73.7082,0,0,0
2024-02-27 15:15:00,5668.75,5684.25,5658.25,5681.25,79.6353,79.6353,0,0,0
2024-02-28 15:15:00,5682.00,5682.50,5654.50,5672.25,74.1641,74.1641,0,0,0
2024-02-29 15:15:00,5663.25,5705.75,5651.25,5695.00,87.9939,87.9939,0,1,-1
2024-03-01 15:15:00,5692.75,5740.50,5680.50,5737.25,98.2917,98.2917,0,1,-1
2024-03-04 15:15:00,5733.25,5749.00,5723.25,5729.50,86.3158,86.3158,0,0,0
2024-03-05 15:15:00,5725.00,5726.75,5654.25,5677.00,26.3427,26.3427,0,0,0
2024-03-06 15:15:00,5682.25,5725.75,5675.00,5703.00,52.9412,52.9412,0,0,0
2024-03-07 15:15:00,5705.50,5761.75,5677.75,5753.00,92.0814,92.0814,0,1,-1
2024-03-08 15:15:00,5750.50,5784.25,5713.00,5720.25,51.8797,51.8797,0,0,0
2024-03-11 15:15:00,5722.50,5723.00,5684.00,5712.75,46.2406,46.2406,0,0,0
2024-03-12 15:15:00,5718.75,5773.75,5703.25,5768.25,87.6923,87.6923,0,1,-1
2024-03-13 15:15:00,5765.25,5774.50,5744.50,5759.50,80.9615,80.9615,0,0,0
2024-03-14 15:15:00,5763.50,5780.50,5715.00,5745.00,69.8077,69.8077,0,0,0
2024-03-15 15:15:00,5743.00,5757.75,5694.75,5709.75,31.8078,31.8078,0,0,0
2024-03-18 15:15:00,5712.75,5767.25,5708.75,5741.75,60.0939,60.0939,0,0,0
2024-03-19 15:15:00,5742.25,5771.75,5713.00,5768.75,84.5387,84.5387,0,1,-1
2024-03-20 15:15:00,5766.75,5824.75,5760.00,5813.75,92.1847,92.1847,0,1,-1
2024-03-21 15:15:00,5821.75,5849.75,5820.50,5829.50,86.9355,86.9355,0,0,0
2024-03-22 15:15:00,5833.75,5838.75,5814.75,5820.25,80.9677,80.9677,0,0,0
2024-03-25 15:15:00,5817.50,5822.00,5799.50,5805.25,71.2903,71.2903,0,0,0
2024-03-26 15:15:00,5807.75,5827.50,5790.00,5792.25,62.9032,62.9032,0,0,0
2024-03-27 15:15:00,5800.25,5840.75,5797.75,5835.25,89.7163,89.7163,0,1,-1
2024-03-28 15:15:00,5835.00,5848.00,5828.00,5835.50,89.5795,89.5795,0,0,0
2024-04-01 15:15:00,5841.25,5860.50,5809.25,5822.25,61.9403,61.9403,0,0,0
2024-04-02 15:15:00,5821.50,5823.00,5762.00,5787.50,25.8883,25.8883,0,0,0
2024-04-03 15:15:00,5789.50,5807.75,5771.50,5793.50,31.9797,31.9797,0,0,0
2024-04-04 15:15:00,5797.75,5835.50,5719.50,5724.25,3.3688,3.3688,1,0,1
2024-04-05 15:15:00,5726.75,5799.50,5718.50,5780.00,43.3099,43.3099,0,0,0
2024-04-08 15:15:00,5790.25,5796.25,5763.50,5780.25,43.4859,43.4859,0,0,0
2024-04-09 15:15:00,5785.00,5801.25,5735.25,5787.25,48.4155,48.4155,0,0,0
2024-04-10 15:15:00,5791.25,5812.00,5703.50,5734.75,19.9045,19.9045,1,0,1
2024-04-11 15:15:00,5729.00,5784.50,5700.50,5770.25,51.6667,51.6667,0,0,0
2024-04-12 15:15:00,5771.00,5775.75,5677.00,5694.50,11.0410,11.0410,1,0,1
2024-04-15 15:15:00,5693.50,5740.25,5621.00,5631.00,4.6620,4.6620,1,0,1
2024-04-16 15:15:00,5628.25,5650.25,5605.75,5619.50,6.6667,6.6667,0,0,0
2024-04-17 15:15:00,5623.25,5647.50,5574.00,5589.25,6.4076,6.4076,1,0,1
2024-04-18 15:15:00,5590.00,5622.25,5565.50,5576.00,4.2596,4.2596,1,0,0
2024-04-19 15:15:00,5574.25,5585.00,5490.50,5530.75,12.5194,12.5194,0,0,0
2024-04-22 15:15:00,5544.50,5603.75,5533.00,5574.50,28.5714,28.5714,0,0,0
2024-04-23 15:15:00,5578.00,5640.50,5564.75,5633.50,50.1315,50.1315,0,0,0
2024-04-24 15:15:00,5642.25,5655.75,5599.25,5634.50,57.6577,57.6577,0,0,0
2024-04-25 15:15:00,5597.00,5659.75,5549.25,5609.25,70.1625,70.1625,0,0,0
2024-04-26 15:15:00,5659.00,5673.50,5631.50,5658.50,91.8033,91.8033,0,1,0
2024-04-29 15:15:00,5667.25,5681.25,5645.75,5674.00,96.1992,96.1992,0,1,0
2024-04-30 15:15:00,5675.50,5675.50,5578.00,5594.00,54.2595,54.2595,0,0,0
2024-05-01 15:15:00,5577.00,5653.75,5564.75,5573.50,27.3187,27.3187,0,0,0
2024-05-02 15:15:00,5584.00,5640.00,5563.25,5618.50,52.4621,52.4621,0,0,0
2024-05-03 15:15:00,5637.25,5693.75,5626.25,5681.75,91.6955,91.6955,0,1,-1
2024-05-06 15:15:00,5693.75,5734.75,5682.75,5733.50,99.3261,99.3261,0,1,-1
2024-05-07 15:15:00,5731.75,5753.75,5729.25,5740.75,93.1759,93.1759,0,0,0
2024-05-08 15:15:00,5738.75,5745.00,5715.75,5739.75,92.6509,92.6509,0,0,0
2024-05-09 15:15:00,5736.25,5771.75,5722.00,5766.00,97.2422,97.2422,0,1,-1
