d,beta,r2,spot
2021-12-08,249996.69736060573,0.9431726949685945,4698.7998046875
2021-12-09,233588.1668466751,0.8923971232659584,4678.2900390625
2021-12-10,297258.68809990684,0.9604747835671513,4705.97998046875
2021-12-13,231487.10281890573,0.8890680970522749,4686.81005859375
2021-12-14,207689.45658171162,0.8404588105670756,4633.5400390625
2021-12-15,121979.22496235126,0.9144237289692729,4691.8701171875
2021-12-16,171843.9094756643,0.7968553991579077,4671.81005859375
2021-12-17,230150.2884711397,0.8312282656880492,4630.7900390625
2021-12-20,239164.63978236567,0.8539717428241698,4559.2001953125
2021-12-21,251220.79692590883,0.9133519612274317,4634.31982421875
2021-12-22,241568.21675822,0.8525146293819528,4687.52001953125
2021-12-23,180766.1821034972,0.7446009428878775,4738.08984375
2021-12-27,147825.67151177162,0.6302979809602482,4784.66015625
2021-12-28,142533.64019546876,0.6491548330560527,4794.3798828125
2021-12-29,234271.1068486381,0.83740536825697,4800.35986328125
2021-12-30,171889.2300396212,0.6745314334799346,4786.10986328125
2021-12-31,275743.0221261401,0.9069581541867731,4783.10009765625
2022-01-03,296248.3532793037,0.855253469114891,4790.35986328125
2022-01-04,250145.0575298476,0.852124173429695,4802.89990234375
2022-01-05,282337.2554598065,0.9375039270699296,4719.89013671875
2022-01-06,210212.8726238226,0.7356039689889017,4698.9599609375
2022-01-07,262749.45143530815,0.8925527962995947,4684.4501953125
2022-01-10,240092.7191331151,0.8595880240084026,4653.72998046875
2022-01-11,267780.84310726094,0.9353742329339544,4707.2900390625
2022-01-12,250449.22074128472,0.9406219173276404,4728.919921875
2022-01-13,224804.59527610545,0.8883853034553689,4667.490234375
2022-01-14,231896.06080350035,0.8503571922176466,4662.9599609375
2022-01-18,239471.315788052,0.9245581008981554,4573.56005859375
2022-01-19,277128.1212811121,0.9120355078560546,4554.97021484375
2022-01-20,257769.23408288832,0.760846339927717,4504.22998046875
2022-01-21,246162.66742947302,0.9265455041428835,4410.8798828125
2022-01-24,242861.96032931245,0.9430913135952798,4377.68017578125
2022-01-25,239664.34817754204,0.922898192446253,4377.759765625
2022-01-26,235962.5307275367,0.9064685453559485,4336.75
2022-01-27,245247.44718938225,0.8936637359395214,4346.68994140625
2022-01-28,261389.72786130608,0.9381530245437343,4399.77001953125
2022-01-31,318103.9042767305,0.971953329851281,4496.08984375
2022-02-01,283820.6189466075,0.9261405300821527,4543.66015625
2022-02-02,296541.70272895397,0.9269391237634329,4589.56982421875
2022-02-03,284726.5819466388,0.9089599086934379,4482.259765625
2022-02-04,295495.8253484344,0.9782750449026686,4517.9599609375
2022-02-07,298370.8953897839,0.949519624918018,4485.83984375
2022-02-08,290084.57971011265,0.9081581842987432,4515.0
2022-02-09,334732.84349255427,0.9250025596331145,4580.66015625
2022-02-10,274687.1387795642,0.9354595827306015,4492.35986328125
2022-02-11,263591.578291808,0.971072534948373,4417.33984375
2022-02-14,262252.923959927,0.9730152942177791,4397.39013671875
2022-02-15,379852.32774497545,0.8795940057715196,4455.759765625
2022-02-16,238699.96403266556,0.840654896765617,4482.43994140625
2022-02-17,261388.83605177634,0.9611799429353363,4394.18017578125
2022-02-18,243586.0722139288,0.9323051472709836,4361.64990234375
2022-02-22,226693.38475585068,0.9138387486692517,4310.2099609375
