formula,dte,mode,prec_fit,jacc_fit,prec_holdout,jacc_holdout
tot_gob,d3_45,5up5dn,0.504181818181819,0.3469991624537081,0.5017405063291145,0.34395680537713264
max_gob,wexp30_d1,top10,0.5032727272727272,0.34698360291239555,0.4957278481012654,0.3374443627277528
tot_gobK2,d3_45,5up5dn,0.5030909090909099,0.3464030918576376,0.5056962025316463,0.34752304037486426
tot_gob,d3_45,top10,0.5030909090909095,0.34669896651180077,0.4952531645569624,0.337980648707321
tot_gob,d1_21,top10,0.5030909090909088,0.34780251818107166,0.49731012658227786,0.3380757171844987
max_gob,wexp30_d1,5up5dn,0.5021818181818178,0.34639602134113795,0.4968354430379745,0.3387211680996221
max_gob,wexp20_d1,5up5dn,0.49963636363636327,0.34526004345593375,0.5017405063291135,0.34310083618510395
tot_gob_h,d1_21,top10,0.4990909090909092,0.3432296253954009,0.470411392405064,0.3159180554556681
net_gob,d3_21,top10,0.4989090909090916,0.34737492875826675,0.549841772151898,0.3957184737804031
net_gob,d2_30,5up5dn,0.49854545454545496,0.3461183645450459,0.5286392405063284,0.37399269816261416
tot_gob,wexp30_d1,5up5dn,0.4967272727272723,0.3410213322343918,0.48481012658227846,0.32723106367882465
tot_gob,d3_60,5up5dn,0.4945454545454558,0.3400617586122798,0.47879746835443077,0.32294999304492955
tot_gob_h,d2_21,top10,0.49400000000000027,0.340281821565244,0.4800632911392404,0.3266181421320644
tot_gob,wexp20_d1,5up5dn,0.4938181818181813,0.33883551073812795,0.49113924050632907,0.3331650999455804
max_gob,wexp10_d1,top10,0.4934545454545451,0.34152385610449215,0.4996835443037974,0.34085784995595203
tot_gob,wexp30_d1,top10,0.4932727272727271,0.33765958484084,0.4718354430379745,0.3150342911041669
tot_gobK2,d3_60,top10,0.4930909090909098,0.3386031785708118,0.47420886075949403,0.31880417334599864
net_gob,d3_21,5up5dn,0.4927272727272726,0.3417974351382738,0.5368670886075942,0.38248194802893626
tot_gobK2,d3_60,5up5dn,0.49254545454545556,0.3382903274290837,0.48037974683544354,0.3244218654680307
tot_gob,d3_60,top10,0.49181818181818265,0.33750163305750164,0.46360759493670956,0.309812017574245
tot_gob,wexp20_d1,top10,0.49109090909090863,0.3363109111547051,0.47848101265822757,0.3209481224970909
max_gob,d3_60,top10,0.49072727272727373,0.33691527051926756,0.4746835443037981,0.3206921372727502
max_gob,wexp10_d1,5up5dn,0.49054545454545395,0.33902582531769077,0.4944620253164558,0.33663298571619577
max_gob,d3_60,5up5dn,0.4898181818181831,0.33641943164881555,0.47594936708860786,0.3218816304345071
tot_gob_h,d3_21,5up5dn,0.4881818181818187,0.3351189630334018,0.48037974683544377,0.3270182440919106
tot_gob,wexp10_d1,5up5dn,0.48290909090909034,0.33134876381710004,0.4865506329113925,0.32918058129314454
tot_gob_h,d2_30,5up5dn,0.4827272727272738,0.3312518549093277,0.4593354430379754,0.30739151196958725
net_gob,d3_30,top10,0.4825454545454552,0.33241907715451186,0.5156645569620248,0.3650793266086504
tot_gob,wexp10_d1,top10,0.4825454545454541,0.33067825347870333,0.4768987341772149,0.32000145118605455
net_gob,d1_21,top10,0.47890909090909095,0.32849183839895935,0.5063291139240502,0.35041012859722
net_gob,d3_30,5up5dn,0.476363636363637,0.32723179719239354,0.49636075949367076,0.3465475201058344
tot_gobK2,d3_90,5up5dn,0.4752727272727287,0.3237503575949965,0.4509493670886081,0.29846101904435574
tot_gob,d3_90,5up5dn,0.47490909090909234,0.3234519958260466,0.4490506329113931,0.29686683625601823
tot_gob_h,d3_21,top10,0.4741818181818193,0.3227211795928375,0.4553797468354433,0.30495035139732807
tot_gob_h,d2_30,top10,0.4721818181818197,0.32123888214234453,0.4270569620253174,0.27962078914997585
net_gob,wexp20_d1,top10,0.47218181818181804,0.3219739229716713,0.4949367088607594,0.33906193244820465
net_gob,d1_21,5up5dn,0.4719999999999998,0.32269499834374615,0.49746835443037934,0.3418077465538478
net_gob,d2_45,top10,0.47127272727272734,0.3223774186847649,0.5072784810126575,0.3558109800590305
tot_gobK2,d3_90,top10,0.4707272727272742,0.319450723776646,0.4400316455696211,0.2890769063651361
tot_gob,d3_90,top10,0.4698181818181834,0.31874874523481367,0.429746835443039,0.280903278264107
max_gob,d3_90,top10,0.4689090909090925,0.31917439504549033,0.4297468354430387,0.2810933344707402
net_gob,d2_45,5up5dn,0.4683636363636367,0.32005469762435707,0.48560126582278457,0.33542173172370726
max_gob,d3_90,5up5dn,0.46690909090909277,0.31793247219366055,0.4362341772151902,0.28696357405771755
tot_gob_h,d3_30,5up5dn,0.4665454545454563,0.3182675352292581,0.43892405063291207,0.28992364041057067
net_gob,wexp30_d1,top10,0.46618181818181814,0.3161357192077713,0.4846518987341774,0.33010247352156696
net_gob,wexp30_d1,5up5dn,0.46454545454545476,0.31465135999191707,0.4716772151898734,0.3196162709697808
net_gob,wexp10_d1,top10,0.46436363636363565,0.31774741598271,0.49272151898734157,0.33697158999531013
net_gob,wexp20_d1,5up5dn,0.46290909090909094,0.31423265417073426,0.4813291139240504,0.32766779723587974
tot_gob_h,d3_30,top10,0.45927272727272905,0.31121414080181375,0.40680379746835554,0.26287915061820727
net_gob,wexp10_d1,5up5dn,0.45909090909090866,0.31288954673559216,0.4810126582278483,0.32664384600716323
net_gob,d2_60,top10,0.45418181818181796,0.30853571343439107,0.47848101265822707,0.33090444260815993
net_gob,d2_60,5up5dn,0.45254545454545514,0.3079375585792701,0.45490506329113894,0.31011080425563964
tot_gob_h,d2_45,5up5dn,0.4514545454545473,0.30578575160337096,0.41170886075949475,0.2667186314130024
net_gob,d3_45,top10,0.44963636363636367,0.3048869112561769,0.4784810126582276,0.33100306765534837
net_gob,d3_45,5up5dn,0.44909090909090976,0.3048922224224789,0.45300632911392436,0.3086127030972625
tot_gob_h,d2_45,top10,0.4392727272727293,0.29372046754259024,0.3756329113924064,0.23771351072758
tot_gob_h,d3_45,5up5dn,0.4363636363636383,0.29364822031019633,0.3946202531645581,0.2530459609918898
tot_gob_h,d2_60,5up5dn,0.4329090909090929,0.2921092853108058,0.38512658227848257,0.24457202165445738
net_gob,d3_60,5up5dn,0.4312727272727277,0.29121722353076185,0.420886075949367,0.28240674398015625
net_gob,d3_60,top10,0.4305454545454545,0.28969805126855536,0.44778481012658194,0.30494364036463456
tot_gob_h,d3_45,top10,0.4261818181818202,0.28401369169030327,0.3558544303797481,0.22237272550421633
tot_gobK2,d3_inf,5up5dn,0.4216363636363658,0.28170370221453883,0.3667721518987357,0.23007537458687696
tot_gob_h,d3_60,5up5dn,0.41981818181818387,0.2821740296479959,0.3653481012658243,0.22942990273715883
tot_gob,d3_inf,5up5dn,0.4196363636363658,0.28005481868414667,0.3637658227848117,0.22796285125198212
tot_gob_h,d2_60,top10,0.4161818181818205,0.2753356978575109,0.3431962025316472,0.21282695738573174
max_gob,d3_inf,5up5dn,0.4114545454545472,0.2759904284038826,0.3515822784810139,0.21919172292330386
tot_gob,d3_inf,top10,0.4109090909090932,0.27116185484465843,0.34446202531645737,0.21298871899329427
max_gob,d3_inf,top10,0.4078181818181834,0.27223196980022263,0.344936708860761,0.2139714710770281
tot_gobK2,d3_inf,top10,0.40745454545454735,0.2692763797168529,0.3588607594936725,0.22422207258174465
tot_gob_h,d3_60,top10,0.4036363636363656,0.2658620548854158,0.32531645569620393,0.19952055413463474
net_gob,d3_90,top10,0.4007272727272729,0.2657563849978712,0.40806962025316423,0.2725961996031952
net_gob,d3_90,5up5dn,0.39963636363636384,0.2654779654470061,0.381487341772152,0.2501871089148693
tot_gob_h,d3_90,5up5dn,0.39309090909090993,0.2613059325513595,0.3319620253164572,0.20434455150036904
tot_gob_h,d3_90,top10,0.38054545454545563,0.24891506139043434,0.29145569620253287,0.17493241744843638
net_gob,d3_inf,top10,0.3399999999999993,0.22296366594283867,0.31518987341772153,0.19872377152572712
net_gob,d3_inf,5up5dn,0.3387272727272719,0.22276671728684125,0.3042721518987346,0.1916157277154359
tot_gob_h,d3_inf,5up5dn,0.33090909090908943,0.21702157226080712,0.2435126582278483,0.1424773773600053
tot_gob_h,d3_inf,top10,0.32181818181818,0.20851646977034013,0.2243670886075949,0.13017961181807902
