formula,dte,excl,prec_fit,jacc_fit,n_fit,prec_holdout,jacc_holdout,n_holdout
tot_oi,d0_60,excl7,0.19581818181818075,0.11585434689149986,550,0.12357594936708867,0.06876162079311007,632
tot_oi,d2_60,excl7,0.19381818181818072,0.11477357008316884,550,0.12215189873417728,0.06795510509333692,632
tot_oi,d5_60,excl7,0.19181818181818064,0.11349924757045626,550,0.11677215189873429,0.06490267381658456,632
tot_oi,d1_90,excl7,0.18963636363636263,0.11205608976506927,550,0.13164556962025328,0.07348722855786828,632
tot_oi,d5_inf,excl7,0.17036363636363558,0.10130573416951223,550,0.10427215189873468,0.057225058022320904,632
tot_oi,d2_inf,excl7,0.1701818181818174,0.10093472231243228,550,0.10822784810126623,0.05944947377129876,632
tot_oi,all,excl7,0.16945454545454472,0.10037644158387292,550,0.11012658227848136,0.060542971352432064,632
tot_oi,d1_inf,excl7,0.16945454545454472,0.10037644158387292,550,0.11012658227848136,0.060542971352432064,632
tot_oi,monthly,excl7,0.16745454545454475,0.09845752115102056,550,0.11598101265822798,0.0644636963157463,632
tot_oi,monthly_d1,excl7,0.16745454545454475,0.09845752115102056,550,0.11598101265822798,0.0644636963157463,632
net_oi,d1_30,excl7,0.06145454545454555,0.03585588302306575,550,0.019620253164556928,0.010468511188619337,632
net_oi,d0_30,excl7,0.06145454545454555,0.03585588302306575,550,0.019620253164556928,0.010468511188619337,632
net_oi,d5_60,excl7,0.05872727272727279,0.03433168482704093,550,0.007436708860759491,0.004063059267677758,632
net_oi,d2_60,excl7,0.05781818181818189,0.03362235803412277,550,0.00680379746835443,0.003696881817350525,632
net_oi,d1_45,excl7,0.05709090909090915,0.03316475234431894,550,0.011867088607594925,0.006369392082838027,632
net_oi,d1_90,excl7,0.0558181818181819,0.03228639781271361,550,0.009177215189873415,0.004944416140873406,632
net_oi,d0_60,excl7,0.055818181818181885,0.03220549144697753,550,0.009810126582278478,0.005292087410136164,632
net_oi,d1_60,excl7,0.055818181818181885,0.03220549144697753,550,0.009810126582278478,0.005292087410136164,632
net_oi,d5_inf,excl7,0.048909090909090965,0.028589812320462434,550,0.0041139240506329125,0.0023012980453118396,632
net_oi,d2_inf,excl7,0.04818181818181824,0.02804144943463824,550,0.003639240506329115,0.002022072431015488,632
net_oi,d1_inf,excl7,0.04800000000000006,0.02780786636823784,550,0.004430379746835444,0.002407436436711037,632
net_oi,all,excl7,0.04800000000000006,0.02780786636823784,550,0.004430379746835444,0.002407436436711037,632
net_oi,monthly_d1,excl7,0.039090909090909155,0.02265416214332619,550,0.0030063291139240515,0.0016116706509385892,632
net_oi,monthly,excl7,0.039090909090909155,0.02265416214332619,550,0.0030063291139240515,0.0016116706509385892,632
