spec,medabs_fit,medbias_fit,exact_fit,within5_fit,within25_fit,agree_fit,n_fit,medabs_hold,medbias_hold,exact_hold,within5_hold,within25_hold,agree_hold,n_hold
ex1|cspot|sm3_upflip_near,20.0,0.0,0.14233576642335766,0.40693430656934304,0.5492700729927007,0.9124087591240876,548,5.0,0.0,0.1360759493670886,0.5474683544303798,0.7136075949367089,0.9414556962025317,632
ex1|mqspot|g10_upflip_near,25.0,0.0,0.1551094890510949,0.30474452554744524,0.5145985401459854,0.9124087591240876,548,10.0,0.0,0.15981012658227847,0.46044303797468356,0.685126582278481,0.9256329113924051,632
all|cspot|sm3_flipneg_near,25.0,0.0,0.12773722627737227,0.3357664233576642,0.5072992700729927,0.8284671532846716,548,15.0,0.0,0.12341772151898735,0.4462025316455696,0.6661392405063291,0.8528481012658228,632
all|mqspot|sm3_flipneg_near,25.0,0.0,0.12956204379562045,0.34306569343065696,0.5127737226277372,0.8375912408759124,548,15.0,0.0,0.125,0.4477848101265823,0.6708860759493671,0.8639240506329114,632
all|mqspot|sm3_upflip_near,25.0,0.0,0.12956204379562045,0.3448905109489051,0.5072992700729927,0.8266423357664233,548,15.0,0.0,0.125,0.4509493670886076,0.6598101265822784,0.8481012658227848,632
ex1|cspot|g10_upflip_near,25.0,0.0,0.15145985401459855,0.3010948905109489,0.5145985401459854,0.9087591240875912,548,15.0,0.0,0.1550632911392405,0.4509493670886076,0.6772151898734177,0.9129746835443038,632
ex1|cspot|g10_flipneg_near,25.0,0.0,0.14963503649635038,0.28832116788321166,0.5127737226277372,0.8959854014598541,548,15.0,0.0,0.15348101265822786,0.44462025316455694,0.6787974683544303,0.9129746835443038,632
ex1|mqspot|g10_flipneg_near,25.0,0.0,0.1551094890510949,0.3029197080291971,0.5164233576642335,0.9087591240875912,548,12.5,0.0,0.15822784810126583,0.4525316455696203,0.6882911392405063,0.9256329113924051,632
all|cspot|sm3_upflip_near,25.0,0.0,0.13138686131386862,0.34306569343065696,0.5072992700729927,0.8193430656934306,548,15.0,0.0,0.125,0.4462025316455696,0.6598101265822784,0.8417721518987342,632
all|mqspot|g10_upflip_near,30.0,0.0,0.13138686131386862,0.2664233576642336,0.4854014598540146,0.8266423357664233,548,15.0,0.0,0.13132911392405064,0.41139240506329117,0.6487341772151899,0.8607594936708861,632
all|cspot|g10_upflip_near,30.0,0.0,0.13138686131386862,0.2645985401459854,0.47992700729927007,0.8211678832116789,548,15.0,0.0,0.12658227848101267,0.40822784810126583,0.6487341772151899,0.8512658227848101,632
all|cspot|g10_flipneg_near,30.0,0.0,0.13138686131386862,0.2572992700729927,0.47992700729927007,0.8266423357664233,548,15.0,0.0,0.12658227848101267,0.40664556962025317,0.6518987341772152,0.8591772151898734,632
all|mqspot|g10_flipneg_near,30.0,0.0,0.1332116788321168,0.26277372262773724,0.48905109489051096,0.8375912408759124,548,15.0,0.0,0.12974683544303797,0.4050632911392405,0.6518987341772152,0.8718354430379747,632
