eod_date,kind,strike,dist,mod25,reldist,our_rank
2021-10-13,FN,4340.0,-21.830078125,False,0.005004823207855225,14.0
2021-10-13,FN,4440.0,78.169921875,False,0.0179213285446167,22.0
2021-10-13,FN,4250.0,-111.830078125,True,0.025638341903686523,11.0
2021-10-13,FN,4475.0,113.169921875,True,0.025945544242858887,21.0
2021-10-13,FN,4445.0,83.169921875,False,0.01906764507293701,44.0
2021-10-14,FP,4450.0,17.02001953125,True,0.0038394081647645795,
2021-10-14,FP,4435.0,2.02001953125,False,0.00045567982263627904,
2021-10-14,FP,4430.0,-2.97998046875,False,0.0006722296247398951,
2021-10-14,FP,4375.0,-57.97998046875,True,0.013079233545877478,
2021-10-14,FN,4465.0,32.02001953125,False,0.0072231292724609375,13.0
2021-10-14,FN,4485.0,52.02001953125,False,0.011734724044799805,30.0
2021-10-14,FN,4470.0,37.02001953125,False,0.00835108757019043,15.0
2021-10-14,FN,4455.0,22.02001953125,False,0.004967331886291504,14.0
2021-10-15,FP,4460.0,-9.85009765625,False,0.0022036751660675646,
2021-10-15,FP,4525.0,55.14990234375,True,0.012338199523216131,
2021-10-15,FP,4400.0,-69.85009765625,True,0.015626944110021856,
2021-10-15,FP,4465.0,-4.85009765625,False,0.0010850694207380496,
2021-10-15,FP,4470.0,0.14990234375,False,3.353632459135447e-05,
2021-10-15,FP,4475.0,5.14990234375,True,0.0011521420699209806,
2021-10-15,FN,4675.0,205.14990234375,True,0.04589641094207764,124.0
2021-10-15,FN,4650.0,180.14990234375,True,0.04030334949493408,33.0
2021-10-15,FN,4625.0,155.14990234375,True,0.03471028804779053,64.0
2021-10-15,FN,4375.0,-94.85009765625,True,0.021219968795776367,14.0
2021-10-15,FN,4600.0,130.14990234375,True,0.029117226600646973,15.0
2021-10-15,FN,4575.0,105.14990234375,True,0.02352428436279297,39.0
2021-10-18,FP,4480.0,-6.27001953125,False,0.0013976019062501566,
2021-10-18,FP,4485.0,-1.27001953125,False,0.00028309030123485623,
2021-10-18,FP,4490.0,3.72998046875,False,0.0008314213037805551,
2021-10-18,FP,4525.0,38.72998046875,True,0.00863300253888788,
2021-10-18,FP,4530.0,43.72998046875,False,0.00974751414390318,
2021-10-18,FP,4475.0,-11.27001953125,True,0.002512113511265568,
2021-10-18,FN,4385.0,-101.27001953125,False,0.022573351860046387,55.0
2021-10-18,FN,4650.0,163.72998046875,True,0.03649580478668213,29.0
2021-10-18,FN,4375.0,-111.27001953125,True,0.024802327156066895,18.0
2021-10-18,FN,4600.0,113.72998046875,True,0.02535068988800049,16.0
2021-10-18,FN,4350.0,-136.27001953125,True,0.030374884605407715,12.0
2021-10-18,FN,4575.0,88.72998046875,True,0.019778132438659668,33.0
2021-10-19,FP,4450.0,-64.1201171875,True,0.014204344484180398,
2021-10-19,FP,4550.0,35.8798828125,True,0.007948366875725643,
2021-10-19,FP,4490.0,-24.1201171875,False,0.005343259940218004,
2021-10-19,FP,4475.0,-39.1201171875,True,0.008666166644203832,
2021-10-19,FP,4510.0,-4.1201171875,False,0.000912717668236751,
2021-10-19,FN,4545.0,30.8798828125,False,0.006840705871582031,35.0
2021-10-19,FN,4650.0,135.8798828125,True,0.03010106086730957,27.0
2021-10-19,FN,4625.0,110.8798828125,True,0.024562954902648926,46.0
2021-10-19,FN,4375.0,-139.1201171875,True,0.0308188796043396,29.0
2021-10-19,FN,4575.0,60.8798828125,True,0.013486504554748535,26.0
2021-10-20,FP,4545.0,10.97021484375,False,0.0024195286232271407,
2021-10-20,FP,4450.0,-84.02978515625,True,0.018533134791339778,
2021-10-20,FP,4520.0,-14.02978515625,False,0.003094330170079873,
2021-10-20,FP,4530.0,-4.02978515625,False,0.0008887866527570454,
2021-10-20,FP,4535.0,0.97021484375,False,0.000213985105904424,
2021-10-20,FP,4475.0,-59.02978515625,True,0.013019275998032653,
2021-10-20,FP,4540.0,5.97021484375,False,0.0013167568645657823,
2021-10-20,FP,4510.0,-24.02978515625,False,0.005299873687402812,
2021-10-20,FN,4800.0,265.97021484375,True,0.05866086483001709,145.0
2021-10-20,FN,4650.0,115.97021484375,True,0.025577783584594727,25.0
2021-10-20,FN,4750.0,215.97021484375,True,0.04763317108154297,102.0
2021-10-20,FN,4600.0,65.97021484375,True,0.014549970626831055,12.0
2021-10-20,FN,4250.0,-284.02978515625,True,0.06264400482177734,39.0
2021-10-20,FN,4700.0,165.97021484375,True,0.03660547733306885,23.0
2021-10-20,FN,4350.0,-184.02978515625,True,0.040588557720184326,26.0
2021-10-20,FN,4575.0,40.97021484375,True,0.00903618335723877,17.0
2021-10-21,FP,4545.0,0.9599609375,False,0.00021125714765890535,
2021-10-21,FP,4450.0,-94.0400390625,True,0.020695248777319653,
2021-10-21,FP,4560.0,15.9599609375,False,0.0035122843989712216,
2021-10-21,FP,4530.0,-14.0400390625,False,0.003089770103653522,
2021-10-21,FP,4535.0,-9.0400390625,False,0.0019894276865494165,
2021-10-21,FP,4475.0,-69.0400390625,True,0.015193536691799014,
2021-10-21,FP,4540.0,-4.0400390625,False,0.0008890852694453111,
2021-10-21,FN,4800.0,255.9599609375,True,0.056328773498535156,96.0
2021-10-21,FN,4650.0,105.9599609375,True,0.02331840991973877,20.0
