level,method,band,spot,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
gw0,maxcg_ge,b05,spoteod,495,0.2222222222222222,0.5696969696969697,25.0,632,0.28164556962025317,0.6740506329113924,20.0
gw0,maxtot_ge,none,spoteod,495,0.2080808080808081,0.5333333333333333,25.0,632,0.26424050632911394,0.6534810126582279,20.0
gw0,maxtot_ge,b05,spoteod,495,0.20606060606060606,0.5313131313131313,25.0,632,0.26424050632911394,0.6534810126582279,20.0
gw0,maxcg_ge,b02,spoteod,495,0.20404040404040405,0.5535353535353535,25.0,632,0.27848101265822783,0.6740506329113924,20.0
gw0,maxtot_ge,b02,spoteod,495,0.19595959595959597,0.5212121212121212,25.0,632,0.2610759493670886,0.6534810126582279,20.0
gw0,maxnet_ge,none,spoteod,495,0.1898989898989899,0.5353535353535354,25.0,632,0.22784810126582278,0.6376582278481012,20.0
gw0,maxnet_ge,b05,spoteod,495,0.18585858585858586,0.5292929292929293,25.0,632,0.22784810126582278,0.6376582278481012,20.0
gw0,maxnet_ge,b02,spoteod,495,0.16363636363636364,0.5333333333333333,25.0,632,0.2310126582278481,0.6439873417721519,20.0
gw0,maxcg_ge,none,spotprev,495,0.16161616161616163,0.4505050505050505,40.0,632,0.19936708860759494,0.5443037974683544,25.0
gw0,maxcg_ge,b05,spotprev,495,0.16161616161616163,0.4505050505050505,40.0,632,0.19936708860759494,0.5443037974683544,25.0
gw0,maxcg,none,spotprev,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
gw0,maxcg,b05,spotprev,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
gw0,maxcg,none,spoteod,495,0.1595959595959596,0.4161616161616162,45.0,632,0.16930379746835442,0.4525316455696203,35.0
gw0,maxcg,b05,spoteod,495,0.15757575757575756,0.4121212121212121,45.0,632,0.16930379746835442,0.4509493670886076,35.0
gw0,maxcg_ge,b02,spotprev,495,0.15555555555555556,0.4444444444444444,40.0,632,0.1962025316455696,0.5411392405063291,25.0
gw0,maxcg,b02,spotprev,495,0.15353535353535352,0.4080808080808081,45.0,632,0.1661392405063291,0.4509493670886076,35.0
gw0,maxtot_ge,none,spotprev,495,0.14747474747474748,0.43434343434343436,40.0,632,0.18354430379746836,0.504746835443038,25.0
gw0,maxtot_ge,b05,spotprev,495,0.14747474747474748,0.43434343434343436,40.0,632,0.18354430379746836,0.504746835443038,25.0
gw0,maxnet,none,spotprev,495,0.14545454545454545,0.4303030303030303,35.0,632,0.1550632911392405,0.5031645569620253,25.0
gw0,maxnet,b05,spotprev,495,0.14545454545454545,0.42828282828282827,35.0,632,0.1550632911392405,0.5031645569620253,25.0
gw0,maxnet,none,spoteod,495,0.14545454545454545,0.4303030303030303,35.0,632,0.1550632911392405,0.5031645569620253,25.0
gw0,maxtot_ge,b02,spotprev,495,0.14343434343434344,0.4303030303030303,40.0,632,0.1819620253164557,0.5015822784810127,25.0
gw0,maxnet,b05,spoteod,495,0.1414141414141414,0.4222222222222222,35.0,632,0.1550632911392405,0.5031645569620253,25.0
gw0,maxnet_ge,none,spotprev,495,0.1393939393939394,0.45454545454545453,30.0,632,0.15981012658227847,0.5332278481012658,25.0
gw0,maxnet_ge,b05,spotprev,495,0.1393939393939394,0.45252525252525255,35.0,632,0.15981012658227847,0.5332278481012658,25.0
gw0,maxcg,b02,spoteod,495,0.1393939393939394,0.3939393939393939,50.0,632,0.1661392405063291,0.45569620253164556,35.0
gw0,maxnet,b02,spotprev,495,0.12727272727272726,0.4303030303030303,35.0,632,0.15031645569620253,0.5110759493670886,25.0
