level,slice,meas,side,target,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
gw0,E01,po,le,max,550,0.0,0.0,700.0,632,0.0,0.0015822784810126582,1122.5
gw0,E01,neto,none,min,550,0.0,0.0018181818181818182,750.0,632,0.0,0.0015822784810126582,1200.0
gw0,E01,neto,le,min,550,0.0,0.0,750.0,632,0.0,0.0015822784810126582,1200.0
hvl0,E01,flipW0,near,flip,548,0.05656934306569343,0.4343065693430657,35.0,632,0.08860759493670886,0.5443037974683544,25.0
hvl0,E0,flipW0,near,flip,493,0.07302231237322515,0.5314401622718052,25.0,632,0.08702531645569621,0.615506329113924,20.0
hvl0,E0,flipW10,near,flip,493,0.06490872210953347,0.537525354969574,25.0,632,0.07753164556962025,0.5759493670886076,20.0
hvl0,E01,flipW10,near,flip,548,0.051094890510948905,0.5291970802919708,25.0,632,0.060126582278481014,0.6424050632911392,20.0
hvl0,E01,flipW25,near,flip,548,0.03832116788321168,0.48722627737226276,30.0,632,0.05063291139240506,0.5474683544303798,25.0
hvl0,E0,flipW25,near,flip,493,0.04665314401622718,0.4847870182555781,30.0,632,0.04430379746835443,0.5316455696202531,25.0
ps0,E01,netg,le,min,550,0.2018181818181818,0.4254545454545455,40.0,632,0.20253164556962025,0.5079113924050633,25.0
ps0,E0,pg,le,max,495,0.16565656565656567,0.4666666666666667,30.0,632,0.1661392405063291,0.4920886075949367,30.0
ps0,E01,pg,le,max,550,0.16727272727272727,0.43272727272727274,40.0,632,0.1550632911392405,0.4651898734177215,30.0
ps0,E0,totg,le,max,495,0.15757575757575756,0.4626262626262626,35.0,632,0.15348101265822786,0.4620253164556962,30.0
ps0,E01,netg,none,min,550,0.15454545454545454,0.3654545454545455,50.0,632,0.14240506329113925,0.44462025316455694,35.0
ps0,E01,totg,le,max,550,0.14909090909090908,0.4072727272727273,40.0,632,0.1360759493670886,0.43829113924050633,35.0
ps0,E0,netg,le,min,495,0.14343434343434344,0.4161616161616162,40.0,632,0.13132911392405064,0.47310126582278483,30.0
ps0,E01,cg,le,max,550,0.11454545454545455,0.3781818181818182,50.0,632,0.125,0.4208860759493671,35.0
ps0,E0,cg,le,max,495,0.10909090909090909,0.44646464646464645,35.0,632,0.12025316455696203,0.4509493670886076,30.0
ps0,E0,pg,none,max,495,0.08686868686868687,0.3474747474747475,50.0,632,0.11392405063291139,0.37816455696202533,45.0
ps0,E0,netg,none,min,495,0.10909090909090909,0.37373737373737376,50.0,632,0.0981012658227848,0.41455696202531644,40.0
ps0,E0,co,le,max,495,0.09696969696969697,0.34545454545454546,50.0,632,0.08860759493670886,0.3259493670886076,50.0
ps0,E0,totg,none,max,495,0.06060606060606061,0.2767676767676768,50.0,632,0.07120253164556962,0.2879746835443038,50.0
ps0,E01,pg,none,max,550,0.08545454545454545,0.3018181818181818,50.0,632,0.0680379746835443,0.3401898734177215,50.0
ps0,E01,co,le,max,550,0.09454545454545454,0.22,80.0,632,0.06645569620253164,0.2120253164556962,100.0
ps0,E01,totg,none,max,550,0.06181818181818182,0.2727272727272727,60.0,632,0.0490506329113924,0.2974683544303797,50.0
ps0,E01,neto,ge,min,550,0.06909090909090909,0.1709090909090909,110.0,632,0.04430379746835443,0.16139240506329114,105.0
ps0,E01,cg,none,max,550,0.04363636363636364,0.22363636363636363,75.0,632,0.04113924050632911,0.27531645569620256,50.0
ps0,E01,netg,ge,min,550,0.06,0.18727272727272729,85.0,632,0.03955696202531646,0.14873417721518986,90.0
ps0,E01,neto,le,max,550,0.02909090909090909,0.2,92.5,632,0.0379746835443038,0.27848101265822783,50.0
ps0,E0,cg,none,max,495,0.03232323232323232,0.19797979797979798,75.0,632,0.03639240506329114,0.19778481012658228,60.0
ps0,E01,netg,le,max,550,0.02909090909090909,0.27454545454545454,67.5,632,0.03481012658227848,0.31329113924050633,45.0
ps0,E0,netg,le,max,495,0.024242424242424242,0.2606060606060606,85.0,632,0.030063291139240507,0.2689873417721519,50.0
ps0,E0,neto,le,max,495,0.024242424242424242,0.22626262626262628,100.0,632,0.028481012658227847,0.254746835443038,60.0
ps0,E0,neto,ge,min,495,0.03838383838383838,0.1494949494949495,125.0,632,0.02531645569620253,0.13765822784810128,150.0
ps0,E01,po,ge,max,550,0.03636363636363636,0.09636363636363636,150.0,632,0.023734177215189875,0.0981012658227848,100.0
ps0,E0,pg,ge,max,495,0.022222222222222223,0.16363636363636364,75.0,632,0.022151898734177215,0.14715189873417722,75.0
ps0,E0,po,ge,max,495,0.022222222222222223,0.11515151515151516,100.0,632,0.022151898734177215,0.1281645569620253,85.0
ps0,E0,netg,ge,min,495,0.03636363636363636,0.16363636363636364,100.0,632,0.022151898734177215,0.125,132.5
ps0,E01,pg,ge,max,550,0.04363636363636364,0.15454545454545454,80.0,632,0.022151898734177215,0.14082278481012658,75.0
ps0,E01,totg,ge,max,550,0.03272727272727273,0.14727272727272728,80.0,632,0.0189873417721519,0.13449367088607594,75.0
