level,lo,hi,grid,band,side,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr,1,150,m100,none,none,549,0.5919854280510018,0.5974499089253188,0.0,632,0.7325949367088608,0.7357594936708861,0.0
cr,1,150,m100,b30,none,549,0.5919854280510018,0.5974499089253188,0.0,632,0.7325949367088608,0.7357594936708861,0.0
cr,2,150,m100,none,ge,549,0.5919854280510018,0.5956284153005464,0.0,632,0.7658227848101266,0.7689873417721519,0.0
cr,2,150,m100,b30,ge,549,0.5919854280510018,0.5956284153005464,0.0,632,0.7658227848101266,0.7689873417721519,0.0
cr,1,150,m100,b20,none,549,0.5901639344262295,0.5956284153005464,0.0,632,0.7325949367088608,0.7373417721518988,0.0
cr,2,150,m100,b20,ge,549,0.5901639344262295,0.5938069216757741,0.0,632,0.7658227848101266,0.7705696202531646,0.0
cr,2,90,m50,none,none,549,0.5828779599271403,0.6029143897996357,0.0,632,0.7705696202531646,0.7816455696202531,0.0
cr,2,90,m50,b30,none,549,0.5828779599271403,0.6029143897996357,0.0,632,0.7705696202531646,0.7816455696202531,0.0
cr,2,90,m25,none,none,549,0.581056466302368,0.6010928961748634,0.0,632,0.7705696202531646,0.7816455696202531,0.0
cr,2,90,m25,b30,none,549,0.581056466302368,0.6010928961748634,0.0,632,0.7705696202531646,0.7816455696202531,0.0
cr,2,90,m50,b20,none,549,0.581056466302368,0.6010928961748634,0.0,632,0.7705696202531646,0.7816455696202531,0.0
cr,1,150,m50,none,none,549,0.5792349726775956,0.5901639344262295,0.0,632,0.7468354430379747,0.7531645569620253,0.0
cr,1,150,m50,none,ge,549,0.5792349726775956,0.5901639344262295,0.0,632,0.7879746835443038,0.7943037974683544,0.0
cr,1,150,m50,b30,none,549,0.5792349726775956,0.5901639344262295,0.0,632,0.7468354430379747,0.7531645569620253,0.0
cr,1,150,m50,b30,ge,549,0.5792349726775956,0.5901639344262295,0.0,632,0.7879746835443038,0.7943037974683544,0.0
cr,2,90,m25,b20,none,549,0.5792349726775956,0.599271402550091,0.0,632,0.7705696202531646,0.7816455696202531,0.0
cr,1,150,m50,b20,none,549,0.5774134790528234,0.5883424408014571,0.0,632,0.7468354430379747,0.754746835443038,0.0
cr,1,150,m50,b20,ge,549,0.5774134790528234,0.5883424408014571,0.0,632,0.7879746835443038,0.7958860759493671,0.0
cr,1,150,m100,none,ge,549,0.5774134790528234,0.581056466302368,0.0,632,0.740506329113924,0.7436708860759493,0.0
cr,1,150,m100,b30,ge,549,0.5774134790528234,0.581056466302368,0.0,632,0.740506329113924,0.7436708860759493,0.0
cr,2,120,m100,none,ge,549,0.5774134790528234,0.5828779599271403,0.0,632,0.745253164556962,0.7531645569620253,0.0
cr,2,120,m100,b30,ge,549,0.5774134790528234,0.5828779599271403,0.0,632,0.745253164556962,0.7531645569620253,0.0
cr,1,150,m100,b20,ge,549,0.575591985428051,0.5792349726775956,0.0,632,0.740506329113924,0.745253164556962,0.0
cr,2,120,m100,b20,ge,549,0.575591985428051,0.581056466302368,0.0,632,0.745253164556962,0.7531645569620253,0.0
cr,1,120,m100,none,none,549,0.5737704918032787,0.581056466302368,0.0,632,0.7199367088607594,0.7278481012658228,0.0
cr,1,120,m100,b30,none,549,0.5737704918032787,0.581056466302368,0.0,632,0.7199367088607594,0.7278481012658228,0.0
cr,2,90,m100,none,none,549,0.5737704918032787,0.5901639344262295,0.0,632,0.7357594936708861,0.7436708860759493,0.0
cr,2,90,m100,b30,none,549,0.5737704918032787,0.5901639344262295,0.0,632,0.7357594936708861,0.7436708860759493,0.0
cr,1,120,m100,b20,none,549,0.5719489981785064,0.5792349726775956,0.0,632,0.7199367088607594,0.7278481012658228,0.0
cr,1,150,m25,none,ge,549,0.5719489981785064,0.5901639344262295,0.0,632,0.754746835443038,0.7784810126582279,0.0
cr,1,150,m25,b30,ge,549,0.5719489981785064,0.5901639344262295,0.0,632,0.754746835443038,0.7784810126582279,0.0
cr,2,90,m100,b20,none,549,0.5719489981785064,0.5883424408014571,0.0,632,0.7357594936708861,0.7436708860759493,0.0
cr,1,150,m25,b20,ge,549,0.5701275045537341,0.5883424408014571,0.0,632,0.754746835443038,0.7800632911392406,0.0
cr,1,150,m25,none,none,549,0.5683060109289617,0.5865209471766849,0.0,632,0.6993670886075949,0.7294303797468354,0.0
cr,1,150,m25,b30,none,549,0.5683060109289617,0.5865209471766849,0.0,632,0.6993670886075949,0.7294303797468354,0.0
cr,1,120,m50,none,ge,549,0.5664845173041895,0.5828779599271403,0.0,632,0.7642405063291139,0.7753164556962026,0.0
cr,1,120,m50,b30,ge,549,0.5664845173041895,0.5828779599271403,0.0,632,0.7642405063291139,0.7753164556962026,0.0
cr,1,150,m25,b20,none,549,0.5664845173041895,0.5846994535519126,0.0,632,0.6993670886075949,0.7310126582278481,0.0
cr,1,120,m50,none,none,549,0.5646630236794171,0.5792349726775956,0.0,632,0.7231012658227848,0.7341772151898734,0.0
cr,1,120,m50,b20,ge,549,0.5646630236794171,0.581056466302368,0.0,632,0.7642405063291139,0.7753164556962026,0.0
cr,1,120,m50,b30,none,549,0.5646630236794171,0.5792349726775956,0.0,632,0.7231012658227848,0.7341772151898734,0.0
