weight,combo,beta_global,r2_fit,r2_holdout,beta_day_median,beta_day_cv,spot_power,n_days
all,call,72549.75537423202,0.12782111802550122,-4.79919714984014e+37,101767.46522040054,0.6291510975029723,3.4001502745274528,311
d20,call,115284.83926626942,0.12778612247987098,0.17909042996878155,173214.2947442936,0.6144661695766518,3.0593533470784244,314
ex1,call,79046.68826760426,0.12662454517731836,-5.697233839492196e+37,110943.31844448937,0.6630246575733315,3.0366110134465494,317
isqrt,call,162140.0224855402,0.10692332850185005,-1.2124685286834597e+35,266260.6756797163,0.6353620587813862,3.840861926262917,309
exp10,call,147281.9548983712,0.10455361986422573,0.12654202894877487,268343.1574735455,0.6115647039974893,3.9901976059049082,304
d7,call,136588.3474540119,0.08670773197867498,0.08623755761442642,274192.11535408016,0.7690865516967065,3.233359119204014,300
inv,call,182376.06568839212,0.06660664678159844,-7.759237278627944e+31,386289.98829365394,0.7964208670428652,4.2816621426795125,297
monthly,call,79681.06759647976,0.06477529732594445,-5.789045657144346e+37,172120.58655760932,0.7257457329674671,3.9443708662485135,300
dte1,net,234219.43973370473,0.04360308384401679,-0.04732434853902534,453240.711269101,18.94984471581149,-0.03230900327605183,388
ex1,put,39853.386120163705,0.026809964590021718,-3.2142069384889594e+40,103096.14161586828,0.7080846206665653,-4.99641230240071,338
all,put,36040.53942588907,0.025228237574902,-2.6286087277954196e+40,97922.53851391068,0.6866095442168139,-4.928074798190315,336
d90,put,40365.882633848036,0.022613124459479716,-0.16544418118232174,123415.71469786725,0.6722426138781055,-4.848612610652144,334
dte1,call,140302.606038679,0.020585996579664534,-0.046169093002271566,256949.09220094097,13.20149078236447,5.9192630045393875,247
d45,tot,21618.448551858863,0.02018528088582816,0.0005651864251301486,80406.19184632154,0.7249722421097118,3.9462661845637292,267
d60,put,40883.95810249692,0.019676324099380582,-0.15804995536309407,133262.5526371516,0.701009237078114,-4.989590254693882,335
d20,tot,26585.16917209429,0.019160902178441797,-0.009533375316163717,99883.55234550261,0.7443168285811408,3.083381111254393,272
d30,tot,23564.59838563497,0.018791207916403097,-0.005086037108077424,91480.98155067624,0.730846970518182,3.2468952636272395,268
exp30,tot,27126.245884016244,0.018516595856965745,-0.007708141388237166,103968.43084244835,0.7134977201244523,3.5943526531150636,269
exp60,put,46106.4716524168,0.01821461660099699,-1066933285455.8271,160100.68780064845,0.6850040961527053,-4.717673989535766,334
d60,tot,19426.816755374093,0.01810060013797521,-0.004526203408319995,73996.62568842102,0.7380981225788382,4.128095537113218,265
d30,put,46947.58136139485,0.017778087908402518,-0.14983019702693023,162505.67667225283,0.6893252159736255,-4.322105466068506,332
exp60,tot,22380.024210705113,0.017563593436440983,-262167427810.7255,86729.30981282494,0.7191619661825325,3.701626675403421,266
d45,put,41071.92524798794,0.01721617891607674,-0.1543450056755966,145642.04301249832,0.7123182096542675,-4.872479256310703,335
exp10,tot,34932.191497148895,0.016154653882402004,-0.02273407093157953,153990.53164952094,0.7248615055442778,2.919275578557511,271
d90,tot,16915.607942778708,0.015474110807128016,-0.00995888861892369,68740.24096432465,0.7490798144265622,3.7360747600358173,264
exp30,put,49980.187294372095,0.014796994299802857,-0.14577670955106647,197085.7132130466,0.706907094600317,-4.612094085041921,334
monthly,put,39628.829190772805,0.01475683525345517,-3.178087598588421e+40,139236.780806367,0.8036790087129323,-4.47949982533715,342
isqrt,tot,36404.62777798886,0.014645292373034358,-1.4147965124135437e+37,158047.2583970267,0.7324594887686628,3.7530767228094404,270
d7,tot,32389.240626848135,0.013254303008442658,-0.0371853239819826,153858.40901507565,0.826295549525795,2.894031906185086,278
d20,put,44735.123682226586,0.012283579606988448,-0.1385203449766892,201279.03760142892,0.7497250647511834,-4.659524781413797,330
isqrt,put,67003.84802885646,0.011877858277362652,-4.595536301343708e+37,292173.31716188416,0.7344792232147243,-4.014360375749163,333
