level,slice,method,band,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
gw0,d1,maxtot_ge,b05,497,0.05432595573440644,0.41448692152917505,35.0,632,0.0981012658227848,0.4889240506329114,30.0
gw0,d01,maxtot_ge,none,497,0.05432595573440644,0.41448692152917505,35.0,632,0.0981012658227848,0.4889240506329114,30.0
gw0,d01,maxtot_ge,b02,497,0.05432595573440644,0.41448692152917505,35.0,632,0.0981012658227848,0.4889240506329114,30.0
gw0,d01,maxtot_ge,b05,497,0.05432595573440644,0.41448692152917505,35.0,632,0.0981012658227848,0.4889240506329114,30.0
hvl0,d1,flip,b02,424,0.07075471698113207,0.5259433962264151,25.0,541,0.07578558225508318,0.6321626617375231,20.0
hvl0,d01,flip,b02,424,0.07075471698113207,0.5259433962264151,25.0,541,0.07578558225508318,0.6321626617375231,20.0
hvl0,d1,flip,b05,450,0.06666666666666667,0.5133333333333333,25.0,558,0.07706093189964158,0.6326164874551972,20.0
hvl0,d01,flip,b05,450,0.06666666666666667,0.5133333333333333,25.0,558,0.07706093189964158,0.6326164874551972,20.0
hvl0,d1,flip,none,455,0.06593406593406594,0.5076923076923077,25.0,564,0.07624113475177305,0.625886524822695,20.0
hvl0,d01,flip,none,455,0.06593406593406594,0.5076923076923077,25.0,564,0.07624113475177305,0.625886524822695,20.0
hvl0,d1,cumcross,b02,233,0.060085836909871244,0.5321888412017167,25.0,307,0.03908794788273615,0.5732899022801303,25.0
hvl0,d01,cumcross,b02,233,0.060085836909871244,0.5321888412017167,25.0,307,0.03908794788273615,0.5732899022801303,25.0
hvl0,d1,cumcross,b05,237,0.05907172995780591,0.510548523206751,25.0,312,0.038461538461538464,0.5608974358974359,25.0
hvl0,d01,cumcross,b05,237,0.05907172995780591,0.510548523206751,25.0,312,0.038461538461538464,0.5608974358974359,25.0
hvl0,d1,cumcross,none,314,0.050955414012738856,0.4012738853503185,40.0,359,0.033426183844011144,0.5013927576601671,25.0
hvl0,d01,cumcross,none,314,0.050955414012738856,0.4012738853503185,40.0,359,0.033426183844011144,0.5013927576601671,25.0
hvl0,d1,maxtot,none,495,0.024242424242424242,0.31717171717171716,45.0,632,0.02531645569620253,0.3449367088607595,45.0
hvl0,d1,maxtot,b02,495,0.024242424242424242,0.31717171717171716,45.0,632,0.02531645569620253,0.3449367088607595,45.0
hvl0,d1,maxtot,b05,495,0.024242424242424242,0.31717171717171716,45.0,632,0.02531645569620253,0.3449367088607595,45.0
hvl0,d01,maxtot,none,495,0.024242424242424242,0.31717171717171716,45.0,632,0.02531645569620253,0.3449367088607595,45.0
hvl0,d01,maxtot,b02,495,0.024242424242424242,0.31717171717171716,45.0,632,0.02531645569620253,0.3449367088607595,45.0
hvl0,d01,maxtot,b05,495,0.024242424242424242,0.31717171717171716,45.0,632,0.02531645569620253,0.3449367088607595,45.0
hvl0,d1,minabsnet,b02,495,0.01616161616161616,0.1414141414141414,80.0,632,0.007911392405063292,0.09177215189873418,100.0
hvl0,d01,minabsnet,b02,495,0.01616161616161616,0.1414141414141414,80.0,632,0.007911392405063292,0.09177215189873418,100.0
hvl0,d1,minabsnet,b05,495,0.006060606060606061,0.048484848484848485,155.0,632,0.0,0.04430379746835443,235.0
hvl0,d01,minabsnet,b05,495,0.006060606060606061,0.048484848484848485,155.0,632,0.0,0.04430379746835443,235.0
hvl0,d1,minabsnet,none,495,0.0,0.00808080808080808,3000.0,632,0.0,0.020569620253164556,3707.5
hvl0,d01,minabsnet,none,495,0.0,0.00808080808080808,3000.0,632,0.0,0.020569620253164556,3707.5
ps0,d1,minnet_le,b02,497,0.09859154929577464,0.4708249496981891,30.0,632,0.09177215189873418,0.47468354430379744,30.0
ps0,d01,minnet_le,b02,497,0.09859154929577464,0.4708249496981891,30.0,632,0.09177215189873418,0.47468354430379744,30.0
ps0,d1,minnet,b02,497,0.09456740442655935,0.44466800804828976,35.0,632,0.09335443037974683,0.4588607594936709,30.0
ps0,d1,minnet_le,b05,497,0.09456740442655935,0.4386317907444668,35.0,632,0.08227848101265822,0.4177215189873418,35.0
ps0,d01,minnet,b02,497,0.09456740442655935,0.44466800804828976,35.0,632,0.09335443037974683,0.4588607594936709,30.0
ps0,d01,minnet_le,b05,497,0.09456740442655935,0.4386317907444668,35.0,632,0.08227848101265822,0.4177215189873418,35.0
ps0,d1,minnet_le,none,497,0.09054325955734406,0.41851106639839036,40.0,632,0.08069620253164557,0.40664556962025317,40.0
ps0,d1,minnet,b05,497,0.09054325955734406,0.4124748490945674,40.0,632,0.08386075949367089,0.40189873417721517,40.0
ps0,d01,minnet_le,none,497,0.09054325955734406,0.41851106639839036,40.0,632,0.08069620253164557,0.40664556962025317,40.0
ps0,d01,minnet,b05,497,0.09054325955734406,0.4124748490945674,40.0,632,0.08386075949367089,0.40189873417721517,40.0
ps0,d1,minnet,none,497,0.08651911468812877,0.3963782696177062,45.0,632,0.08227848101265822,0.39082278481012656,40.0
ps0,d01,minnet,none,497,0.08651911468812877,0.3963782696177062,45.0,632,0.08227848101265822,0.39082278481012656,40.0
ps0,d1,maxpg,none,497,0.08249496981891348,0.3501006036217304,50.0,632,0.07753164556962025,0.3322784810126582,50.0
ps0,d1,maxpg,b02,497,0.08249496981891348,0.3501006036217304,50.0,632,0.07753164556962025,0.3322784810126582,50.0
ps0,d1,maxpg,b05,497,0.08249496981891348,0.3501006036217304,50.0,632,0.07753164556962025,0.3322784810126582,50.0
ps0,d01,maxpg,none,497,0.08249496981891348,0.3501006036217304,50.0,632,0.07753164556962025,0.3322784810126582,50.0
ps0,d01,maxpg,b02,497,0.08249496981891348,0.3501006036217304,50.0,632,0.07753164556962025,0.3322784810126582,50.0
ps0,d01,maxpg,b05,497,0.08249496981891348,0.3501006036217304,50.0,632,0.07753164556962025,0.3322784810126582,50.0
