formula,dte,band,excl,prec_fit,jacc_fit,n_fit,prec_holdout,jacc_holdout,n_holdout
net_gob,dte_le45,band10,exclCPH,0.42836363636363695,0.28337511817387984,550,0.43623417721519064,0.2894994786209473,632
net_gob,dte_le45,band15,exclCPH,0.42490909090909146,0.2806230817685926,550,0.4340189873417729,0.2879389721176576,632
net_gob,dte_le45,band20,exclCPH,0.42490909090909146,0.2806230817685926,550,0.43338607594936784,0.2874379639195748,632
net_gob,dte_le45,nobandcap,exclCPH,0.42454545454545506,0.28033787677750527,550,0.43338607594936784,0.2874379639195748,632
tot_gob,dte_le7,band20,exclCPH,0.4245454545454546,0.28184296689644267,550,0.4147151898734195,0.26878165789112496,632
tot_gob,dte_le7,nobandcap,exclCPH,0.4245454545454546,0.28184296689644267,550,0.4147151898734195,0.26878165789112496,632
tot_gob,dte_le7,band15,exclCPH,0.4245454545454546,0.28184296689644267,550,0.4147151898734195,0.26878165789112496,632
tot_gob,dte_le7,band10,exclCPH,0.42436363636363644,0.2817092770568705,550,0.4147151898734195,0.26878165789112496,632
net_gob,dte_le60,band10,exclCPH,0.4240000000000008,0.28027571156054165,550,0.42167721518987433,0.2778719610206958,632
net_gob,dte_le7,band15,exclCPH,0.42199999999999965,0.2814801332138792,550,0.43354430379746905,0.28569306551264745,632
net_gob,dte_le7,nobandcap,exclCPH,0.42199999999999965,0.2814801332138792,550,0.43354430379746905,0.28569306551264745,632
net_gob,dte_le7,band20,exclCPH,0.42199999999999965,0.2814801332138792,550,0.43354430379746905,0.28569306551264745,632
net_gob,dte_le7,band10,exclCPH,0.42199999999999965,0.28154624357410724,550,0.43354430379746905,0.28569306551264745,632
tot_gob,dte_le14,band20,exclNone,0.42109090909090996,0.27626322078334437,550,0.40553797468354613,0.26081492937290096,632
tot_gob,dte_le14,band15,exclNone,0.42109090909090996,0.27626322078334437,550,0.40553797468354613,0.26081492937290096,632
tot_gob,dte_le14,band10,exclNone,0.42090909090909173,0.2761295309437722,550,0.40553797468354613,0.26081492937290096,632
tot_gob,dte_le14,nobandcap,exclNone,0.42090909090909173,0.2761295309437722,550,0.40553797468354613,0.26081492937290096,632
net_gob,dte_le60,band15,exclCPH,0.41927272727272813,0.2765800281589757,550,0.4188291139240514,0.27577876779267085,632
net_gob,dte_le60,band20,exclCPH,0.41927272727272813,0.2765800281589757,550,0.4180379746835451,0.27526685416646085,632
net_gob,dte_le60,nobandcap,exclCPH,0.41800000000000076,0.2755474333028514,550,0.4180379746835451,0.27526685416646085,632
tot_gob,dte_le30,band10,exclNone,0.4154545454545468,0.2701790778880566,550,0.3943037974683563,0.25177209543514373,632
tot_gob,dte_le30,band15,exclNone,0.4154545454545468,0.2701790778880566,550,0.3938291139240525,0.25138871423456227,632
tot_gob,dte_le30,band20,exclNone,0.4154545454545468,0.2701790778880566,550,0.3938291139240525,0.25138871423456227,632
tot_gob,dte_le30,nobandcap,exclNone,0.4152727272727286,0.27004538804848444,550,0.3938291139240525,0.25138871423456227,632
tot_gob,all,band10,exclCPH,0.41490909090909317,0.2719653866163858,550,0.36962025316455827,0.2325675587459401,632
tot_gob,dte1p,band10,exclCPH,0.41490909090909317,0.2719653866163858,550,0.36962025316455827,0.2325675587459401,632
net_gob,dte_le14,band15,exclNone,0.4120000000000003,0.27051727769994,550,0.4276898734177225,0.2801762856101636,632
net_gob,dte_le14,band20,exclNone,0.4120000000000003,0.27051727769994,550,0.4276898734177225,0.2801762856101636,632
net_gob,dte_le14,nobandcap,exclNone,0.41181818181818214,0.27036576254842487,550,0.4276898734177225,0.2801762856101636,632
net_gob,dte_le14,band10,exclNone,0.41181818181818214,0.27036576254842487,550,0.42800632911392505,0.28036134742080837,632
tot_gob,dte_le45,band20,exclNone,0.41127272727272896,0.26665841117009176,550,0.38164556962025503,0.24195030170458331,632
tot_gob,dte_le45,band15,exclNone,0.41127272727272896,0.26665841117009176,550,0.38164556962025503,0.24195030170458331,632
tot_gob,dte_le45,nobandcap,exclNone,0.4107272727272744,0.2662395163394322,550,0.38164556962025503,0.24195030170458331,632
tot_gob,dte_le45,band10,exclNone,0.4107272727272744,0.26622169102748927,550,0.38322784810126764,0.24313905168825425,632
tot_gob,wexp30,band10,exclNone,0.4092727272727286,0.26558530127345226,550,0.38449367088607794,0.24422792272412153,632
tot_gob,wexp30,band20,exclNone,0.4090909090909104,0.26545161143388,550,0.38417721518987535,0.24394537299536928,632
tot_gob,wexp30,band15,exclNone,0.4090909090909104,0.26545161143388,550,0.38417721518987535,0.24394537299536928,632
net_gob,dte_le90,band10,exclCPH,0.40909090909090967,0.26911759207424873,550,0.39952531645569705,0.2601720683661159,632
tot_gob,all,band15,exclCPH,0.40763636363636563,0.26534155808853244,550,0.36202531645569763,0.22666632250194207,632
tot_gob,dte1p,band15,exclCPH,0.40763636363636563,0.26534155808853244,550,0.36202531645569763,0.22666632250194207,632
tot_gob,all,band20,exclCPH,0.40745454545454746,0.26520786824896025,550,0.3555379746835457,0.2219134100453418,632
tot_gob,dte1p,band20,exclCPH,0.40745454545454746,0.26520786824896025,550,0.3555379746835457,0.2219134100453418,632
tot_gob,wexp30,nobandcap,exclNone,0.40654545454545593,0.2633844027567642,550,0.38417721518987535,0.24394537299536928,632
tot_gob,monthly_le90,band10,exclCPH,0.40654545454545554,0.2680040666404306,550,0.33924050632911484,0.21193188237217706,632
tot_gob,all,nobandcap,exclCPH,0.40309090909091116,0.26165766028698745,550,0.3500000000000013,0.21783376908391602,632
tot_gob,dte1p,nobandcap,exclCPH,0.40309090909091116,0.26165766028698745,550,0.3500000000000013,0.21783376908391602,632
net_gob,dte_le90,band15,exclCPH,0.4029090909090915,0.2643745349937303,550,0.39525316455696285,0.2570044280374653,632
net_gob,dte_le90,band20,exclCPH,0.4029090909090915,0.2643745349937303,550,0.39462025316455773,0.25662178552898507,632
tot_gob,monthly_le90,band15,exclCPH,0.4014545454545463,0.2635942985619318,550,0.3310126582278491,0.2058153831750845,632
tot_gob,monthly_le90,band20,exclCPH,0.4012727272727281,0.2634427834104166,550,0.32895569620253257,0.20445191307018712,632
net_gob,dte_le90,nobandcap,exclCPH,0.4010909090909097,0.26286956937111755,550,0.39462025316455773,0.25662178552898507,632
tot_gob,dte_le60,band10,exclNone,0.4007272727272743,0.258512999650067,550,0.37468354430379913,0.23647168257624046,632
tot_gob,wexp10,band20,exclNone,0.40072727272727404,0.2592223909561367,550,0.39177215189873615,0.24974834075997066,632
tot_gob,wexp10,band15,exclNone,0.40072727272727404,0.2592223909561367,550,0.39177215189873615,0.24974834075997066,632
net_gob,dte_le30,band10,exclNone,0.40072727272727365,0.2609088623794507,550,0.41297468354430505,0.26970062226704944,632
tot_gob,wexp10,band10,exclNone,0.40054545454545587,0.2590887011165645,550,0.3919303797468374,0.24988019730005506,632
tot_gob,dte_le60,band15,exclNone,0.40018181818181975,0.2579973388402885,550,0.37167721518987507,0.23425026047419964,632
tot_gob,dte_le60,band20,exclNone,0.40018181818181975,0.2579973388402885,550,0.37167721518987507,0.23425026047419964,632
tot_gob,monthly_le90,nobandcap,exclCPH,0.400181818181819,0.2625625525301858,550,0.3272151898734185,0.20325595111889536,632
net_gob,wexp10,band15,exclNone,0.4000000000000005,0.26069916495613055,550,0.40537974683544464,0.2622506327989444,632
net_gob,wexp10,band10,exclNone,0.4000000000000005,0.2607807500377156,550,0.40537974683544464,0.2622506327989444,632
net_gob,wexp10,band20,exclNone,0.4000000000000005,0.26069916495613055,550,0.40537974683544464,0.2622506327989444,632
tot_gob,dte_le60,nobandcap,exclNone,0.39963636363636523,0.25759329843624806,550,0.37167721518987507,0.23425026047419964,632
net_gob,dte_le30,band20,exclNone,0.39963636363636457,0.2599826970415206,550,0.4117088607594949,0.26885627775598275,632
net_gob,dte_le30,band15,exclNone,0.39963636363636457,0.2599826970415206,550,0.4117088607594949,0.26885627775598275,632
net_gob,wexp30,band10,exclNone,0.3996363636363645,0.2595791841457475,550,0.4030063291139254,0.261080677594669,632
net_gob,dte_le30,nobandcap,exclNone,0.3994545454545464,0.25984900720194837,550,0.4117088607594949,0.26885627775598275,632
net_gob,wexp30,band20,exclNone,0.3989090909090918,0.25900815386883486,550,0.4023734177215203,0.2606365292491216,632
net_gob,wexp30,band15,exclNone,0.3989090909090918,0.25900815386883486,550,0.4025316455696216,0.2607528732550784,632
tot_gob,wexp10,nobandcap,exclNone,0.39872727272727404,0.25755102826310217,550,0.39177215189873615,0.24974834075997066,632
net_gob,wexp10,nobandcap,exclNone,0.3967272727272732,0.2582776700423755,550,0.40537974683544464,0.2622506327989444,632
net_gob,wexp30,nobandcap,exclNone,0.3950909090909099,0.2560582657796279,550,0.4023734177215203,0.2606365292491216,632
tot_gob,dte_le7,nobandcap,exclNone,0.39381818181818257,0.2551955285856209,550,0.3833860759493684,0.24421710402502642,632
tot_gob,dte_le7,band15,exclNone,0.39381818181818257,0.2551955285856209,550,0.3833860759493684,0.24421710402502642,632
tot_gob,dte_le7,band20,exclNone,0.39381818181818257,0.2551955285856209,550,0.3833860759493684,0.24421710402502642,632
tot_gob,dte_le7,band10,exclNone,0.3936363636363644,0.2550618387460487,550,0.3833860759493684,0.24421710402502642,632
net_gob,dte_le7,band20,exclNone,0.3925454545454546,0.256207610758694,550,0.39588607594936887,0.2547710059270985,632
net_gob,dte_le7,nobandcap,exclNone,0.3925454545454546,0.256207610758694,550,0.39588607594936887,0.2547710059270985,632
net_gob,dte_le7,band15,exclNone,0.3925454545454546,0.256207610758694,550,0.39588607594936887,0.2547710059270985,632
net_gob,dte_le7,band10,exclNone,0.3923636363636364,0.25607392091912184,550,0.39588607594936887,0.2547710059270985,632
tot_gob,dte_le90,band10,exclNone,0.3900000000000018,0.25005186841803756,550,0.3617088607594953,0.22638612492435445,632
tot_gob,dte_le90,band15,exclNone,0.38854545454545625,0.24888261283701726,550,0.35585443037974857,0.2220341204094683,632
tot_gob,dte_le90,band20,exclNone,0.38854545454545625,0.24888261283701726,550,0.3550632911392421,0.22146532749145717,632
tot_gob,dte_le90,nobandcap,exclNone,0.387272727272729,0.24780862146890817,550,0.3550632911392421,0.22146532749145717,632
net_gob,dte_le45,band10,exclNone,0.3834545454545464,0.24702030855281604,550,0.39414556962025415,0.2550851220328925,632
net_gob,dte_le45,band15,exclNone,0.3818181818181828,0.24578047511484014,550,0.3919303797468363,0.25350477551583717,632
net_gob,dte_le45,band20,exclNone,0.3816363636363646,0.24566163970188712,550,0.39177215189873504,0.25340135862165336,632
net_gob,dte_le45,nobandcap,exclNone,0.3814545454545464,0.24552794986231488,550,0.39177215189873504,0.25340135862165336,632
net_gob,dte1p,band10,exclCPH,0.38036363636363624,0.24892875442411072,550,0.34351265822784927,0.2167928711654463,632
net_gob,all,band10,exclCPH,0.38036363636363624,0.24892875442411072,550,0.34351265822784927,0.2167928711654463,632
net_gob,dte_le60,band10,exclNone,0.37600000000000067,0.24176726438336316,550,0.3789556962025326,0.2439300219566811,632
net_gob,dte_le60,band15,exclNone,0.37181818181818255,0.23872748166865784,550,0.37642405063291234,0.24222086338763493,632
net_gob,dte_le60,band20,exclNone,0.3716363636363643,0.23862115524654195,550,0.375632911392406,0.2417126237826657,632
net_gob,dte_le60,nobandcap,exclNone,0.3710909090909098,0.23816279008229443,550,0.375632911392406,0.2417126237826657,632
tot_gob,monthly,band10,exclCPH,0.36854545454545473,0.2408212305566654,550,0.28528481012658286,0.17250652268116148,632
net_gob,dte_le90,band10,exclNone,0.3663636363636365,0.23525386893807934,550,0.3545886075949375,0.22492632727598647,632
net_gob,monthly_le90,band10,exclCPH,0.3627272727272718,0.2445406483937306,550,0.27167721518987303,0.1690378473772881,632
tot_gob,dte1p,band10,exclNone,0.36127272727272886,0.22867028990023597,550,0.33022151898734303,0.2031505529149255,632
tot_gob,all,band10,exclNone,0.36127272727272886,0.22867028990023597,550,0.33022151898734303,0.2031505529149255,632
net_gob,all,band15,exclCPH,0.3605454545454542,0.23356621534640107,550,0.3381329113924061,0.21294883410580784,632
net_gob,dte1p,band15,exclCPH,0.3605454545454542,0.23356621534640107,550,0.3381329113924061,0.21294883410580784,632
net_gob,dte_le90,band20,exclNone,0.359818181818182,0.23042475927924846,550,0.35079113924050703,0.22226045327678565,632
net_gob,dte_le90,band15,exclNone,0.359818181818182,0.23042475927924846,550,0.35126582278481083,0.22253967889108203,632
net_gob,dte1p,band20,exclCPH,0.35981818181818154,0.23300386919581967,550,0.3371835443037985,0.2123536426648077,632
net_gob,all,band20,exclCPH,0.35981818181818154,0.23300386919581967,550,0.3371835443037985,0.2123536426648077,632
net_gob,dte_le90,nobandcap,exclNone,0.35836363636363655,0.22936564983004612,550,0.35079113924050703,0.22226045327678565,632
net_gob,all,nobandcap,exclCPH,0.3563636363636359,0.2300850834751764,550,0.3360759493670896,0.21152352769632413,632
net_gob,dte1p,nobandcap,exclCPH,0.3563636363636359,0.2300850834751764,550,0.3360759493670896,0.21152352769632413,632
tot_gob,dte1p,band15,exclNone,0.35600000000000154,0.22437167923235996,550,0.32120253164557094,0.19662762951060936,632
tot_gob,dte1p,band20,exclNone,0.35600000000000154,0.22437167923235996,550,0.31693037974683663,0.19353894400309526,632
tot_gob,all,band15,exclNone,0.35600000000000154,0.22437167923235996,550,0.32120253164557094,0.19662762951060936,632
tot_gob,all,band20,exclNone,0.35600000000000154,0.22437167923235996,550,0.31693037974683663,0.19353894400309526,632
tot_gob,monthly,band15,exclCPH,0.3541818181818182,0.22896048552254564,550,0.27911392405063346,0.16801438797559068,632
tot_gob,monthly_le90,band10,exclNone,0.3534545454545459,0.22512479342904337,550,0.29762658227848166,0.18132525777184258,632
tot_gob,dte1p,nobandcap,exclNone,0.35236363636363766,0.22144255984813227,550,0.31265822784810254,0.19048073926439324,632
tot_gob,all,nobandcap,exclNone,0.35236363636363766,0.22144255984813227,550,0.31265822784810254,0.19048073926439324,632
tot_gob,monthly,band20,exclCPH,0.3518181818181817,0.22736452558293252,550,0.27468354430379793,0.16505252423831257,632
tot_gob,monthly_le90,band15,exclNone,0.3480000000000005,0.22055841209795624,550,0.2901898734177222,0.17592164280768968,632
tot_gob,monthly_le90,band20,exclNone,0.3480000000000005,0.22055841209795624,550,0.2878164556962031,0.17433637067974014,632
tot_gob,monthly,nobandcap,exclCPH,0.34745454545454524,0.22378183376494667,550,0.26487341772151946,0.15836011735191746,632
tot_gob,monthly_le90,nobandcap,exclNone,0.3472727272727278,0.22002068185434367,550,0.28702531645569684,0.17380173255178188,632
net_gob,monthly_le90,band15,exclCPH,0.34545454545454474,0.23129543815161618,550,0.2678797468354427,0.16630344996605764,632
net_gob,monthly_le90,band20,exclCPH,0.34436363636363565,0.23052722975182888,550,0.2672468354430377,0.16591876633466593,632
net_gob,monthly_le90,nobandcap,exclCPH,0.34327272727272656,0.22961122281415014,550,0.2672468354430377,0.16591876633466593,632
net_gob,all,band10,exclNone,0.3378181818181812,0.21561912803398897,550,0.30268987341772197,0.18669402560901377,632
net_gob,dte1p,band10,exclNone,0.3378181818181812,0.21561912803398897,550,0.30268987341772197,0.18669402560901377,632
net_gob,all,band15,exclNone,0.3245454545454538,0.20614337846536027,550,0.29873417721519036,0.18408900847446735,632
net_gob,dte1p,band15,exclNone,0.3245454545454538,0.20614337846536027,550,0.29873417721519036,0.18408900847446735,632
net_gob,dte1p,band20,exclNone,0.32399999999999923,0.20578452679071912,550,0.29762658227848143,0.18335972497781305,632
net_gob,all,band20,exclNone,0.32399999999999923,0.20578452679071912,550,0.29762658227848143,0.18335972497781305,632
net_gob,monthly,band10,exclCPH,0.32218181818181696,0.21538138660288983,550,0.2060126582278479,0.12235823517640627,632
net_gob,monthly_le90,band10,exclNone,0.3219999999999993,0.21125712608684777,550,0.24161392405063245,0.1475480096632177,632
net_gob,all,nobandcap,exclNone,0.31963636363636305,0.20223579310266657,550,0.2965189873417726,0.18253756066905158,632
net_gob,dte1p,nobandcap,exclNone,0.31963636363636305,0.20223579310266657,550,0.2965189873417726,0.18253756066905158,632
tot_gob,monthly,band10,exclNone,0.3174545454545445,0.20049911982504207,550,0.2560126582278486,0.15215658856173073,632
net_gob,monthly_le90,band15,exclNone,0.3096363636363627,0.20233035798051316,550,0.23860759493670847,0.14549738095070672,632
tot_oi,dte_le7,band10,exclCPH,0.309272727272727,0.19407076411720414,550,0.25617088607594984,0.1522549004056435,632
net_gob,monthly_le90,band20,exclNone,0.30909090909090814,0.20189054151902483,550,0.23844936708860723,0.14541410313591657,632
net_gob,monthly_le90,nobandcap,exclNone,0.30854545454545357,0.20142336164008026,550,0.23844936708860723,0.14541410313591657,632
tot_oi,dte_le14,band10,exclCPH,0.30836363636363545,0.1949175935863247,550,0.24778481012658285,0.14647885303355232,632
tot_oi,dte_le30,band10,exclCPH,0.3069090909090893,0.1953865604639606,550,0.22705696202531644,0.1323042846941137,632
tot_oi,wexp10,band10,exclCPH,0.3067272727272715,0.19460971433107718,550,0.24272151898734218,0.1427016287305512,632
tot_gob,monthly,band15,exclNone,0.3036363636363626,0.18969172726138733,550,0.24825949367088634,0.14672295189450477,632
tot_gob,monthly,band20,exclNone,0.3027272727272716,0.1888812958627207,550,0.24351265822784837,0.1434530729902449,632
tot_oi,dte_le45,band10,exclCPH,0.3027272727272714,0.19274964285800267,550,0.21882911392405066,0.12708418088532397,632
tot_gob,monthly,nobandcap,exclNone,0.30036363636363533,0.1870592943348368,550,0.23702531645569644,0.13917188572075578,632
tot_oi,wexp30,band10,exclCPH,0.29745454545454403,0.18908143456131146,550,0.21930379746835454,0.1272915006553372,632
tot_oi,dte_le60,band10,exclCPH,0.2961818181818163,0.1885318482686912,550,0.20996835443037978,0.12131351818986615,632
tot_oi,dte_le90,band10,exclCPH,0.2927272727272708,0.18660830569499387,550,0.20522151898734167,0.11816863376485473,632
tot_oi,all,band10,exclCPH,0.2859999999999979,0.18298422767463113,550,0.1833860759493671,0.10485213405815448,632
tot_oi,dte1p,band10,exclCPH,0.2859999999999979,0.18298422767463113,550,0.1833860759493671,0.10485213405815448,632
net_gob,monthly,band15,exclCPH,0.28436363636363526,0.18741703413389343,550,0.19699367088607553,0.1164811036220301,632
net_gob,monthly,band10,exclNone,0.2818181818181808,0.18324299883123463,550,0.18370253164556938,0.10775337868795255,632
tot_oi,monthly_le90,band10,exclCPH,0.28127272727272545,0.17815685346645183,550,0.1943037974683543,0.11142517188976502,632
net_gob,monthly,band20,exclCPH,0.2796363636363627,0.18386794054680383,550,0.19636075949367046,0.1160984611135499,632
tot_oi,monthly,band10,exclCPH,0.2787272727272705,0.1778974121853389,550,0.17310126582278504,0.09879299265786798,632
net_gob,monthly,nobandcap,exclCPH,0.2772727272727262,0.18168493263624183,550,0.19541139240506286,0.11551782968265198,632
tot_oi,dte_le7,band10,exclNone,0.26890909090908965,0.16484485930306464,550,0.22484177215189896,0.1312276409564499,632
tot_oi,dte_le14,band10,exclNone,0.26636363636363486,0.16420377695919602,550,0.2169303797468357,0.1260062735953816,632
tot_oi,wexp10,band10,exclNone,0.2652727272727258,0.16361984936288448,550,0.21044303797468394,0.12179856675070731,632
tot_oi,dte_le30,band10,exclNone,0.262545454545453,0.16218682418372934,550,0.19667721518987366,0.11280292985504306,632
tot_oi,dte_le45,band10,exclNone,0.2610909090909076,0.1614626790478195,550,0.1898734177215191,0.10875973751703745,632
tot_oi,wexp30,band10,exclNone,0.2585454545454533,0.15956239323112498,550,0.1949367088607596,0.1118938137102507,632
tot_oi,dte_le60,band10,exclNone,0.2545454545454531,0.1570288088244756,550,0.18243670886075952,0.10424109961550782,632
tot_oi,dte_le90,band10,exclNone,0.25254545454545296,0.15565265487866217,550,0.17958860759493675,0.10236585195926122,632
net_gob,monthly,band15,exclNone,0.2516363636363626,0.1618105303709025,550,0.17784810126582257,0.1039941162665727,632
tot_oi,dte_le30,band15,exclCPH,0.2505454545454532,0.15364649454432858,550,0.19414556962025334,0.11171637209180896,632
net_gob,monthly,band20,exclNone,0.24999999999999897,0.16049801935250915,550,0.1770569620253162,0.1035499679210253,632
tot_oi,dte_le45,band15,exclCPH,0.24854545454545324,0.15206827915806373,550,0.18069620253164564,0.10343444784087386,632
net_gob,monthly,nobandcap,exclNone,0.24799999999999892,0.1587948532375784,550,0.17642405063291114,0.10317821140140658,632
tot_oi,wexp10,band15,exclCPH,0.2470909090909077,0.15054068910106183,550,0.20981012658227888,0.12172541679341137,632
tot_oi,monthly_le90,band10,exclNone,0.246363636363635,0.15163592341611035,550,0.17104430379746852,0.09734496174663607,632
tot_oi,dte1p,band10,exclNone,0.24527272727272595,0.15113335237174372,550,0.15901898734177242,0.08967101997361322,632
tot_oi,all,band10,exclNone,0.24527272727272595,0.15113335237174372,550,0.15901898734177242,0.08967101997361322,632
tot_oi,dte_le14,band15,exclCPH,0.2449090909090896,0.1482278608904009,550,0.21677215189873444,0.1264861318722477,632
tot_oi,wexp30,band15,exclCPH,0.2449090909090896,0.14993812860686054,550,0.18686708860759493,0.1071701109935433,632
tot_oi,dte_le60,band15,exclCPH,0.24381818181818052,0.15004572826554377,550,0.1748417721518989,0.09966952859313928,632
tot_oi,dte_le7,band15,exclCPH,0.24163636363636298,0.14497582225136524,550,0.22895569620253212,0.13440477512346316,632
tot_oi,dte_le90,band15,exclCPH,0.24090909090908957,0.14774776822764574,550,0.1688291139240509,0.09604449430227431,632
tot_oi,monthly,band10,exclNone,0.23818181818181694,0.14715226294173792,550,0.15253164556962043,0.08613688368974139,632
tot_oi,monthly_le90,band15,exclCPH,0.2379999999999986,0.14555413798447986,550,0.15917721518987363,0.09023015157650972,632
net_oi,dte_le30,band10,exclCPH,0.23272727272727178,0.1488306963074774,550,0.13117088607594946,0.07444661464408153,632
net_oi,dte_le45,band10,exclCPH,0.22999999999999915,0.14833182469405468,550,0.11060126582278514,0.062023388080526765,632
net_oi,dte_le60,band10,exclCPH,0.2294545454545445,0.1485471244519944,550,0.09873417721519041,0.05500668788501432,632
tot_oi,dte1p,band15,exclCPH,0.22890909090908962,0.14046303713486513,550,0.15126582278481027,0.08519361275489619,632
tot_oi,all,band15,exclCPH,0.22890909090908962,0.14046303713486513,550,0.15126582278481027,0.08519361275489619,632
net_oi,wexp30,band10,exclCPH,0.2283636363636354,0.1465623695190267,550,0.11471518987341806,0.06433529996497857,632
