eod_date,r2,spot,b0_0,b1_2,b3_5,b6_10,b11_21,b22_45,b46_90,b91_400
2024-04-26,0.9999479259464211,5103.56,0.0,2255.598016723816,550936.6289391641,470927.2069083988,780241.5251944098,430697.7854560738,604951.9773930637,349061.85893452965
2024-04-29,0.9775983778245915,5104.66,0.0,330049.50550522463,-279844.5097513693,5406497.449666109,1642308.6878719213,442648.97295928065,-242985.4760941497,-1375737.0908639084
2024-04-30,0.9947496570783791,5060.17,0.0,-31229.767163736047,754538.4880340998,621824.8354819115,780323.8701711738,240678.06661002222,580533.4166219052,-1000073.2514314852
2024-05-01,0.9925517590174545,5049.23,0.0,-71328.75165469147,522138.2499493286,608227.9283235315,1308577.2554282479,-876825.7082647188,460701.9478653365,-195405.51893452322
2024-05-02,0.9906207053179888,5056.73,0.0,217447.74457698222,485737.74885896395,589109.6610080812,295338.88032629667,753249.8292575832,518815.8534844461,1252366.7962115258
2024-05-03,0.9997326459920675,5130.23,0.0,8300.535437633283,352034.6379228934,572464.7044264578,553094.3247591702,515477.6272048082,476942.9219780435,413999.6638069183
2024-05-06,0.9941307280125423,5169.16,0.0,11424.539305657963,382956.41973161197,174588.94384901767,708239.9169383487,1658462.8988989019,441268.4131081655,-444633.15545309376
2024-05-07,0.9986747266818211,5186.03,0.0,78974.66005435959,529014.9186222919,584619.0052356835,549654.1782261645,666669.8131104633,594845.840027065,82023.3469017401
2024-05-08,0.9989644660317502,5188.72,0.0,3156.997299582232,539231.1685196706,544169.4935211998,546453.0021615989,877875.5977933689,-252546.76345227964,693850.4515802904
2024-05-09,0.9888018440910475,5210.85,0.0,12881.25345710176,1590609.7514149784,720509.8723513269,215194.32442700822,277595.5393281846,2390540.329410092,-1311593.7843333748
2024-05-10,0.9947888237280516,5221.69,0.0,6462.961187803303,506011.6227101828,417295.1967531315,380077.57109334413,902895.7921945667,508359.97442389384,408206.4260562687
2024-05-13,0.9961297580128345,5220.58,0.0,76818.55731457635,582655.0178973811,174407.0237634381,650351.1697763322,225254.79434695523,238234.03436691966,1083424.5875542685
2024-05-14,0.9984840901365815,5247.9,0.0,11213.710043982137,553308.4858482686,715533.1586303924,495321.78349933156,607105.6589992744,724369.0228315399,374140.79596984154
2024-05-15,0.9975428054599418,5304.96,0.0,72979.2958738443,574148.4899709892,751893.6699765258,593833.5370346789,-696122.2432600746,4712555.886491939,-814703.6638864081
2024-05-16,0.9959363798844141,5300.93,0.0,503484.948758336,369688.5745670604,811971.8530470701,-257133.1288626721,910329.7456946527,655527.4908105364,416517.19505445275
2024-05-17,0.9997973571842267,5300.8,0.0,125377.7236253419,305904.64934999065,651417.9289245293,320738.6742500388,672059.2417606884,518434.03210421326,531233.7507452513
2024-05-20,0.9923149849731924,5308.08,0.0,36355.88781238545,617016.8218155291,523488.58577920264,313108.93978308176,630954.972594494,406861.5813604605,454783.1947020046
2024-05-21,0.9946238537063405,5319.13,0.0,15158.678067595,1087310.9121372038,-122332.9224519607,677307.694893365,189750.63493340966,1124865.1112420931,358210.8375073812
2024-05-23,0.9921344869052507,5265.53,0.0,86424.8891118092,-5.820766091346741e-10,1324924.2803862675,-646773.5729040126,169507.89064708783,1491179.8906324622,1017101.4841789831
2024-05-24,0.9987990385282562,5300.32,0.0,-42679.5862932516,950321.6163394285,328550.0400736038,535915.6934387212,694121.8439886143,401254.3613145123,519746.50402926176
2024-05-28,0.9990925795695732,5296.9,0.0,72277.3901668432,626562.2704094441,596543.1806134745,760527.7345338316,576341.3300980007,559314.6752007817,420734.1493908573
2024-05-29,0.9984215288170895,5276.5,0.0,1595.8055282150744,650315.6142925728,637572.7718246365,498285.27804763516,486139.9546665248,794641.4299726797,339014.05974929396
2024-05-30,0.998101316534445,5232.25,0.0,121605.770701551,757598.4479742557,658483.3095762217,193957.16648807,493633.26581358805,1335499.0594094829,170425.75198187697
2024-05-31,0.9955193949138689,5247.23,0.0,-17840.824642645428,566793.9610048912,384619.43839052203,-137020.1869918134,472459.27177099633,1451007.3336690953,654620.5987466476
2024-06-03,0.9883700583066459,5268.47,0.0,63814.00645826908,550722.0314271165,374390.2858456823,645353.6859961097,765650.1393061582,225401.01620520122,623827.1554812121
2024-06-04,0.9990245230367881,5288.74,0.0,92393.71171829011,573093.000577519,631846.1104339969,580792.5565496886,385437.1180421158,589591.7857946295,531810.1240361526
2024-06-05,0.9776955117752251,5345.12,0.0,31374.984623892204,1250448.8232953053,157893.45300501087,894348.2037857888,676794.5394475979,-444384.60298241663,-352538.1771143779
2024-06-06,0.9971829106395158,5348.26,0.0,-54635.192566815414,1197982.2827977554,539592.3628945698,795957.3861955325,556765.8874042383,601581.8630111852,-63677.317217640535
2024-06-07,0.9996769921352571,5349.77,0.0,-23027.78374155739,536086.3570510964,530436.5930410323,524506.2613273201,543634.2004298414,667451.7401339908,566270.9079722937
2024-06-10,0.9996741514023029,5355.59,0.0,74747.52423934499,898209.3473440952,481789.7606249277,549590.4845745576,387935.3169270031,440306.7335337224,244314.929606684
2024-06-11,0.9994610349686774,5368.18,0.0,-12814.784295000718,862502.8426942393,1032071.265431749,331058.8783922725,586821.6056033355,188536.48746544274,1069222.5193774456
2024-06-12,0.9454212593904462,5412.95,0.0,9599.794792756438,974983.8402772705,468591.5926285317,135175.3300511737,1449191.9589807384,3446066.68984497,-2148476.9944482176
2024-06-13,0.9954369344062426,5433.87,0.0,109098.62681935355,633454.3842673926,539984.9473319105,504573.28955761436,963642.5684818821,511273.8132135525,173704.3862106788
2024-06-14,0.9944801821075555,5425.74,0.0,217490.5250108943,688860.1562815565,177597.98638966487,283135.4696090891,1748791.8282166247,-404129.99885271187,373460.3219890585
2024-06-17,0.9975230554123461,5482.75,0.0,53206.749119349755,514734.1336507108,596304.0068114849,623966.9272387789,705128.8602461419,1194157.500664584,406375.7955449936
2024-06-18,0.9998536773941124,5483.74,0.0,39542.90940360259,589168.2864843197,334142.7869254582,560823.2271974116,642412.6312625625,574821.3347431878,232286.4634850063
2024-06-20,0.9838947610725108,5476.72,0.0,485755.9715991821,93937.07431965935,295332.4610135182,2197360.848641482,244433.28913736372,1298704.6373102271,-567649.7211455279
2024-06-21,0.9999880299066696,5465.56,0.0,12609.140368137276,550091.66616681,563810.5854659039,395813.51775126724,588118.1286060367,721374.3236596156,598303.9680690729
2024-06-24,0.9982824514275778,5461.34,0.0,313301.6145261498,591196.1902974236,-66833.75623732035,547287.2338786819,137537.953174308,60170.19988846265,1197754.992639907
2024-06-25,0.9972899410838912,5467.46,0.0,133238.8733670583,551146.3583075635,475611.3071889332,926505.0663549778,331093.47483949736,793091.060311918,433583.491427119
2024-06-26,0.9989773921553291,5468.71,0.0,120255.57784321671,467641.46302525664,526438.7970428737,1047591.753164595,329569.60228163446,1264380.6912873986,490644.3445382444
2024-06-27,0.9972693261451917,5478.25,0.0,307688.1940878511,555693.9374180742,929174.3791960196,81892.94697318766,801467.109150005,-214328.67867226125,912691.5633313039
2024-06-28,0.9960335759548009,5467.8,0.0,31635.590497183846,592968.7937655088,423153.73154816485,527254.3685100626,575754.0933831201,589286.8939585752,328026.4737567692
2024-07-01,0.9990913326683009,5467.46,0.0,18315.403697694885,562232.6446554557,642800.2337936447,480418.15785577515,614788.2884866918,485986.50238288083,760058.1175059619
2024-07-02,0.9955433331811055,5502.3,0.0,21457.536546705553,924642.0000796691,552590.1193722835,553094.1494306227,672203.5135967578,1165975.572800414,-129.70325889549895
2024-07-03,0.9852085914498211,5527.48,0.0,-2698.083812220837,-43178.36673026762,-82881.84510320472,479029.4524244704,367418.54083694116,-152867.60616324982,247501.15820978594
2024-07-05,0.9714145803022369,5567.81,0.0,55830.58452654863,654145.7938690162,-1018818.9947419327,1031041.7984126578,1459081.6631773463,-2094053.563940162,1924002.6277278794
2024-07-08,0.9971510279371347,5567.86,0.0,1703.034512784332,616021.9931355931,1694711.4943774338,486036.2378564959,599036.3714756,208031.7098205605,412430.77879948245
2024-07-09,0.9962196633517892,5576.7,0.0,52708.17079247406,611038.0966069761,1160004.087686628,542772.3089482477,429129.0922825802,354366.59669172263,943784.3409724489
2024-07-11,0.9974110230385285,5588.48,0.0,513319.17914247094,-33156.00876603396,480117.5922554872,1630336.2415739982,-992926.0670321293,490652.2540239443,1782768.892882973
2024-07-12,0.9997014846256409,5625.07,0.0,14608.648136607371,544166.3639925271,523166.89894049393,772599.0301739834,-123354.8822889323,807297.7721649711,1006803.6684470272
2024-07-15,0.9991916010859565,5626.05,0.0,145220.96796978195,431172.3059782005,1247014.561868751,397474.7062317023,1051615.9164454385,266997.0245398419,446546.6287255455
2024-07-16,0.9925419155578123,5660.31,0.0,119093.41838346573,309977.2542320633,522906.3676633204,1111922.0292081183,1045673.7405028846,187211.17154488945,720692.5370702334
2024-07-17,0.9904052845834858,5591.64,0.0,26876.904543447716,461687.29190851713,1363393.932584466,-284608.56020235096,563415.1614729946,578894.4898778014,915263.3715858927
2024-07-18,0.9989790262823721,5545.37,0.0,120236.10192414804,516832.45555507817,740314.1628630146,1425372.3772371158,326766.21659884485,729151.3734265291,297946.23889046285
2024-07-19,0.9998133572331133,5503.61,0.0,2090.7304451240925,559629.8929620215,550504.3999420945,509739.12023868307,512304.5136220976,633791.2707250888,451507.25146447815
2024-07-22,0.9989850893420826,5567.71,0.0,99803.31275878928,541836.0847828016,53936.20428873235,1256925.0396731247,457795.26943254145,562598.2365425527,543496.0274141305
