dte,grid,side,band,meas,n_fit,exact_fit,w25_fit,medae_fit,bias_fit,n_hold,exact_hold,w25_hold,medae_hold,bias_hold,level
ex0,m100,gt,b10,net,549,0.5846994535519126,0.5846994535519126,0.0,0.0,632,0.745253164556962,0.7484177215189873,0.0,0.0,cr
monthly,any,none,bNone,net,549,0.5591985428051002,0.5646630236794171,0.0,0.0,632,0.5901898734177216,0.5917721518987342,0.0,0.0,cr
monthly,m25,none,bNone,net,549,0.5591985428051002,0.5646630236794171,0.0,0.0,632,0.5917721518987342,0.5933544303797469,0.0,0.0,cr
monthly,m50,none,bNone,net,549,0.5591985428051002,0.5610200364298725,0.0,0.0,632,0.5933544303797469,0.5933544303797469,0.0,0.0,cr
le90,m100,none,bNone,net,549,0.5446265938069217,0.5591985428051002,0.0,0.0,632,0.6930379746835443,0.7009493670886076,0.0,0.0,cr
monthly,any,none,b20,net,549,0.5446265938069217,0.5500910746812386,0.0,0.0,632,0.5917721518987342,0.5949367088607594,0.0,0.0,cr
monthly,m25,none,b20,net,549,0.5446265938069217,0.5500910746812386,0.0,0.0,632,0.5933544303797469,0.5965189873417721,0.0,0.0,cr
monthly,m50,none,b20,net,549,0.5446265938069217,0.546448087431694,0.0,0.0,632,0.5949367088607594,0.5965189873417721,0.0,0.0,cr
le90,m100,none,b20,net,549,0.5428051001821493,0.5573770491803278,0.0,0.0,632,0.6930379746835443,0.7009493670886076,0.0,0.0,cr
monthly,any,ge,bNone,net,549,0.5428051001821493,0.5519125683060109,0.0,0.0,632,0.5917721518987342,0.5949367088607594,0.0,0.0,cr
monthly,any,gt,bNone,net,549,0.5428051001821493,0.5519125683060109,0.0,0.0,632,0.5917721518987342,0.5949367088607594,0.0,0.0,cr
monthly,m25,ge,bNone,net,549,0.5428051001821493,0.5519125683060109,0.0,0.0,632,0.5917721518987342,0.5949367088607594,0.0,0.0,cr
monthly,m25,gt,bNone,net,549,0.5428051001821493,0.5519125683060109,0.0,0.0,632,0.5917721518987342,0.5949367088607594,0.0,0.0,cr
monthly,m50,ge,bNone,net,549,0.5428051001821493,0.5446265938069217,0.0,0.0,632,0.5933544303797469,0.5933544303797469,0.0,0.0,cr
monthly,m50,gt,bNone,net,549,0.5428051001821493,0.5446265938069217,0.0,0.0,632,0.5933544303797469,0.5933544303797469,0.0,0.0,cr
le90,m100,none,b15,net,549,0.5409836065573771,0.5555555555555556,0.0,0.0,632,0.6914556962025317,0.6962025316455697,0.0,0.0,cr
